id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.00500000']
7,['0.00329400']
8,['5.00000000']
9,"['0.00329400', '0.00329400']"
10,['0.00014860']
11,['0.00329600']
12,['0.00331400']
13,"['0.00066263', '0.00050000']"
14,"['0.00010000', '0.00003341']"
15,['0.02500000']
16,['0.00103200']
17,['4.00000000']
18,"['0.00980000', '0.00018047']"
19,['1.00000000']
20,['2.00000000']
21,"['0.00328293', '0.00018758']"
22,['0.00458475']
23,['0.01570000']
24,"['0.00010863', '0.00318462', '0.00100000']"
25,['1.99907615']
26,['4.99898523']
27,"['0.00233186', '0.00109000']"
28,"['0.00056976', '0.00246805']"
29,['0.00390000']
30,['0.01235069']
31,['3.99696438']
32,['0.00900235']
33,['1.99571403']
34,"['0.00071414', '0.00000100', '0.00100000', '0.00090000', '0.00093644', '0.00000200']"
35,['4.99694929']
36,['0.00567081']
37,"['0.00006980', '0.00008690', '0.00300000', '0.00019355']"
38,"['0.00264010', '0.00100000']"
39,['0.00794500']
40,['0.00461135']
41,['0.00940000']
42,['0.00603697']
43,['0.00400350']
44,['0.01000000']
45,['0.00136200']
46,['0.00030838']
47,['0.00300000']
48,['0.00485830']
49,['0.00451812']
50,['3.00000000']
51,['0.01000000']
52,['0.03535793']
53,['0.01569000']
54,['0.01010000']
55,"['0.00034660', '0.03190501']"
56,"['2.99652430', '0.00076900']"
57,['0.01000000']
58,['0.99887908']
59,"['0.00116142', '0.00200071']"
60,['4.99663359']
61,['0.02885689']
62,['0.02545804']
63,['4.99323604']
64,['0.02096061']
65,['4.98981707']
66,['0.01749970']
67,['3.99361081']
68,['0.01300000']
69,"['0.00320224', '0.00020000']"
70,['0.00660178']
71,['0.00353584']
72,['0.00673369']
73,['0.00466795']
74,['0.00962340']
75,['0.00623858']
76,['0.02206651']
77,['1.99232498']
78,"['3.99021616', '0.00139512']"
79,['0.01408506']
80,['0.01229233']
81,"['0.00287474', '4.98636637']"
82,['0.00883241']
83,['0.00533962']
84,['0.01859568']
85,['4.97975006']
86,['2.99421149']
87,['3.98811266']
88,['0.01714000']
89,['0.99548256']
90,['2.97356786']
91,['4.97656953']
92,['2.97006262']
93,['1.98888934']
94,"['0.00116387', '0.00910000']"
95,['2.96891306']
96,['0.01780000']
97,['1.97872108']
98,"['0.01506851', '0.00006080']"
99,['4.96139276']
100,['0.00480000']
101,['0.01567798']
102,['0.00300000']
103,['0.01490000']
104,['0.00107722']
105,['0.01100629']
106,['0.01062914']
107,['0.00444318']
108,['0.00181442']
109,['0.00500000']
110,['0.00120000']
111,['0.00791738']
112,"['0.00300000', '0.00120000']"
113,"['0.00500000', '0.00271164']"
114,['0.00735909']
115,['0.01450000']
116,"['0.00226059', '0.00080000', '0.00072840']"
117,['0.00017188']
118,"['0.00089440', '0.00480000']"
119,"['0.00300000', '0.00004804']"
120,"['0.00390000', '0.00341677', '0.00200000']"
121,"['0.00454585', '0.00040000', '0.00010000']"
122,"['0.00169500', '0.00171142']"
123,"['0.00010000', '0.00228044', '0.00592000', '0.00026183']"
124,"['0.00008000', '0.00100000', '0.00011000', '0.00091371', '0.00163049', '0.00025639', '0.00100000', '0.00003141', '0.00100000', '0.00100000', '0.00100000', '0.00006000']"
125,"['0.00100000', '0.00075511', '0.00087643', '0.00090000', '0.00090000', '0.00270000', '0.00290000']"
126,"['0.00200000', '0.01109159', '0.00195193']"
127,['1.97762767']
128,['0.00790000']
129,['0.00360000']
130,"['0.00110000', '0.00035233', '0.00100000', '0.00370000']"
131,"['0.00453614', '0.00100000', '0.00100000']"
132,['0.01171476']
133,"['0.00500000', '0.00100000', '0.00300000', '0.00002859', '0.00200000']"
134,['0.00464370']
135,"['0.00786728', '0.00213902']"
136,"['0.00480000', '0.00535199']"
137,['0.00226500']
138,"['0.00024033', '0.00049540', '0.00100000']"
139,['0.00187779']
140,['2.96665688']
141,['0.00800000']
142,"['0.00069882', '0.00100000', '0.00025201', '0.00012837']"
143,"['0.00041684', '0.00007379']"
144,"['0.00180000', '0.00070000']"
145,['0.99198420']
146,['0.00490000']
147,['0.00185048']
148,"['0.00300000', '0.00280000']"
149,"['0.00290000', '0.00652797', '0.00038680']"
150,"['0.00500000', '0.00500000']"
151,['3.98622014']
152,['0.00800000']
153,"['0.00003189', '0.00027432', '0.03500000', '0.00880000', '0.00597347']"
154,['0.01000000']
155,['0.00900000']
156,"['0.00090000', '0.00016970', '0.00576196', '0.00300000', '0.00200000', '0.00263338', '0.00969612', '0.00040000', '0.00090000', '0.00002939', '0.06000000', '0.00500000', '0.00500000', '0.01680000', '0.00880000']"
157,['0.00596409']
158,['0.00238843']
159,"['0.98271965', '0.00901324']"
160,"['0.00860000', '0.01345384', '0.05900000', '0.00900000', '0.01000000']"
161,"['0.00084400', '0.03000000', '0.00600000', '4.95928989']"
162,['0.00600000']
163,['0.00700000']
164,"['0.00021000', '0.00299738', '0.00038000', '0.00153783']"
165,['0.00963986']
166,['0.00099230']
167,['0.00462619']
168,"['0.00161503', '0.00028184', '0.00017000', '0.00800000']"
169,['3.92718621']
170,"['0.00010000', '0.00980000', '0.00011212', '0.00004163']"
171,"['0.00100000', '0.00040000']"
172,['0.01000000']
173,['0.00872762']
174,"['0.00002593', '0.00500000']"
175,"['0.00090000', '0.01000000']"
176,"['0.01000000', '0.00069792']"
177,"['0.00002320', '0.01000000', '0.00048988']"
178,"['0.00980000', '0.00250000']"
179,['0.00166641']
180,['0.00136499']
181,['0.89169796']
182,"['0.00105708', '0.01000000']"
183,['0.03000000']
184,['0.05000000']
185,['0.00025339']
186,['0.00422352']
187,"['0.00358910', '0.01000000']"
188,['0.01432184']
189,"['0.01000000', '0.00090000', '0.00021670']"
190,['0.00257303']
191,['0.00318000']
192,"['0.00170000', '0.00055553', '0.01000000']"
193,"['0.01000000', '0.00100000', '0.00003808']"
194,['0.02000000']
195,['0.01000000']
196,['0.06000000']
197,['0.00106212']
198,['0.00180000']
199,"['0.00886101', '0.01000000', '0.00013096']"
200,"['0.00099000', '0.00053090', '0.00010000', '0.00028000', '0.00014000']"
201,"['0.00200000', '0.00500000', '0.00090000']"
202,['0.00026832']
203,['0.05000000']
204,"['0.00001047', '0.00050000', '0.00004837', '0.00004019', '0.00044827']"
205,"['0.01000000', '0.00390000']"
206,['0.02230904']
207,['0.05000000']
208,['0.02471042']
209,['0.00180000']
210,['0.00070506']
211,['1.97559910']
212,"['0.01990000', '0.07024500', '0.00005460', '0.01000000']"
213,['2.95363587']
214,['0.00039116']
215,"['0.00006080', '0.05000000', '0.02400000', '0.00097600']"
216,"['0.00400000', '0.00336069', '0.00019558', '0.00005460', '0.00229870', '0.00012242']"
217,"['0.04444160', '0.01968191', '0.03592167']"
218,"['3.92616561', '0.01000000']"
219,['0.00041304']
220,['0.00021061']
221,"['0.01796738', '0.03300000', '0.04000000', '0.01030000', '0.02310000']"
