Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18532880,32.5540000000,52,267,400,233,2,185,knapsack: **18** ; bnb: **30** ; Total: **48**,0.00001047,4.99898523,0.741619528595,1.50841703794,0.01353087,0.0000580724034335,0.000353600000,0.013884470000,1,15,1.71673819742,1.58563693423,knapsack: **102** ; srd: **101** ; bnb: **30**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90358185,67.8410000000,142,594,747,406,2,295,knapsack: **26** ; bnb: **85** ; Total: **111**,0.00001047,4.99898523,0.607861773085,1.34221022938,0.03174232,0.0000781830541872,0.000965600000,0.032707920000,1,15,1.83990147783,1.80711460626,knapsack: **121** ; srd: **200** ; bnb: **85**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25261907,102.491333333,243,961,1085,539,2,367,knapsack: **34** ; bnb: **138** ; Total: **172**,0.00001045,8.79991234,0.580138686839,1.42981314691,0.04198593,0.0000778959740260,0.00165240000,0.04363833000,1,17,2.01298701299,2.12653141447,knapsack: **155** ; srd: **246** ; bnb: **138**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.62875901,147.001500000,245,1316,1500,684,5,429,knapsack: **43** ; bnb: **212** ; Total: **255**,0.00001045,8.79991234,0.505911222401,1.34045119254,0.05306514,0.0000775806140351,0.00166600000,0.05473114000,1,17,2.19298245614,2.27035330349,knapsack: **193** ; srd: **279** ; bnb: **212**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.24673739,164.368400000,214,1682,1962,818,5,494,knapsack: **48** ; bnb: **276** ; Total: **324**,0.00001045,8.79991234,0.445204165061,1.25952017286,0.06762364,0.0000826694865526,0.00145520000,0.06907884000,1,101,2.39853300733,4.27913417380,knapsack: **211** ; srd: **331** ; bnb: **276**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.31228281,163.003333333,59,2008,2539,992,5,590,knapsack: **61** ; bnb: **341** ; Total: **402**,0.00001045,8.79991234,0.455636576949,1.32814521890,0.09052466,0.0000912546975806,0.000401200000,0.090925860000,1,101,2.55947580645,4.28859173847,knapsack: **261** ; srd: **390** ; bnb: **341**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.32615564,158.003428571,184,2415,2871,1085,5,640,knapsack: **66** ; bnb: **379** ; Total: **445**,0.00001045,8.79991234,0.447194660828,1.29606219929,0.10223490,0.0000942257142857,0.00125120000,0.10348610000,1,101,2.64608294931,4.34661677109,knapsack: **275** ; srd: **431** ; bnb: **379**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.38487534,160.116500000,135,2818,3370,1182,5,687,knapsack: **72** ; bnb: **423** ; Total: **495**,0.00001045,8.79991234,0.430010937060,1.25559747750,0.11411053,0.0000965402115059,0.000918000000,0.115028530000,1,101,2.85109983080,5.45179736151,knapsack: **296** ; srd: **463** ; bnb: **423**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.25379308,159.915333333,162,3213,3800,1287,5,749,knapsack: **74** ; bnb: **464** ; Total: **538**,0.00001045,8.79991234,0.402290765901,1.20719120777,0.13237086,0.000102852261072,0.00110160000,0.13347246000,1,101,2.95260295260,5.39397371101,knapsack: **323** ; srd: **500** ; bnb: **464**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.66557514,159.975200000,175,3571,4221,1429,5,825,knapsack: **76** ; bnb: **528** ; Total: **604**,0.00001045,8.79991234,0.380243517976,1.17729564459,0.14746137,0.000103192001400,0.00119000000,0.14865137000,1,101,2.95381385584,5.20779364472,knapsack: **346** ; srd: **555** ; bnb: **528**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.88594537,157.466000000,131,3938,4696,1562,5,889,knapsack: **83** ; bnb: **590** ; Total: **673**,0.00001045,8.79991234,0.393811173498,1.21450535785,0.16702234,0.000106928514725,0.000890800000,0.167913140000,1,101,3.00640204866,5.10893101891,knapsack: **373** ; srd: **599** ; bnb: **590**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.29568367,153.587833333,107,4278,5153,1722,5,982,knapsack: **88** ; bnb: **652** ; Total: **740**,0.00001045,8.79991234,0.393098363360,1.19723228045,0.18797997,0.000109163745645,0.000727600000,0.188707570000,1,101,2.99245063879,4.95598886201,knapsack: **394** ; srd: **676** ; bnb: **652**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.76326189,149.740923077,171,4650,5546,1850,5,1067,knapsack: **101** ; bnb: **682** ; Total: **783**,0.00001045,8.79991234,0.381549279822,1.15286023294,0.20174269,0.000109050102703,0.00116280000,0.20290549000,1,101,2.99783783784,4.93998549117,knapsack: **421** ; srd: **747** ; bnb: **682**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.11559426,147.207285714,95,4990,6057,2010,5,1162,knapsack: **103** ; bnb: **745** ; Total: **848**,0.00001045,8.79991234,0.362814485077,1.11179992154,0.21408343,0.000106509169154,0.000646000000,0.214729430000,1,101,3.01343283582,4.92333647717,knapsack: **457** ; srd: **808** ; bnb: **745**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.81302088,145.968800000,137,5335,6463,2165,5,1265,knapsack: **109** ; bnb: **791** ; Total: **900**,0.00001045,8.79991234,0.358808683968,1.09891252280,0.23441190,0.000108273394919,0.000931600000,0.235343500000,1,101,2.98521939954,4.81350567526,knapsack: **468** ; srd: **906** ; bnb: **791**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.71525363,140.164375000,53,5654,6986,2346,5,1385,knapsack: **114** ; bnb: **847** ; Total: **961**,0.00001045,8.79991234,0.391851794137,1.15962881769,0.25591413,0.000109085306905,0.000360400000,0.256274530000,1,101,2.97783461211,4.76361688211,knapsack: **502** ; srd: **997** ; bnb: **847**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.41376929,134.540941176,57,5963,7447,2537,5,1541,knapsack: **118** ; bnb: **878** ; Total: **996**,0.00000980,8.79991234,0.385419424062,1.13619944159,0.26824182,0.000105731895940,0.000387600000,0.268629420000,1,101,2.93535672054,4.67464292493,knapsack: **573** ; srd: **1086** ; bnb: **878**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.38581669,133.751000000,120,6278,7835,2722,5,1677,knapsack: **123** ; bnb: **922** ; Total: **1045**,0.00000980,8.79991234,0.369705854264,1.09393569410,0.28633921,0.000105194419544,0.000816000000,0.287155210000,1,101,2.87839823659,4.55699138226,knapsack: **606** ; srd: **1194** ; bnb: **922**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.34241260,132.130947368,101,6573,8303,2927,5,1831,knapsack: **129** ; bnb: **967** ; Total: **1096**,0.00000956,8.79991234,0.353042997357,1.05247708197,0.30251305,0.000103352596515,0.000686800000,0.303199850000,1,101,2.83669285958,4.44745809677,knapsack: **664** ; srd: **1296** ; bnb: **967**
bustabit-tiny-hot-wallet_2019-2020-per-day,13.18434593,131.068500000,103,6892,8750,3108,5,1961,knapsack: **136** ; bnb: **1011** ; Total: **1147**,0.00000956,8.79991234,0.341228783238,1.02035664142,0.31553629,0.000101523902831,0.000700400000,0.316236690000,1,101,2.81531531532,4.36078108235,knapsack: **713** ; srd: **1384** ; bnb: **1011**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.80090095,127.576666667,44,7193,9267,3307,5,2118,knapsack: **140** ; bnb: **1049** ; Total: **1189**,0.00000956,8.79991234,0.375687652729,1.09188346918,0.34296692,0.000103709380103,0.000299200000,0.343266120000,1,101,2.80223767765,4.35940768943,knapsack: **758** ; srd: **1500** ; bnb: **1049**
bustabit-tiny-hot-wallet_2019-2020-per-day,11.92602759,124.697090909,91,7533,9677,3467,5,2235,knapsack: **146** ; bnb: **1086** ; Total: **1232**,0.00000956,8.79991234,0.376249370676,1.07510984616,0.35799727,0.000103258514566,0.000618800000,0.358616070000,1,101,2.79117392558,4.31073787509,knapsack: **798** ; srd: **1583** ; bnb: **1086**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.98183544,124.025217391,159,7877,10059,3623,5,2341,knapsack: **151** ; bnb: **1131** ; Total: **1282**,0.00000956,8.79991234,0.375537056822,1.08149226650,0.37092649,0.000102381035054,0.00108120000,0.37200769000,1,101,2.77642837428,4.24377632404,knapsack: **840** ; srd: **1652** ; bnb: **1131**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.12231069,126.135333333,70,8204,10582,3796,5,2448,knapsack: **158** ; bnb: **1190** ; Total: **1348**,0.00000956,8.79991234,0.364903469951,1.06429580928,0.39114290,0.000103040806112,0.000476000000,0.391618900000,1,101,2.78767123288,4.23539458953,knapsack: **874** ; srd: **1732** ; bnb: **1190**
bustabit-tiny-hot-wallet_2019-2020-per-day,24.20558319,125.951840000,158,8541,10938,3959,5,2555,knapsack: **164** ; bnb: **1240** ; Total: **1404**,0.00000956,8.79991234,0.361614687898,1.05575763174,0.40734264,0.000102890285426,0.00107440000,0.40841704000,1,101,2.76281889366,4.17578279316,knapsack: **899** ; srd: **1820** ; bnb: **1240**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.49124971,127.331153846,178,8875,11351,4125,5,2654,knapsack: **173** ; bnb: **1298** ; Total: **1471**,0.00000956,8.79991234,0.358451104416,1.04162882931,0.42283528,0.000102505522424,0.00121040000,0.42404568000,1,101,2.75175757576,4.11603638448,knapsack: **921** ; srd: **1906** ; bnb: **1298**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.54723013,129.047851852,137,9156,11823,4344,5,2804,knapsack: **181** ; bnb: **1359** ; Total: **1540**,0.00000956,8.79991234,0.347550795909,1.01623371337,0.44211000,0.000101774861878,0.000931600000,0.443041600000,1,101,2.72168508287,4.04557610143,knapsack: **973** ; srd: **2012** ; bnb: **1359**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.21246327,131.003857143,175,9452,12221,4548,6,2944,knapsack: **184** ; bnb: **1420** ; Total: **1604**,0.00000956,8.79991234,0.337590599127,0.995068129578,0.46274230,0.000101746328056,0.00119000000,0.46393230000,1,101,2.68711521548,3.97467696172,knapsack: **1008** ; srd: **2120** ; bnb: **1420**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.39053199,131.827931034,179,9756,12658,4744,6,3081,knapsack: **190** ; bnb: **1473** ; Total: **1663**,0.00000956,8.79991234,0.331744112123,0.978242289955,0.47795731,0.000100749854553,0.00121720000,0.47917451000,1,101,2.66821247892,3.92067040553,knapsack: **1058** ; srd: **2213** ; bnb: **1473**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.70060041,132.752333333,141,10038,13138,4962,6,3241,knapsack: **194** ; bnb: **1527** ; Total: **1721**,0.00000956,8.79991234,0.321858205560,0.955991699446,0.49411120,0.0000995790407094,0.000958800000,0.495070000000,1,101,2.64772269246,3.86551328524,knapsack: **1099** ; srd: **2336** ; bnb: **1527**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.63676279,132.814335919,148,10076,13204,5005,6,3276,knapsack: **197** ; bnb: **1532** ; Total: **1729**,0.00000956,8.79991234,0.319734436987,0.951182607302,0.49825408,0.0000995512647353,0.00100640000,0.49926048000,1,101,2.63816183816,3.85181425297,knapsack: **1106** ; srd: **2367** ; bnb: **1532**
