id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000953,0.00006753,0.0000675886524823,knapsack,1,0,2,0.00018047,22,22,760
1,0.00010100,0.00001419,0.00010060,0.000100638297872,knapsack,1,0,2,0.00003341,22,22,997
2,0.00329400,0.00002000,0.00010498,0.000181818181818,knapsack,1,0,1,,22,21,553
3,0.00410100,0.00001486,0.00010539,0.000105390070922,knapsack,1,0,2,0.00071414,21,21,1044
4,0.00329000,0.00000400,0.00002392,0.0000363636363636,knapsack,1,0,1,,21,20,-456
5,0.00319400,0.00001342,0.00006448,0.0000645192307692,srd,2,0,2,0.01577658,20,19,498
6,0.00040100,0.00001425,0.00010103,0.000101063829787,knapsack,1,0,2,0.00029889,19,19,1002
7,0.00262000,0.00001137,0.00008057,0.0000806382978723,knapsack,1,0,2,0.00065863,19,19,848
8,0.00100000,0.00002178,0.00010471,0.000104711538462,srd,2,0,2,2.99912682,19,18,1071
9,0.00650000,0.00001820,0.00008749,0.0000875000,knapsack,2,0,2,0.00006980,19,18,810
10,0.00014000,0.00000483,0.00003422,0.0000342553191489,knapsack,1,0,2,0.00003564,18,18,533
11,0.00310000,0.00000842,0.00005971,0.0000597163120567,knapsack,1,0,2,0.00018758,25,25,707
12,0.00010100,0.00002838,0.00020127,0.000201276595745,srd,1,0,2,0.00987062,26,26,1993
13,0.00113200,0.00002663,0.00013044,0.000150451977401,bnb,2,0,1,,26,24,755
14,0.00010200,0.00003141,0.00013783,0.000177457627119,knapsack,2,0,1,,24,22,774
15,0.00400000,0.00003939,0.00027934,0.000279361702128,srd,1,0,2,0.99596061,28,28,2766
16,0.00100000,0.00003200,0.00025222,0.000290909090909,bnb,1,0,1,,28,27,1460
17,0.00300000,0.00003562,0.00025260,0.000252624113475,knapsack,1,0,2,0.00027838,29,29,2502
18,0.00665800,0.00002680,0.00019006,0.000190070921986,srd,1,0,2,0.00331520,29,29,1883
19,0.00110000,0.00004427,0.00014830,0.000180693877551,knapsack,3,0,1,,29,26,1304
20,0.00090000,0.00002385,0.00016908,0.000169148936170,knapsack,1,0,2,0.00007615,26,26,1675
21,0.00110000,0.00004703,0.00018578,0.000191959183673,bnb,3,0,1,,26,23,1882
22,0.00209300,0.00002370,0.00016808,0.000169285714286,srd,1,0,2,1.99788330,23,23,1665
23,0.00332600,0.00002331,0.00016531,0.000165319148936,srd,1,0,2,0.00652131,23,23,1638
24,0.00424600,0.00002352,0.00016675,0.000166808510638,srd,1,0,2,0.00513048,23,23,1651
25,0.00333000,0.00003212,0.00022774,0.000227801418440,srd,1,0,2,2.99576470,23,23,2255
26,0.00200000,0.00006615,0.00025488,0.00027000,bnb,3,0,1,,23,20,3504
27,0.00337500,0.00003407,0.00024158,0.000241631205674,srd,1,0,2,0.00159093,20,20,2392
28,0.00300000,0.00002692,0.00019090,0.000190921985816,knapsack,1,0,2,0.00028828,20,20,1891
29,0.00294600,0.00001756,0.00012449,0.000124539007092,knapsack,1,0,2,0.00093644,20,20,1233
30,0.00332500,0.00002334,0.00016547,0.000165531914894,knapsack,1,0,2,0.00178214,21,21,1639
31,0.00332500,0.00004807,0.00020258,0.000271581920904,knapsack,2,0,1,,21,19,1968
32,0.00330000,0.00003154,0.00022367,0.000223687943262,knapsack,1,0,2,0.00318977,19,19,2215
33,0.00336300,0.00002605,0.00018471,0.000184751773050,srd,1,0,2,0.99257156,19,19,1830
34,0.00333400,0.00001869,0.00005433,0.0000543313953488,knapsack,4,2,2,0.00002766,22,19,-260
35,0.00030000,0.00001570,0.00011128,0.000111347517730,srd,1,0,2,4.99968430,19,19,1102
36,0.00300100,0.00002971,0.00021068,0.000210709219858,knapsack,1,0,2,0.00491429,19,19,2087
37,0.00332900,0.00001278,0.00004628,0.0000463043478261,knapsack,3,0,2,0.00001630,20,18,-115
38,0.00332700,0.00000320,0.00002268,0.0000226950354610,knapsack,1,0,2,0.00158409,18,18,455
39,0.00332700,0.00001301,0.00004712,0.0000471376811594,knapsack,3,0,2,0.00018052,18,16,-97
40,0.00322700,0.00002235,0.00015844,0.000158510638298,knapsack,1,0,2,0.00655065,16,16,1570
41,0.00332000,0.00004303,0.00030512,0.000305177304965,knapsack,1,0,2,0.00318762,16,16,3021
42,0.00198400,0.00004947,0.00035080,0.000350851063830,knapsack,1,0,2,0.00115415,17,17,3474
43,0.00322000,0.00005510,0.00039072,0.000390780141844,knapsack,1,0,2,0.00672490,17,17,3869
44,0.00505500,0.00008670,0.00061489,0.000614893617021,knapsack,1,0,2,0.00158320,19,19,6089
45,0.00105000,0.00014012,0.00099370,0.000993758865248,srd,1,0,2,0.02380988,20,20,9839
46,0.00020000,0.00013257,0.00094015,0.000940212765957,knapsack,1,0,2,0.00082158,20,20,9309
47,0.00086900,0.00013029,0.00092398,0.000924042553191,knapsack,1,0,2,0.00058391,20,20,9149
48,0.00020400,0.00013618,0.00096578,0.000965815602837,knapsack,1,0,2,0.00024373,21,21,9562
49,0.00322600,0.00013070,0.00092693,0.000926950354610,srd,1,0,2,2.99240800,21,21,9178
50,0.00334300,0.00013270,0.00094109,0.000941134751773,srd,1,0,2,0.03188223,21,21,9318
51,0.00668000,0.00011776,0.00083513,0.000835177304965,knapsack,1,0,2,0.00330224,21,21,8268
52,0.00332500,0.00012792,0.00090717,0.000907234042553,srd,1,0,2,0.98911864,21,21,8982
53,0.00332500,0.00007267,0.00051533,0.000515390070922,srd,1,0,2,1.99448563,21,21,5103
54,0.00332500,0.00004131,0.00029292,0.000292978723404,srd,1,0,2,0.98575233,21,21,2901
55,0.00332500,0.00004727,0.00033519,0.000335248226950,srd,1,0,2,3.99662773,21,21,3320
56,0.00300000,0.00008181,0.00039329,0.000393317307692,srd,2,0,2,0.01011819,21,20,5890
57,0.00332700,0.00007122,0.00050508,0.000505106382979,srd,1,0,2,0.00671997,20,20,5001
58,0.00332500,0.00007152,0.00050722,0.000507234042553,srd,1,0,2,0.00332345,20,20,5023
59,0.00300000,0.00007734,0.00054847,0.000548510638298,srd,1,0,2,0.02880489,20,20,5431
60,0.00332700,0.00007055,0.00050031,0.000500354609929,srd,1,0,2,0.01230245,20,20,4954
61,0.00332700,0.00010645,0.00050953,0.000601412429379,bnb,2,0,1,,20,18,7144
62,0.00332800,0.00006353,0.00045050,0.000450567375887,srd,1,0,2,2.98901647,18,18,4461
63,0.00332900,0.00013272,0.00063805,0.000638076923077,srd,2,0,2,0.00284052,18,17,9976
64,0.00333000,0.00013091,0.00092840,0.000928439716312,srd,1,0,2,0.01231567,17,17,9193
65,0.00332500,0.00012570,0.00089143,0.000891489361702,srd,1,0,2,0.00885175,17,17,8826
66,0.00332500,0.00008964,0.00063572,0.000635744680851,srd,1,0,2,0.00890103,17,17,6294
67,0.00333500,0.00005965,0.00042300,0.000423049645390,srd,1,0,2,0.00545710,17,17,4189
68,0.00332500,0.00005160,0.00036592,0.000365957446809,srd,1,0,2,0.00552443,17,17,3624
69,0.00332500,0.00007421,0.00035674,0.000356778846154,srd,2,0,2,1.99190800,17,16,5278
70,0.00300000,0.00006594,0.00046759,0.000467659574468,srd,1,0,2,1.98884206,16,16,4630
71,0.00321200,0.00006201,0.00043977,0.000439787234043,srd,1,0,2,0.00218309,16,16,4355
72,0.00200000,0.00006574,0.00046623,0.000466241134752,knapsack,1,0,2,0.00011735,17,17,4617
73,0.00320000,0.00007283,0.00051652,0.000516524822695,srd,1,0,2,1.98556923,17,17,5115
74,0.00332500,0.00010585,0.00042419,0.000432040816327,bnb,3,0,1,,17,14,6763
75,0.00330000,0.00006384,0.00045274,0.000452765957447,knapsack,1,0,2,0.00216059,14,14,4483
76,0.00339300,0.00007783,0.00055196,0.000551985815603,knapsack,1,0,2,0.02033905,14,14,5466
77,0.00332700,0.00010864,0.00077048,0.000770496453901,srd,1,0,2,2.98558083,14,14,7629
78,0.00334100,0.00010685,0.00075775,0.000757801418440,srd,1,0,2,4.99623645,14,14,7503
79,0.00332700,0.00012892,0.00091432,0.000914326241135,srd,1,0,2,0.01688313,14,14,9053
80,0.00332900,0.00013092,0.00092846,0.000928510638298,srd,1,0,2,3.99316781,15,15,9193
81,0.00932800,0.00011053,0.00078387,0.000783900709220,knapsack,1,0,2,0.00744460,15,15,7761
82,0.00333000,0.00016279,0.00115449,0.00115453900709,srd,1,0,2,3.98967502,16,16,11430
83,0.00332500,0.00020020,0.00141982,0.00141985815603,srd,1,0,2,4.99271125,16,16,14057
84,0.00332500,0.00029824,0.00143381,0.00143384615385,srd,2,0,2,0.98289809,16,15,23265
85,0.00300000,0.00018053,0.00128029,0.00128035460993,knapsack,1,0,2,0.00426407,15,15,12675
86,0.02047700,0.00016663,0.00118175,0.00118177304965,knapsack,1,0,2,0.00816126,15,15,11700
87,0.00172200,0.00017052,0.00120933,0.00120936170213,knapsack,1,0,2,0.00026807,15,15,11973
88,0.00265000,0.00016816,0.00119259,0.00119262411348,knapsack,1,0,2,0.00144591,16,16,11808
89,0.00333000,0.00016836,0.00119400,0.00119404255319,knapsack,1,0,2,0.00466290,16,16,11822
90,0.00332500,0.00018024,0.00127829,0.00127829787234,knapsack,1,0,2,0.00115766,16,16,12656
91,0.01500000,0.00017677,0.00125366,0.00125368794326,knapsack,1,0,2,0.00196323,17,17,12412
92,0.00100000,0.00014956,0.00106066,0.00106070921986,srd,1,0,2,0.98174853,17,17,10502
93,0.01000000,0.00016826,0.00119330,0.00119333333333,srd,1,0,2,0.97158027,17,17,11815
94,0.00200000,0.00039659,0.00190664,0.00190668269231,srd,2,0,2,0.00786107,20,19,31163
95,0.00200000,0.00025618,0.00181687,0.00181687943262,srd,1,0,2,0.02774382,19,19,17988
96,0.00200000,0.00012202,0.00086536,0.000865390070922,srd,1,0,2,1.98344721,22,22,8568
97,0.00100000,0.00009341,0.00066242,0.000667214285714,srd,1,0,2,0.01670659,22,22,6559
98,0.01500000,0.00009512,0.00067459,0.000674609929078,srd,1,0,2,0.01264870,25,25,6680
99,0.00200000,0.00010287,0.00072957,0.000729574468085,srd,1,0,2,0.01279713,25,25,7224
100,0.00200000,0.00008836,0.00062661,0.000626666666667,srd,1,0,2,0.96949191,25,25,6204
101,0.00457300,0.00009869,0.00069991,0.000699929078014,srd,1,0,2,0.00797701,25,25,6930
102,0.00200000,0.00010560,0.00074893,0.000748936170213,srd,1,0,2,0.00233758,35,35,7415
103,0.00300000,0.00026807,0.00131373,0.00151451977401,bnb,2,0,1,,37,35,19929
104,0.00100000,0.00007722,0.00062571,0.000702000,bnb,1,0,1,,39,38,4414
105,0.00300000,0.00011735,0.00063053,0.000662994350282,bnb,2,0,1,,38,36,7726
106,0.00152800,0.00008790,0.00062337,0.000623404255319,srd,1,0,2,0.00228410,37,37,6172
107,0.00210000,0.00008259,0.00058569,0.000585744680851,srd,1,0,2,0.01231741,41,41,5799
108,0.00100000,0.00005931,0.00042058,0.000420638297872,srd,1,0,2,0.00374069,44,44,4164
109,0.00492000,0.00008000,0.00045521,0.000727272727273,bnb,1,0,1,,46,45,5408
110,0.00110000,0.00006387,0.00048640,0.000580636363636,bnb,1,0,1,,47,46,3664
111,0.00050000,0.00005829,0.00041337,0.000413404255319,knapsack,1,0,2,0.00024171,47,47,4093
112,0.00413200,0.00005352,0.00037957,0.000379574468085,srd,1,0,2,0.00581448,49,49,3759
113,0.00310000,0.00005118,0.00036295,0.000362978723404,srd,1,0,2,0.00164882,49,49,3595
114,0.00536100,0.00004616,0.00032736,0.000327375886525,srd,1,0,2,0.00568443,52,52,3242
115,0.00100000,0.00004616,0.00032733,0.000327375886525,srd,1,0,2,0.00060266,52,52,3241
116,0.00370900,0.00005935,0.00032493,0.000335310734463,bnb,2,0,1,,53,51,3210
117,0.00013000,0.00005052,0.00035409,0.000459272727273,knapsack,1,0,1,,52,51,1786
118,0.00556800,0.00011643,0.00063632,0.00105845454545,bnb,1,0,1,,51,50,8290
119,0.00300000,0.00006000,0.00022654,0.000244897959184,bnb,3,0,1,,61,58,3008
120,0.00924800,0.00003915,0.00027762,0.000277659574468,srd,1,0,2,0.00741944,60,60,2749
121,0.00500000,0.00003758,0.00018105,0.000212316384181,bnb,2,0,1,,63,61,1637
122,0.00337500,0.00003142,0.00016091,0.000177514124294,bnb,2,0,1,,62,60,1106
123,0.00850000,0.00004585,0.00018036,0.000187142857143,bnb,3,0,1,,60,57,1787
124,0.00800000,0.00008834,0.00009499,0.0000957096424702,bnb,13,0,1,,58,45,-405
125,0.01000000,0.00003966,0.00006028,0.0000608282208589,bnb,9,0,1,,45,36,-2408
126,0.01500500,0.00003651,0.00013256,0.000149020408163,bnb,3,0,1,,36,33,1054
127,0.00200000,0.00002857,0.00020259,0.000202624113475,srd,1,0,2,1.98141864,33,33,2007
128,0.00134400,0.00002803,0.00019878,0.000198794326241,knapsack,1,0,2,0.00007388,33,33,1969
129,0.00321900,0.00002867,0.00020332,0.000203333333333,srd,1,0,2,0.00175233,34,34,2014
130,0.00610000,0.00001905,0.00006901,0.0000690217391304,knapsack,3,0,2,0.00005483,34,32,350
131,0.00610000,0.00001930,0.00006991,0.0000699275362319,knapsack,3,0,2,0.00001119,32,30,368
132,0.00634000,0.00004410,0.00016145,0.00018000,bnb,3,0,1,,30,27,1691
133,0.01100000,0.00001745,0.00006322,0.0000632246376812,knapsack,3,0,2,0.00001439,32,30,230
134,0.00275200,0.00001391,0.00009865,0.0000986524822695,knapsack,1,0,2,0.00023409,30,30,977
135,0.01000000,0.00002007,0.00002000,0.0000343664383562,bnb,8,0,1,,34,26,-3517
136,0.01000000,0.00002362,0.00011355,0.000113557692308,knapsack,2,0,2,0.00001540,26,25,1219
137,0.00200000,0.00002467,0.00017493,0.000174964539007,srd,1,0,2,0.00597533,27,27,1733
138,0.00170000,0.00002038,0.00014448,0.000144539007092,knapsack,1,0,2,0.00003195,27,27,1431
139,0.00160000,0.00002578,0.00018279,0.000182836879433,knapsack,1,0,2,0.00137422,27,27,1810
140,0.01299400,0.00002701,0.00019151,0.000191560283688,srd,1,0,2,4.97969024,30,30,1897
141,0.00200000,0.00003913,0.00018809,0.000188125000,knapsack,2,0,2,0.00003391,30,29,2464
142,0.00200000,0.00000434,0.00001572,0.0000157246376812,knapsack,3,0,2,0.00001106,31,29,-739
143,0.00044600,0.00001033,0.00007323,0.0000732624113475,knapsack,1,0,2,0.00024367,33,33,798
144,0.00210000,0.00001320,0.00006346,0.0000634615384615,knapsack,2,0,2,0.00013047,35,34,484
145,0.00925000,0.00003530,0.00010316,0.000112779552716,bnb,4,0,1,,34,30,376
146,0.00303500,0.00001452,0.00010291,0.000102978723404,srd,1,0,2,0.00974761,30,30,1020
147,0.00166400,0.00001678,0.00011895,0.000119007092199,knapsack,1,0,2,0.00111922,30,30,1178
148,0.00575300,0.00002098,0.00007261,0.0000856326530612,knapsack,3,0,1,,31,28,-473
149,0.00980100,0.00000480,0.00001638,0.0000195918367347,bnb,3,0,1,,28,25,-1629
150,0.00971900,0.00000668,0.00003210,0.0000321153846154,srd,2,0,2,0.00827432,26,25,58
151,0.05900000,0.00005005,0.00024062,0.000240625000,srd,2,0,2,4.92364019,32,31,3340
152,0.00200000,0.00003591,0.00025464,0.000254680851064,srd,1,0,2,0.00296409,33,33,2522
153,0.05000000,0.00002888,0.00020476,0.000204822695035,srd,1,0,2,0.00997112,33,33,2028
154,0.00997000,0.00003000,0.00019484,0.000272727272727,knapsack,1,0,1,,33,32,896
155,0.00320000,0.00003804,0.00026975,0.000269787234043,srd,1,0,2,0.96625387,36,36,2672
156,0.12100000,0.00007762,0.00008369,0.0000840953412784,bnb,13,0,1,,38,25,-1430
157,0.00356700,0.00000866,0.00006139,0.0000614184397163,knapsack,1,0,2,0.00122434,28,28,718
158,0.00084400,0.00000660,0.00004678,0.0000468085106383,knapsack,1,0,2,0.00037374,28,28,619
