id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,"['0.00329400', '0.01569000']"
6,['0.00071414']
7,['0.00329000']
8,"['3.00000000', '0.00014860']"
9,"['0.00329400', '0.00329400']"
10,['0.00018047']
11,['0.00329600']
12,['0.01000000']
13,"['0.00050000', '0.00065863']"
14,"['0.00010000', '0.00003341']"
15,['1.00000000']
16,['0.00103200']
17,['0.00331400']
18,['0.01000000']
19,"['0.00003564', '0.00100000', '0.00010863']"
20,['0.00100000']
21,"['0.00029889', '0.00027838', '0.00056976']"
22,['2.00000000']
23,['0.00987062']
24,['0.00940000']
25,['2.99912682']
26,"['0.00090000', '0.00007615', '0.00109000']"
27,['0.00500000']
28,['0.00331520']
29,['0.00390000']
30,['0.00513048']
31,"['0.00178214', '0.00159093']"
32,['0.00652131']
33,['0.99596061']
34,"['0.00318977', '0.00000200', '0.00018758', '0.00000100']"
35,['5.00000000']
36,['0.00794500']
37,"['0.00028828', '0.00006980', '0.00300000']"
38,['0.00491429']
39,"['0.00093644', '0.00100000', '0.00158409']"
40,['0.00980000']
41,['0.00655065']
42,['0.00318762']
43,['0.01000000']
44,['0.00672490']
45,['0.02500000']
46,['0.00115415']
47,['0.00158320']
48,['0.00058391']
49,['2.99576470']
50,['0.03535793']
51,['0.01010000']
52,['0.99257156']
53,['1.99788330']
54,['0.98911864']
55,['4.00000000']
56,"['0.01300000', '0.00020000']"
57,['0.01011819']
58,['0.00671997']
59,['0.03188223']
60,['0.01570000']
61,"['0.00011000', '0.00332345']"
62,['2.99240800']
63,"['0.00330224', '0.00300000']"
64,['0.01577658']
65,['0.01230245']
66,['0.01231567']
67,['0.00885175']
68,['0.00890103']
69,"['0.00082158', '1.99448563']"
70,['1.99190800']
71,['0.00545710']
72,['0.00218309']
73,['1.98884206']
74,"['0.00284052', '0.00034660', '0.00024373']"
75,['0.00552443']
76,['0.02380988']
77,['2.98901647']
78,['4.99968430']
79,['0.02033905']
80,['3.99662773']
81,['0.01688313']
82,['3.99316781']
83,['4.99623645']
84,"['0.00076900', '0.98575233']"
85,['0.00744460']
86,['0.02880489']
87,['0.00216059']
88,['0.00426407']
89,['0.00816126']
90,['0.00466290']
91,['0.01714000']
92,['0.98289809']
93,['0.98174853']
94,"['0.00910000', '0.00115766']"
95,['0.03000000']
96,['1.98556923']
97,['0.01780000']
98,['0.02774382']
99,['0.01490000']
100,['0.97158027']
101,['0.01264870']
102,['0.00444318']
103,"['0.00300000', '0.00026807']"
104,['0.00107722']
105,"['0.00011735', '0.00300000']"
106,['0.00390000']
107,['0.01450000']
108,['0.00480000']
109,['0.00500000']
110,['0.00116387']
111,['0.00080000']
112,['0.01000000']
113,['0.00480000']
114,['0.01109159']
115,['0.00164882']
116,"['0.00374069', '0.00002766']"
117,['0.00018052']
118,['0.00568443']
119,"['0.00200000', '0.00006000', '0.00100000']"
120,['0.01670659']
121,"['0.00233758', '0.00270000']"
122,"['0.00171142', '0.00169500']"
123,"['0.00200000', '0.00200000', '0.00454585']"
124,"['0.00040000', '0.00010000', '0.00006080', '0.00100000', '0.00008000', '0.00090000', '0.00091371', '0.00341677', '0.00024171', '0.00010000', '0.00060266', '0.00001630', '0.00025639']"
125,"['0.00120000', '0.00087643', '0.00100000', '0.00100000', '0.00100000', '0.00100000', '0.00100000', '0.00196323', '0.00100000']"
126,"['0.00786107', '0.00490000', '0.00228044']"
127,['1.98344721']
128,['0.00144591']
129,['0.00500000']
130,"['0.00110000', '0.00500000', '0.00007388']"
131,"['0.00090000', '0.00163049', '0.00360000']"
132,"['0.00290000', '0.00120000', '0.00228410']"
133,"['0.00300000', '0.00797701', '0.00005483']"
134,['0.00300000']
135,"['0.00100000', '0.00023409', '0.00001119', '0.00500000', '0.00049540', '0.00100000', '0.00001439', '0.00226500']"
136,"['0.00213902', '0.00790000']"
137,['0.00800000']
138,['0.00175233']
139,['0.00300000']
140,['4.99271125']
141,"['0.00069882', '0.00137422']"
142,"['0.00001540', '0.00100000', '0.00100000']"
143,['0.00070000']
144,"['0.00200000', '0.00024367']"
145,"['0.00003391', '0.00003195', '0.00741944', '0.00180000']"
146,['0.01279713']
147,['0.00280000']
148,"['0.00464370', '0.00111922', '0.00001106']"
149,"['0.00597533', '0.00013047', '0.00370000']"
150,"['0.00900000', '0.00900000']"
151,"['4.97969024', '0.00300000']"
152,['0.00500000']
153,['0.06000000']
154,['0.01000000']
155,['0.96949191']
156,"['0.03500000', '0.00500000', '0.00600000', '0.00290000', '0.00090000', '0.00296409', '0.00090000', '0.01680000', '0.00969612', '0.00500000', '0.01500000', '0.00860000', '0.01231741']"
157,['0.00480000']
158,['0.00122434']
159,['0.96625387']
160,"['0.00040000', '0.86623019']"
161,['3.98967502']
162,['0.00581448']
163,"['0.00037374', '0.00080678', '0.00263338', '0.00021000']"
164,['0.00592000']
165,['0.00600000']
166,['0.00084400']
167,['0.00700000']
168,"['0.00001752', '0.01000000']"
169,['0.00827432']
170,"['0.00040000', '0.00091463', '0.00725372', '0.00038000', '0.00098633', '0.00013354']"
171,['0.00398884']
172,['0.00261608']
173,['0.00800000']
174,"['0.00017000', '0.00349590', '0.00134370']"
175,"['0.00090000', '0.00963986']"
176,"['0.00010000', '0.00980000', '0.00033778']"
177,"['0.00100000', '0.00974761']"
178,"['0.00800000', '0.00024297', '0.00250000']"
179,['0.00500000']
180,['0.00469858']
181,['0.76660236']
182,"['0.00439067', '0.00880000']"
183,['0.02471042']
184,['1.98141864']
185,['0.00238698']
186,['0.00217167']
187,"['0.01000000', '0.00153725']"
188,['0.01439233']
189,"['0.00090000', '0.01000000', '0.00028719']"
190,['0.00500000']
191,['0.00298250']
192,"['0.00052118', '0.00170000', '0.00980000', '0.00010821']"
193,['1.97029963']
194,['0.01090000']
195,['0.05000000']
196,['0.01990000']
197,['2.98558083']
198,"['0.00028000', '0.00100000']"
199,"['0.00086462', '0.00434160', '0.00002712', '0.00880000', '0.00318000', '0.00180000']"
200,"['0.00200000', '0.00008096']"
201,['0.00886738']
202,"['0.00010000', '0.00014000']"
203,"['0.01000000', '2.98455890']"
204,['0.00400000']
205,"['0.00900000', '0.00006080', '0.00044827', '0.00090000', '0.00124386', '0.00050000', '0.00099000']"
206,['0.09990000']
207,['0.09980000']
208,['0.07024500']
209,['0.00180000']
210,['0.00070506']
211,['0.04000000']
212,"['0.00990000', '0.05900000', '0.02900000', '0.00229870']"
213,"['0.01000000', '0.75627457']"
214,['0.08572167']
215,"['0.04886101', '0.00039116', '0.00290000', '0.00900000', '0.01000000', '0.00390000']"
216,"['0.00005460', '0.01000000']"
217,"['0.05000000', '0.05000000', '0.00004281']"
218,['3.88963631']
219,"['0.00005460', '0.00019558']"
220,['0.00041304']
221,['4.92364019']
222,"['0.00020175', '0.02000000', '0.00298309', '0.00100000', '0.00969500', '0.00004660', '0.00006272']"
223,['0.00096700']
224,"['0.00193800', '0.00500000', '0.02400000']"
