Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18536350,34.8100000000,61,267,393,233,2,187,knapsack: **13** ; bnb: **33** ; Total: **46**,0.00001106,4.99968430,0.570647016578,1.24889779213,0.01349617,0.0000579234763948,0.000414800000,0.013910970000,1,13,1.68669527897,1.61636132889,knapsack: **103** ; srd: **97** ; bnb: **33**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90368349,72.2870000000,151,594,740,406,2,297,knapsack: **25** ; bnb: **84** ; Total: **109**,0.00001106,4.99968430,0.488115701515,1.13661472387,0.03164068,0.0000779327093596,0.00102680000,0.03266748000,1,13,1.82266009852,1.84807642879,knapsack: **131** ; srd: **191** ; bnb: **84**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25267729,108.122666667,250,961,1076,539,2,365,knapsack: **32** ; bnb: **142** ; Total: **174**,0.00001106,8.81973800,0.455436986192,1.15200333980,0.04192771,0.0000777879591837,0.00170000000,0.04362771000,1,14,1.99628942486,2.09619613840,knapsack: **169** ; srd: **228** ; bnb: **142**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.62891175,154.060500000,274,1316,1469,684,5,427,knapsack: **42** ; bnb: **215** ; Total: **257**,0.00001106,8.81973800,0.411108855035,1.10233238573,0.05291240,0.0000773573099415,0.00186320000,0.05477560000,1,14,2.14766081871,2.15575305649,knapsack: **208** ; srd: **261** ; bnb: **215**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.24763413,189.300000000,351,1682,1821,818,5,490,knapsack: **49** ; bnb: **279** ; Total: **328**,0.00001106,8.81973800,0.367216097939,1.03725898929,0.06672690,0.0000815732273839,0.00238680000,0.06911370000,1,20,2.22616136919,2.33203441494,knapsack: **226** ; srd: **313** ; bnb: **279**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.31768952,207.420333333,243,2008,2336,992,5,571,knapsack: **62** ; bnb: **359** ; Total: **421**,0.00001106,8.81973800,0.319324544641,0.968781042418,0.08511795,0.0000858043850806,0.00165240000,0.08677035000,1,20,2.35483870968,2.45424255790,knapsack: **277** ; srd: **356** ; bnb: **359**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33096630,217.243714286,237,2415,2788,1085,5,610,knapsack: **66** ; bnb: **409** ; Total: **475**,0.00001106,8.81973800,0.304025601082,0.940412204413,0.09742424,0.0000897919262673,0.00161160000,0.09903584000,1,144,2.56958525346,5.01859975118,knapsack: **292** ; srd: **384** ; bnb: **409**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.38931392,216.768500000,148,2818,3323,1182,5,653,knapsack: **69** ; bnb: **460** ; Total: **529**,0.00001106,8.81973800,0.295228517580,0.912576006493,0.10967195,0.0000927850676819,0.00100640000,0.11067835000,1,144,2.81133671743,6.47714199369,knapsack: **310** ; srd: **412** ; bnb: **460**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.25692700,211.422666667,152,3213,3773,1287,5,712,knapsack: **71** ; bnb: **504** ; Total: **575**,0.00001106,8.81973800,0.279887755281,0.877202962848,0.12923694,0.000100417202797,0.00103360000,0.13027054000,1,144,2.93162393162,6.36841831783,knapsack: **336** ; srd: **447** ; bnb: **504**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.66951948,206.351400000,190,3571,4176,1429,5,795,knapsack: **77** ; bnb: **557** ; Total: **634**,0.00001106,8.81973800,0.266726323748,0.854764939943,0.14351703,0.000100431791463,0.00129200000,0.14480903000,1,144,2.92232330301,6.11413260959,knapsack: **369** ; srd: **503** ; bnb: **557**
