id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.01569000']
7,['0.00329400']
8,['0.00329400']
9,"['0.00227923', '0.00331400', '0.00071414', '0.00008690', '0.00014860']"
10,['0.00018047']
11,['0.00329400']
12,['0.00066263']
13,['3.00000000']
14,"['0.00010000', '0.00003341']"
15,['0.01527475']
16,['0.00103200']
17,['0.00500000']
18,['5.00000000']
19,"['0.00050000', '0.00010863', '0.00053325']"
20,['0.00100000']
21,['0.01123536']
22,['0.01010916']
23,"['0.00000100', '0.00007615', '0.00329600']"
24,['0.01000000']
25,['1.00000000']
26,['0.01010000']
27,['0.00799246']
28,['0.00573048']
29,"['0.00109000', '0.00100000', '0.00090000', '0.00000200']"
30,['2.00000000']
31,['1.99665166']
32,['0.00390000']
33,['0.00794500']
34,"['0.00056846', '0.00270356', '0.00018558']"
35,['0.00056976']
36,['4.00000000']
37,"['0.00003564', '0.00025406', '0.00010860', '0.00100000', '0.00196438']"
38,['0.00455595']
39,"['0.00122575', '0.00300000']"
40,['0.00458339']
41,['0.00806406']
42,['0.00940000']
43,['0.00470103']
44,['0.00736653']
45,['0.00133404']
46,['0.00088894']
47,['0.00142593']
48,['0.00042664']
49,['0.01300000']
50,['0.02500000']
51,['0.00964330']
52,['0.01000000']
53,['0.02152430']
54,"['0.00055637', '0.00284554']"
55,['0.00654708']
56,"['0.00008646', '0.00300000']"
57,['0.03535793']
58,['4.99331520']
59,['0.01570000']
60,['0.00980000']
61,['0.01000000']
62,['0.03195971']
63,['0.00660115']
64,"['0.00034660', '0.00317481']"
65,"['3.99696929', '0.00222483']"
66,['0.00640245']
67,['1.99329809']
68,['0.01812663']
69,"['0.00318218', '1.98990344']"
70,['0.02856818']
71,['1.98968641']
72,['0.00298781']
73,['0.01262266']
74,['0.00934983']
75,['0.00596501']
76,['2.99884960']
77,['0.02550224']
78,"['4.98991868', '0.00020000']"
79,['0.02206660']
80,['0.01475003']
81,['0.01129011']
82,"['0.01861068', '0.00185158']"
83,['2.99537877']
84,['1.98641240']
85,['4.98662006']
86,['1.98288523']
87,['0.00260117']
88,['0.01689212']
89,['0.00910000']
90,['0.00560164']
91,['3.99568370']
92,['1.96224160']
93,['0.01407396']
94,"['2.99185357', '0.00209640']"
95,['0.99663788']
96,['0.00300000']
97,['0.99438170']
98,['0.01714000']
99,['4.98343953']
100,"['0.00087798', '0.00204488']"
101,['0.01780000']
102,['0.00480000']
103,['1.96109204']
104,['0.00107722']
105,['0.00390570']
106,['0.00500000']
107,['0.01312831']
108,['0.01094572']
109,['0.00500000']
110,['0.00116387']
111,['0.00070865']
112,"['0.00300000', '0.00120000']"
113,['0.00444318']
114,['0.00800000']
115,['0.00790000']
116,['3.98050693']
117,['0.00100000']
118,"['0.00300000', '0.00269440']"
119,['0.00370000']
120,['0.01450000']
121,"['0.00040000', '0.00454585', '0.00010000']"
122,"['0.00169500', '0.00171142']"
123,"['0.00092207', '0.00076900', '0.00685384']"
124,"['0.00006080', '0.00025639', '0.00014392', '0.00082007', '0.00006000', '0.00015036', '0.00079252', '0.00087643', '0.00001461', '0.00480000', '0.00010000']"
125,"['0.00100000', '0.00100000', '0.00300000', '0.00129200', '0.00008000', '0.00066805', '0.00100000', '0.00100000', '0.00100000']"
126,"['0.00341677', '0.00800000', '0.00163049', '0.00200000']"
127,"['0.00200000', '0.00259284']"
128,['0.03000000']
129,"['0.00270000', '3.97675211']"
130,"['0.00081679', '0.00110000', '0.00120000', '0.00011000', '0.00290000']"
131,"['0.00521285', '0.00090000']"
132,"['0.00200000', '0.00338410', '0.00100000']"
133,"['0.00255070', '0.00464370', '0.00390000']"
134,"['0.00007695', '0.00091371', '0.00080000', '0.00100000']"
135,"['0.00049540', '0.00592000', '0.00360000']"
136,"['0.03500000', '0.00500000']"
137,['0.00213902']
138,['0.01109159']
139,['0.01490000']
140,"['0.00226500', '0.00988641', '0.00090000']"
141,"['0.00100000', '3.97619081']"
142,"['0.00000988', '0.00100000', '0.00100000']"
143,['0.00069882']
144,"['0.00200000', '0.00011435']"
145,"['0.00600000', '0.00228044', '0.00100000']"
146,['0.00880000']
147,['0.00180000']
148,"['0.00300000', '0.00280000']"
149,"['0.00011922', '0.00575048', '0.00024249', '0.00070000', '0.00300000']"
150,"['0.00003189', '0.00490000', '0.00480000']"
151,"['0.01000000', '2.99155338', '0.00937121']"
152,['2.95185817']
153,['3.97515168']
154,['0.01000000']
155,['0.00500000']
156,"['0.00263338', '0.00090000', '0.00880000', '0.01680000', '0.00600000', '0.01327422', '0.00090000', '0.00860000', '0.00500000', '0.00900000', '0.02997638', '0.00980000', '0.00900000', '0.00040000']"
157,"['0.00176196', '0.00290000']"
158,['0.00108219']
159,"['0.01000000', '2.94982226']"
160,"['0.04000000', '0.00500000', '0.05900000']"
161,"['4.98133666', '0.02000000', '0.03300000', '0.00500000']"
162,"['0.00396307', '0.00084400', '0.00023159']"
163,['0.00700000']
164,['0.00963986']
165,"['0.00002359', '0.00463449', '0.00038000']"
166,['0.00299738']
167,['0.00800000']
168,"['0.00021000', '0.00969612', '0.00017000']"
169,['0.01000000']
170,"['0.01000000', '0.00005587']"
171,"['0.00100000', '0.00040000']"
172,['0.00228692']
173,['0.00498884']
174,"['0.00001132', '0.00500000']"
175,"['0.00090000', '0.00897940', '0.00048474']"
176,"['0.01000000', '0.00010000', '0.00016138']"
177,"['0.00101454', '0.00980000']"
178,"['0.01000000', '0.00250000']"
179,['0.00030990']
180,['0.00186641']
181,['4.93924222']
182,"['0.01000000', '0.00155850']"
183,['4.92891443']
184,['0.05000000']
185,['0.00075481']
186,['0.00500000']
187,"['0.00436558', '0.01000000']"
188,"['0.01000000', '0.00334951', '0.00090000']"
189,['0.01500000']
190,['0.00389681']
191,['0.01000000']
192,"['0.00187931', '0.00013945', '0.00170000', '0.00053950', '0.00788212']"
193,['0.03000000']
194,['0.01090000']
195,['0.00180000']
196,['3.92512280']
197,['0.05000000']
198,"['0.00100000', '0.00028000']"
199,['0.01898191']
200,"['0.00200000', '0.00002593']"
201,['0.00886738']
202,['0.01000000']
203,"['0.02310000', '0.00044827', '0.00318000', '0.00099000']"
204,['0.06000000']
205,"['0.00090000', '0.00124386', '0.00066101', '0.00978005', '0.00005072', '0.00050000']"
206,['3.90956440']
207,['0.06000000']
208,['0.01000000']
209,['0.00180000']
210,['0.00070506']
211,"['0.01000000', '0.07024500']"
212,"['0.00229870', '0.05898309', '0.03888099']"
213,['0.04592167']
214,['0.01990000']
215,"['0.05000000', '0.00006080', '0.02400000', '0.00097600']"
216,"['0.00039116', '0.00001281', '0.00900000', '0.00010000', '0.00005460', '0.00000769', '0.00041304', '0.00005460']"
217,"['0.00014000', '0.09990000']"
218,['0.05000000']
219,['0.00193800']
220,['0.00173557']
221,"['0.00969500', '0.09980000', '0.00019558', '0.01467168']"
222,"['0.00096700', '0.02900000', '0.00400000']"
