id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000953,0.00006753,0.0000675886524823,knapsack,1,0,2,0.00018047,22,22,760
1,0.00010100,0.00001419,0.00010060,0.000100638297872,knapsack,1,0,2,0.00003341,22,22,997
2,0.00329400,0.00002000,0.00010498,0.000181818181818,knapsack,1,0,1,,22,21,553
3,0.00410100,0.00001486,0.00010539,0.000105390070922,knapsack,1,0,2,0.00071414,21,21,1044
4,0.00329000,0.00000400,0.00002392,0.0000363636363636,knapsack,1,0,1,,21,20,-456
5,0.00319400,0.00001342,0.00006448,0.0000645192307692,srd,2,0,2,1.99697305,20,19,498
6,0.00040100,0.00001425,0.00010103,0.000101063829787,knapsack,1,0,2,0.00029889,19,19,1002
7,0.00262000,0.00001137,0.00008057,0.0000806382978723,knapsack,1,0,2,0.00065863,19,19,848
8,0.00100000,0.00001477,0.00010471,0.000104751773050,srd,1,0,2,0.99898523,19,19,1038
9,0.00650000,0.00001820,0.00008749,0.0000875000,knapsack,2,0,2,0.00006980,20,19,810
10,0.00014000,0.00000860,0.00003422,0.0000781818181818,knapsack,1,0,1,,19,18,-71
11,0.00310000,0.00000842,0.00005971,0.0000597163120567,knapsack,1,0,2,0.00018558,25,25,707
12,0.00010100,0.00002838,0.00020127,0.000201276595745,srd,1,0,2,0.00781562,26,26,1993
13,0.00113200,0.00002663,0.00013044,0.000150451977401,bnb,2,0,1,,26,24,755
14,0.00010200,0.00003141,0.00013783,0.000177457627119,knapsack,2,0,1,,24,22,774
15,0.00400000,0.00003939,0.00027934,0.000279361702128,srd,1,0,2,0.00377623,28,28,2766
16,0.00100000,0.00003200,0.00025222,0.000290909090909,bnb,1,0,1,,28,27,1460
17,0.00300000,0.00003562,0.00025260,0.000252624113475,knapsack,1,0,2,0.00026038,29,29,2502
18,0.00665800,0.00002680,0.00019006,0.000190070921986,srd,1,0,2,0.01831520,29,29,1883
19,0.00110000,0.00002092,0.00014830,0.000148368794326,srd,1,0,2,0.00387908,29,29,1469
20,0.00090000,0.00002385,0.00016908,0.000169148936170,knapsack,1,0,2,0.00007615,29,29,1675
21,0.00110000,0.00004595,0.00018578,0.000187551020408,bnb,3,0,1,,29,26,1774
22,0.00209300,0.00002370,0.00016808,0.000168085106383,srd,1,0,2,0.99686853,26,26,1665
23,0.00332600,0.00002331,0.00016531,0.000165319148936,srd,1,0,2,0.00055069,26,26,1638
24,0.00424600,0.00002352,0.00016675,0.000166808510638,srd,1,0,2,0.01143048,26,26,1651
25,0.00333000,0.00003212,0.00022774,0.000227801418440,srd,1,0,2,3.99663788,26,26,2255
26,0.00200000,0.00003594,0.00025488,0.000254893617021,srd,1,0,2,0.00796406,26,26,2525
27,0.00337500,0.00004763,0.00024158,0.000269096045198,bnb,2,0,1,,26,24,2388
28,0.00300000,0.00002692,0.00019090,0.000190921985816,srd,1,0,2,0.00697308,24,24,1891
29,0.00294600,0.00006072,0.00012449,0.000135535714286,knapsack,6,1,1,,24,18,1083
30,0.00332500,0.00002334,0.00016547,0.000165531914894,knapsack,1,0,2,0.00042789,19,19,1639
31,0.00332500,0.00002857,0.00020258,0.000202624113475,knapsack,1,0,2,0.00052551,19,19,2006
32,0.00330000,0.00003154,0.00022367,0.000223687943262,knapsack,1,0,2,0.00364154,19,19,2215
33,0.00336300,0.00002605,0.00018471,0.000184751773050,knapsack,1,0,2,0.00025249,19,19,1830
34,0.00333400,0.00000767,0.00005433,0.0000543971631206,knapsack,1,0,2,0.00462239,22,22,670
35,0.00030000,0.00001570,0.00011128,0.000111347517730,knapsack,1,0,2,0.00011219,22,22,1102
36,0.00300100,0.00002971,0.00021068,0.000210709219858,knapsack,1,0,2,0.00159168,22,22,2087
37,0.00332900,0.00001593,0.00004628,0.0000463081395349,knapsack,4,1,2,0.00002175,23,20,-480
38,0.00332700,0.00000781,0.00002268,0.0000227034883721,knapsack,4,0,2,0.00008127,20,17,-1120
39,0.00332700,0.00000665,0.00004712,0.0000471631205674,knapsack,1,0,2,0.00606635,17,17,621
40,0.00322700,0.00002235,0.00015844,0.000158510638298,knapsack,1,0,2,0.00281700,17,17,1570
41,0.00332000,0.00004303,0.00030512,0.000305177304965,srd,1,0,2,0.00673697,17,17,3021
42,0.00198400,0.00004947,0.00035080,0.000350851063830,knapsack,1,0,2,0.00078353,18,18,3474
43,0.00322000,0.00005510,0.00039072,0.000390780141844,knapsack,1,0,2,0.00346187,18,18,3869
44,0.00505500,0.00008670,0.00061489,0.000614893617021,knapsack,1,0,2,0.00465830,20,20,6089
45,0.00105000,0.00014012,0.00099370,0.000993758865248,srd,1,0,2,0.01712508,21,21,9839
46,0.00020000,0.00013257,0.00094015,0.000940212765957,knapsack,1,0,2,0.00021812,21,21,9309
47,0.00086900,0.00013029,0.00092398,0.000924042553191,srd,1,0,2,0.00365901,21,21,9149
48,0.00020400,0.00013618,0.00096578,0.000965815602837,srd,1,0,2,0.01678490,22,22,9562
49,0.00322600,0.00013070,0.00092693,0.000926950354610,srd,1,0,2,3.99328118,22,22,9178
50,0.00334300,0.00011887,0.00094109,0.00108063636364,bnb,1,0,1,,22,21,7254
51,0.00668000,0.00028901,0.00083513,0.000923354632588,knapsack,4,0,1,,21,17,20084
52,0.00332500,0.00012792,0.00090717,0.000907234042553,knapsack,1,0,2,0.00654708,17,17,8982
53,0.00332500,0.00007267,0.00051533,0.000515390070922,knapsack,1,0,2,0.00314941,17,17,5103
54,0.00332500,0.00004131,0.00029292,0.000292978723404,srd,1,0,2,0.99350222,17,17,2901
55,0.00332500,0.00004727,0.00033519,0.000335248226950,srd,1,0,2,0.01341263,17,17,3320
56,0.00300000,0.00005546,0.00039329,0.000393333333333,knapsack,1,0,2,0.00009395,17,17,3895
57,0.00332700,0.00007122,0.00050508,0.000505106382979,knapsack,1,0,2,0.00803226,17,17,5001
58,0.00332500,0.00007152,0.00050722,0.000507234042553,knapsack,1,0,2,0.00463574,17,17,5023
59,0.00300000,0.00007734,0.00054847,0.000548510638298,knapsack,1,0,2,0.00155840,17,17,5431
60,0.00332700,0.00007055,0.00050031,0.000500354609929,srd,1,0,2,0.03196038,17,17,4954
61,0.00332700,0.00007185,0.00050953,0.000509574468085,srd,1,0,2,1.99357420,17,17,5045
62,0.00332800,0.00009371,0.00045050,0.000450528846154,srd,2,0,2,0.02861994,17,16,6845
63,0.00332900,0.00008997,0.00063805,0.000638085106383,srd,1,0,2,0.00958103,16,16,6317
64,0.00333000,0.00013091,0.00092840,0.000928439716312,knapsack,1,0,2,0.00612012,16,16,9193
65,0.00332500,0.00012570,0.00089143,0.000891489361702,knapsack,1,0,2,0.00266942,16,16,8826
66,0.00332500,0.00008964,0.00063572,0.000635744680851,srd,1,0,2,3.98986654,16,16,6294
67,0.00333500,0.00005965,0.00042300,0.000423049645390,srd,1,0,2,0.01229535,16,16,4189
68,0.00332500,0.00005160,0.00036592,0.000365957446809,srd,1,0,2,1.99019760,16,16,3624
69,0.00332500,0.00005031,0.00035674,0.000356808510638,srd,1,0,2,0.00892004,16,16,3532
70,0.00300000,0.00009726,0.00046759,0.000467596153846,srd,2,0,2,0.99307438,16,15,7130
71,0.00321200,0.00009148,0.00043977,0.000439807692308,srd,2,0,2,0.01166755,15,14,6666
72,0.00200000,0.00006574,0.00046623,0.000466241134752,srd,1,0,2,0.00685430,15,15,4617
73,0.00320000,0.00007283,0.00051652,0.000516524822695,knapsack,1,0,2,0.00358147,15,15,5115
74,0.00332500,0.00005982,0.00042419,0.000424255319149,knapsack,1,0,2,0.00019665,15,15,4200
75,0.00330000,0.00006384,0.00045274,0.000452765957447,knapsack,1,0,2,0.00830371,15,15,4483
76,0.00339300,0.00007783,0.00055196,0.000551985815603,knapsack,1,0,2,0.00483288,15,15,5466
77,0.00332700,0.00010864,0.00077048,0.000770496453901,knapsack,1,0,2,0.00139724,15,15,7629
78,0.00334100,0.00015762,0.00075775,0.000757788461538,srd,2,0,2,0.98966971,15,14,11976
79,0.00332700,0.00012892,0.00091432,0.000914326241135,srd,1,0,2,1.98674168,14,14,9053
80,0.00332900,0.00013092,0.00092846,0.000928510638298,srd,1,0,2,3.98640662,15,15,9193
81,0.00932800,0.00011053,0.00078387,0.000783900709220,knapsack,1,0,2,0.01918141,15,15,7761
82,0.00333000,0.00016279,0.00115449,0.00115453900709,srd,1,0,2,4.99650721,16,16,11430
83,0.00332500,0.00029533,0.00141982,0.00141985576923,srd,2,0,2,0.98704938,16,15,23032
84,0.00332500,0.00020217,0.00143381,0.00143382978723,knapsack,1,0,2,0.00557283,15,15,14195
85,0.00300000,0.00026631,0.00128029,0.00128033653846,srd,2,0,2,0.98456660,15,14,20701
86,0.02047700,0.00016663,0.00118175,0.00118177304965,srd,1,0,2,2.97935637,14,14,11700
87,0.00172200,0.00017052,0.00120933,0.00120936170213,srd,1,0,2,2.97746385,14,14,11973
88,0.00265000,0.00016816,0.00119259,0.00119262411348,knapsack,1,0,2,0.00275467,15,15,11808
89,0.00333000,0.00016836,0.00119400,0.00119404255319,srd,1,0,2,2.97396549,15,15,11822
90,0.00332500,0.00018024,0.00127829,0.00127829787234,srd,1,0,2,2.97046025,15,15,12656
91,0.01500000,0.00017677,0.00125366,0.00125368794326,knapsack,1,0,2,0.00196323,16,16,12412
92,0.00100000,0.00014956,0.00106066,0.00106070921986,srd,1,0,2,0.98341704,16,16,10502
93,0.01000000,0.00016826,0.00119330,0.00119333333333,knapsack,1,0,2,0.00901315,16,16,11815
94,0.00200000,0.00026884,0.00190664,0.00190666666667,srd,1,0,2,2.96819141,19,19,18877
95,0.00200000,0.00025618,0.00181687,0.00181687943262,srd,1,0,2,1.98448550,19,19,17988
96,0.00200000,0.00012202,0.00086536,0.000865390070922,srd,1,0,2,0.01567798,22,22,8568
97,0.00100000,0.00013779,0.00066242,0.000662451923077,srd,2,0,2,0.00183500,22,21,10384
98,0.01500000,0.00009512,0.00067459,0.000674609929078,srd,1,0,2,3.97131150,24,24,6680
99,0.00200000,0.00010287,0.00072957,0.000729574468085,srd,1,0,2,0.98131417,24,24,7224
100,0.00200000,0.00008836,0.00062661,0.000626666666667,srd,1,0,2,4.99441885,24,24,6204
101,0.00457300,0.00009869,0.00069991,0.000699929078014,srd,1,0,2,2.96351972,24,24,6930
102,0.00200000,0.00010560,0.00074893,0.000748936170213,srd,1,0,2,0.01279440,34,34,7415
103,0.00300000,0.00018524,0.00131373,0.00131375886525,srd,1,0,2,0.01249274,36,36,13007
104,0.00100000,0.00007722,0.00062571,0.000702000,bnb,1,0,1,,40,39,4414
105,0.00300000,0.00008891,0.00063053,0.000630567375887,srd,1,0,2,0.00970549,39,39,6243
106,0.00152800,0.00008790,0.00062337,0.000623404255319,srd,1,0,2,0.00138410,40,40,6172
107,0.00210000,0.00008259,0.00058569,0.000585744680851,srd,1,0,2,1.98230291,44,44,5799
108,0.00100000,0.00005931,0.00042058,0.000420638297872,srd,1,0,2,0.02894069,47,47,4164
109,0.00492000,0.00006419,0.00045521,0.000455248226950,srd,1,0,2,0.00402896,49,49,4508
110,0.00110000,0.00006387,0.00048640,0.000580636363636,bnb,1,0,1,,51,50,3664
111,0.00050000,0.00005829,0.00041337,0.000413404255319,srd,1,0,2,0.00914720,51,51,4093
112,0.00413200,0.00006800,0.00037957,0.000384180790960,bnb,2,0,1,,53,51,3845
113,0.00310000,0.00005118,0.00036295,0.000362978723404,srd,1,0,2,0.01134882,51,51,3595
114,0.00536100,0.00004616,0.00032736,0.000327375886525,srd,1,0,2,3.96590434,54,54,3242
115,0.00100000,0.00004616,0.00032733,0.000327375886525,srd,1,0,2,0.00685384,54,54,3241
116,0.00370900,0.00004582,0.00032493,0.000324964539007,srd,1,0,2,1.97854809,55,55,3218
117,0.00013000,0.00006665,0.00035409,0.000605909090909,knapsack,1,0,1,,56,55,3399
118,0.00556800,0.00012921,0.00063632,0.00073000,bnb,2,0,1,,55,53,8888
119,0.00300000,0.00004660,0.00022654,0.000263276836158,bnb,2,0,1,,64,62,2348
120,0.00924800,0.00006924,0.00027762,0.000282612244898,bnb,3,0,1,,64,61,3717
121,0.00500000,0.00004490,0.00018105,0.000183265306122,bnb,3,0,1,,64,61,1689
122,0.00337500,0.00003142,0.00016091,0.000177514124294,bnb,2,0,1,,62,60,1106
123,0.00850000,0.00004585,0.00018036,0.000187142857143,bnb,3,0,1,,60,57,1787
124,0.00800000,0.00009457,0.00009499,0.0000955252525253,bnb,14,0,1,,58,44,-462
125,0.01000000,0.00003449,0.00006028,0.0000668410852713,bnb,7,0,1,,44,37,-1565
126,0.01500500,0.00004220,0.00013256,0.000134824281150,bnb,4,0,1,,37,33,943
127,0.00200000,0.00002857,0.00020259,0.000202624113475,srd,1,0,2,0.00482527,33,33,2007
128,0.00134400,0.00002803,0.00019878,0.000200214285714,srd,1,0,2,0.03362797,33,33,1969
129,0.00321900,0.00002867,0.00020332,0.000203333333333,srd,1,0,2,0.00475233,34,34,2014
130,0.00610000,0.00001905,0.00006901,0.0000690217391304,knapsack,3,0,2,0.00012413,34,32,350
131,0.00610000,0.00002413,0.00006991,0.0000984897959184,knapsack,3,0,1,,32,29,-138
132,0.00634000,0.00002277,0.00016145,0.000161489361702,srd,1,0,2,0.02726520,29,29,1599
133,0.01100000,0.00000892,0.00006322,0.0000632624113475,knapsack,1,0,2,0.00008267,34,34,730
134,0.00275200,0.00002052,0.00009865,0.0000986538461538,knapsack,2,0,2,0.00010442,34,33,968
135,0.01000000,0.00001236,0.00002000,0.0000394888178914,bnb,4,0,1,,37,33,-1568
136,0.01000000,0.00002896,0.00011355,0.000118204081633,bnb,3,0,1,,33,30,379
137,0.00200000,0.00002467,0.00017493,0.000174964539007,knapsack,1,0,2,0.00011435,32,32,1733
138,0.00170000,0.00002038,0.00014448,0.000144539007092,knapsack,1,0,2,0.00054462,32,32,1431
139,0.00160000,0.00002578,0.00018279,0.000182836879433,srd,1,0,2,3.96427856,32,32,1810
140,0.01299400,0.00005364,0.00019151,0.000218938775510,knapsack,3,0,1,,35,32,1925
141,0.00200000,0.00002653,0.00018809,0.000188156028369,srd,1,0,2,0.00287347,32,32,1864
142,0.00200000,0.00000434,0.00001572,0.0000157246376812,knapsack,3,0,2,0.00003568,34,32,-739
143,0.00044600,0.00001033,0.00007323,0.0000732624113475,knapsack,1,0,2,0.00024367,36,36,798
144,0.00210000,0.00001435,0.00006346,0.0000810734463277,knapsack,2,0,1,,38,36,-389
145,0.00925000,0.00002935,0.00010316,0.000119795918367,knapsack,3,0,1,,36,33,141
146,0.00303500,0.00001452,0.00010291,0.000102978723404,knapsack,1,0,2,0.00065048,33,33,1020
147,0.00166400,0.00001678,0.00011895,0.000119007092199,knapsack,1,0,2,0.00011922,33,33,1178
148,0.00575300,0.00002047,0.00007261,0.000115649717514,bnb,2,0,1,,34,32,382
149,0.00980100,0.00000453,0.00001638,0.0000164130434783,knapsack,3,0,2,0.00006602,32,30,-724
150,0.00971900,0.00000668,0.00003210,0.0000321153846154,knapsack,2,0,2,0.00007432,31,30,58
151,0.05900000,0.00008021,0.00024062,0.000256261980831,bnb,4,0,1,,37,33,4290
152,0.00200000,0.00003591,0.00025464,0.000254680851064,srd,1,0,2,0.00676409,35,35,2522
153,0.05000000,0.00002888,0.00020476,0.000204822695035,srd,1,0,2,4.94438997,35,35,2028
154,0.00997000,0.00003000,0.00019484,0.000272727272727,knapsack,1,0,1,,35,34,896
155,0.00320000,0.00003804,0.00026975,0.000269787234043,srd,1,0,2,1.97531005,38,38,2672
156,0.12100000,0.00010331,0.00008369,0.0000865242881072,knapsack,17,0,1,,40,23,-1841
157,0.00356700,0.00001277,0.00006139,0.0000613942307692,knapsack,2,0,2,0.00007071,26,25,456
158,0.00084400,0.00000660,0.00004678,0.0000468085106383,knapsack,1,0,2,0.00004940,25,25,619
