Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18520516,32.1780000000,52,267,401,233,2,186,knapsack: **20** ; bnb: **27** ; Total: **47**,0.00001632,4.99650721,0.574186024516,1.26385505993,0.01365451,0.0000586030472103,0.000353600000,0.014008110000,1,17,1.72103004292,1.69286911219,knapsack: **108** ; srd: **98** ; bnb: **27**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90313491,64.7570000000,136,594,754,406,2,296,knapsack: **29** ; bnb: **81** ; Total: **110**,0.00001632,4.99650721,0.498361904088,1.18292479413,0.03218926,0.0000792838916256,0.000924800000,0.033114060000,1,17,1.85714285714,1.88281001298,knapsack: **135** ; srd: **190** ; bnb: **81**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25180756,97.8380000000,226,961,1100,539,2,365,knapsack: **36** ; bnb: **138** ; Total: **174**,0.00001520,4.99650721,0.418412294685,1.08107334306,0.04279744,0.0000794015584416,0.00153680000,0.04433424000,1,17,2.04081632653,2.15612813898,knapsack: **176** ; srd: **225** ; bnb: **138**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.62786984,138.243500000,236,1316,1509,684,5,429,knapsack: **45** ; bnb: **210** ; Total: **255**,0.00001520,9.87294773,0.409528010163,1.19664109644,0.05395431,0.0000788805701754,0.00160480000,0.05555911000,1,17,2.20614035088,2.28942895388,knapsack: **216** ; srd: **258** ; bnb: **210**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.24662892,169.628400000,324,1682,1850,818,5,492,knapsack: **50** ; bnb: **276** ; Total: **326**,0.00001520,9.87294773,0.382393377967,1.20298824705,0.06773211,0.0000828020904645,0.00220320000,0.06993531000,1,17,2.26161369193,2.36767673234,knapsack: **234** ; srd: **308** ; bnb: **276**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.31709699,187.179000000,242,2008,2350,992,5,584,knapsack: **59** ; bnb: **349** ; Total: **408**,0.00001520,9.87294773,0.357317351729,1.19862696497,0.08571048,0.0000864016935484,0.00164560000,0.08735608000,1,19,2.36895161290,2.48242331997,knapsack: **277** ; srd: **366** ; bnb: **349**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33064443,200.515428571,273,2415,2762,1085,5,620,knapsack: **68** ; bnb: **397** ; Total: **465**,0.00001520,9.87294773,0.349623987484,1.18197901683,0.09774611,0.0000900885806452,0.00185640000,0.09960251000,1,109,2.54562211982,4.14886634864,knapsack: **299** ; srd: **389** ; bnb: **397**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.38956525,204.959000000,156,2818,3334,1182,5,672,knapsack: **71** ; bnb: **439** ; Total: **510**,0.00001520,9.87294773,0.337947433452,1.13960027976,0.10942062,0.0000925724365482,0.00106080000,0.11048142000,1,160,2.82064297800,6.55155909668,knapsack: **315** ; srd: **428** ; bnb: **439**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.25766008,201.628000000,165,3213,3779,1287,5,731,knapsack: **73** ; bnb: **483** ; Total: **556**,0.00001520,9.87294773,0.318147852476,1.09589740915,0.12850386,0.0000998475990676,0.00112200000,0.12962586000,1,160,2.93628593629,6.42705059511,knapsack: **340** ; srd: **464** ; bnb: **483**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.66888486,197.878600000,178,3571,4204,1429,5,811,knapsack: **81** ; bnb: **537** ; Total: **618**,0.00001280,9.87294773,0.302119958483,1.04623786002,0.14415165,0.000100875892232,0.00121040000,0.14536205000,1,160,2.94191742477,6.17815451730,knapsack: **380** ; srd: **512** ; bnb: **537**
