id,input_amounts
0,['0.00329000']
1,['2.00000000']
2,['4.00000000']
3,['0.00483000']
4,"['0.00011747', '0.00329000']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,"['0.00331400', '0.00023909', '0.00014860']"
9,"['0.00329400', '0.00794500']"
10,['1.00000000']
11,"['0.00064468', '0.00264845']"
12,"['0.00008310', '0.00006396']"
13,['0.00329400']
14,['0.00014860']
15,['0.00500000']
16,['0.00103200']
17,['0.00469981']
18,['1.99983370']
19,['0.00940000']
20,['0.00100000']
21,"['0.00100000', '0.00162824']"
22,['0.00213310']
23,"['0.00056976', '0.02500000']"
24,"['0.00002797', '0.00095187', '0.00331400']"
25,['0.99984483']
26,['0.00329600']
27,['0.01569000']
28,"['0.00010000', '0.00000100', '0.00090000', '0.00017666', '0.00010863', '0.00050000', '0.00127328', '0.00000200']"
29,['0.00390000']
30,['0.00821687']
31,['0.01570000']
32,"['0.00094655', '0.00109000', '0.00140633']"
33,['0.00487536']
34,['0.00980000']
35,['0.00100000']
36,['0.00646185']
37,['0.00345636']
38,"['0.00069425', '0.00300000']"
39,['0.01000000']
40,['0.00666975']
41,['0.00343732']
42,"['0.00012328', '0.00150125', '0.00011157', '0.00020000', '0.00012532']"
43,['0.01000000']
44,['0.00677587']
45,['0.00171720']
46,['0.00036227']
47,"['0.00015702', '0.00066066', '0.00006399']"
48,['0.00300000']
49,"['0.00279276', '0.00034660', '0.00011000']"
50,['0.01000000']
51,['0.01010000']
52,['0.00341533']
53,['0.00665292']
54,"['0.00001470', '0.00331678']"
55,['0.01229977']
56,['0.00897115']
57,['0.00596702']
58,"['0.00263608', '0.00076900']"
59,['0.01235865']
60,['0.00935422']
61,['0.00602119']
62,['0.01300000']
63,['0.00966658']
64,['0.00633363']
65,"['0.00268956', '0.00299802']"
66,['0.02219527']
67,['0.01886656']
68,['0.01552732']
69,['0.01219820']
70,['0.00886968']
71,['0.00586585']
72,['0.00235517']
73,['0.03535793']
74,['0.03214838']
75,['0.02881761']
76,"['0.00007285', '1.99310805']"
77,"['0.00100000', '0.00264806']"
78,['0.02551319']
79,['0.02216548']
80,['0.01883134']
81,['0.01549690']
82,['0.00616464']
83,"['0.00034489', '0.00282691', '0.00031142']"
84,['0.00910000']
85,['0.00576575']
86,['0.99649005']
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,['0.97600732']
92,['0.00103265']
93,"['3.00000000', '0.00002942']"
94,['0.00781371']
95,['0.00580600']
96,"['0.00480000', '0.00116387']"
97,['0.00300000']
98,"['0.00013843', '0.01490000']"
99,"['0.00198208', '0.00006080']"
100,['0.00380137']
101,"['0.00100000', '0.00394832']"
102,"['0.00002038', '0.00100000', '0.00100000']"
103,"['0.00300000', '0.00001216']"
104,"['0.00100000', '0.00002606']"
105,"['0.00036229', '0.00008536', '0.00080000', '0.00179402']"
106,"['0.00100000', '0.00100000']"
107,"['0.00171142', '0.00045899']"
108,"['0.00000502', '0.00100000']"
109,"['0.00002595', '0.00370000', '0.00001503', '0.00120000']"
110,"['0.00107722', '0.00005551']"
111,['0.00120000']
112,"['0.00087643', '0.00069501', '0.00270000']"
113,['0.00390000']
114,"['0.00079210', '0.00002450', '0.00012374', '0.00444318']"
115,['0.01109159']
116,"['0.00100000', '0.00010000', '0.00228044', '0.00040000']"
117,['0.00200000']
118,"['0.00200000', '0.00200000', '0.00185624']"
119,"['0.00163049', '0.00091371', '0.00005543', '0.00006000', '0.00027875', '0.00008000']"
120,"['0.00010000', '0.00500000', '0.00090000', '0.00000563', '0.00300000', '0.00025639', '0.00000694']"
121,"['0.00090000', '0.00100000', '0.00341677']"
122,['0.00360000']
123,"['0.00021748', '0.00800000', '0.00030727']"
124,"['0.00169500', '1.98978002']"
125,"['0.00592000', '0.00110000', '0.00300000']"
126,"['0.01007729', '0.00500000']"
127,['0.00290000']
128,['0.00454585']
129,"['0.00319635', '0.00006557']"
130,['0.00790000']
131,"['0.00464370', '0.00179102']"
132,"['0.00089529', '0.01450000']"
133,"['0.00480000', '0.00800000']"
134,"['0.00226500', '0.00179387']"
135,"['0.00032354', '0.00490000', '0.00480000']"
136,"['0.00001516', '0.00500000', '0.00500000']"
137,['0.00213902']
138,"['0.00130135', '0.00049540']"
139,['0.00300000']
140,"['0.00013380', '0.00100000', '0.00069882', '0.00880000', '0.00100000', '0.00139299']"
141,['0.00500000']
142,"['0.00001048', '0.00200000']"
143,['0.00070000']
144,"['0.00008872', '0.00024546', '0.00180000']"
145,['0.01000000']
146,"['0.00074363', '0.00280000']"
147,['0.00299291']
148,"['0.00300000', '0.00290000']"
149,['0.01000000']
150,"['0.00001104', '0.00900000', '0.00002993', '0.00050136', '0.00019413']"
151,"['0.00880000', '0.00600000', '0.00500000', '0.00263338', '0.00013903', '0.00900000', '0.00980000', '0.00860000', '0.00904724']"
152,['0.00600000']
153,"['0.00090000', '0.00132340', '0.01780000', '0.03000000']"
154,['0.01000000']
155,['0.00397720']
156,"['0.03500000', '0.00969612', '0.00002022', '0.00040000', '0.00000587', '0.00090000', '0.06000000', '0.01500000']"
157,['0.00500000']
158,['0.00142790']
159,"['0.01000000', '0.00057866', '0.05000000', '0.00963986', '0.01000000', '0.01990000']"
160,"['0.04000000', '0.00077064', '0.05900000', '0.00084400']"
161,"['0.02000000', '0.01680000', '0.03300000', '0.00059612', '0.00010288', '0.02959206']"
162,['0.00700000']
163,['0.01000000']
164,['0.00599385']
165,['0.01000000']
166,['0.00098627']
167,"['0.00028834', '0.00038000', '0.00199320', '0.00017000', '0.00021000']"
168,"['0.00499505', '0.00800000']"
169,"['0.00002635', '0.00100000']"
170,"['0.00040000', '0.05000000']"
171,['0.00298940']
172,"['0.00007390', '0.96100369']"
173,['0.02471042']
174,"['0.00002201', '0.00500000']"
175,['0.02020658']
176,"['0.00001290', '0.00090000', '0.07024500']"
177,"['0.00980000', '0.00161391']"
178,['0.05000000']
179,['0.00090576']
180,['0.00054162']
181,['0.06000000']
182,['2.99002426']
183,"['0.00999921', '0.00250000']"
184,['0.05000000']
185,['0.00211099']
186,['0.00183231']
187,['0.06094564']
188,['0.04979299']
189,['0.95979919']
190,['5.00000000']
191,['0.05000000']
192,"['0.00900000', '0.00318000']"
193,['0.03561270']
194,['0.04036323']
195,"['0.00003703', '0.00108866']"
196,['4.99793524']
197,['0.03932106']
198,['0.03833744']
199,['0.03886379']
200,['4.98238234']
201,['0.02310000']
202,['0.00180000']
203,"['0.00050000', '0.06000000', '0.01000000']"
204,"['0.00014000', '0.00000922', '0.00090000']"
205,"['0.02000000', '0.01000000']"
206,"['0.00090000', '0.00099000', '0.00044827', '0.00100000', '0.00390000', '0.00200000', '0.00010000', '0.00028000', '0.00010000', '0.00017509', '0.00006080', '0.00900000']"
207,['0.02900000']
208,['0.00500000']
209,['0.00155391']
210,['0.00054494']
211,"['0.00098365', '0.00170000', '0.01570000']"
