id,input_amounts
0,['0.00329000']
1,['0.01569000']
2,['5.00000000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.00940000']
9,['0.00794500']
10,['0.00837280']
11,['0.00329400']
12,"['0.00008310', '0.00006396']"
13,['2.00000000']
14,['0.00014860']
15,"['0.00329400', '0.00014860', '0.00064468']"
16,['0.00103200']
17,"['4.99664529', '0.00010000']"
18,['0.00821763']
19,['3.00000000']
20,['0.00100000']
21,['0.01552370']
22,['4.00000000']
23,['0.00980000']
24,['1.00000000']
25,['0.02500000']
26,"['0.00010863', '3.99786091']"
27,"['0.00141843', '0.00149198', '0.00050000', '0.00000200']"
28,"['0.00109000', '0.00000100', '0.00056976', '0.00100000', '0.00018283', '0.00023909']"
29,['0.00329600']
30,"['0.00003512', '0.00331400']"
31,['0.02164522']
32,['0.00331400']
33,['0.00390000']
34,['0.00500000']
35,['0.00034255']
36,"['0.00166185', '0.00090000', '0.00052589']"
37,"['0.00300000', '0.00100000']"
38,['0.00644113']
39,"['0.00066498', '0.00311075']"
40,['0.01000000']
41,['0.00676757']
42,['0.00344182']
43,['0.01000000']
44,['0.00677587']
45,['0.00145322']
46,"['0.00002797', '0.00020000']"
47,"['0.00003680', '0.00039668', '0.00044394']"
48,['0.00171720']
49,"['0.00300000', '0.00034660']"
50,['0.01000000']
51,"['0.00007796', '0.00665292']"
52,['0.01010000']
53,['0.00677003']
54,['0.00343389']
55,['0.01300000']
56,"['0.00011407', '1.99883910']"
57,['0.00967138']
58,['0.00634044']
59,"['0.00076900', '0.00002023', '0.00301054']"
60,['0.01434106']
61,['0.01100803']
62,"['0.00011000', '0.01830387']"
63,['0.00767640']
64,['0.00434345']
65,"['0.00150996', '0.00004399', '0.00100784', '0.00079110']"
66,['0.01507788']
67,['0.01174917']
68,['0.00840993']
69,['0.00508081']
70,['0.01570000']
71,['0.01269617']
72,['0.00947838']
73,"['4.99363971', '0.00175229']"
74,['0.00746810']
75,['0.00413733']
76,"['0.03535793', '0.00083291']"
77,['0.03278996']
78,['0.02945642']
79,['0.02610871']
80,['0.02277457']
81,['0.01944013']
82,['0.01010787']
83,['0.00677014']
84,"['0.00100000', '3.99593603']"
85,['0.00343503']
86,"['0.00042758', '0.99573006']"
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,['0.01714000']
91,"['0.00137899', '0.01380907']"
92,['0.03000000']
93,['0.02899677']
94,['0.01899327']
95,['0.01698556']
96,['0.00300000']
97,['2.99881687']
98,"['0.01498093', '0.00006080']"
99,"['0.00002368', '0.00098946', '0.00100000', '0.00001564']"
100,['0.00480000']
101,"['0.00100000', '0.00116387', '0.00279265']"
102,"['0.00010430', '0.00080000', '0.00018271', '0.00100000']"
103,"['0.00300000', '0.00007676']"
104,"['0.00100000', '0.00006962']"
105,"['0.01780000', '0.00005859']"
106,"['0.00100000', '0.00100000']"
107,"['0.00045899', '0.00171142']"
108,"['0.00005551', '0.00100000']"
109,"['0.00120000', '0.00005005', '0.00370000']"
110,['0.00120000']
111,"['0.00036623', '0.00009442', '0.00010000']"
112,['0.00444318']
113,"['0.00107722', '0.00200000', '0.00005089']"
114,"['0.00040000', '0.00030316', '0.00270000', '0.00200000']"
115,"['0.00001879', '0.00100000']"
116,['0.00390000']
117,['0.00018443']
118,"['0.00087643', '0.00480000']"
119,"['0.00200000', '0.00002527', '0.00008000', '0.00090000', '0.00001266']"
120,"['0.00010127', '0.00480000', '0.00091371', '0.00006000', '0.00010000', '0.00300000', '0.00004067', '0.00025639']"
121,"['0.00163049', '0.00341677']"
122,"['0.00090000', '0.00169500', '0.00100000']"
123,"['0.00500000', '0.00360000']"
124,['0.01490000']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.01000000', '0.00490000', '0.00008182', '0.00004010']"
127,['0.00228044']
128,['0.00290000']
129,['0.00454585']
130,"['0.00020528', '0.00131804', '0.00464370']"
131,"['0.00500000', '0.00155050']"
132,['0.00688517']
133,"['0.00004945', '0.00053971', '0.01000000', '0.00043932']"
134,['0.00500000']
135,"['0.00001834', '0.00049540', '0.00500000', '0.00226500', '0.00224425']"
136,"['0.00790000', '0.00213902']"
137,['0.00300000']
138,"['0.00100000', '0.00099478']"
139,['0.00500000']
140,"['0.00100000', '0.00069882', '0.01109159', '0.00027573']"
141,['0.00339299']
142,"['0.00001048', '0.00200000']"
143,['0.00070000']
144,"['0.00005696', '0.00180000', '0.00024546', '0.00002967']"
145,"['0.00028675', '0.00300000', '0.00600000']"
146,"['0.00138590', '0.00280000']"
147,['0.00600000']
148,"['0.00114363', '0.00500000']"
149,"['0.00800000', '0.00290000']"
150,"['0.00880000', '0.00109181']"
151,"['0.00980000', '0.00000581', '0.00969612', '0.00900000', '0.01680000', '0.00038266', '0.00433049', '0.00900000']"
152,['2.99779895']
153,"['0.00016695', '0.01450000', '0.00860000', '0.00090000', '0.00040000', '0.01484908', '0.00800000', '0.00263338']"
154,['0.01000000']
155,['0.00880000']
156,"['0.00090000', '0.03500000', '0.06000000', '0.00500000', '0.01500000', '0.00559344']"
157,['0.01000000']
158,['0.00642790']
159,"['0.02000000', '0.00963986', '0.00047681', '0.04000000', '0.01990000', '0.01000000']"
160,"['0.05000000', '0.05900000']"
161,"['0.03300000', '2.99577615']"
162,['0.00557866']
163,['0.00700000']
164,"['0.00002022', '0.00002429', '0.00038000', '0.00084400', '0.00021000', '0.00299385', '0.00057186']"
165,['0.00898880']
166,['0.00398385']
167,['0.00328592']
168,"['0.00001485', '0.01000000']"
169,"['0.00000920', '0.00100000']"
170,"['0.00010000', '0.01000000']"
171,['0.00800000']
172,['0.00662451']
173,['0.00534946']
174,"['0.00500000', '0.00006323']"
175,"['3.99359739', '0.00028072']"
176,['0.02471042']
177,"['0.00084562', '0.00980000']"
178,['0.01450415']
179,['0.00040000']
180,['0.00090000']
181,['0.09980000']
182,['0.06000000']
183,['0.07024500']
184,['0.02959206']
185,['0.00053347']
186,['0.00250000']
187,['0.08946782']
188,['0.05988519']
189,"['0.01845585', '0.00090000']"
190,['0.01000000']
191,['0.01000000']
192,['0.05000000']
193,"['0.00500000', '0.03787087']"
194,"['0.00003586', '0.00025479', '0.00175635']"
195,"['0.00013747', '0.00000486', '0.00100000']"
196,['0.02310000']
197,['0.01000000']
