id,input_amounts
0,['0.00329000']
1,['0.00483000']
2,['0.00466370']
3,['2.00000000']
4,['0.00940000']
5,['0.00329000']
6,['0.00794500']
7,['0.00329400']
8,['0.00329600']
9,['4.00000000']
10,['5.00000000']
11,"['0.00064468', '0.00226880', '0.00010000', '0.00011747']"
12,['0.00014860']
13,['0.00130899']
14,['0.00014809']
15,"['0.00329400', '0.00607372']"
16,['0.00103200']
17,['0.00329400']
18,['1.00000000']
19,['0.01570000']
20,['0.00100000']
21,['0.00331400']
22,['0.00213136']
23,['0.00529672']
24,"['0.00090000', '0.00331400', '0.00007910']"
25,"['0.00751985', '0.00002077']"
26,['0.01451687']
27,"['0.00109000', '0.00022243', '0.00014860', '0.00002746', '0.00000100', '0.00193785']"
28,['0.00329400']
29,['0.00390000']
30,['0.02500000']
31,['0.02165849']
32,"['0.00050000', '0.00100000', '0.00056976', '0.00094655', '0.00010863', '0.00028000', '0.00000200']"
33,['0.00417407']
34,['0.00500000']
35,['0.00079996']
36,"['0.00049421', '0.00100000', '0.00166185']"
37,['0.00980000']
38,['0.00646692']
39,"['0.00014628', '0.00007214', '0.00313654']"
40,['0.01000000']
41,['0.00676757']
42,['0.00300000']
43,['0.00344182']
44,['0.01000000']
45,"['0.00020000', '0.00101140']"
46,['0.00021769']
47,['0.00300000']
48,"['0.00011000', '0.00015175']"
49,['0.00494133']
50,"['0.00212652', '0.00171090']"
51,['0.01000000']
52,"['0.00002160', '0.00331533']"
53,"['0.00001244', '0.03535793']"
54,['0.01010000']
55,['0.00677041']
56,"['0.00344179', '1.99583424']"
57,['0.01249415']
58,['0.00916321']
59,['0.00583331']
60,"['0.00048840', '0.00282888', '0.00005298']"
61,['0.01300000']
62,['0.00966837']
63,['0.00633495']
64,"['0.00034660', '0.00300200']"
65,['0.01569000']
66,['0.01235998']
67,['0.00903127']
68,['0.00569203']
69,['0.01831714']
70,"['0.00076900', '0.00236291']"
71,['0.01498862']
72,['0.01177083']
73,['0.00976055']
74,['0.00655100']
75,"['0.00322023', '0.00012626']"
76,['0.03202894']
77,['0.02863060']
78,['0.02529706']
79,['0.02194935']
80,"['1.99626993', '0.00003998']"
81,['0.01861521']
82,"['0.00003146', '3.00000000']"
83,['0.00928295']
84,['0.00594784']
85,"['0.00261359', '0.00100000']"
86,"['0.00060260', '0.99327435']"
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,['0.01714000']
91,"['0.01380907', '0.00137899']"
92,['0.03000000']
93,['0.02899677']
94,['0.01899327']
95,['0.01698556']
96,['0.00300000']
97,['1.99297288']
98,"['0.00006080', '0.01498093']"
99,"['0.00098946', '0.00116387']"
100,['0.00480000']
101,"['0.00100000', '0.00279265', '0.00100000']"
102,"['0.00018271', '0.00100000', '0.00001033', '0.00080000', '0.00002368']"
103,"['0.00013651', '0.00300000']"
104,['0.00107722']
105,['0.00370000']
106,"['0.00100000', '0.00069355']"
107,"['0.00100000', '0.00100000', '0.00012937']"
108,"['0.00000960', '0.00100000']"
109,"['0.00500000', '0.00015254', '0.00120000']"
110,['0.00120000']
111,['0.00142128']
112,"['0.00087643', '0.00020236', '0.00200000', '0.00091629', '0.00009442', '0.00006974', '0.00000414']"
113,"['0.00200000', '0.00171142']"
114,"['0.00059977', '0.00270000', '0.00010000', '0.00200000']"
115,"['0.00100000', '0.00002188']"
116,"['0.00341677', '0.00040000']"
117,['0.00228044']
118,"['0.00213668', '0.00390000']"
119,"['0.00090000', '0.00163049', '0.00046152', '0.00006000']"
120,"['0.00010000', '0.00091371', '0.00008000', '0.00009809', '0.00003831', '0.00444318', '0.00360000']"
121,"['0.00025639', '0.00480000']"
122,"['0.00169500', '0.00100000', '0.00090000']"
123,"['0.00592000', '0.00290000']"
124,"['0.00480000', '0.00800000']"
125,"['0.00500000', '0.00477813', '0.00020528', '0.00004923']"
126,"['0.00300000', '0.01109159', '0.00110000']"
127,['0.00300000']
128,"['0.00030182', '0.00099529', '0.00017768']"
129,['0.00454585']
130,"['0.00490000', '0.00131804']"
131,['0.00790000']
132,"['0.00179242', '0.00464370']"
133,"['0.00500000', '0.00800000']"
134,"['0.00199387', '0.00226500']"
135,"['0.00000572', '0.01000000']"
136,"['0.01000000', '0.00008807']"
137,"['0.00049540', '0.00007872', '0.00150135']"
138,['0.00213902']
139,"['0.00100000', '0.00012004', '0.00006525', '0.00043357']"
140,"['0.00010480', '0.00500000', '0.00500000', '0.00300000']"
141,['0.00600000']
142,"['0.00009562', '0.00200000']"
143,['0.00069882']
144,"['0.00180000', '0.00024428', '0.00008721']"
145,"['0.00600000', '0.00280000', '0.00070000']"
146,"['0.00023754', '0.00300000']"
147,['0.00399291']
148,"['0.00500000', '0.00100000']"
149,"['0.00232340', '0.00880000']"
150,"['0.00131521', '0.00880000']"
151,"['0.00900000', '0.00900000', '0.00969612', '0.00980000', '0.01780000', '0.00039035', '0.00019527', '0.00023903', '0.00290000']"
152,['0.00860000']
153,"['0.00000340', '0.01450000', '0.00263338', '0.00040000', '0.00090000', '0.01680000', '0.01490000']"
154,['0.01000000']
155,['0.00657720']
156,"['0.00090000', '0.06000000', '0.00000835', '0.01000000', '0.01000000', '0.03500000', '0.00500000', '0.00009645', '0.00002022']"
157,['0.01500000']
158,['0.00337064']
159,"['0.01142790', '0.01990000', '0.02000000', '0.04000000', '0.00963986']"
160,"['0.05000000', '0.05900000']"
161,['0.97339150']
162,['0.00700000']
163,"['0.00021000', '0.00095431', '0.00038000', '0.00252140']"
164,['0.00898880']
165,"['0.00398122', '0.00199320']"
166,['0.00084400']
167,['0.00800000']
168,"['0.00005071', '0.01000000']"
169,"['0.00004506', '0.00096711']"
170,"['0.00010000', '0.01000000']"
171,"['0.00000783', '0.00006323', '0.00017000', '0.00100000', '0.00014607']"
172,['0.00499480']
173,"['0.00371975', '0.00090000']"
174,"['0.00011409', '0.00500000']"
175,['0.02471042']
176,['0.01450305']
177,"['0.00250000', '0.00980000']"
178,['0.02959206']
179,['0.00040000']
180,['0.00179185']
181,['4.99984483']
182,['0.06000000']
183,['0.03300000']
184,['4.98951265']
185,['0.00142532']
186,['0.00114664']
187,"['0.00040299', '0.87338645']"
188,['0.03000000']
189,['0.05000000']
190,['0.00429678']
191,['0.00223202']
192,['0.04915496']
193,['0.05000000']
194,['0.01000000']
195,"['0.00010000', '0.00003586', '0.00010270', '0.00090000']"
196,['2.99669005']
197,['0.01000000']
198,['0.03897343']
199,['0.86256426']
200,['0.01000000']
201,['0.01090000']
202,['0.00028000']
203,['0.84353666']
204,['0.00900000']
205,"['0.00898229', '0.00795187']"
206,"['0.00090000', '0.00044827', '0.00390000', '0.00001132', '0.00006080', '0.00014000', '0.00400000', '0.00100000', '0.00010498', '0.00200000', '0.00050000', '0.00318000', '0.00003391', '0.00170000', '0.00099000']"
207,['4.97837644']
208,['0.06000000']
209,['0.00180000']
210,['0.00079103']
211,"['0.00057992', '0.01000000', '0.00180000', '0.00319076', '0.00290000']"
212,"['0.00229870', '0.01000000', '0.00990000', '0.01000000', '0.00097600', '0.00005460', '0.01000000', '0.01000000', '0.00900000', '0.01000000', '0.02264019', '0.00500000', '0.00015373']"
213,"['0.01570000', '0.01581971']"
214,['0.00033371']
215,"['0.00390000', '0.00379465', '0.00005460', '0.00797421', '0.01891312', '0.00039116', '0.01000000', '0.01000000', '0.01000000', '0.01000000']"
216,"['0.00007869', '0.01000000']"
217,"['0.09980000', '0.00007095', '0.00019558']"
218,"['0.00193800', '0.02900000']"
219,['0.00084347']
220,['0.00063939']
221,"['0.02400000', '0.00969500', '0.01030000', '0.03883470', '0.00042825', '0.00797606', '0.02310000', '0.01000000']"
222,['0.03702583']
223,"['0.00005776', '0.00010000', '0.00010000']"
224,"['0.02000000', '0.00096700', '0.01000000']"
225,"['0.03000000', '1.99195496', '0.03766424', '0.05000000', '0.01944692']"
226,"['0.02700000', '0.01950000', '0.07024500', '0.00007017', '0.00307880', '0.00500000', '0.00013629']"
227,['0.01940000']
228,['0.00939617']
229,['0.00338663']
230,['0.00088221']
231,"['0.00050000', '0.00161670']"
232,['0.00067567']
233,"['0.00050000', '0.05000000', '0.00020000', '0.00037023', '0.00001428', '0.00070000', '0.01950000', '0.00010000', '0.01930000', '0.00006184', '0.01930000']"
234,"['0.01940000', '0.00637176']"
235,"['0.00114700', '0.00035501', '0.00050000']"
236,"['0.00001000', '0.00100000']"
237,"['0.00020650', '0.00001336']"
238,['0.00072800']
239,"['0.00000484', '0.00010000', '0.00015029', '0.00000450']"
240,"['0.01000000', '0.00110000', '0.00222825', '0.00100000', '0.00170883', '0.00100000']"
241,['0.01942388']
242,"['0.03000000', '0.00100000']"
243,"['0.00020000', '0.00003392', '0.00024795', '0.00196900', '0.00007778', '0.00100000']"
244,"['0.00980000', '0.02000000', '0.00020000', '0.00001254', '0.07000000']"
245,"['0.00020000', '0.00050000', '0.00989938']"
246,"['0.00127802', '0.09990000']"
247,['0.00097006']
248,"['0.00008791', '0.09743739', '0.00046605', '0.81583279', '0.05598365', '0.01500000', '0.01531653']"
249,['0.20000000']
250,['0.00980000']
251,"['0.09647578', '0.10000000', '0.01000000']"
252,"['0.01000000', '0.00169591', '0.01200000', '0.03000000']"
253,"['0.00010000', '0.00011752', '2.98113715']"
254,['1.00000000']
255,['0.89999463']
256,['0.00040000']
257,['0.05500000']
258,"['0.00645601', '0.00100000', '0.00067949']"
259,['0.00407495']
260,"['0.00005460', '0.00019268']"
261,['0.00376705']
262,['0.00336333']
263,"['0.00090000', '0.00070000']"
264,['0.00290000']
265,"['0.00500000', '0.00006000', '0.00004140', '0.00010000', '0.00500000', '0.00300000', '0.00006448', '0.00009435', '0.00090000']"
266,['0.00239673']
267,['0.00169111']
268,['0.00078525']
269,['0.00057977']
270,['1.00000000']
271,"['0.00010000', '0.01000000', '0.00390625', '0.00001000', '0.00001500']"
272,"['0.00060000', '0.00040856']"
273,"['0.00037495', '0.00080000']"
274,['0.00315612']
275,['0.00215062']
276,['0.00060110']
277,['0.00114367']
278,['0.00392156']
279,['0.00291581']
280,"['0.00190999', '0.00510000']"
281,"['0.00039229', '0.00007015', '0.00412574', '0.00063000', '0.00080000']"
282,['0.01000000']
283,['0.00100000']
284,['0.00219572']
285,"['0.00010000', '0.00013227']"
286,"['0.00088858', '0.00019584', '0.00016801']"
287,"['0.03000000', '0.00700000', '0.00002232', '0.00700000', '0.00393405', '0.00392695', '0.00003888', '0.00000806']"
288,"['0.03000000', '0.00237000', '0.01000000', '0.00083132', '0.00040000', '0.00500000', '0.00049400', '0.01158205']"
289,['0.00986679']
290,['0.00850316']
291,"['0.01900000', '0.00006504', '0.00090000', '0.00005460']"
292,"['0.00040900', '0.00110000']"
293,['0.00052000']
294,['0.00060081']
295,['0.00090000']
296,['0.01495000']
297,"['0.20000000', '0.00030155', '0.00009622']"
298,['0.00190000']
299,"['0.00200000', '0.00000639', '0.00890000', '0.00017722', '0.00000504', '0.00100000']"
300,['0.00089022']
301,"['0.01442720', '0.00700000', '0.00649919', '0.00224987']"
302,['0.01119474']
303,"['0.01470000', '0.01000000']"
304,"['0.00070000', '0.00029639', '0.00016432']"
305,"['0.00010000', '0.00196756', '0.00008538', '0.00100000', '0.00198467']"
306,"['0.00000838', '0.00100000']"
307,"['0.01000000', '0.00119013']"
308,['0.00100000']
309,"['0.00108036', '0.00025000', '0.00008830', '0.00150000', '0.00010000']"
310,"['0.01187000', '0.00990000']"
311,"['0.00074584', '0.00014800', '0.00001813', '0.00100000', '0.00011000']"
312,['0.00063540']
313,['0.00038020']
314,['0.00100000']
315,['0.00108100']
316,['4.96435993']
317,['1.97905373']
318,['0.10000000']
319,['0.02000000']
320,['0.99948517']
321,['0.05000000']
322,['0.04844735']
323,['0.00043586']
324,"['0.01149000', '0.00342500']"
325,['0.04424198']
326,['1.92802155']
327,"['0.00006901', '0.00011522', '0.19979842', '0.00005480']"
328,['0.01001500']
329,"['0.00282545', '0.03896379', '0.00824903']"
330,['1.89299740']
331,"['0.10000000', '0.00011808', '0.10000000', '0.10000000']"
332,['0.20000000']
333,['0.04167722']
334,"['0.00176193', '0.03163543']"
335,['4.95430970']
336,['0.99526152']
337,['0.00640000']
338,['8.82000000']
339,['0.00329178']
340,['1.88821881']
341,"['3.99347343', '0.01449659']"
342,"['0.00002000', '0.00013126', '0.00020000', '0.00017188']"
343,"['0.00090000', '0.00124100', '0.00030000', '0.00062652', '0.02073312', '0.00202400', '0.00000496', '0.00130000', '0.00110000', '0.00022810', '0.00060426', '0.00581736', '0.00001000', '0.00011821', '0.00005666']"
344,"['0.00414937', '0.00294160', '4.85199157', '1.87319403', '0.69998945', '0.00880000', '0.00400000', '0.04501000', '0.01000000']"
345,"['0.00100000', '0.00001437', '0.00100000']"
346,"['0.00000776', '0.00200000']"
347,"['0.00100000', '0.00200000', '0.00087269', '0.00198637', '0.00020000']"
348,"['0.00235891', '0.00200000']"
349,"['0.00030000', '0.00190000', '0.00190000', '0.00025392']"
350,"['0.00014185', '0.00360000', '0.00500000', '0.00210500', '0.00927000']"
351,"['0.00400000', '0.00990000', '0.01000000', '0.00970000', '0.00935000', '0.00212552', '0.00090000', '0.00992835', '0.00620000', '0.00450000', '0.00841560']"
352,"['0.00590000', '0.00220000', '0.00410000']"
353,"['0.00083220', '0.00004439', '0.03156101', '0.01070000', '0.02747658', '0.10000000', '0.05000000', '0.04000000', '0.05000000', '0.02000000', '0.05000000', '0.05000000']"
354,"['0.01000000', '0.00050000']"
355,"['0.00049317', '0.00150000']"
356,['0.00207729']
357,"['0.00147227', '0.05000000', '0.00041390', '0.05000000', '0.04108462', '0.00138864', '0.00340000', '0.00260000']"
358,"['0.01050420', '0.00500000']"
359,"['0.10000000', '0.00029012']"
360,"['0.10000000', '0.00018048']"
361,['0.00100000']
362,"['0.00007059', '0.00049456']"
363,['0.00110000']
364,"['0.00033421', '0.00029600']"
365,['0.00290001']
366,"['0.00040000', '0.00089455', '0.00005886', '0.00040000', '0.00040000']"
367,['0.01041666']
368,['0.00479303']
369,"['0.00278980', '0.01054340']"
370,['0.00350000']
371,"['0.00011657', '0.00032804', '0.00003101', '0.00010000', '0.00008989']"
372,"['0.01230000', '0.00043403', '0.00490000', '0.00250000', '0.00139433']"
373,"['0.00020930', '0.00090000', '0.00090000', '0.05344091', '0.01458546', '0.00590430', '0.00090000', '0.10000000', '0.00759000', '0.00031395', '0.01849000', '0.06000000']"
374,"['0.00500000', '0.09990000', '0.22830530', '0.01740000']"
375,"['0.00990000', '0.00654000']"
376,"['0.00043387', '0.00057884']"
377,"['0.00100000', '0.00094703']"
378,['0.00109998']
379,['0.00376342']
380,"['0.00044112', '0.00059440']"
381,"['0.00100000', '0.00140000', '0.00090000', '0.00827097']"
382,"['0.00040000', '0.00019000']"
383,['0.00090000']
384,"['0.00250000', '0.00039442', '0.02200000', '0.00500000', '0.01090000', '0.00007920', '0.01090000', '0.00005848']"
385,"['0.04490000', '0.00040000', '0.19980000', '0.05990000', '0.00002783', '0.03826319', '0.00006372', '0.00267794', '0.02000000']"
386,['0.02784502']
387,['0.01783384']
388,['0.00028000']
389,"['0.01000000', '0.00000604', '0.00000526', '0.00040000']"
390,['0.00210588']
391,"['0.00011100', '0.02702703', '0.00421683', '0.00058000', '0.00104916', '0.00010486', '0.00006436', '0.00190012', '0.01000000', '0.00500000']"
392,"['0.00049998', '0.04000000', '0.05000000', '0.00100000', '0.00766308', '0.00086473']"
393,"['0.00100000', '0.00100000']"
394,"['0.00104404', '0.00010000']"
395,['0.00089306']
396,"['0.05000000', '0.10000000', '0.00003594']"
397,"['0.01194000', '0.27526571', '0.20000000', '0.27513323']"
398,['0.00100000']
399,['0.00100000']
400,"['0.00000925', '0.00049664']"
401,['0.00500000']
402,['0.00028611']
403,"['0.00050000', '0.00000704']"
404,['0.00289375']
405,['0.00836500']
406,"['0.00040000', '0.00008195', '0.00058830', '0.00010000', '0.00001870', '0.00051449', '0.00118400', '0.00005747', '0.00848688', '0.00008236', '0.00040000', '0.00006169', '0.01300000', '0.00005939']"
407,"['0.00200000', '0.02000000', '0.01000000', '0.00500000', '0.08320540', '0.00001232', '0.02100000', '0.03000000', '0.01000000', '0.06881642']"
408,['0.00290000']
409,"['0.10000000', '0.00059414']"
410,['0.00205800']
411,"['0.00205800', '0.08066294', '0.00220000', '0.02057994', '0.01630678', '0.00115363', '0.00205800']"
412,"['0.10000000', '0.00051449']"
413,"['0.00050664', '0.00956300']"
414,"['0.10289971', '0.00535799', '0.00015131']"
415,['0.10570824']
416,"['0.00100000', '0.00008566', '0.00100000', '0.08570131', '0.21153276', '0.00060000', '0.00010000']"
417,"['0.00000382', '0.00000551', '0.30000000']"
418,['0.00058732']
419,"['0.00033363', '0.00005500']"
420,['0.00090000']
421,['0.00054370']
422,"['0.00100000', '0.01000000', '0.00500000']"
423,"['0.00006169', '0.00015000', '0.00003195', '0.00018703', '0.00009247']"
424,"['0.00200000', '0.00500000', '0.00020000', '0.00020746', '0.05000000', '0.01239744', '0.00025000', '0.01000000']"
425,['0.00372964']
426,"['0.00653000', '0.00002809']"
427,"['0.00072239', '0.00103700', '0.00025000']"
428,"['0.03108035', '0.00001849', '0.00030000', '0.02115000', '0.00017000', '0.00929808']"
429,['0.00500000']
430,['0.00374752']
431,['0.00274047']
432,['0.00173532']
433,['0.00399445']
434,"['0.19935990', '0.00073148']"
435,['0.00150000']
436,['0.24600857']
437,['0.00500000']
438,['0.50000000']
439,['0.50000000']
440,['0.01990000']
441,['0.00319806']
442,['0.00185463']
443,['0.25000000']
444,['0.01155000']
445,"['0.00008052', '0.00010000', '0.00090000', '0.01984500']"
446,"['0.00394289', '0.00416319', '0.00025000', '0.01152508']"
447,['0.25000000']
448,['1.00000000']
449,['0.00025000']
450,['0.00071040']
451,"['0.01000000', '0.10345969']"
452,['8.81245391']
453,"['0.00500000', '0.00104079', '0.00490000', '0.00142595', '0.00930000', '0.00088052']"
454,['0.15000000']
455,['0.10416666']
456,['0.00076951']
457,['0.01000000']
458,['0.01659636']
459,['0.00893235']
460,['0.09000000']
461,"['0.02068400', '0.00020872', '0.00104060', '0.00040000', '0.00020800']"
462,"['0.00208120', '0.00187023', '0.00039202', '0.01039651', '0.00290000', '0.00197628', '0.00100000', '0.00000677', '0.00100000']"
463,"['0.00002317', '0.03000000']"
464,"['0.00208290', '0.00175971', '0.00651323']"
465,"['0.00277641', '0.00000363', '0.00208290']"
466,"['0.00008620', '0.01000000', '0.01041232', '0.00400000', '0.00187114', '0.02082422', '0.01128524', '0.01000771', '0.00417211', '0.00500000', '0.04158176', '0.00178983']"
467,['0.01000000']
468,['0.00028044']
469,['0.00033828']
470,"['0.00007584', '0.00013415']"
471,['0.00029100']
472,"['0.01000000', '0.00190000', '0.00049998', '0.00100000', '0.00100000', '0.00090000', '0.00000522', '0.00008776', '0.00100000', '0.00124378', '0.00000497', '0.00080000', '0.00100000', '0.00060000']"
473,"['0.00200000', '0.00026656', '0.00010837', '0.00221800', '0.00500000', '0.02000000', '0.00625800', '0.00200000', '0.00250000', '0.00207400', '0.00100000', '0.00142422', '0.00142296', '0.00300000', '0.00080000']"
474,"['0.00700000', '0.01000000', '0.00005460', '0.01580000', '0.03000000', '0.00899585', '0.02800000', '0.00200000', '0.08160847', '0.01867219', '0.01621225']"
475,"['0.00482560', '0.03522440', '0.00481691', '0.00220428']"
476,"['0.03045621', '0.01000000', '0.01342945']"
477,"['0.00097909', '0.00005432']"
478,"['0.00037310', '0.00001850', '0.00010000']"
479,"['0.00001092', '0.22897639']"
480,"['0.00387501', '0.00416051', '0.00100000', '0.00240000', '0.00084389', '0.00002042', '0.00059000', '0.00100000', '0.00030495', '0.00400000', '0.00576620', '0.00030000', '0.00028257', '0.00001882', '0.06745391', '0.00070000', '0.00798782']"
481,"['0.00140000', '0.00200000']"
482,['0.01504962']
483,"['0.00003738', '0.00100000']"
484,"['0.01000000', '0.00980000', '0.00215000', '0.05000000', '0.02080000']"
485,['0.00800000']
486,"['0.00500000', '0.01896000', '0.00056318', '0.00040131', '0.00012190']"
487,['0.01030594']
488,"['0.00851600', '0.00279256', '0.00030036', '0.00020000', '0.01000000']"
489,"['0.10000000', '0.00002605']"
490,['0.02079564']
491,"['0.00002002', '0.00100000']"
492,"['0.00207955', '0.00003383', '0.00049998']"
493,"['0.10414930', '0.00022000', '0.00000609', '0.00116400', '0.00685854', '0.05000000', '0.01200000', '0.00003412', '0.05469927', '0.00190000', '0.01900000']"
494,['0.06600000']
495,"['0.00040000', '0.02200000', '0.00000100', '0.02079131', '0.01599198', '0.00478554', '0.00000248', '0.00622407', '0.01000000']"
496,['0.06190000']
497,['0.04188570']
498,"['0.00016285', '0.50000000']"
499,['0.10000000']
500,"['0.00007554', '0.00040058', '0.00056005']"
501,"['0.00002489', '0.00000611', '0.01026670', '0.00053000', '0.00220000', '0.00024091', '0.00090000', '0.00345636', '0.00250000']"
502,"['0.01187849', '0.00400000', '0.00122000', '0.00065949', '0.00248667', '0.02990000']"
503,['0.99477474']
504,"['0.10000000', '0.00130000']"
505,"['0.00051349', '0.00029760', '0.00020000']"
506,"['0.00790000', '0.00050000']"
507,"['0.00014448', '0.00100000', '0.00982000', '0.00002856', '0.00100000', '0.01000000', '0.00010000', '0.00050000']"
508,['0.00042100']
509,"['0.00210925', '0.00061268', '0.00010000', '0.00140000', '0.00052161', '0.00021578', '0.00400000', '0.00653948', '0.00026000', '0.00130000']"
510,"['0.00000373', '0.00397000', '0.00190000']"
511,"['0.00424628', '0.00040000', '0.00090000', '0.00085303', '0.00100000']"
512,['0.02126000']
513,"['0.00011920', '0.00070000', '0.00007226', '0.00100000', '0.00571000', '0.00700000', '0.01000000', '0.00169662', '0.00106000', '0.00933765', '0.00001956', '0.00950000', '0.00213201', '0.00170000']"
514,"['0.01000000', '0.00151412', '0.01000000']"
515,"['0.00107100', '0.00050106', '0.00344105']"
516,"['0.01773720', '0.00400000']"
517,"['0.00975259', '0.10900000', '0.00100000']"
518,['0.01000000']
519,"['0.00048634', '0.01604660', '0.00524631', '0.00001583', '0.00022968']"
520,"['0.00000528', '0.02760084', '0.10037572', '0.02203000']"
521,['0.00184806']
522,"['0.01000000', '0.00019143']"
523,"['0.00500000', '0.02000000', '0.00040000', '0.00155000', '0.02069671', '0.02550000', '0.01990000', '0.01229700']"
