Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19421268,23.8660000000,25,267,455,233,2,213,knapsack: **11** ; bnb: **9** ; Total: **20**,0.00000340,4.99984483,0.217023122535,0.834883367965,0.00464699,0.0000199441630901,0.000170000000,0.004816990000,1,15,1.95278969957,1.92586823982,knapsack: **176** ; srd: **48** ; bnb: **9**
bustabit-tiny-hot-wallet_peak-and-tail,23.92701006,28.5090000000,36,594,913,406,2,355,knapsack: **18** ; bnb: **33** ; Total: **51**,0.00000340,8.81245391,0.238779274761,0.930077982000,0.00831411,0.0000204781034483,0.000244800000,0.008558910000,1,15,2.24876847291,2.25085683780,knapsack: **299** ; srd: **74** ; bnb: **33**
bustabit-tiny-hot-wallet_peak-and-tail,27.28278035,33.7913333333,77,961,1345,539,3,461,knapsack: **23** ; bnb: **55** ; Total: **78**,0.00000340,8.81245391,0.219489378915,0.915022310948,0.01182465,0.0000219381261596,0.000523600000,0.012348250000,1,17,2.49536178108,2.66281652200,knapsack: **378** ; srd: **106** ; bnb: **55**
bustabit-tiny-hot-wallet_peak-and-tail,19.66698778,35.1235000000,16,1316,1876,684,5,576,knapsack: **28** ; bnb: **80** ; Total: **108**,0.00000340,9.99317332,0.261428465503,1.16786739233,0.01483637,0.0000216905994152,0.000108800000,0.014945170000,1,52,2.74269005848,3.49077710795,knapsack: **479** ; srd: **125** ; bnb: **80**
bustabit-tiny-hot-wallet_peak-and-tail,26.29674755,33.9392000000,48,1682,2322,818,5,688,knapsack: **33** ; bnb: **97** ; Total: **130**,0.00000340,9.99317332,0.294853904797,1.27011669495,0.01761348,0.0000215323716381,0.000326400000,0.017939880000,1,52,2.83863080685,3.53626071735,knapsack: **576** ; srd: **145** ; bnb: **97**
bustabit-tiny-hot-wallet_peak-and-tail,18.38063065,33.6720000000,25,2008,2817,992,5,834,knapsack: **40** ; bnb: **118** ; Total: **158**,0.00000317,9.99317332,0.351452635180,1.34907860679,0.02217682,0.0000223556653226,0.000170000000,0.022346820000,1,52,2.83971774194,3.47363068157,knapsack: **686** ; srd: **188** ; bnb: **118**
bustabit-tiny-hot-wallet_peak-and-tail,26.40395999,35.1051428571,41,2415,3281,1085,5,907,knapsack: **42** ; bnb: **136** ; Total: **178**,0.00000317,9.99317332,0.344291387244,1.30974676718,0.02443055,0.0000225166359447,0.000278800000,0.024709350000,1,52,3.02396313364,3.75487100109,knapsack: **744** ; srd: **205** ; bnb: **136**
bustabit-tiny-hot-wallet_peak-and-tail,23.47165965,36.3345000000,43,2818,3757,1182,5,982,knapsack: **47** ; bnb: **153** ; Total: **200**,0.00000317,9.99317332,0.325643361395,1.26750043522,0.02732622,0.0000231186294416,0.000292400000,0.027618620000,1,52,3.17851099831,4.00775435709,knapsack: **818** ; srd: **211** ; bnb: **153**
bustabit-tiny-hot-wallet_peak-and-tail,15.35506764,37.2711111111,24,3213,4253,1287,5,1064,knapsack: **51** ; bnb: **172** ; Total: **223**,0.00000317,9.99317332,0.308767407848,1.22095163229,0.03109630,0.0000241618492618,0.000163200000,0.031259500000,1,52,3.30458430458,4.20735885656,knapsack: **883** ; srd: **232** ; bnb: **172**
bustabit-tiny-hot-wallet_peak-and-tail,15.77906705,37.4146000000,29,3571,4726,1429,5,1184,knapsack: **55** ; bnb: **190** ; Total: **245**,0.00000317,9.99317332,0.288379315279,1.16159008515,0.03396946,0.0000237714905528,0.000197200000,0.034166660000,1,52,3.30720783765,4.16317521162,knapsack: **987** ; srd: **252** ; bnb: **190**
bustabit-tiny-hot-wallet_peak-and-tail,22.01575208,36.4545454545,35,3938,5206,1562,5,1303,knapsack: **55** ; bnb: **204** ; Total: **259**,0.00000317,9.99317332,0.313959473569,1.22669101948,0.03721563,0.0000238256274008,0.000238000000,0.037453630000,1,52,3.33290653009,4.18876265860,knapsack: **1081** ; srd: **277** ; bnb: **204**
bustabit-tiny-hot-wallet_peak-and-tail,20.44314495,35.7445000000,29,4278,5691,1722,6,1442,knapsack: **62** ; bnb: **218** ; Total: **280**,0.00000317,9.99317332,0.309557019265,1.18401044984,0.04051869,0.0000235300174216,0.000197200000,0.040715890000,1,52,3.30487804878,4.10261598099,knapsack: **1195** ; srd: **309** ; bnb: **218**
bustabit-tiny-hot-wallet_peak-and-tail,20.92149123,36.0213846154,39,4650,6162,1850,7,1551,knapsack: **63** ; bnb: **236** ; Total: **299**,0.00000317,9.99317332,0.296606915738,1.14587761223,0.04351335,0.0000235207297297,0.000265200000,0.043778550000,1,52,3.33081081081,4.12235419409,knapsack: **1284** ; srd: **330** ; bnb: **236**
