id,input_amounts
0,['0.00329000']
1,['0.00940000']
2,['3.00000000']
3,['0.00483000']
4,['2.99664529']
5,['0.00329000']
6,['0.00329400']
7,['0.00286885']
8,['0.00331400']
9,['0.01569000']
10,['0.00066424']
11,"['0.00228680', '0.00011747', '0.00021953', '0.00050907']"
12,['0.00014860']
13,['0.00329400']
14,['0.00014860']
15,['0.01000000']
16,['0.00103200']
17,['0.00916343']
18,['0.01000000']
19,['1.00000000']
20,['0.00100000']
21,"['0.00056976', '0.00329400']"
22,['0.00213310']
23,"['0.00007910', '0.00329600']"
24,['0.00980000']
25,['0.02500000']
26,['0.00923370']
27,"['0.00010000', '0.00002797', '0.00327435']"
28,"['0.00010863', '0.00090000', '0.00109000', '0.00000100', '0.00000200', '0.00100000']"
29,"['0.00264185', '0.00050000']"
30,"['0.00329400', '0.00005407']"
31,['0.00553006']
32,['0.00331400']
33,['0.00390000']
34,"['0.00218871', '0.00100000', '0.00018486']"
35,['0.00052589']
36,['0.00500000']
37,"['0.00199451', '0.00300000']"
38,['0.00595187']
39,"['0.00262149', '0.00165949']"
40,"['0.00003145', '0.01010000']"
41,['0.00609186']
42,['0.00276611']
43,['0.00689645']
44,"['0.00367232', '0.00094919', '0.00077751']"
45,['0.00300000']
46,"['0.00002077', '0.00020000']"
47,['0.00194346']
48,['0.00022014']
49,['0.00721098']
50,['0.00398055']
51,['0.00794500']
52,"['0.00106998', '0.00063347', '0.00126033', '0.00011000', '0.00033683']"
53,['0.01000000']
54,['0.00666386']
55,['0.00333427']
56,"['0.00076900', '2.00000000']"
57,['0.01300000']
58,['0.00966906']
59,['0.00633916']
60,['0.00333473']
61,['0.01570000']
62,['0.01236837']
63,['0.00903495']
64,['0.00570200']
65,"['0.99881687', '0.00236639']"
66,"['0.00001303', '5.00000000']"
67,['0.02164522']
68,['0.01830598']
69,['0.01497686']
70,['0.01164834']
71,['0.00864451']
72,['0.00542672']
73,['0.00341644']
74,"['0.00007109', '4.00000000']"
75,['0.03535793']
76,['0.03205351']
77,['0.02865517']
78,['0.02532163']
79,['0.02197392']
80,['0.01863978']
81,['0.01530534']
82,['0.00597308']
83,"['0.00263535', '0.00100000']"
84,['0.00910000']
85,"['0.00034660', '1.99776290']"
86,['0.99785085']
87,['0.00576575']
88,['0.00404010']
89,['0.01714000']
90,['0.01380250']
91,['0.97736812']
92,['0.00138224']
93,['0.01047157']
94,"['0.00046807', '0.00001290', '0.00116387', '0.00037901']"
95,['0.03000000']
96,['0.00300000']
97,['4.99668256']
98,"['0.00020689', '0.01490000', '0.00000505']"
99,"['0.00098946', '0.00100000', '0.00006080']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00100000', '0.00100000', '0.00002795']"
103,"['0.00300000', '0.00001973']"
104,"['0.00001259', '0.00100000']"
105,"['0.00029544', '0.00279265']"
106,"['0.00080000', '0.00100000']"
107,"['0.00008799', '0.00171142', '0.00007858', '0.00025899']"
108,"['0.00001234', '0.00100000']"
109,"['0.00270000', '0.00120000', '0.00107722']"
110,['0.00120000']
111,['0.00100000']
112,"['0.00200000', '0.00010000', '0.00009442', '0.00200000']"
113,"['0.00200000', '0.00087643', '0.00049501']"
114,"['0.00100000', '0.00004596', '0.00004286', '0.00390000', '0.00040000']"
115,['0.00341677']
116,"['0.00025599', '0.00370000']"
117,['0.00023731']
118,"['0.00444318', '0.00228044']"
119,"['0.00006000', '0.00163049', '0.00000688', '0.00114846', '0.00008000', '0.00009355']"
120,"['0.00000759', '0.00010000', '0.00800000', '0.00025639', '0.00090000']"
121,"['0.00240247', '0.00100000', '0.00090000', '0.00091371']"
122,['0.00360000']
123,"['0.00592000', '0.00290000']"
124,['2.99331901']
125,"['0.00500000', '0.00030182', '0.00021748', '0.00454585']"
126,"['0.01000000', '0.00500000', '0.00003823']"
127,"['0.00169500', '0.00110000']"
128,['0.00300000']
129,"['0.00300000', '0.00078806']"
130,"['0.00464370', '0.00165050']"
131,['0.00790000']
132,"['0.00179242', '0.00480000']"
133,"['0.01000000', '0.00002432', '0.00020434', '0.00024437', '0.00055607']"
134,['0.00480000']
135,"['0.00500000', '0.00001696', '0.00500000']"
136,"['0.00204425', '0.00800000']"
137,['0.00213902']
138,"['0.00018096', '0.00000858', '0.00049540', '0.00100000', '0.00003490']"
139,['0.00226500']
140,"['0.00300000', '0.00500000', '0.00490000', '0.00013380']"
141,"['0.00069882', '0.00065799', '0.00100000']"
142,"['0.00200000', '0.00002462']"
143,['0.00070000']
144,"['0.00000393', '0.00180000', '0.00034294']"
145,"['0.00600000', '0.00300000', '0.00024546', '0.00002373']"
146,['0.00600000']
147,['0.00280000']
148,"['0.00296007', '0.00290000']"
149,"['0.00880000', '0.00113049']"
150,['0.01109159']
151,"['0.00263338', '0.00009910', '0.00001621', '0.00500000', '0.00880000', '0.01450000', '0.00980000', '0.01680000', '0.00136862']"
152,['0.00860000']
153,"['0.02799537', '0.00090000', '0.00040000', '0.00012230', '0.00657720', '0.00090000', '0.01321816']"
154,['0.01000000']
155,['0.00900000']
156,"['0.03500000', '0.01000000', '0.06000000', '0.00900000', '0.00969612']"
157,['0.00500000']
158,['0.00142790']
159,"['0.05000000', '0.01000000', '0.04000000', '0.00002022']"
160,"['0.05900000', '0.01500000', '0.01990000', '0.00057866', '0.00579344']"
161,['0.96236449']
162,['0.00700000']
163,"['0.00021000', '0.00268182', '0.00084400', '0.00024992', '0.00007270']"
164,['0.00963986']
165,"['0.00463228', '0.00038000']"
166,['0.00199320']
167,['0.00800000']
168,"['0.00000497', '0.01000000']"
169,"['0.00000899', '0.00100000']"
170,"['0.00004048', '0.01000000']"
171,"['0.00010000', '0.00129527']"
172,['0.00499480']
173,"['0.00090000', '0.00371975']"
174,"['0.00001718', '0.00500000']"
175,['0.02000000']
176,"['0.00979263', '0.00040000', '0.00011409']"
177,"['0.00980000', '0.00250000']"
178,['0.02471042']
179,['0.00179185']
180,['0.00142771']
181,['0.86235944']
182,['0.03300000']
183,['1.99509851']
184,['0.02215496']
185,['0.00106118']
186,['0.00078250']
187,['0.01403148']
188,['0.05000000']
189,"['0.00017000', '0.01101875']"
190,['0.00287883']
191,['0.00318000']
192,['2.98530418']
