id,input_amounts
0,['0.00329000']
1,['0.00794500']
2,['3.00000000']
3,['0.00483000']
4,"['0.00329000', '0.00011747']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['0.01570000']
9,"['0.00329400', '0.00329400']"
10,['0.01467280']
11,['0.00329600']
12,"['0.00008310', '0.00006396']"
13,['0.01569000']
14,['0.00980000']
15,['0.00500000']
16,['0.00103200']
17,['0.01000000']
18,['0.01452910']
19,['5.00000000']
20,['0.00100000']
21,['0.02500000']
22,['1.00000000']
23,['0.01451763']
24,['0.00967937']
25,"['0.00331400', '0.00004881']"
26,"['0.00050000', '0.00064468', '0.00090000']"
27,"['0.00109000', '0.00000100', '0.00010000', '0.00000200', '0.00095187', '0.00014860', '0.00100000', '0.00014860']"
28,['0.00331400']
29,"['0.00780345', '0.00018483']"
30,['0.00390000']
31,['0.00503129']
32,"['0.00030000', '0.00023909', '0.00056976', '0.00055849', '0.00168994']"
33,['0.00540943']
34,['0.00692843']
35,['0.00100000']
36,['0.00359028']
37,"['0.00003107', '0.00203532', '0.00069425', '0.00058479']"
38,['0.00777870']
39,['0.00444832']
40,"['0.00111807', '0.00300000']"
41,['0.00940000']
42,['0.00607425']
43,['0.00408565']
44,['0.01000000']
45,"['0.00020000', '0.00086152']"
46,['0.00088307']
47,['0.00300000']
48,"['0.00010863', '0.00011000']"
49,['0.00494133']
50,"['0.00171090', '0.00212652']"
51,['0.01000000']
52,"['0.00034660', '0.00331533']"
53,['0.01010000']
54,['0.00676386']
55,['0.00343427']
56,['0.01115876']
57,['0.00815463']
58,['0.00482369']
59,"['0.00149379', '0.00076900', '0.00067782', '0.00010565']"
60,['0.01300000']
61,['0.00966697']
62,"['0.02381736', '0.00048840']"
63,['0.00633534']
64,"['0.00300239', '0.00000986', '0.00032960']"
65,['0.02096977']
66,['0.01763975']
67,['0.01431104']
68,['0.01097180']
69,['0.00764268']
70,['0.00431416']
71,['0.03535793']
72,['0.03214014']
73,['0.03012986']
74,['0.02692031']
75,['0.02358954']
76,['0.02028512']
77,['0.01688678']
78,['0.01355324']
79,['0.01020553']
80,['0.00687139']
81,['0.99786091']
82,['0.00353695']
83,"['0.00003546', '2.99664529', '0.00131033']"
84,['0.00910000']
85,['0.00576575']
86,['0.98852865']
87,['0.00275830']
88,['0.01714000']
89,['0.01448214']
90,['0.01114464']
91,['0.96804592']
92,['0.00103265']
93,['0.03000000']
94,"['0.00100000', '0.00116387']"
95,['0.00781371']
96,['0.00300000']
97,['2.00000000']
98,"['0.00015250', '0.01490000']"
99,"['0.00100000', '0.00003445', '0.00098946']"
100,"['0.00480000', '0.00019922']"
101,['0.00580908']
102,"['0.00122724', '0.00080000']"
103,"['0.00298837', '0.00002104']"
104,"['0.00002942', '0.00100000']"
105,"['0.00100000', '0.00001839', '0.00100000', '0.00100000']"
106,['0.00200000']
107,"['0.00107722', '0.00006080', '0.00100000']"
108,"['0.00100000', '0.00001825']"
109,"['0.00200000', '0.00300000']"
110,['0.00120000']
111,"['0.00046318', '0.00007151']"
112,"['0.00200000', '0.00087643', '0.00120000', '0.00009442']"
113,['0.00370000']
114,"['0.00480000', '0.00010000', '0.00480000']"
115,"['0.00040000', '0.00059210', '0.00002733', '0.00001279']"
116,['0.00390000']
117,['0.00018443']
118,"['0.00004067', '0.00454585', '0.00100000']"
119,"['0.00300000', '0.00000903']"
120,"['0.00006000', '0.00025639', '0.00090000', '0.00432545', '0.00091371', '0.00010000', '0.00270000', '0.00001929']"
121,"['0.00341677', '0.00163049']"
122,"['0.00008000', '0.00004010', '0.00228044', '0.00100000']"
123,"['0.00090000', '0.00592000', '0.00171142']"
124,['0.95304229']
125,"['0.00464370', '0.00110000', '0.00444318']"
126,"['0.01000000', '0.00016528', '0.00490000']"
127,['0.00290000']
128,['0.00169500']
129,"['0.00300000', '0.00034550']"
130,['0.00790000']
