id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00000953,0.00006753,0.0000675886524823,knapsack,1,0,2,0.00018047,22,22,670
1,0.00010100,0.00001419,0.00010060,0.000100638297872,knapsack,1,0,2,0.00003341,22,22,997
2,0.00329400,0.00002000,0.00010498,0.000181818181818,bnb,1,0,1,,22,21,879
3,0.00410100,0.00001486,0.00010539,0.000105390070922,knapsack,1,0,2,0.00071414,21,21,1044
4,0.00329000,0.00000400,0.00002392,0.0000363636363636,bnb,1,0,1,,21,20,-381
5,0.00319400,0.00001342,0.00006448,0.0000645192307692,srd,2,0,2,3.99682599,20,19,398
6,0.00040100,0.00001425,0.00010103,0.000101063829787,knapsack,1,0,2,0.00029889,19,19,1002
7,0.00262000,0.00001137,0.00008057,0.0000806382978723,knapsack,1,0,2,0.00065863,19,19,798
8,0.00100000,0.00001477,0.00010471,0.000104751773050,srd,1,0,2,0.00838523,19,19,1038
9,0.00650000,0.00001820,0.00008749,0.0000875000,knapsack,2,0,2,0.00006980,20,19,782
10,0.00014000,0.00000860,0.00003422,0.0000781818181818,bnb,1,0,1,,19,18,36
11,0.00310000,0.00001242,0.00005971,0.0000597115384615,srd,2,0,2,5.00018158,25,24,320
12,0.00010100,0.00002838,0.00020127,0.000201276595745,srd,1,0,2,0.99987062,25,25,1993
13,0.00113200,0.00002663,0.00013044,0.000150451977401,bnb,2,0,1,,25,23,755
14,0.00010200,0.00001944,0.00013783,0.000137872340426,srd,1,0,2,0.00487856,23,23,1366
15,0.00400000,0.00003939,0.00027934,0.000279361702128,srd,1,0,2,0.99583123,29,29,2766
16,0.00100000,0.00003200,0.00025222,0.000290909090909,bnb,1,0,1,,29,28,1460
17,0.00300000,0.00003562,0.00025260,0.000252624113475,knapsack,1,0,2,0.00026038,30,30,2502
18,0.00665800,0.00002680,0.00019006,0.000190070921986,srd,1,0,2,1.99331520,30,30,1883
19,0.00110000,0.00002092,0.00014830,0.000148368794326,srd,1,0,2,4.99906066,30,30,1469
20,0.00090000,0.00002385,0.00016908,0.000169148936170,srd,1,0,2,2.99907615,30,30,1675
21,0.00110000,0.00002620,0.00018578,0.000185815602837,srd,1,0,2,0.00867380,30,30,1840
22,0.00209300,0.00002370,0.00016808,0.000168085106383,srd,1,0,2,0.00798330,30,30,1665
23,0.00332600,0.00002331,0.00016531,0.000165319148936,srd,1,0,2,0.00665069,30,30,1638
24,0.00424600,0.00002352,0.00016675,0.000166808510638,srd,1,0,2,0.00573048,30,30,1651
25,0.00333000,0.00003212,0.00022774,0.000227801418440,srd,1,0,2,2.99571403,30,30,2255
26,0.00200000,0.00003594,0.00025488,0.000254893617021,srd,1,0,2,3.99479005,30,30,2525
27,0.00337500,0.00004763,0.00024158,0.000269096045198,bnb,2,0,1,,30,28,2388
28,0.00300000,0.00002692,0.00019090,0.000190921985816,srd,1,0,2,4.99603374,28,28,1891
29,0.00294600,0.00001756,0.00012449,0.000124539007092,srd,1,0,2,3.99182649,28,28,1233
30,0.00332500,0.00002334,0.00016547,0.000165531914894,srd,1,0,2,0.00330235,29,29,1639
31,0.00332500,0.00002857,0.00020258,0.000202624113475,srd,1,0,2,0.00237691,29,29,2006
32,0.00330000,0.00003154,0.00022367,0.000223687943262,srd,1,0,2,0.00154702,29,29,2215
33,0.00336300,0.00003935,0.00018471,0.000222316384181,bnb,2,0,1,,29,27,1799
34,0.00333400,0.00003530,0.00005433,0.0000684108527132,bnb,7,0,1,,30,23,-1459
35,0.00030000,0.00001570,0.00011128,0.000111347517730,knapsack,1,0,2,0.00068430,23,23,1102
36,0.00300100,0.00002971,0.00021068,0.000210709219858,srd,1,0,2,0.02196929,23,23,2087
37,0.00332900,0.00001593,0.00004628,0.0000463081395349,knapsack,4,2,2,0.00003498,24,21,-636
38,0.00332700,0.00000472,0.00002268,0.0000226923076923,knapsack,2,0,2,0.00035258,21,20,-299
39,0.00332700,0.00000665,0.00004712,0.0000471631205674,knapsack,1,0,2,0.00056635,20,20,468
40,0.00322700,0.00002235,0.00015844,0.000158510638298,srd,1,0,2,3.98857714,20,20,1570
41,0.00332000,0.00004303,0.00030512,0.000305177304965,srd,1,0,2,0.01860626,20,20,3021
42,0.00198400,0.00004947,0.00035080,0.000350851063830,srd,1,0,2,0.99379776,21,21,3474
43,0.00322000,0.00005510,0.00039072,0.000390780141844,srd,1,0,2,0.99052266,21,21,3869
44,0.00505500,0.00008670,0.00061489,0.000614893617021,knapsack,1,0,2,0.00280330,23,23,6089
45,0.00105000,0.00014012,0.00099370,0.000993758865248,srd,1,0,2,0.00748368,24,24,9839
46,0.00020000,0.00015258,0.00094015,0.00138709090909,knapsack,1,0,1,,24,23,9309
47,0.00086900,0.00013100,0.00092398,0.00119090909091,bnb,1,0,1,,23,22,8539
48,0.00020400,0.00013618,0.00096578,0.000965815602837,knapsack,1,0,2,0.00022617,23,23,9562
49,0.00322600,0.00013070,0.00092693,0.000926950354610,srd,1,0,2,3.98522044,23,23,9178
50,0.00334300,0.00013270,0.00094109,0.000941134751773,srd,1,0,2,4.99255804,23,23,9318
51,0.00668000,0.00011776,0.00083513,0.000835177304965,srd,1,0,2,0.00158747,23,23,8268
52,0.00332500,0.00012792,0.00090717,0.000907234042553,srd,1,0,2,0.00654708,23,23,8982
53,0.00332500,0.00007267,0.00051533,0.000515390070922,srd,1,0,2,0.00960233,23,23,5103
54,0.00332500,0.00004131,0.00029292,0.000292978723404,srd,1,0,2,0.03199162,23,23,2901
55,0.00332500,0.00004727,0.00033519,0.000335248226950,srd,1,0,2,3.98184817,23,23,3320
56,0.00300000,0.00005546,0.00039329,0.000393333333333,srd,1,0,2,0.01555080,23,23,3895
57,0.00332700,0.00007122,0.00050508,0.000505106382979,srd,1,0,2,0.00458508,23,23,5001
58,0.00332500,0.00007152,0.00050722,0.000507234042553,srd,1,0,2,0.00315056,23,23,5023
59,0.00300000,0.00011000,0.00054847,0.000621468926554,bnb,2,0,1,,23,21,7336
60,0.00332700,0.00007055,0.00050031,0.000503928571429,srd,1,0,2,0.01230245,21,21,4954
61,0.00332700,0.00007185,0.00050953,0.000509574468085,srd,1,0,2,0.98712381,21,21,5045
62,0.00332800,0.00006353,0.00045050,0.000450567375887,srd,1,0,2,1.98992367,21,21,4461
63,0.00332900,0.00008997,0.00063805,0.000638085106383,srd,1,0,2,3.97842920,21,21,6317
64,0.00333000,0.00016716,0.00092840,0.000944406779661,bnb,2,0,1,,21,19,11456
