id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,"['4.00000000', '0.00003341']"
6,['0.00071414']
7,['0.00329000']
8,['0.00940000']
9,"['0.00329400', '0.00329400']"
10,['0.00014860']
11,"['0.00329400', '5.00000000']"
12,['1.00000000']
13,"['0.00050000', '0.00065863']"
14,['0.00500000']
15,['0.99987062']
16,['0.00103200']
17,['0.00329600']
18,['2.00000000']
19,['5.00018158']
20,['3.00000000']
21,['0.00980000']
22,['0.01010000']
23,['0.01000000']
24,['0.01000000']
25,['2.99907615']
26,['3.99682599']
27,"['0.00331400', '0.00010863']"
28,['4.99906066']
29,['3.99479005']
30,['0.00665069']
31,['0.00573048']
32,['0.00487856']
33,"['0.00330235', '0.00010000']"
34,"['0.00109000', '0.00006980', '0.00018047', '0.00029889', '0.00056976', '0.00026038', '0.00090000']"
35,['0.00100000']
36,['0.02500000']
37,"['0.00237691', '0.00100000', '0.00000200', '0.00000100']"
38,"['0.00068430', '0.00300000']"
39,['0.00390000']
40,['3.99182649']
41,['0.02196929']
42,['0.99583123']
43,['0.99379776']
44,['0.00794500']
45,['0.00867380']
46,['0.00035258']
47,['0.00100000']
48,['0.00056635']
49,['3.98857714']
50,['4.99603374']
51,['0.00838523']
52,['0.01000000']
53,['0.01300000']
54,['0.03535793']
55,['3.98522044']
56,['0.01860626']
57,['0.00798330']
58,['0.00654708']
59,"['0.00011000', '0.00300000']"
60,['0.01570000']
61,['0.99052266']
62,['1.99331520']
63,['3.98184817']
64,"['0.00034660', '0.00315056']"
65,['4.99255804']
66,['4.98910734']
67,['0.00458508']
68,['2.99571403']
69,['2.99233743']
70,['0.01555080']
71,['4.98569270']
72,['3.97842920']
73,['0.01248486']
74,['0.01230245']
75,['0.03199162']
76,"['0.00154702', '4.98241869']"
77,['2.98896212']
78,['0.00891763']
79,['0.00748368']
80,"['4.98045790', '0.00280330']"
81,"['0.00546978', '0.00402776']"
82,['2.98552648']
83,['0.00960233']
84,['0.00910000']
85,['0.98712381']
86,['1.98992367']
87,['0.01714000']
88,['0.00557283']
89,['0.02862778']
90,['3.97636346']
91,"['0.01569000', '0.00020000', '0.01524748']"
92,['4.97973908']
93,['0.98394328']
94,['2.98203369']
95,['0.02512942']
96,['2.97976485']
97,['0.00116387']
98,['0.03000000']
99,['0.01490000']
100,['0.00480000']
101,['0.00607713']
102,['0.01780000']
103,['0.01569440']
104,['0.00107722']
105,"['0.00076900', '0.00300000']"
106,['0.00500000']
107,['0.00444318']
108,['0.00480000']
109,['2.97764283']
110,['0.00119043']
111,['0.00063784']
112,['0.00800000']
113,['0.00921203']
114,['0.01250916']
115,['0.00790000']
116,"['0.00370000', '0.00007046']"
117,['0.00341677']
118,['4.97858952']
119,['0.00710200']
120,"['0.00323684', '0.00606085']"
121,"['0.00500000', '0.00003498']"
122,"['0.00140544', '0.00200000']"
123,"['0.00338410', '0.00290000', '0.00226059']"
124,"['0.00100000', '0.00022617', '0.00007955', '0.00100000', '0.00040000', '0.00407005', '0.00087643', '0.00010000', '0.00006000', '0.00025639']"
125,"['0.00158747', '0.00090000', '0.00090000', '0.00171142', '0.00006080', '0.00080000', '0.00100000', '0.00008000', '0.00300000']"
126,"['0.00169500', '0.00100000', '0.00592000', '0.00374069', '0.00270000']"
127,['0.02287324']
128,['0.00163049']
129,"['0.00300000', '0.00025846']"
130,"['0.00110000', '0.00275467', '0.00228044']"
131,"['0.00271164', '0.00100000', '0.00120000', '0.00001606', '0.00120000']"
132,['0.00800000']
133,"['0.00480000', '0.00163723', '0.00464370']"
134,"['0.00100000', '0.00100000', '0.00091371']"
135,"['0.00100000', '0.00049540', '0.00010000', '0.00006348', '0.00213902', '0.00226500', '0.00381448', '0.00013448']"
136,['0.01490488']
137,['0.00685384']
138,['0.00500000']
139,['1.96928004']
140,"['0.00490000', '0.00360000', '0.00454585']"
141,['0.97377502']
142,"['0.00100000', '0.00100000', '0.00069882']"
143,['0.00069448']
144,"['0.00023815', '0.00100000', '0.00100000']"
145,"['0.00300000', '0.00327962', '0.00300000']"
146,"['0.00012063', '0.00300000']"
147,['0.00180000']
148,"['0.00200000', '0.00006422', '0.00011922', '0.00070000', '0.00290000']"
149,"['0.00500000', '0.00482917']"
150,"['0.00500000', '0.00280000', '0.00200000']"
151,"['0.03500000', '0.00002476', '1.96765426']"
152,['0.00500000']
153,"['0.00200000', '0.01279713', '1.94361260']"
154,['0.01000000']
155,['0.00980000']
156,"['0.00500000', '0.01579146', '0.00390000', '0.06000000', '0.00600000', '0.00488886', '0.00600000', '0.00656196', '0.00090000', '0.00007214', '0.00296409', '0.00040000', '0.00860000']"
157,['0.00880000']
158,['0.00090000']
159,"['0.05000000', '0.00900000', '0.02084467', '0.00522434', '0.01500000']"
160,['2.97265864']
161,"['0.01000000', '0.02000000', '0.05900000', '0.01109159']"
162,['0.00700000']
163,"['0.00263338', '0.00021000', '0.00084400', '0.00038000']"
164,['0.00880000']
165,"['0.00199230', '0.00379463']"
166,['0.00076676']
167,['0.00800000']
168,"['0.00004940', '0.00017000', '0.00006100', '0.00969612', '0.00005630']"
169,['0.00498884']
170,"['0.00100000', '0.00010000', '0.00900000']"
171,['0.00396824']
172,['0.00259548']
173,['0.00963986']
174,"['0.00500000', '0.00005268']"
175,"['0.00040000', '0.01000000']"
176,"['0.00004995', '0.01000000', '0.00019792']"
177,"['0.00980000', '0.00090000']"
178,"['0.01000000', '0.00019536', '0.01990000']"
179,['0.00132310']
180,['0.00102168']
181,['0.04000000']
182,"['0.00250000', '0.01000000']"
183,"['0.01000000', '0.00071377']"
184,['0.02967221']
185,['0.00038709']
186,['0.00169631']
187,"['0.00106189', '0.01000000']"
188,['0.01450000']
189,"['0.00090000', '0.01000000', '0.00017178', '0.00003721']"
190,['0.00500000']
191,['0.00298250']
192,"['0.01000000', '0.00039486', '0.00170000', '0.00004582']"
193,['4.97293179']
194,['3.97285822']
195,['0.00180000']
196,"['0.00513576', '0.00044827', '0.01000000']"
197,['0.05000000']
198,"['0.00014000', '0.00086462', '0.00028000']"
199,['0.03300000']
200,"['0.00010000', '0.00099000', '0.00100000']"
201,['0.00900000']
202,['0.00050000']
203,"['0.01680000', '0.01090000']"
204,['0.09980000']
205,"['0.00900000', '0.00318000', '0.00028005', '0.00066101', '0.00001005']"
206,['4.96191370']
207,['0.07024500']
208,['0.04897807']
209,['0.00137648']
210,['0.00028154']
211,['0.06000000']
212,"['0.02400000', '0.02000000', '0.05616667']"
213,"['0.01570000', '0.09878309', '0.00005460']"
214,['0.05000000']
215,"['0.00400000', '0.02900000', '0.00039116', '0.01855320', '0.02310000']"
216,"['0.00005460', '0.00019558', '0.00390000', '0.00097600', '0.00200000', '0.00290000']"
217,['2.87263977']
218,['0.09990000']
219,['0.00090000']
220,['0.00069757']
221,"['0.01944692', '0.04487885', '0.04973126', '0.01030000']"
