id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['2.00000000']
7,['0.00329400']
8,['0.00794500']
9,"['0.00500000', '0.00003341', '0.00066263', '0.00071414', '0.00014860']"
10,['0.00018047']
11,"['0.00002273', '0.01570000', '0.00329600']"
12,['1.99958475']
13,['0.00329400']
14,['3.00000000']
15,['0.02500000']
16,['0.00103200']
17,['0.01569000']
18,"['0.00331400', '0.00329400', '0.00010000']"
19,['0.00980000']
20,['0.00100000']
21,"['0.00050000', '0.00056976', '0.00007615']"
22,['0.00390000']
23,['0.01000000']
24,['0.01000000']
25,['0.01010000']
26,['0.00673788']
27,['0.00867908']
28,['0.00527001']
29,"['0.00109000', '0.00010863', '0.00178330']"
30,['1.00000000']
31,['0.00573048']
32,['0.99665166']
33,['0.00693023']
34,"['0.00003564', '0.00008690', '0.00000200', '0.00000100', '0.00224309', '0.00100000']"
35,['0.00090000']
36,['0.02096061']
37,"['0.00100000', '0.00237691']"
38,['0.00354118']
39,"['0.00058430', '0.00300000']"
40,['0.00470194']
41,['0.99332012']
42,['0.00940000']
43,"['0.00145259', '0.00214360']"
44,['0.00665069']
45,['0.00150899']
46,['0.00031887']
47,['0.00300000']
48,['0.00200071']
49,['0.00736653']
50,['0.00400983']
51,['0.01000000']
52,['2.99987856']
53,['0.03535793']
54,"['0.01300000', '0.00320224']"
55,['0.03196026']
56,['5.00000000']
57,"['0.01792990', '0.00076900', '0.00011000']"
58,['0.01265438']
59,['4.99694454']
60,['0.00925786']
61,['0.00586031']
62,['4.99386720']
63,['2.99642564']
64,['0.01534249']
65,"['0.02858799', '0.00053413']"
66,['1.99945537']
67,['0.01188158']
68,['0.00848693']
69,"['0.01590225', '0.00166053']"
70,"['0.00029492', '2.99300667']"
71,['4.99047567']
72,['0.00246146']
73,['0.00511033']
74,['0.01281631']
75,['0.00943149']
76,['0.00606765']
77,['0.01416357']
78,['0.98995709']
79,['4.98720166']
80,['0.01072793']
81,"['2.99020433', '0.00259682']"
82,['0.00726801']
83,['4.98374574']
84,['4.98022054']
85,['1.99604073']
86,['0.02561170']
87,['0.00377522']
88,['0.98650924']
89,['4.00000000']
90,"['0.00021098', '1.99286020', '0.00024749']"
91,['0.98369108']
92,['0.96851431']
93,['0.96736475']
94,['0.00910000']
95,['0.03000000']
96,['0.01714000']
97,['3.99650164']
98,"['0.01490000', '3.99540823']"
99,['1.98964086']
100,['0.02774382']
101,['0.01501798']
102,['1.98753799']
103,['3.99516791']
104,['0.00107722']
105,"['0.00188270', '0.00500000']"
106,"['0.00100000', '0.95719649', '0.00006080']"
107,"['0.00200000', '0.00375154']"
108,['0.01450000']
109,"['0.00496807', '0.00003828']"
110,['0.00116387']
111,['0.95655723']
112,['1.98543239']
113,['0.01034629']
114,"['0.00444318', '0.00100000']"
115,['0.00500000']
116,['0.01000000']
117,['0.00020000']
118,['4.97669337']
119,['0.00790000']
120,['0.01780000']
121,"['0.00010000', '0.00454585', '0.00040000']"
122,"['0.00169500', '0.00171142']"
123,"['0.00002007', '0.00851285']"
124,"['0.00087643', '0.00110000', '0.00300000', '0.00091371', '0.00039572', '0.00034660', '0.00025639', '0.00100000', '0.00010000', '0.00008000']"
125,"['0.00100000', '0.00100000', '0.00228044', '0.00100000', '0.00200000', '0.00100000', '0.00006000', '0.00090000', '0.00080000']"
126,"['0.00800000', '0.00200000', '0.00163049', '0.00341677']"
127,['0.01344069']
128,['0.00183750']
129,['0.00592000']
130,"['0.00120000', '0.00100000', '0.00395384']"
131,"['0.00352971', '0.00046547', '0.00003479', '0.00120000', '0.00090000']"
132,"['0.00370000', '0.00267233']"
133,"['0.00624518', '0.00480000']"
134,['0.00290000']
135,"['0.00213902', '0.00270000', '0.00003203', '0.00049540', '0.00464370']"
136,"['0.00490000', '0.00500000', '0.00013409']"
137,['0.00226500']
138,['0.00480000']
139,['0.00480000']
140,['4.97103564']
141,['0.00360000']
142,"['0.00100000', '0.00100000', '0.00024033']"
143,['0.00069882']
144,"['0.00070000', '0.00100000', '0.00024249', '0.00023599']"
145,"['0.00100000', '0.00005664', '0.00486805', '0.00180000', '0.00157347']"
146,['0.00307962']
147,['0.00200000']
148,"['0.00280000', '0.00300000']"
149,"['0.00683116', '0.00300000']"
150,"['0.00600000', '0.00390000']"
151,"['0.00002675', '0.00317422', '0.00980000', '0.01109159', '0.03500000']"
152,['3.99198267']
153,['2.98331010']
154,['0.01000000']
155,['0.06000000']
156,"['0.00290000', '0.00090000', '0.01141212', '0.00880000', '0.00031922', '0.00300000', '0.00017432', '0.00719511', '0.02565546', '0.00040000', '0.00003189', '0.05676196', '0.00263338', '0.00090000']"
157,['0.00500000']
158,['0.00142434']
159,"['3.98994676', '0.00800000', '0.00500000', '0.01500000']"
160,['3.91788899']
161,"['0.02959206', '4.95801463', '0.00500000']"
162,"['0.00003010', '0.00500000']"
163,"['0.00300000', '0.00021000', '0.00084400']"
164,"['0.00300000', '0.01000000']"
165,['0.00600000']
166,['0.01000000']
167,['0.00700000']
168,"['0.00038000', '0.00860000', '0.00004888', '0.00001874', '0.00098633']"
169,['0.00799208']
170,"['0.00100000', '0.00900000', '0.00010000']"
171,['0.00398884']
172,['0.00261608']
173,['0.00697148']
174,"['0.00246738', '0.00134370', '0.00005268', '0.00057374', '0.00040000', '0.00017000']"
175,"['0.00963986', '0.00090000']"
176,"['0.00033778', '0.01000000']"
177,"['0.00012974', '0.00800000', '0.00250000']"
178,"['0.00500000', '0.00880000']"
179,['0.00316641']
180,['0.00286499']
181,['0.07024500']
182,"['0.00900000', '0.00255708']"
183,['4.89253092']
184,['2.93328122']
185,['0.00075339']
186,['0.01000000']
187,"['0.00969612', '0.00500000']"
188,"['0.00368005', '0.00053808', '0.01000000']"
189,"['0.00090000', '0.01000000', '0.00012359', '0.00010807']"
190,['0.00928954']
191,['0.00318000']
192,"['0.00936558', '0.00106212', '0.00170000']"
193,['0.02471042']
194,['0.05000000']
195,['0.00180000']
196,"['0.00010000', '0.01680000']"
197,['0.09980000']
198,['0.01990000']
199,"['0.00099000', '0.00002389', '0.01000000', '0.00727204', '0.00028000', '0.00044827']"
200,"['0.00066101', '0.00132526', '0.00014000']"
201,['0.00900000']
202,['0.00050000']
203,['0.95599894']
204,['0.05000000']
205,"['0.00006080', '0.00100000', '0.00090000', '0.01090000', '0.00028005']"
206,['1.98124687']
207,['0.02310000']
208,['0.01000000']
209,['0.00137648']
210,['0.00028154']
211,['3.81787012']
212,"['0.04796738', '0.02000000', '0.04000000']"
213,"['0.00229870', '0.02900000']"
214,['0.00180000']
215,"['0.00200000', '0.00005460', '0.02400000', '0.04898309']"
216,"['0.00400000', '0.00039116', '0.00153126', '0.00019558', '0.00390000', '0.00000781']"
217,"['0.00779473', '0.00900000', '0.05991721', '0.00390000', '0.01944692']"
218,"['0.00097600', '0.09877807']"
219,['0.00193800']
220,['0.00173557']
221,['1.96229852']
