id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.00794500']
7,['0.00329400']
8,['2.00000000']
9,"['0.00500000', '0.00071414', '0.00066263', '0.00014860', '0.00003341']"
10,['0.00018047']
11,['0.00329400']
12,['0.01570000']
13,['0.00329400']
14,['0.02500000']
15,['1.00000000']
16,['0.00103200']
17,['0.02487856']
18,"['0.00010000', '0.00331400', '0.00329600']"
19,"['0.00010863', '0.00003564', '0.00100000']"
20,['0.00100000']
21,"['0.00056976', '0.00050000', '0.00007615']"
22,['0.02184294']
23,['0.00940000']
24,['3.00000000']
25,"['0.00002273', '0.00109000', '0.01569000']"
26,['0.00214360']
27,['0.00390000']
28,['0.00605069']
29,['0.00302377']
30,['0.00752975']
31,['0.00418141']
32,['0.00980000']
33,['0.00646846']
34,"['0.00090000', '0.00082784', '0.00049093', '0.00006021', '0.00008690', '0.00100000']"
35,['0.00307941']
36,['0.01000000']
37,"['0.00000100', '0.00276371', '0.00000200', '0.00300000']"
38,['0.00696929']
39,['0.00363909']
40,['0.01000000']
41,['0.00675065']
42,['0.00242178']
43,['0.00338762']
44,['0.01000000']
45,['0.00300000']
46,['0.00030544']
47,['0.00180988']
48,['0.01557062']
49,['0.00485830']
50,['0.01010000']
51,['1.99898523']
52,['0.00662430']
53,"['0.01972624', '0.00020000']"
54,['2.99573048']
55,['0.99596061']
56,['0.99258834']
57,['2.99236417']
58,['0.01340987']
59,['0.01523044']
60,"['0.00081059', '4.00000000']"
61,['1.99218747']
62,['2.98896595']
63,"['0.98953288', '0.00010766']"
64,"['0.00317138', '0.00034660']"
65,['0.01001335']
66,['0.00656265']
67,['1.98878862']
68,['0.98617882']
69,['0.01300000']
70,['0.00314801']
71,['0.00962469']
72,['5.00000000']
73,['0.00635068']
74,"['2.98557442', '0.00011252']"
75,['0.03535793']
76,['0.03199409']
77,['1.98539397']
78,"['4.99793426', '0.00076900']"
79,['4.99520464']
80,['3.99737952']
81,['0.01215310']
82,['0.01649405']
83,['4.99174872']
84,['0.98280222']
85,['2.98227370']
86,"['0.00011000', '4.98822352']"
87,['1.98195833']
88,['2.97909317']
89,['0.97927505']
90,['0.01300126']
91,"['0.00307785', '0.01714000']"
92,['0.00271457']
93,['0.97577669']
94,"['0.00116387', '0.03000000']"
95,"['4.96761071', '0.00038831']"
96,['2.97627501']
97,['0.00910000']
98,"['0.00006080', '1.98006581']"
99,['3.99391960']
100,['0.01490000']
101,['0.01281164']
102,['0.00813995']
103,['0.00480000']
104,['0.00107722']
105,"['0.00150160', '0.00161476']"
106,"['0.00156501', '0.00008207']"
107,['4.96562111']
108,['4.96343852']
109,['0.00500000']
110,['0.00120000']
111,['0.00080000']
112,['0.00800000']
113,['0.00949602']
114,['0.01450000']
115,['0.96560843']
116,"['0.00800659', '0.00100000']"
117,['0.00018558']
118,['4.96237921']
119,['0.00390000']
120,"['0.00500000', '0.00090000', '0.00341677']"
121,"['0.00008000', '0.00495708']"
122,"['0.00171142', '0.00169500']"
123,"['0.00634484', '0.00100000', '0.00120000']"
124,"['0.00100000', '0.00100000', '0.00100000', '0.00003141', '0.00010000', '0.00087643', '0.00100000', '0.00006000', '0.00100000', '0.00010000', '0.00091371', '0.00100000']"
125,"['0.00200000', '0.00040000', '0.00100000', '0.00228044', '0.00110000', '0.00024171', '0.00090000', '0.00086805', '0.00100000', '0.00025639']"
126,"['0.00444318', '0.00270000', '0.00790000']"
127,['0.00290000']
128,['0.00163049']
129,"['0.00025846', '0.00300000']"
130,"['0.00454585', '0.00200000']"
131,"['0.00490000', '0.00043149', '0.00087143']"
132,"['0.00360000', '0.00300000']"
133,"['0.00300000', '0.00480000', '0.00022641', '0.00300000']"
134,['0.00370000']
135,"['0.00900000', '0.00093409', '0.00008362']"
136,['0.02852326']
137,['0.00213902']
138,['0.00200000']
139,['0.00592000']
140,"['0.00049540', '0.00600000', '0.00226500', '0.00429422']"
141,['0.01109159']
142,"['0.00100000', '0.00001219', '0.00100000']"
143,['0.00069882']
144,"['0.00011435', '0.00200000']"
145,"['0.00024249', '0.00300000', '0.00603435']"
146,['0.00906506']
147,['0.00180000']
148,"['0.00480000', '0.00027962', '0.00070000']"
149,"['0.00600000', '0.00381448']"
150,"['0.00464370', '0.00500000', '0.00011922']"
151,"['0.00500000', '0.03500000', '0.00909284', '0.00500000', '0.00500000']"
152,['0.00601554']
153,"['0.02876728', '0.96456227']"
154,['0.01000000']
155,['0.01500000']
156,"['0.01680000', '0.00090000', '0.00900000', '0.00523000', '0.00003506', '0.00860000', '0.00040000', '0.00090000', '0.00969612', '0.00263338', '0.06000000', '0.00397963', '0.00001007', '0.00290000']"
157,['0.00500000']
158,['0.00142434']
159,"['0.00980000', '0.01850724', '0.04000000', '0.01176196', '0.02000000']"
160,"['0.00057374', '4.95672148']"
161,['3.99181673']
162,"['0.00280000', '0.00300000']"
163,['0.00700000']
164,"['0.00021000', '0.00078864', '0.00299738', '0.00084400', '0.00038000']"
165,['0.00800000']
166,['0.00298633']
167,['0.00800000']
168,"['0.01000000', '0.00017000']"
169,['3.89177802']
170,"['0.00010000', '0.00015474', '0.00880000', '0.00100000']"
171,['0.00227587']
172,"['0.00090311', '0.00040000']"
173,['0.00498884']
174,"['0.00002865', '0.00500000']"
175,"['0.01000000', '0.00020435']"
176,"['0.01000000', '0.00048474']"
177,"['0.00963986', '0.00090000']"
178,"['0.00250000', '0.00880000']"
179,"['0.00027670', '0.00002592']"
180,['0.00066641']
181,['0.02959206']
182,['0.01780000']
183,['0.05000000']
184,['0.09980000']
185,['0.00035850']
186,['0.00500000']
187,"['0.00436558', '0.01000000']"
188,"['0.01000000', '0.00334951', '0.00090000']"
189,"['0.00699750', '0.00980000', '0.00013945']"
190,['0.00583072']
191,['0.00318000']
192,"['0.00170000', '0.01000000', '0.00106212']"
193,"['0.01000000', '0.00003522', '0.00100000']"
194,['0.01926427']
195,['0.00180000']
196,"['0.01723165', '0.01000000']"
197,['0.09990000']
198,"['0.00028000', '0.00014000', '0.00014319', '0.00010000', '0.00063755']"
199,['0.05000000']
200,"['0.00066101', '0.00044827', '0.00099000']"
201,['0.00900000']
202,['0.00050000']
203,['0.94328695']
204,"['0.00006080', '0.00090000', '0.00007507']"
205,"['0.00028005', '0.00200000', '0.01090000']"
206,"['0.00900000', '0.01000000']"
207,['0.02471042']
208,['0.03300000']
209,['0.00137648']
210,['0.00028154']
211,['0.03000000']
212,"['0.09887807', '0.06000000']"
213,['0.91559599']
214,"['0.01000000', '0.00005460']"
215,"['0.00039116', '0.06000000', '0.00390000', '0.00097600', '0.00977695']"
216,"['0.00002963', '0.01000000']"
217,"['0.05874795', '0.00180000', '0.01950000', '0.02000000']"
218,"['0.00381322', '0.00001784', '0.00229870', '0.02400000']"
219,"['0.00005460', '0.00019558']"
220,['0.00193800']
221,"['0.00400000', '1.96498629']"
