id,input_amounts
0,"['4.00000000', '0.00014860']"
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.00071414']
7,['0.00329000']
8,"['0.00329600', '0.00065863']"
9,"['0.00293285', '0.00329400', '0.00029889']"
10,['0.00329400']
11,['0.00314917']
12,"['0.00004075', '0.00010000']"
13,['0.00329400']
14,['0.00050000']
15,['0.01000000']
16,['0.00103200']
17,"['0.02500000', '0.00037856']"
18,['2.00000000']
19,['0.00214360']
20,['0.00100000']
21,['0.01000000']
22,['0.00500000']
23,['0.00596061']
24,"['0.00090000', '0.00007615', '0.00331400']"
25,['5.00000000']
26,['1.99331520']
27,['0.00887380']
28,['0.01010000']
29,"['0.00008690', '0.00288330']"
30,['0.01570000']
31,['0.00546473']
32,['3.00000000']
33,['0.02232601']
34,"['0.00100000', '0.00102268', '0.00056976', '0.00100000', '0.00000100', '0.00000200']"
35,['0.00794500']
36,['0.00980000']
37,"['0.00010863', '0.00023541', '0.00300000']"
38,"['0.00261130', '0.00109000']"
39,['0.00390000']
40,['0.00676929']
41,['0.00351994']
42,['0.00211116']
43,['0.00707308']
44,['0.00762930']
45,['0.00248760']
46,['0.00036958']
47,['0.00129748']
48,['0.03535793']
49,['0.03501775']
50,['0.01569000']
51,['1.99127926']
52,"['1.00000000', '0.00015691']"
53,"['0.00011000', '0.01893696']"
54,['2.99666846']
55,['0.03166105']
56,['0.01221430']
57,['0.01300000']
58,['0.01000000']
59,['4.99663788']
60,['0.00915884']
61,['0.01561477']
62,['0.01235166']
63,['0.00940000']
64,['0.02828878']
65,['4.99356054']
66,['0.02482787']
67,['2.99330215']
68,['0.00598103']
69,['0.99664321']
70,['0.00660348']
71,['0.02141323']
72,['0.01221592']
73,['1.98448150']
74,['0.00896013']
75,['1.98120867']
76,['3.99703455']
77,"['4.99010984', '0.00300000']"
78,"['0.00353754', '4.98962258']"
79,['0.00557531']
80,"['0.00056635', '0.01813922']"
81,"['0.00260443', '1.97784483', '0.00576129']"
82,['3.99356372']
83,['0.01015018']
84,['0.01518345']
85,['0.00379798']
86,"['0.00910000', '0.00211939', '0.00960178']"
87,['3.99007093']
88,['0.00662498']
89,['0.00380682']
90,['0.01165628']
91,['0.01714000']
92,['3.98817841']
93,['3.98702885']
94,['4.98966150']
95,['3.97686059']
96,"['0.00196323', '0.00020000']"
97,['4.98739266']
98,['0.01780000']
99,['0.03000000']
100,['2.98990750']
101,['0.00815104']
102,['0.00270488']
103,"['0.00100000', '0.00300000']"
104,['0.00107722']
105,['0.01490000']
106,['4.98629925']
107,['0.99326790']
108,['0.00800000']
109,"['0.00100000', '0.00480000']"
110,['0.00116387']
111,['1.97666620']
112,['0.01181109']
113,['0.00480000']
114,"['0.00444318', '0.00059928', '0.00040000']"
115,['0.00341677']
116,['0.00500000']
117,['4.98468335']
118,['0.01450000']
119,"['0.00034660', '0.00270000']"
120,"['0.00163049', '0.00006080', '0.00762557']"
121,"['0.00500000', '0.00003341']"
122,"['0.00171142', '0.00169500']"
123,"['0.00370000', '0.00360000', '0.00124518']"
124,"['0.00003701', '0.00080000', '0.00025639', '0.00029819', '0.00072674', '0.00008000', '0.00010000', '0.00454585', '0.00030846', '0.00006000', '0.00010000', '0.00076900']"
125,"['0.00087643', '0.00100000', '0.00120000', '0.00091371', '0.00100000', '0.00078531', '0.00100000', '0.00007769', '0.00100000', '0.00120000', '0.00100000']"
126,"['0.00237061', '0.00061745', '0.00164882', '0.00347935', '0.00694069']"
127,['0.00592000']
128,['0.00464370']
129,['0.01109159']
130,"['0.00090000', '0.00200000', '0.00327167']"
131,"['0.00290000', '0.00005262', '0.00228044', '0.00090000']"
132,['0.99108531']
