id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.00331400']
7,['0.00289875']
8,['0.00329400']
9,"['0.00071414', '0.00014860', '0.00227923', '0.00003341', '0.00329400', '0.00008690']"
10,['0.00018047']
11,['0.00329400']
12,['0.00018558']
13,['0.00329600']
14,['0.01570000']
15,['0.01000000']
16,['0.00103200']
17,"['0.02500000', '0.00050000']"
18,"['0.01569000', '0.00010863']"
19,"['0.00109000', '0.00001437', '0.00003564']"
20,['0.00100000']
21,['4.00000000']
22,['2.00000000']
23,['0.00794500']
24,['0.00596061']
25,['3.00000000']
26,['0.00459569']
27,['3.99887380']
28,['0.00940000']
29,"['0.00056976', '0.00026738', '0.00214560']"
30,['0.00980000']
31,"['0.01000000', '0.00007615']"
32,['3.99546473']
33,['0.00910109']
34,"['0.00000100', '0.00000200', '0.00090000', '0.00255975']"
35,['0.00100000']
36,['0.00500000']
37,"['0.00068430', '0.00100000', '0.00169109']"
38,['0.00390000']
39,"['0.00056980', '0.00300000']"
40,['0.00571204']
41,['2.99663788']
42,['0.00637308']
43,['0.00433961']
44,['3.99213319']
45,['0.00670901']
46,['1.99788330']
47,['0.00106451']
48,['0.00246269']
49,"['0.00196929', '3.98699149']"
50,['0.03535793']
51,['1.00000000']
52,['2.99327485']
53,"['0.01300000', '0.00011006']"
54,['0.01000000']
55,['0.00967787']
56,['0.02244745']
57,"['1.99755073', '0.00300000']"
58,['3.98554197']
59,['0.99320224']
60,"['1.99711867', '0.00006522']"
61,['2.98982193']
62,['5.00000000']
63,['0.01939199']
64,"['0.03188223', '0.00010000']"
65,['0.00551889']
66,['0.01010000']
67,['0.99012490']
68,['3.98214545']
69,"['4.99660847', '0.00005620']"
70,['0.00630560']
71,['0.00668536']
72,['0.00206819']
73,['0.98673025']
74,['3.97876885']
75,['0.01597302']
76,['3.97538403']
77,['4.99326546']
78,['0.00645166']
79,"['0.00341135', '0.00011000']"
80,"['0.00300381', '0.00034660', '0.00023299']"
81,['2.98642308']
82,['3.97191320']
83,['0.00663369']
84,['0.01557856']
85,['4.98982982']
86,['4.98664929']
87,['0.00212251']
88,['0.00310849']
89,['0.01714000']
90,['2.97698455']
91,['2.97347931']
92,"['0.00100000', '0.00020000']"
93,['0.01205139']
94,['0.03000000']
95,['0.02845912']
96,['0.01364164']
97,['0.00116387']
98,"['0.00022999', '0.01490000']"
99,['0.00480000']
100,['0.98345742']
101,['1.99375282']
102,['0.02620294']
103,['0.00910000']
104,['0.00107722']
105,['0.01780000']
106,['4.96600566']
107,['0.00480000']
108,"['0.00029033', '0.00080000']"
109,['0.00800000']
110,['0.00120000']
111,['0.00076900']
112,['0.01151962']
113,"['0.00003141', '0.00790000']"
114,"['0.00500000', '0.00270000']"
115,['0.00370000']
116,['1.98908113']
117,['0.00500000']
118,"['0.00341677', '0.00227090']"
119,"['0.00003361', '0.00301581']"
120,"['0.00454585', '0.00475591']"
121,"['0.00228044', '0.00007046', '0.00269713']"
122,"['0.00169500', '0.00171142']"
123,"['0.00261741', '0.00591476']"
124,"['0.00025639', '0.00290000', '0.00091371', '0.00006080', '0.00008000', '0.00100000', '0.00010000', '0.00006000', '0.00100000', '0.00021071', '0.00110000', '0.00040000']"
125,"['0.00100000', '0.00100000', '0.00090000', '0.00323966', '0.00090000', '0.00100000', '0.00100000', '0.00100000']"
126,"['0.00188313', '0.00592000', '0.00100000', '0.00360000', '0.00265384']"
127,['0.02409734']
128,['0.00163049']
129,"['0.00300000', '0.00025846']"
130,"['0.00010000', '0.00482007', '0.00120000']"
131,"['0.00100000', '0.00444318', '0.00087643']"
132,['1.98532631']
133,"['0.00464370', '0.01000000']"
134,['0.00300000']
135,"['0.00200000', '0.00733410', '0.00020031', '0.00049540']"
136,"['0.01000000', '0.00002293']"
137,['0.00213902']
138,['0.00200000']
139,['0.00200000']
140,['0.01450000']
141,['0.00363055']
142,"['0.00069882', '0.00100000', '0.00011435', '0.00023409']"
143,"['0.00027962', '0.00037422']"
144,"['0.00070000', '0.00147899']"
145,"['0.00019260', '0.00180000', '0.00200000', '0.00300000', '0.00004185', '0.00226500']"
146,['0.00880000']
147,['0.00490000']
148,"['0.00480000', '0.00100000']"
149,"['0.00160402', '0.00500000', '0.00321922']"
150,"['0.00280000', '0.00003189', '0.00300000', '0.00390000']"
151,['2.95830254']
152,['0.00500000']
153,"['0.02773116', '0.01680000', '0.00263338', '0.00290000']"
154,['0.01000000']
155,"['0.00300000', '0.01500000']"
156,"['0.06000000', '0.00500000', '0.00001771', '0.01474389', '0.00600000', '0.00296409', '0.00500000', '0.00090000', '0.00969612', '0.00500000', '0.00600000', '0.00575048']"
157,"['0.00090000', '0.00300000']"
158,['0.00800000']
159,"['0.00900000', '0.98136906']"
160,"['0.00963986', '0.00032023', '0.01109159', '0.05900000', '0.02000000']"
161,"['0.04000000', '0.00900000', '0.05000000', '0.02959206']"
162,['0.00700000']
163,['0.00714940']
164,"['0.00006579', '0.00314678', '0.00021000', '0.00040000', '0.00038000', '0.00084400']"
165,['0.00860000']
166,['0.00199230']
167,"['0.00128184', '0.07024500']"
168,"['0.00002835', '0.01000000']"
169,['0.01471109']
170,"['0.00017000', '0.00100000', '0.00880000', '0.00010000']"
171,['0.00358633']
172,['0.00221357']
173,['0.00800000']
174,"['0.00001309', '0.00500000']"
175,"['0.00980000', '0.00001036', '0.00040000']"
176,"['0.01000000', '0.00090000']"
177,"['0.00001841', '0.00980000', '0.00069196']"
178,"['0.01000000', '0.00094119']"
179,['0.00030760']
180,['0.00250000']
181,['4.96438976']
182,"['0.00219209', '0.01000000']"
183,['0.06000000']
184,['0.02206877']
185,['0.00138840']
186,['0.00117309']
187,"['0.01094976', '0.00053867']"
188,"['0.00047236', '0.01369049']"
189,['0.01260918']
190,['0.05000000']
191,['0.89033413']
192,"['0.00900000', '0.00318000']"
193,['0.04968191']
194,['0.03866382']
195,['0.00349590']
196,['0.09990000']
197,['0.05000000']
198,['0.02310000']
199,"['0.08434160', '0.00150599']"
200,"['0.00099000', '0.00014000', '0.00090000']"
201,"['0.00044827', '0.00000579', '0.00500000', '0.00005527', '0.00006148', '0.00010000', '0.00028000', '0.00170000']"
202,['0.00050000']
203,['0.03000000']
204,['0.01090000']
205,"['0.00006080', '0.01000000', '0.00180000', '0.00028005', '0.00100000']"
206,"['0.00900000', '0.01000000']"
207,['0.02849762']
208,"['0.06000000', '0.00390000']"
209,['0.00180000']
210,['0.00070506']
211,"['0.01441929', '0.00400000']"
212,"['0.05975364', '0.02471042', '0.01570000']"
213,"['0.01000000', '1.97896354']"
214,['0.00039116']
215,"['0.00002963', '0.00200000', '0.02400000', '0.01990000', '0.00012242', '0.02900000']"
216,"['0.00005460', '0.00005460', '0.00000618', '0.00000781', '0.00990000']"
217,['2.89926861']
218,"['0.06851038', '0.02183090']"
219,['0.00041304']
220,['0.00021061']
