Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18508685,34.1800000000,45,267,414,233,2,192,bnb: **40** ; knapsack: **1** ; Total: **41**,0.00000579,4.99660847,0.686545081458,1.40643887248,0.01377282,0.0000591108154506,0.000306000000,0.014078820000,1,12,1.77682403433,1.65362043995,knapsack: **75** ; bnb: **40** ; srd: **118**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90372956,65.8020000000,147,594,756,406,2,309,bnb: **92** ; knapsack: **5** ; Total: **97**,0.00000579,8.81833936,0.610350799320,1.34938170930,0.03159461,0.0000778192364532,0.000999600000,0.032594210000,1,13,1.86206896552,1.89494184547,knapsack: **93** ; bnb: **92** ; srd: **221**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25293628,103.485333333,251,961,1094,539,3,384,bnb: **149** ; knapsack: **6** ; Total: **155**,0.00000579,8.81833936,0.533088632214,1.30052882315,0.04166872,0.0000773074582560,0.00170680000,0.04337552000,1,15,2.02968460111,2.15889490799,knapsack: **124** ; bnb: **149** ; srd: **266**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.62893058,149.828000000,246,1316,1519,684,5,449,bnb: **228** ; knapsack: **7** ; Total: **235**,0.00000579,9.55861355,0.484972355457,1.28850487102,0.05289357,0.0000773297807018,0.00167280000,0.05456637000,1,24,2.22076023392,2.42113231882,knapsack: **154** ; bnb: **228** ; srd: **302**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.24700127,172.044400000,261,1682,1938,818,5,517,bnb: **294** ; knapsack: **7** ; Total: **301**,0.00000579,9.55861355,0.469191713946,1.32178717740,0.06735976,0.0000823468948655,0.00177480000,0.06913456000,1,62,2.36919315403,3.44043627992,knapsack: **167** ; bnb: **294** ; srd: **357**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.31754048,181.600000000,187,2008,2426,992,5,605,bnb: **375** ; knapsack: **12** ; Total: **387**,0.00000579,9.55861355,0.412125712612,1.23202138293,0.08526699,0.0000859546270161,0.00127160000,0.08653859000,1,62,2.44556451613,3.34993418070,knapsack: **206** ; bnb: **375** ; srd: **411**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33131775,192.174857143,288,2415,2779,1085,5,652,bnb: **419** ; knapsack: **14** ; Total: **433**,0.00000579,9.55861355,0.401185063742,1.21843601965,0.09707279,0.0000894680092166,0.00195840000,0.09903119000,1,70,2.56129032258,3.91434750817,knapsack: **219** ; bnb: **419** ; srd: **447**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39018407,197.396750000,152,2818,3367,1182,5,701,bnb: **466** ; knapsack: **15** ; Total: **481**,0.00000579,9.55861355,0.384173875934,1.17844250060,0.10880180,0.0000920489001692,0.00103360000,0.10983540000,1,170,2.84856175973,6.72099674545,knapsack: **234** ; bnb: **466** ; srd: **482**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.25771431,193.016666667,139,3213,3835,1287,5,761,bnb: **510** ; knapsack: **16** ; Total: **526**,0.00000579,9.55861355,0.362616920237,1.13497803825,0.12844963,0.0000998054623155,0.000945200000,0.129394830000,1,170,2.97979797980,6.61149587610,knapsack: **259** ; bnb: **510** ; srd: **518**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.66973616,187.910800000,160,3571,4260,1429,5,849,bnb: **561** ; knapsack: **19** ; Total: **580**,0.00000579,9.55861355,0.343805274170,1.09563284899,0.14330035,0.000100280160952,0.00108800000,0.14438835000,1,170,2.98110566830,6.35749242871,knapsack: **292** ; bnb: **561** ; srd: **576**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.89088899,183.359636364,121,3938,4737,1562,5,920,bnb: **621** ; knapsack: **21** ; Total: **642**,0.00000579,9.55861355,0.352494763130,1.12244836769,0.16207872,0.000103763585147,0.000822800000,0.162901520000,1,170,3.03265044814,6.21169026767,knapsack: **316** ; bnb: **621** ; srd: **625**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.30180896,178.300500000,141,4278,5159,1722,5,1022,bnb: **675** ; knapsack: **25** ; Total: **700**,0.00000579,9.55861355,0.343656554472,1.09720248369,0.18185468,0.000105606666667,0.000958800000,0.182813480000,1,170,2.99593495935,5.98326989361,knapsack: **337** ; bnb: **675** ; srd: **710**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.76925855,174.541538462,196,4650,5558,1850,5,1104,bnb: **720** ; knapsack: **26** ; Total: **746**,0.00000579,9.55861355,0.334016047953,1.05954397006,0.19574603,0.000105808664865,0.00133280000,0.19707883000,1,170,3.00432432432,5.90825683829,knapsack: **355** ; bnb: **720** ; srd: **775**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.12130859,171.249000000,105,4990,6086,2010,5,1201,bnb: **782** ; knapsack: **27** ; Total: **809**,0.00000579,9.55861355,0.314983472206,1.01879643823,0.20836910,0.000103666218905,0.000714000000,0.209083100000,1,170,3.02786069652,5.84231316317,knapsack: **392** ; bnb: **782** ; srd: **836**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.81784180,168.207466667,116,5335,6516,2165,5,1297,bnb: **840** ; knapsack: **28** ; Total: **868**,0.00000579,9.55861355,0.304554932089,0.985907366643,0.22959098,0.000106046642032,0.000788800000,0.230379780000,1,170,3.00969976905,5.69409641358,knapsack: **400** ; bnb: **840** ; srd: **925**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.72112813,161.142625000,83,5654,7007,2346,5,1436,bnb: **882** ; knapsack: **28** ; Total: **910**,0.00000579,9.55861355,0.344943704840,1.06823043959,0.25003963,0.000106581257460,0.000564400000,0.250604030000,1,170,2.98678601876,5.57708494547,knapsack: **433** ; bnb: **882** ; srd: **1031**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.41992979,155.828823529,70,5963,7472,2537,5,1579,bnb: **927** ; knapsack: **31** ; Total: **958**,0.00000579,9.55861355,0.327358426168,1.02542861676,0.26208132,0.000103303634214,0.000476000000,0.262557320000,1,170,2.94521087899,5.42984306465,knapsack: **489** ; bnb: **927** ; srd: **1121**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.39194766,154.191555556,122,6278,7871,2722,5,1715,bnb: **974** ; knapsack: **33** ; Total: **1007**,0.00000579,9.55861355,0.316802338362,0.988827229165,0.28020824,0.000102942042616,0.000829600000,0.281037840000,1,170,2.89162380602,5.28152768981,knapsack: **517** ; bnb: **974** ; srd: **1231**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.34819389,151.370842105,84,6573,8351,2927,5,1862,bnb: **1029** ; knapsack: **36** ; Total: **1065**,0.00000579,9.55861355,0.302774076976,0.952526403202,0.29673176,0.000101377437649,0.000571200000,0.297302960000,1,170,2.85309190297,5.14289419856,knapsack: **573** ; bnb: **1029** ; srd: **1325**
bustabit-tiny-hot-wallet_2019-2020-per-day,13.19041031,148.717200000,100,6892,8787,3108,5,1995,bnb: **1077** ; knapsack: **36** ; Total: **1113**,0.00000579,9.55861355,0.294319137930,0.923810058677,0.30947191,0.0000995726866152,0.000680000000,0.310151910000,1,170,2.82722007722,5.02828232775,knapsack: **616** ; bnb: **1077** ; srd: **1415**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.80806439,143.791619048,53,7193,9297,3307,5,2157,bnb: **1113** ; knapsack: **37** ; Total: **1150**,0.00000579,9.91998190,0.342796007367,1.06753580210,0.33580348,0.000101543235561,0.000360400000,0.336163880000,1,170,2.81130934382,5.04583519571,knapsack: **664** ; bnb: **1113** ; srd: **1530**
bustabit-tiny-hot-wallet_2019-2020-per-day,11.93295041,139.952727273,78,7533,9727,3467,5,2272,bnb: **1157** ; knapsack: **38** ; Total: **1195**,0.00000579,9.91998190,0.348149270326,1.05151646987,0.35107445,0.000101261739256,0.000530400000,0.351604850000,1,170,2.80559561581,4.97550176800,knapsack: **694** ; bnb: **1157** ; srd: **1616**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.98904517,138.693739130,166,7877,10096,3623,5,2385,bnb: **1199** ; knapsack: **39** ; Total: **1238**,0.00000579,9.91998190,0.346093718696,1.03968441699,0.36371676,0.000100391046094,0.00112880000,0.36484556000,1,170,2.78664090533,4.89430171096,knapsack: **724** ; bnb: **1199** ; srd: **1700**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.12915840,140.318916667,28,8204,10668,3796,5,2492,bnb: **1261** ; knapsack: **43** ; Total: **1304**,0.00000579,9.91998190,0.334459167191,1.01913651645,0.38429519,0.000101236878293,0.000190400000,0.384485590000,1,170,2.81032665964,4.91089067468,knapsack: **758** ; bnb: **1261** ; srd: **1777**
bustabit-tiny-hot-wallet_2019-2020-per-day,24.21221236,138.120720000,112,8541,11041,3959,5,2612,bnb: **1302** ; knapsack: **45** ; Total: **1347**,0.00000579,9.91998190,0.345803499387,1.03734938155,0.40071347,0.000101215829755,0.000761600000,0.401475070000,1,170,2.78883556454,4.84169471507,knapsack: **781** ; bnb: **1302** ; srd: **1876**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.49876819,137.741846154,157,8875,11437,4125,5,2719,bnb: **1360** ; knapsack: **46** ; Total: **1406**,0.00000579,9.91998190,0.342131998908,1.01869484754,0.41531680,0.000100682860606,0.00106760000,0.41638440000,1,170,2.77260606061,4.76699330205,knapsack: **798** ; bnb: **1360** ; srd: **1967**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.55501700,137.986666667,117,9156,11911,4344,5,2872,bnb: **1424** ; knapsack: **48** ; Total: **1472**,0.00000579,9.91998190,0.332789400933,0.995710943455,0.43432313,0.0000999823043278,0.000795600000,0.435118730000,1,170,2.74194290976,4.67521519479,knapsack: **849** ; bnb: **1424** ; srd: **2071**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.22036992,138.946714286,168,9452,12305,4548,6,3021,bnb: **1479** ; knapsack: **48** ; Total: **1527**,0.00000579,9.91998190,0.322089927302,0.973349248476,0.45483565,0.000100007838610,0.00114240000,0.45597805000,1,170,2.70558487247,4.58861333794,knapsack: **883** ; bnb: **1479** ; srd: **2186**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.39853365,138.684965517,157,9756,12760,4744,6,3161,bnb: **1533** ; knapsack: **50** ; Total: **1583**,0.00000579,9.91998190,0.315671784454,0.956481263287,0.46995565,0.0000990631639966,0.00106760000,0.47102325000,1,170,2.68971332209,4.52451932745,knapsack: **920** ; bnb: **1533** ; srd: **2291**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.70859439,138.468933333,113,10038,13245,4962,6,3320,bnb: **1589** ; knapsack: **53** ; Total: **1642**,0.00000579,9.91998190,0.306689796816,0.936612076595,0.48611722,0.0000979680008061,0.000768400000,0.486885620000,1,170,2.66928657799,4.45462010152,knapsack: **964** ; bnb: **1589** ; srd: **2409**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.64465174,138.342483920,114,10076,13316,5005,6,3354,bnb: **1598** ; knapsack: **53** ; Total: **1651**,0.00000579,9.91998190,0.305065414451,0.932328058845,0.49036513,0.0000979750509491,0.000775200000,0.491140330000,1,170,2.66053946054,4.43805072901,knapsack: **968** ; bnb: **1598** ; srd: **2439**
