id,input_amounts
0,['0.00329000']
1,['3.00000000']
2,['0.00794500']
3,['0.00459029']
4,['0.00500000']
5,['0.00329000']
6,['0.00042453']
7,['0.00329400']
8,['0.00329400']
9,['1.00000000']
10,['0.00940000']
11,"['0.00226680', '0.00064468', '0.00010000', '0.00011747']"
12,['0.00014860']
13,['0.00167372']
14,['0.00014860']
15,['0.00924483']
16,['0.00103200']
17,['0.00329400']
18,"['2.99983370', '0.00483000']"
19,"['0.00022243', '0.00100000']"
20,['0.00100000']
21,['0.01000000']
22,['0.01000000']
23,['0.00786091']
24,"['0.00007910', '0.00090000', '0.00331400']"
25,"['0.00002077', '4.00000000']"
26,"['0.01010000', '0.00002797']"
27,"['0.00329400', '0.00010863']"
28,['0.00329600']
29,['0.00331400']
30,['0.00390000']
31,['0.99347343']
32,"['0.00000200', '0.00109000', '0.00028200', '0.00000100', '0.00055849', '0.00036055', '0.00056976', '0.00050000']"
33,"['0.00051282', '5.00000000']"
34,['0.00450204']
35,['0.00100000']
36,['0.00519670']
37,"['0.00116389', '0.00219121']"
38,"['0.00300000', '0.00069425']"
39,['0.00809446']
40,['0.00476421']
41,['0.00881736']
42,"['0.00020000', '0.00036227', '0.00153178']"
43,['0.00549161']
44,['0.00980000']
45,['0.00226748']
46,['0.00121094']
47,"['0.00002467', '0.01000000']"
48,"['0.00010105', '0.00011000']"
49,"['0.00300000', '0.00034660']"
50,['0.00474133']
51,['0.00914906']
52,"['0.00246439', '0.00100569']"
53,['0.01300000']
54,['0.00966386']
55,"['0.00633427', '0.00002008']"
56,"['2.99790591', '0.00076900']"
57,"['0.00302402', '0.00139425']"
58,['0.01569000']
59,['0.01236010']
60,['0.00935567']
61,['0.00602264']
62,"['0.00269101', '0.00108546']"
63,['0.01570000']
64,['0.01236705']
65,['0.00903144']
66,['0.00570142']
67,['0.02500000']
68,['0.02166076']
69,['0.01833164']
70,"['0.00011407', '0.00013775', '0.00237271', '0.00044048']"
71,['0.01500312']
72,['0.01178533']
73,['0.00977505']
74,['0.00656550']
75,"['0.00323473', '2.99566881']"
76,['0.03535793']
77,['0.03195959']
78,['0.02862605']
79,['0.02527834']
80,['0.02194420']
81,['0.01860976']
82,['0.00927750']
83,['0.00593977']
84,"['0.00260466', '0.00100000']"
85,['0.00910000']
86,['0.99013208']
87,['0.00609255']
88,['0.00436690']
89,['0.01714000']
90,"['0.01380250', '0.00026602']"
91,['0.96964935']
92,['0.00170904']
93,['0.01073477']
94,"['0.00070581', '0.00073127', '0.00116387']"
95,['0.03000000']
96,['0.00300000']
97,['2.99559703']
98,"['0.00058586', '0.01490000']"
99,"['0.00005568', '0.00100000', '0.00098946']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00100000', '0.00002283', '0.00100000']"
103,"['0.00001461', '0.00300000']"
104,"['0.00100000', '0.00006080']"
105,"['0.00046781', '0.00279265']"
106,"['0.00100000', '0.00080000']"
107,"['0.00107722', '0.00004977', '0.00100000']"
108,"['0.00000722', '0.00100000']"
109,"['0.00200000', '0.00025095', '0.00270000']"
110,['0.00120000']
111,['0.00120000']
112,"['0.00010000', '0.00370000', '0.00009442', '0.00025899']"
113,"['0.00087643', '0.00069501', '0.00171142']"
114,"['0.00016741', '0.00001969', '0.00040000', '0.00480000']"
115,['0.00200000']
116,['0.00390000']
117,['0.00018443']
118,"['0.00454585', '0.00098570', '0.00004067', '0.00000747']"
119,"['0.00300000', '0.00000921']"
120,"['0.00444318', '0.00008000', '0.00341677', '0.00010000', '0.00091371', '0.00006000', '0.00025639']"
121,"['0.00228044', '0.00100000', '0.00090000', '0.00090000']"
122,"['0.00006860', '0.00169500', '0.00163049']"
123,"['0.00500000', '0.00360000']"
124,['0.01321816']
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.00008182', '0.00100000', '0.00290000', '0.01109159']"
127,"['0.00200000', '0.00005730']"
128,['0.00464370']
129,['0.00329420']
130,['0.00790000']
131,"['0.00179102', '0.00480000']"
132,['0.00800000']
133,"['0.00165454', '0.00047984', '0.00900000']"
134,['0.00490000']
135,"['0.00005036', '0.00213902', '0.00049540', '0.00500000', '0.00006639', '0.00226500']"
136,"['0.00500000', '0.00500000', '0.00012625']"
137,['0.00214425']
138,['0.00300000']
139,"['0.00129455', '0.00100000']"
140,"['0.00011384', '0.00600000', '0.00100000', '0.00520333', '0.00069882']"
141,['0.00500000']
142,"['0.00200000', '0.00013903']"
143,['0.00068421']
144,"['0.00180000', '0.00022967', '0.00000382', '0.00013062']"
145,"['0.00070000', '0.00299291', '0.00300000', '0.00280000']"
146,['0.00600000']
147,['0.00296007']
148,"['0.00129056', '0.00500000']"
149,"['3.99665422', '0.00052959']"
150,"['0.00800000', '0.00290000', '0.00022739']"
151,"['0.00140062', '0.00263338', '0.00880000', '0.00900000', '0.00860000', '0.00880000', '0.01000000', '0.00980000']"
152,['2.00000000']
153,"['0.01000000', '0.00001836', '1.99797720', '0.01680000', '0.01450000']"
154,"['0.00003526', '0.00040000', '0.95464572']"
155,['0.00969612']
156,"['0.02799537', '0.01000000', '0.00090000', '0.00500000', '0.01000000', '0.01000000', '0.01500000', '0.00648956', '0.03500000', '0.00090000']"
157,['0.01990000']
158,['0.00963986']
159,"['0.06000000', '0.00025890', '0.04000000']"
160,"['0.05000000', '0.02000000', '0.00084400', '0.02959206']"
161,"['0.00879062', '0.03300000', '0.05900000']"
162,['0.00700000']
163,"['0.00041754', '0.00199320', '0.00038000', '0.00024989', '0.00078073', '0.00021000']"
164,['0.01000000']
165,['0.01000000']
166,['0.00499242']
167,['0.00429449']
