Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19420404,23.7440000000,23,267,454,233,2,210,bnb: **22** ; knapsack: **1** ; Total: **23**,0.00000382,4.99713344,0.233499357143,0.805148830564,0.00465563,0.0000199812446352,0.000156400000,0.004812030000,1,14,1.94849785408,1.83051478327,knapsack: **160** ; srd: **51** ; bnb: **22**
bustabit-tiny-hot-wallet_peak-and-tail,23.92696140,30.0560000000,36,594,911,406,2,353,bnb: **48** ; knapsack: **5** ; Total: **53**,0.00000382,8.81935990,0.256910651048,0.930645764398,0.00836277,0.0000205979556650,0.000244800000,0.008607570000,1,14,2.24384236453,2.22824716912,knapsack: **278** ; srd: **80** ; bnb: **48**
bustabit-tiny-hot-wallet_peak-and-tail,27.28268970,35.6486666667,77,961,1346,539,5,462,bnb: **72** ; knapsack: **5** ; Total: **77**,0.00000365,8.81935990,0.263335189113,0.907125167846,0.01191530,0.0000221063079777,0.000523600000,0.012438900000,1,20,2.49721706865,2.66839753424,knapsack: **352** ; srd: **115** ; bnb: **72**
bustabit-tiny-hot-wallet_peak-and-tail,19.66696050,38.6040000000,18,1316,1872,684,7,574,bnb: **104** ; knapsack: **6** ; Total: **110**,0.00000365,9.89975556,0.264814402683,1.01636758773,0.01486365,0.0000217304824561,0.000122400000,0.014986050000,1,36,2.73684210526,3.22386588477,knapsack: **441** ; srd: **139** ; bnb: **104**
bustabit-tiny-hot-wallet_peak-and-tail,26.29668266,37.0204000000,51,1682,2317,818,7,686,bnb: **124** ; knapsack: **8** ; Total: **132**,0.00000365,9.89975556,0.261672351487,1.06102462303,0.01767837,0.0000216116992665,0.000346800000,0.018025170000,1,36,2.83251833741,3.31571219852,knapsack: **536** ; srd: **158** ; bnb: **124**
bustabit-tiny-hot-wallet_peak-and-tail,18.38042880,36.4770000000,25,2008,2814,992,8,831,bnb: **153** ; knapsack: **8** ; Total: **161**,0.00000317,9.89975556,0.292424356582,1.14864662562,0.02237867,0.0000225591431452,0.000170000000,0.022548670000,1,36,2.83669354839,3.24255638377,knapsack: **634** ; srd: **205** ; bnb: **153**
bustabit-tiny-hot-wallet_peak-and-tail,26.40377790,37.2508571429,46,2415,3273,1085,8,904,bnb: **170** ; knapsack: **11** ; Total: **181**,0.00000317,9.89975556,0.278405510996,1.10610745603,0.02461264,0.0000226844608295,0.000312800000,0.024925440000,1,36,3.01658986175,3.57002968846,knapsack: **696** ; srd: **219** ; bnb: **170**
bustabit-tiny-hot-wallet_peak-and-tail,23.47159329,38.5500000000,47,2818,3752,1182,8,981,bnb: **189** ; knapsack: **12** ; Total: **201**,0.00000317,9.89975556,0.260029210316,1.06473693202,0.02739258,0.0000231747715736,0.000319600000,0.027712180000,1,36,3.17428087986,3.82868735437,knapsack: **768** ; srd: **225** ; bnb: **189**
bustabit-tiny-hot-wallet_peak-and-tail,15.35496748,39.4620000000,22,3213,4258,1287,8,1067,bnb: **206** ; knapsack: **14** ; Total: **220**,0.00000317,9.89975556,0.251585830918,1.02630252176,0.03119646,0.0000242396736597,0.000149600000,0.031346060000,1,36,3.30846930847,4.05546093099,knapsack: **837** ; srd: **244** ; bnb: **206**
bustabit-tiny-hot-wallet_peak-and-tail,15.77886185,39.4652000000,23,3571,4735,1429,8,1187,bnb: **226** ; knapsack: **16** ; Total: **242**,0.00000317,9.89975556,0.236555997043,0.979864038372,0.03417466,0.0000239150874738,0.000156400000,0.034331060000,1,36,3.31350594822,4.00818047734,knapsack: **942** ; srd: **261** ; bnb: **226**
bustabit-tiny-hot-wallet_peak-and-tail,22.01559991,38.5156363636,43,3938,5198,1562,8,1303,bnb: **242** ; knapsack: **17** ; Total: **259**,0.00000317,9.89975556,0.252525370614,1.00852264067,0.03736780,0.0000239230473752,0.000292400000,0.037660200000,1,36,3.32778489117,4.02794324694,knapsack: **1033** ; srd: **287** ; bnb: **242**
bustabit-tiny-hot-wallet_peak-and-tail,20.44295244,38.0603333333,29,4278,5693,1722,8,1444,bnb: **258** ; knapsack: **20** ; Total: **278**,0.00000317,9.89975556,0.245503616925,0.985939870567,0.04071120,0.0000236418118467,0.000197200000,0.040908400000,1,36,3.30603948897,3.95116302425,knapsack: **1152** ; srd: **312** ; bnb: **258**
bustabit-tiny-hot-wallet_peak-and-tail,20.92131898,38.2698461538,35,4650,6168,1850,9,1553,bnb: **277** ; knapsack: **20** ; Total: **297**,0.00000317,9.89975556,0.236225234540,0.953930588083,0.04368560,0.0000236138378378,0.000238000000,0.043923600000,1,36,3.33405405405,3.98018038641,knapsack: **1247** ; srd: **326** ; bnb: **277**
bustabit-tiny-hot-wallet_peak-and-tail,27.28226194,38.0872857143,64,4990,6620,2010,9,1694,bnb: **292** ; knapsack: **24** ; Total: **316**,0.00000317,9.89975556,0.229433175218,0.917353706783,0.04741575,0.0000235899253731,0.000435200000,0.047850950000,1,36,3.29353233831,3.93822481508,knapsack: **1362** ; srd: **356** ; bnb: **292**
bustabit-tiny-hot-wallet_peak-and-tail,16.99704793,37.7129333333,23,5335,7137,2165,9,1825,bnb: **315** ; knapsack: **25** ; Total: **340**,0.00000317,9.89975556,0.221233374740,0.896466327933,0.05038485,0.0000232724480370,0.000156400000,0.050541250000,1,36,3.29653579677,3.91296390413,knapsack: **1471** ; srd: **379** ; bnb: **315**
bustabit-tiny-hot-wallet_peak-and-tail,12.91719519,36.5857500000,24,5654,7622,2346,9,1992,bnb: **327** ; knapsack: **27** ; Total: **354**,0.00000317,9.89975556,0.256340458002,1.00253184281,0.05397257,0.0000230062105712,0.000163200000,0.054135770000,1,36,3.24893435635,3.83801111962,knapsack: **1599** ; srd: **420** ; bnb: **327**
bustabit-tiny-hot-wallet_peak-and-tail,26.62357113,36.0809411765,35,5963,8095,2537,9,2167,bnb: **341** ; knapsack: **29** ; Total: **370**,0.00000317,9.89975556,0.244472380558,0.970502851559,0.05843998,0.0000230350729208,0.000238000000,0.058677980000,1,36,3.19077650769,3.77406391397,knapsack: **1750** ; srd: **446** ; bnb: **341**
bustabit-tiny-hot-wallet_peak-and-tail,15.61002469,35.7873333333,22,6278,8587,2722,9,2331,bnb: **361** ; knapsack: **30** ; Total: **391**,0.00000317,9.89975556,0.238769010039,0.952172342985,0.06213121,0.0000228255731080,0.000149600000,0.062280810000,1,36,3.15466568699,3.71889331549,knapsack: **1893** ; srd: **468** ; bnb: **361**
bustabit-tiny-hot-wallet_peak-and-tail,19.57902267,35.3336842105,34,6573,9059,2927,9,2520,bnb: **375** ; knapsack: **32** ; Total: **407**,0.00000317,9.89975556,0.230006323397,0.921488686431,0.06590298,0.0000225155380936,0.000231200000,0.066134180000,1,36,3.09497779296,3.64127981891,knapsack: **2058** ; srd: **494** ; bnb: **375**
bustabit-tiny-hot-wallet_peak-and-tail,13.43014088,35.3878000000,27,6892,9545,3108,9,2680,bnb: **394** ; knapsack: **34** ; Total: **428**,0.00000317,9.89975556,0.231445244925,0.909623856348,0.06974134,0.0000224392985843,0.000183600000,0.069924940000,1,36,3.07110682111,3.59707375763,knapsack: **2181** ; srd: **533** ; bnb: **394**
bustabit-tiny-hot-wallet_peak-and-tail,13.07068403,34.6180952381,36,7193,10022,3307,9,2865,bnb: **407** ; knapsack: **35** ; Total: **442**,0.00000317,15.90255289,0.311654232454,1.30201460004,0.07318384,0.0000221299788328,0.000244800000,0.073428640000,1,36,3.03054127608,3.55093928301,knapsack: **2322** ; srd: **578** ; bnb: **407**
bustabit-tiny-hot-wallet_peak-and-tail,12.20667858,34.0702727273,44,7533,10497,3467,9,3008,bnb: **421** ; knapsack: **38** ; Total: **459**,0.00000317,15.90255289,0.321127639641,1.32168929423,0.07734628,0.0000223092817998,0.000299200000,0.077645480000,1,36,3.02768964523,3.52664173152,knapsack: **2433** ; srd: **613** ; bnb: **421**
bustabit-tiny-hot-wallet_peak-and-tail,27.27215947,34.0994782609,46,7877,10972,3623,9,3141,bnb: **442** ; knapsack: **40** ; Total: **482**,0.00000317,15.90255289,0.317781093193,1.30735424824,0.08060246,0.0000222474358267,0.000312800000,0.080915260000,1,36,3.02842947833,3.51167775624,knapsack: **2546** ; srd: **635** ; bnb: **442**
bustabit-tiny-hot-wallet_peak-and-tail,15.42982512,33.7970833333,21,8204,11477,3796,9,3294,bnb: **459** ; knapsack: **43** ; Total: **502**,0.00000317,15.90255289,0.317526068953,1.29717564259,0.08362847,0.0000220306822972,0.000142800000,0.083771270000,1,36,3.02344573235,3.49533524377,knapsack: **2679** ; srd: **658** ; bnb: **459**
bustabit-tiny-hot-wallet_peak-and-tail,24.52507102,33.9471200000,48,8541,11933,3959,9,3440,bnb: **475** ; knapsack: **44** ; Total: **519**,0.00000317,15.90255289,0.315106247770,1.28341170086,0.08785481,0.0000221911619096,0.000326400000,0.088181210000,1,36,3.01414498611,3.48087998756,knapsack: **2793** ; srd: **691** ; bnb: **475**
bustabit-tiny-hot-wallet_peak-and-tail,20.82355756,34.1761538462,31,8875,12429,4125,9,3585,bnb: **493** ; knapsack: **47** ; Total: **540**,0.00000317,15.90255289,0.306223174351,1.25894263240,0.09052743,0.0000219460436364,0.000210800000,0.090738230000,1,36,3.01309090909,3.46015469128,knapsack: **2928** ; srd: **704** ; bnb: **493**
bustabit-tiny-hot-wallet_peak-and-tail,14.89526165,34.0642222222,20,9156,12923,4344,9,3787,bnb: **509** ; knapsack: **48** ; Total: **557**,0.00000317,15.90255289,0.296545345453,1.22847166511,0.09407848,0.0000216571086556,0.000136000000,0.094214480000,1,36,2.97490791897,3.41139835266,knapsack: **3108** ; srd: **727** ; bnb: **509**
bustabit-tiny-hot-wallet_peak-and-tail,21.57689312,34.2285714286,35,9452,13392,4548,10,3975,bnb: **522** ; knapsack: **51** ; Total: **573**,0.00000317,15.90255289,0.292090013494,1.20500065312,0.09831245,0.0000216166336851,0.000238000000,0.098550450000,1,36,2.94459102902,3.38205841141,knapsack: **3259** ; srd: **767** ; bnb: **522**
