id,input_amounts
0,['0.00329000']
1,['3.00000000']
2,"['0.00329000', '0.00011747']"
3,['0.00483000']
4,"['0.00002392', '0.00331400']"
5,['0.00329400']
6,['0.00066424']
7,['0.00329400']
8,['2.99983370']
9,['0.00940000']
10,['0.00329600']
11,"['0.00010000', '0.00014860', '0.00287343']"
12,['0.00014860']
13,['2.99880650']
14,['0.00023909']
15,['5.00000000']
16,['0.00103200']
17,['0.01570000']
18,['0.00980000']
19,['0.00500000']
20,['0.00100000']
21,['0.00390000']
22,"['0.00050000', '0.01010000']"
23,"['0.00008310', '0.00329400']"
24,"['0.00064468', '0.00307435', '0.00056976']"
25,['0.01000000']
26,['1.00000000']
27,"['0.00010863', '0.00329400']"
28,"['0.00011846', '0.00100000', '0.00000200', '0.00109000', '0.00000100', '0.00090000']"
29,['0.00314083']
30,['0.99797728']
31,['0.02500000']
32,"['0.00664522', '0.00331400']"
33,['0.00381687']
34,"['0.00271736', '0.00018738', '0.00044276']"
35,['0.00100000']
36,['0.00664598']
37,['0.00364049']
38,"['0.00300000', '0.00006390', '0.00030741']"
39,['0.00794500']
40,['0.00461475']
41,['0.00843901']
42,"['0.00069425', '0.00138232']"
43,['0.00511326']
44,"['0.01300000', '0.00188913']"
45,['0.00300000']
46,"['0.00002077', '0.00020000']"
47,['0.00194346']
48,"['0.00011000', '0.00008579', '0.00003770']"
49,['0.00982871']
50,['0.00659828']
51,['0.01000000']
52,"['0.00325120', '0.00002316', '0.00034660', '2.99764560']"
53,"['0.00331533', '0.00076900']"
54,['0.01000000']
55,['0.00667041']
56,['0.00334179']
57,['0.01262843']
58,['0.00929749']
59,['0.00596759']
60,"['0.00296316', '0.00074290']"
61,"['0.00033766', '4.00000000']"
62,['0.01569000']
63,['0.01235658']
64,"['0.00001303', '2.99792944']"
65,['0.00902363']
66,['0.00569361']
67,"['0.00236490', '0.00106998']"
68,['0.02165865']
69,['0.01832953']
70,['0.01500101']
71,['0.01199718']
72,['0.00877939']
73,['0.00676911']
74,['0.00355956']
75,['0.03535793']
76,['0.03205351']
77,['0.02865517']
78,['0.02532163']
79,"['0.00100000', '0.99463577']"
80,['0.02197392']
81,['0.01863948']
82,['0.00930722']
83,['0.00596949']
84,['0.00910000']
85,"['0.00009362', '0.00263438', '0.00037017']"
86,['0.99229824']
87,"['0.00022879', '4.99595187']"
88,['0.00576575']
89,['0.01714000']
90,['0.01380250']
91,['0.97181551']
92,['0.00310789']
93,['0.01047157']
94,"['4.99445328', '0.00046807']"
95,"['0.00210466', '2.99460420']"
96,['0.00300000']
97,"['0.00098946', '0.00008359']"
98,"['0.01490000', '0.00100000']"
99,"['0.00088195', '0.00116387']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00002900', '0.00100000', '0.00100000']"
103,"['0.00300000', '0.00002078']"
104,"['0.00001364', '0.00100000']"
105,"['0.00279265', '0.00080000']"
106,"['0.00058314', '0.00100000']"
107,"['0.00100000', '0.00107722', '0.00004213']"
108,"['0.00004661', '0.00100000']"
109,"['0.00004115', '0.00370000', '0.00120000']"
110,['0.00120000']
111,['0.00171142']
112,"['0.00390000', '0.00010000', '0.00006080', '0.00009442']"
113,"['0.00120643', '0.00200000']"
114,"['0.00100000', '0.00341677', '0.00087643', '0.00009478']"
115,['0.00200000']
116,"['0.00270000', '0.00098570', '0.00040000']"
117,['0.00036385']
118,"['0.00200000', '0.00444318']"
119,"['0.00000989', '0.00300000']"
120,"['0.00086802', '0.00008000', '0.00228044', '0.00022009', '0.00090000', '0.00025639', '0.00091371', '0.00010000', '0.00360000', '0.00006000']"
121,"['0.00500000', '0.00001009']"
122,"['0.00163049', '0.00100000', '0.00090000']"
123,"['0.00290000', '0.00592000']"
124,['0.01321816']
125,"['0.00014077', '0.00030182', '0.00169500', '0.00790000']"
126,"['0.00490000', '0.00520333', '0.00500000']"
127,['0.00300000']
128,"['0.00099529', '0.00110000']"
129,['0.00454585']
130,"['0.00480000', '0.00131804']"
131,['0.00800000']
132,"['0.00464370', '0.00189242']"
133,"['0.00008942', '0.00074319', '0.00018807', '0.01000000']"
134,['0.00480000']
135,"['0.00500000', '0.00001054', '0.00500000']"
136,"['0.00001067', '0.01000000']"
137,['0.00204425']
138,['0.00213902']
139,"['0.00049540', '0.00043357', '0.00100000']"
140,"['0.00600000', '0.00500000', '0.00031525', '0.00100000', '0.00069882']"
141,['0.00226500']
142,"['0.00200000', '0.00003903']"
143,['0.00070000']
144,"['0.00024546', '0.00025791', '0.00000480', '0.00180000']"
145,"['0.00800000', '0.00280000']"
146,"['0.00017932', '0.00300000']"
147,"['0.00154061', '0.00013705']"
148,"['0.00290000', '0.00300000']"
149,"['0.00500000', '0.00600000']"
150,"['0.00119181', '0.00880000']"
151,"['0.01680000', '0.01109159', '0.00980000', '0.00900000', '0.00263338', '0.00969612']"
152,['2.00000000']
153,"['0.03500000', '0.00013903', '0.01450000', '0.00040000']"
154,"['0.00090000', '0.00003062', '0.00026695', '0.00880000']"
155,['0.00860000']
156,"['0.00500000', '0.03000000', '0.01000000', '0.00090000', '0.01000000', '0.00539344', '0.06000000']"
157,['0.00900000']
158,['0.00542790']
159,"['0.00000891', '0.04000000', '0.05000000', '0.00000554', '0.01000000']"
160,"['0.05900000', '0.00084400', '0.01990000', '0.00027445', '0.02000000', '0.00001367']"
161,"['3.99700383', '0.00963986']"
162,['0.00700000']
163,['0.00457866']
164,['0.01000000']
165,"['0.00499242', '0.00021000']"
166,"['0.00019511', '0.00057251']"
167,['0.00800000']
168,"['0.01000000', '0.00000634']"
169,"['0.00006782', '0.00100000']"
