Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19417475,24.0380000000,23,267,448,233,2,204,bnb: **25** ; knapsack: **4** ; Total: **29**,0.00000480,4.99595187,0.345321330490,1.07405248505,0.00468492,0.0000201069527897,0.000156400000,0.004841320000,1,14,1.92274678112,1.67975963241,knapsack: **163** ; srd: **45** ; bnb: **25**
bustabit-tiny-hot-wallet_peak-and-tail,23.92704373,30.3440000000,36,594,904,406,3,346,bnb: **53** ; knapsack: **7** ; Total: **60**,0.00000319,4.99595187,0.260982555636,0.885800986374,0.00828044,0.0000203951724138,0.000244800000,0.008525240000,1,17,2.22660098522,2.16204790285,knapsack: **283** ; srd: **70** ; bnb: **53**
bustabit-tiny-hot-wallet_peak-and-tail,27.28270171,36.3486666667,77,961,1335,539,5,451,bnb: **81** ; knapsack: **7** ; Total: **88**,0.00000319,4.99595187,0.246688853902,0.838750169871,0.01190329,0.0000220840259740,0.000523600000,0.012426890000,1,18,2.47680890538,2.53468874757,knapsack: **356** ; srd: **102** ; bnb: **81**
bustabit-tiny-hot-wallet_peak-and-tail,19.66705599,38.8355000000,19,1316,1866,684,7,569,bnb: **107** ; knapsack: **8** ; Total: **115**,0.00000319,9.88094862,0.252809875606,0.967888989969,0.01476816,0.0000215908771930,0.000129200000,0.014897360000,1,31,2.72807017544,3.14961734008,knapsack: **456** ; srd: **121** ; bnb: **107**
bustabit-tiny-hot-wallet_peak-and-tail,26.29665543,37.1312000000,47,1682,2311,818,7,676,bnb: **126** ; knapsack: **16** ; Total: **142**,0.00000319,9.88094862,0.266042630311,1.06186666838,0.01770560,0.0000216449877751,0.000319600000,0.018025200000,1,31,2.82518337408,3.26173640642,knapsack: **555** ; srd: **137** ; bnb: **126**
bustabit-tiny-hot-wallet_peak-and-tail,18.38049103,36.5403333333,29,2008,2803,992,7,824,bnb: **148** ; knapsack: **20** ; Total: **168**,0.00000319,9.88094862,0.337624968313,1.26400390575,0.02231644,0.0000224964112903,0.000197200000,0.022513640000,1,31,2.82560483871,3.20078661452,knapsack: **666** ; srd: **178** ; bnb: **148**
bustabit-tiny-hot-wallet_peak-and-tail,26.40379422,37.4411428571,42,2415,3272,1085,7,899,bnb: **165** ; knapsack: **21** ; Total: **186**,0.00000319,9.88094862,0.325887663459,1.23244519062,0.02459632,0.0000226694193548,0.000285600000,0.024881920000,1,33,3.01566820276,3.59667918286,knapsack: **726** ; srd: **194** ; bnb: **165**
bustabit-tiny-hot-wallet_peak-and-tail,23.47149962,38.5520000000,44,2818,3745,1182,7,971,bnb: **189** ; knapsack: **22** ; Total: **211**,0.00000319,9.88094862,0.304719268610,1.18902266714,0.02748625,0.0000232540186125,0.000299200000,0.027785450000,1,33,3.16835871404,3.80532812165,knapsack: **795** ; srd: **198** ; bnb: **189**
bustabit-tiny-hot-wallet_peak-and-tail,15.35496062,39.4417777778,22,3213,4248,1287,7,1057,bnb: **206** ; knapsack: **24** ; Total: **230**,0.00000319,9.88094862,0.291191590719,1.14313072902,0.03120332,0.0000242450038850,0.000149600000,0.031352920000,1,33,3.30069930070,4.05757833785,knapsack: **861** ; srd: **220** ; bnb: **206**
bustabit-tiny-hot-wallet_peak-and-tail,15.77896265,39.3960000000,27,3571,4722,1429,7,1178,bnb: **225** ; knapsack: **26** ; Total: **251**,0.00000319,9.88094862,0.271334014703,1.08663159791,0.03407386,0.0000238445486354,0.000183600000,0.034257460000,1,33,3.30440867740,4.01071588304,knapsack: **963** ; srd: **241** ; bnb: **225**
bustabit-tiny-hot-wallet_peak-and-tail,22.01583781,38.4300000000,41,3938,5189,1562,7,1292,bnb: **240** ; knapsack: **30** ; Total: **270**,0.00000319,9.88094862,0.280397682376,1.10943490555,0.03712990,0.0000237707426376,0.000278800000,0.037408700000,1,33,3.32202304738,4.04483381537,knapsack: **1059** ; srd: **263** ; bnb: **240**
bustabit-tiny-hot-wallet_peak-and-tail,20.44310017,37.7810000000,27,4278,5682,1722,7,1431,bnb: **260** ; knapsack: **31** ; Total: **291**,0.00000319,9.88094862,0.284112767296,1.10392582456,0.04056347,0.0000235560220674,0.000183600000,0.040747070000,1,33,3.29965156794,3.95451916704,knapsack: **1171** ; srd: **291** ; bnb: **260**
bustabit-tiny-hot-wallet_peak-and-tail,20.92150792,38.0880000000,37,4650,6152,1850,8,1539,bnb: **280** ; knapsack: **31** ; Total: **311**,0.00000319,9.88094862,0.272881853535,1.06745043023,0.04349666,0.0000235117081081,0.000251600000,0.043748260000,1,33,3.32540540541,3.98293452276,knapsack: **1259** ; srd: **311** ; bnb: **280**
bustabit-tiny-hot-wallet_peak-and-tail,27.28241498,37.9967142857,68,4990,6605,2010,8,1683,bnb: **296** ; knapsack: **31** ; Total: **327**,0.00000319,9.88094862,0.260790672745,1.02651375665,0.04726271,0.0000235137860697,0.000462400000,0.047725110000,1,33,3.28606965174,3.92744741286,knapsack: **1378** ; srd: **336** ; bnb: **296**
bustabit-tiny-hot-wallet_peak-and-tail,16.99726774,37.5597333333,24,5335,7126,2165,8,1815,bnb: **315** ; knapsack: **35** ; Total: **350**,0.00000319,9.88094862,0.251584657625,1.00543405156,0.05016504,0.0000231709191686,0.000163200000,0.050328240000,1,33,3.29145496536,3.90524860795,knapsack: **1490** ; srd: **360** ; bnb: **315**
bustabit-tiny-hot-wallet_peak-and-tail,12.91737863,36.4322500000,22,5654,7614,2346,8,1982,bnb: **327** ; knapsack: **37** ; Total: **364**,0.00000319,9.88094862,0.284006962235,1.08057732764,0.05378913,0.0000229280179028,0.000149600000,0.053938730000,1,33,3.24552429668,3.82387171397,knapsack: **1615** ; srd: **404** ; bnb: **327**
bustabit-tiny-hot-wallet_peak-and-tail,26.62393263,35.9691764706,38,5963,8078,2537,8,2153,bnb: **344** ; knapsack: **40** ; Total: **384**,0.00000319,9.88094862,0.272071532411,1.05114659248,0.05807848,0.0000228925817895,0.000258400000,0.058336880000,1,33,3.18407567994,3.76293964479,knapsack: **1763** ; srd: **430** ; bnb: **344**
bustabit-tiny-hot-wallet_peak-and-tail,15.61044319,35.8475555556,27,6278,8570,2722,8,2319,bnb: **360** ; knapsack: **43** ; Total: **403**,0.00000319,9.88094862,0.272929653144,1.03784535136,0.06171271,0.0000226718258633,0.000183600000,0.061896310000,1,33,3.14842027921,3.69838797026,knapsack: **1900** ; srd: **462** ; bnb: **360**
bustabit-tiny-hot-wallet_peak-and-tail,19.57943198,35.5307368421,34,6573,9045,2927,8,2506,bnb: **375** ; knapsack: **46** ; Total: **421**,0.00000319,9.88094862,0.262256717901,1.00296088962,0.06549367,0.0000223756986676,0.000231200000,0.065724870000,1,33,3.09019473864,3.62475108576,knapsack: **2058** ; srd: **494** ; bnb: **375**
bustabit-tiny-hot-wallet_peak-and-tail,13.43038547,35.5255000000,18,6892,9545,3108,8,2671,bnb: **391** ; knapsack: **46** ; Total: **437**,0.00000319,9.88094862,0.254082752317,0.975298307956,0.06949675,0.0000223606016731,0.000122400000,0.069619150000,1,33,3.07110682111,3.59098419523,knapsack: **2188** ; srd: **529** ; bnb: **391**
bustabit-tiny-hot-wallet_peak-and-tail,13.07069133,34.7030476190,33,7193,10018,3307,8,2858,bnb: **402** ; knapsack: **47** ; Total: **449**,0.00000319,9.88094862,0.283239208982,1.05517469550,0.07317654,0.0000221277713940,0.000224400000,0.073400940000,1,33,3.02933172059,3.54515231086,knapsack: **2342** ; srd: **563** ; bnb: **402**
bustabit-tiny-hot-wallet_peak-and-tail,12.20641001,34.1929090909,37,7533,10497,3467,8,3001,bnb: **418** ; knapsack: **48** ; Total: **466**,0.00000319,9.88094862,0.290878202159,1.06205040029,0.07761485,0.0000223867464667,0.000251600000,0.077866450000,1,33,3.02768964523,3.53195542376,knapsack: **2450** ; srd: **599** ; bnb: **418**
bustabit-tiny-hot-wallet_peak-and-tail,27.27193090,34.1403478261,40,7877,10972,3623,8,3135,bnb: **440** ; knapsack: **48** ; Total: **488**,0.00000319,9.88094862,0.286953932325,1.04873540542,0.08083103,0.0000223105244273,0.000272000000,0.081103030000,1,33,3.02842947833,3.50301880397,knapsack: **2560** ; srd: **623** ; bnb: **440**
