id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000466428571429,srd,1,0,2,0.00312970,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,2.99667372,22,22,2548
5,0.00319400,0.00002493,0.00011981,0.000119855769231,knapsack,2,0,2,0.00002824,22,21,1322
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064068,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.01466280,21,21,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00141843,22,22,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00313883,22,22,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00002766,29,29,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,0.01557217,30,30,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00213310,30,30,2030
14,0.00010200,0.00002566,0.00013210,0.000144971751412,bnb,2,0,1,,30,28,651
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00595187,34,34,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00692843,35,35,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.01827435,35,35,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.01347967,35,35,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,35,34,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.01709171,34,34,5803
22,0.00209300,0.00004010,0.00032686,0.000364545454545,bnb,1,0,1,,34,33,1957
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.01012080,33,33,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,1.99573006,33,33,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.01221739,33,33,1740
26,0.00200000,0.00004068,0.00016108,0.000166040816327,bnb,3,0,1,,33,30,1351
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,30,28,949
28,0.00300000,0.00004472,0.00009927,0.000117375328084,bnb,5,0,1,,28,23,655
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00034055,23,23,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.00261036,24,24,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00677945,24,24,1149
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,24,23,452
33,0.00336300,0.00003245,0.00007874,0.0000787621359223,knapsack,5,2,2,0.00012822,23,19,205
34,0.00333400,0.00000824,0.00002942,0.0000465536723164,bnb,2,0,1,,22,20,-660
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00069425,20,20,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00089451,20,20,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00035923,21,20,-196
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00166962,20,20,238
39,0.00332700,0.00000636,0.00002302,0.0000230434782609,knapsack,3,0,2,0.00023077,20,18,-817
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00354702,18,18,382
41,0.00332000,0.00001125,0.00004075,0.0000407608695652,srd,3,0,2,0.00395617,18,16,-399
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00155842,17,17,324
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00073204,17,17,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00434133,19,19,258
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,knapsack,2,0,2,0.00003162,20,19,96
