id,input_amounts
0,['0.00329000']
1,['0.00329600']
2,['1.00000000']
3,['0.00483000']
4,['3.00000000']
5,"['0.00312970', '0.00011747']"
6,['0.00066424']
7,['0.00329000']
8,['0.01569000']
9,['0.00794500']
10,['0.00329400']
11,['0.00313883']
12,['0.01570000']
13,['0.00329400']
14,"['0.00002766', '0.00010000']"
15,['0.01000000']
16,['0.00103200']
17,['0.01000000']
18,['0.02500000']
19,['0.01466280']
20,['0.00100000']
21,['0.01827435']
22,['0.00213310']
23,['0.01347967']
24,['2.00000000']
25,['0.01557217']
26,"['0.00090000', '0.00050000', '0.00064068']"
27,"['0.00329400', '0.00010863']"
28,"['0.00141843', '0.00014860', '0.00109000', '0.00014860', '0.00023909']"
29,['0.00329400']
30,['0.00595187']
31,['0.01012080']
32,['0.00331400']
33,"['0.00056976', '0.00034055', '0.00261036', '0.00000100', '0.00000200']"
34,"['0.00331400', '0.00002824']"
35,['0.00100000']
36,['0.00390000']
37,"['0.00069425', '0.00300000']"
38,['0.00500000']
39,"['0.00100000', '0.00166962', '0.00089451']"
40,['0.00677945']
41,"['0.00012822', '0.00692843', '0.00023077']"
42,['0.00354702']
43,['0.00395617']
44,['0.00940000']
45,"['0.00035923', '0.00073204']"
46,"['0.00003162', '0.00020000']"
47,['0.00155842']
48,['0.00068494']
49,"['0.00034660', '0.00300000']"
50,['0.00434133']
51,['0.00980000']
52,"['0.00311533', '0.00011407', '0.00011000']"
53,['0.01000000']
54,['0.00666386']
55,"['0.00047770', '0.01300000']"
56,['0.00333427']
57,['0.01010000']
58,['0.00676906']
59,['0.00343916']
60,['0.01014737']
61,['0.00681434']
62,"['4.00000000', '0.00002388']"
63,['0.00348271']
64,['0.01221739']
65,['0.00888178']
66,['0.00555176']
67,"['0.00222305', '0.00014976', '0.00099425']"
68,['0.01709171']
69,['0.01376259']
70,['0.01043407']
71,['0.00743024']
72,['0.00421245']
73,"['0.00220217', '0.00076900', '0.00033014']"
74,['0.03535793']
75,['0.03202716']
76,['0.02872274']
77,['0.02532440']
78,['0.02199086']
79,['0.01864315']
80,['0.01530901']
81,['0.01197457']
82,"['0.00100000', '0.00264231']"
83,['0.99664529']
84,['0.00910000']
85,"['2.99667372', '0.00030090']"
86,['0.99331018']
87,['0.00576575']
88,['0.00404010']
89,['0.01714000']
90,['0.01380250']
91,['0.97282745']
92,['0.00138224']
93,['0.01047157']
94,"['0.00116387', '0.00037901', '0.00002376', '0.00046807']"
95,['0.03000000']
96,['0.00300000']
97,['5.00000000']
98,"['0.00008263', '0.00006080', '0.01490000']"
99,"['0.00098946', '0.00100000', '0.00043473']"
100,['0.00480000']
101,['0.01780000']
