id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00777870,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00604529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,1.99667372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00286885,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00021953,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226680,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,2.99347343,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00589012,23,23,1066
11,0.00310000,0.00002761,0.00007917,0.0000882108626198,bnb,4,0,1,,30,26,-292
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00213310,27,27,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,knapsack,1,0,2,0.00002797,27,27,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.00605187,33,33,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1325
17,0.00300000,0.00010558,0.00050756,0.000507596153846,srd,2,0,2,3.99739442,34,33,7798
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,2.99001164,33,32,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00486874,32,32,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00381736,31,31,5803
22,0.00209300,0.00004010,0.00032686,0.000364545454545,bnb,1,0,1,,31,30,1957
23,0.00332600,0.00004849,0.00023312,0.000233125000,srd,2,0,2,1.99351876,30,29,3215
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00059880,29,29,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00664522,29,29,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.99797728,29,29,1596
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,29,27,949
28,0.00300000,0.00003874,0.00009927,0.000101679790026,bnb,5,0,1,,27,22,57
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00036055,22,22,524
