id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00314770,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,3.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00005351,0.00025725,0.000257259615385,srd,2,0,2,2.99994649,22,21,3618
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,2.99673559,21,21,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,21,21,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00049838,21,21,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,2.99570839,21,21,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,0.00141843,22,22,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,22,22,1066
11,0.00310000,0.00001647,0.00007917,0.0000791826923077,srd,2,0,2,0.00347153,29,28,644
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,29,29,1884
13,0.00113200,0.00004263,0.00020493,0.000204951923077,srd,2,0,2,0.99932375,29,28,2744
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,28,27,312
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,2.99166026,33,33,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,33,32,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,1.99692843,34,34,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,0.02153621,34,33,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00271687,33,33,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,33,32,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00153423,32,32,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.01355091,32,32,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00604113,32,32,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00928097,32,32,1682
25,0.00333000,0.00005819,0.00017571,0.000185910543131,bnb,4,0,1,,32,28,2361
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00777728,28,28,1596
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,28,26,286
28,0.00300000,0.00001400,0.00009927,0.0000992907801418,knapsack,1,0,2,0.00028000,26,26,984
29,0.00294600,0.00003250,0.00005283,0.0000528455284553,knapsack,8,2,2,0.00001065,26,19,-1716
30,0.00332500,0.00001651,0.00011709,0.000117092198582,knapsack,1,0,2,0.00013002,20,20,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,3.99330394,20,20,1149
32,0.00330000,0.00001400,0.00006361,0.000127272727273,bnb,1,0,1,,20,19,452
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00162589,19,19,781
34,0.00333400,0.00000812,0.00002942,0.0000294202898551,knapsack,3,0,2,0.00028377,22,20,-665
35,0.00030000,0.00000847,0.00004071,0.0000407211538462,knapsack,2,0,2,0.00010155,20,19,1
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00303564,19,19,316
37,0.00332900,0.00000798,0.00002890,0.0000289130434783,knapsack,3,0,2,0.00004834,20,18,-679
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00444690,18,18,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00111665,18,18,229
40,0.00322700,0.00000800,0.00003845,0.0000384615384615,knapsack,2,0,2,0.00091729,18,17,-36
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00595522,17,17,405
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00396662,18,18,324
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00074249,18,18,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00494133,20,20,258
45,0.00105000,0.00000965,0.00004637,0.0000463942307692,knapsack,2,0,2,0.00005764,21,20,96
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00053724,20,20,369
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00212652,20,20,316
48,0.00020400,0.00001198,0.00002292,0.0000488979591837,bnb,3,0,1,,21,18,-939
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00171090,18,18,312
50,0.00334300,0.00000602,0.00002891,0.0000289423076923,knapsack,2,0,2,0.00048840,18,17,-196
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00331533,17,17,329
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00032960,17,16,-90
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00666386,16,16,782
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00333427,16,16,323
55,0.00332500,0.00000533,0.00002561,0.000025625000,srd,2,0,2,3.99030321,16,15,-250
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00033014,15,15,291
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00676906,15,15,277
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00343916,15,15,345
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srd,2,0,2,3.98806568,15,14,-158
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00010613,14,14,420
61,0.00332700,0.00000463,0.00003282,0.0000328368794326,knapsack,1,0,2,0.00966837,14,14,326
62,0.00332800,0.00000799,0.00003837,0.0000384134615385,srd,2,0,2,1.99408084,14,13,-39
63,0.00332900,0.00000582,0.00002798,0.0000279807692308,srd,2,0,2,0.01269532,13,12,-215
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00633276,12,12,391
65,0.00332500,0.00000502,0.00003559,0.0000356028368794,knapsack,1,0,2,0.00300274,12,12,350
66,0.00332500,0.00000547,0.00002628,0.0000262980769231,knapsack,2,0,2,0.00020951,12,11,-705
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00935608,11,11,-166
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00602696,11,11,-175
69,0.00332500,0.00000352,0.00002495,0.0000249645390071,knapsack,1,0,2,0.00269844,11,11,-231
70,0.00300000,0.00000749,0.00002712,0.0000271376811594,knapsack,3,0,2,0.00000659,11,9,-1199
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01831842,9,9,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01630814,10,10,257
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.01309859,10,10,206
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00976782,10,10,-59
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00646340,10,10,-155
