id,input_amounts
0,['0.00329000']
1,['0.00331400']
2,['4.00000000']
3,['0.00483000']
4,"['0.00329000', '3.00000000']"
5,['2.99994649']
6,['0.00066424']
7,['0.00314770']
8,['2.99673559']
9,['0.00794500']
10,['0.00023909']
11,"['0.00329400', '0.00329400']"
12,['0.00014860']
13,"['1.00000000', '0.00049838']"
14,['0.00011747']
15,['2.99570839']
16,['0.00103200']
17,['2.00000000']
18,"['0.02500000', '0.00329400']"
19,['0.00390000']
20,['0.00100000']
21,['0.00271687']
22,['0.01569000']
23,['0.00940000']
24,['0.01355091']
25,"['0.00050000', '0.00056976', '0.00141843', '0.00090000']"
26,['0.00980000']
27,"['0.00329600', '0.00010000']"
28,['0.00329400']
29,"['0.00014860', '0.00002077', '0.00000200', '0.00000100', '0.00008392', '0.00153423', '0.00109000', '0.00010863']"
30,['0.00347153']
31,['3.99664529']
32,['0.00331400']
33,['0.00500000']
34,"['0.00100000', '0.00162589', '0.00100000']"
35,"['0.00013002', '0.00028000']"
36,['0.00604113']
37,"['0.00028377', '0.00300000', '0.00010155']"
38,['0.00777728']
39,['0.00444690']
40,"['0.00303564', '0.00111665']"
41,['0.00928097']
42,['0.00595522']
43,['0.00396662']
44,['0.01000000']
45,"['0.00020000', '0.00091729']"
46,['0.00074249']
47,['0.00300000']
48,"['0.00004834', '0.00011000', '0.00005764']"
49,['0.00494133']
50,"['0.00171090', '0.00212652']"
51,['0.01000000']
52,"['0.00034660', '0.00331533']"
53,['0.01000000']
54,['0.00666386']
55,"['0.00032960', '3.99330394']"
56,['0.00333427']
57,['0.01010000']
58,['0.00676906']
59,"['3.99030321', '0.00076900']"
60,['0.00343916']
61,['0.01300000']
62,"['1.99692843', '0.00048840']"
63,"['0.01570000', '0.00033014']"
64,['0.00966837']
65,['0.00633276']
66,"['0.00053724', '0.00300274']"
67,['0.01269532']
68,['0.00935608']
69,['0.00602696']
70,"['0.00269844', '0.00010613', '0.00020951']"
71,['0.02153621']
72,['0.01831842']
73,['0.01630814']
74,['0.01309859']
75,['0.00976782']
76,['0.00646340']
77,"['0.00100000', '0.00306506']"
78,['0.03535793']
79,['0.03201022']
80,['0.02867608']
81,['0.02534164']
82,['0.01600938']
83,['0.01267165']
84,['0.00910000']
85,['0.00576575']
86,['0.99932375']
87,['0.00275830']
88,['0.00933654']
89,['0.00667868']
90,['0.00334118']
91,['0.01714000']
92,['0.00103265']
93,['0.03000000']
94,['0.00213637']
95,"['0.00116387', '0.00012866', '0.00072842']"
96,['0.00300000']
97,"['0.00002942', '0.00098946', '0.00001189', '0.00001025']"
98,"['0.01490000', '0.00100000']"
99,['0.00480000']
100,"['3.98806568', '0.00001065']"
101,"['0.00088195', '0.00100000', '0.00278860']"
102,['0.00300000']
103,"['0.00080000', '0.00006080', '0.00099580', '0.00107722', '0.00008026']"
104,"['0.00100000', '0.00100000']"
105,['0.00370000']
106,"['0.00069355', '0.00098897']"
107,"['0.00014151', '0.00100000', '0.00100000']"
108,"['0.00000659', '0.00100000']"
109,"['0.00002174', '0.00120000', '0.00171142', '0.00200000']"
110,['0.00120000']
111,['0.00200000']
112,"['0.00149501', '0.00270000']"
113,"['0.00005118', '0.00009442', '0.00010000', '0.00087643', '0.00200000']"
114,"['0.00500000', '0.00040000']"
115,['5.00000000']
116,['0.00390000']
117,['0.00018443']
118,"['0.00454585', '0.00004067', '0.00100000']"
119,"['0.00300000', '0.00000903']"
120,"['0.00010000', '0.00341677', '0.00444318', '0.00008000', '0.00006000', '0.00025639', '0.00091371']"
121,"['0.00500000', '0.00002879']"
122,"['0.00163049', '0.00090000', '0.00090000']"
123,"['0.00290000', '0.00100000', '0.00464370']"
124,"['0.00001958', '0.00800000']"
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.00790000', '0.00480000', '0.00004077', '0.00228044']"
127,['0.00360000']
128,['0.00159529']
129,['0.00480000']
130,"['0.00490000', '0.00157219']"
131,"['0.00500000', '0.00169500']"
132,['0.00800000']
133,"['0.00900000', '0.00165454', '0.00035895']"
134,"['0.00226500', '0.00058382']"
135,"['0.00000510', '0.01000000', '0.00000536']"
136,"['0.00002163', '0.01000000']"
137,['0.00213902']
138,"['0.00009130', '0.00100000', '0.00013380', '0.00049540']"
139,['0.00300000']
140,"['0.00024579', '0.00100000', '0.01109159', '0.00069882']"
141,['0.00500000']
142,"['0.00000722', '0.00200000']"
143,['0.00070000']
144,['0.00280000']
145,"['0.00002702', '0.00299291', '0.00024546', '0.00600000']"
146,"['0.00180000', '0.00139299']"
147,['0.00300000']
148,"['0.00015072', '0.00500000', '0.00068817']"
149,"['0.00880000', '0.00133049']"
150,"['0.00600000', '0.00500000']"
151,"['0.00263338', '0.00980000', '0.00001228', '0.00880000', '0.01780000', '0.00900000', '0.00127514', '0.00969612']"
152,"['0.00090000', '0.03500000']"
153,"['0.01450000', '0.00007532', '0.00040000', '0.00032230', '0.00090000', '0.03386636']"
154,['0.01000000']
155,['0.00860000']
156,"['0.01999650', '0.01000000', '0.06000000', '0.01000000', '0.01680000', '0.00500000']"
157,"['0.00290000', '0.00077987']"
158,['0.00539344']
159,"['0.02000000', '0.05000000', '0.00454420', '0.00963986', '0.01990000']"
160,"['0.04000000', '0.00407061', '0.05900000']"
161,['0.97884102']
162,['0.00700000']
163,"['0.00305575', '0.00084400', '0.00002022', '0.00010535']"
164,['0.01000000']
165,"['0.00002866', '0.00499242']"
166,['0.00199320']
167,['0.00800000']
168,"['0.00001032', '0.01000000']"
169,"['0.00000467', '0.00100000']"
170,['0.01500000']
171,"['0.00129527', '0.00010000']"
172,['0.00496541']
173,"['0.00369036', '0.00090000']"
174,"['0.00499480', '0.00001377']"
175,['0.02471042']
176,['0.01450305']
177,"['0.00040000', '0.00429678', '0.00500000', '0.00017000', '0.00038000', '0.00008470', '0.00021000']"
178,['0.05000000']
179,['0.00250000']
180,['0.00213586']
181,['0.02959206']
182,['0.03300000']
183,"['0.00980000', '0.05000000']"
184,['0.07024500']
185,['0.00176933']
186,['0.00149065']
187,['0.03000000']
188,"['0.01000000', '0.06000000']"
189,['4.99898570']
190,['0.00500000']
191,['0.00293524']
192,['3.98606548']
193,['0.05578156']
194,['0.01000000']
195,"['0.00002005', '0.00010000', '0.00100000']"
196,"['0.00797421', '3.97393635']"
197,"['0.00074700', '0.00028000']"
198,['0.01000000']
199,['0.87883597']
200,['0.03932106']
201,"['3.96634393', '0.00170000']"
202,['0.00044827']
