Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19417661,23.7200000000,24,267,447,233,2,204,bnb: **28** ; knapsack: **1** ; Total: **29**,0.00000467,4.99898570,0.321329920637,1.02184358083,0.00468306,0.0000200989699571,0.000163200000,0.004846260000,1,13,1.91845493562,1.61812290646,knapsack: **160** ; srd: **45** ; bnb: **28**
bustabit-tiny-hot-wallet_peak-and-tail,23.92699865,29.5030000000,38,594,904,406,2,348,bnb: **53** ; knapsack: **5** ; Total: **58**,0.00000368,8.81906713,0.313695017069,1.06134519924,0.00832552,0.0000205062068966,0.000258400000,0.008583920000,1,17,2.22660098522,2.17116496542,knapsack: **280** ; srd: **73** ; bnb: **53**
bustabit-tiny-hot-wallet_peak-and-tail,27.28270459,36.1653333333,78,961,1333,539,4,450,bnb: **79** ; knapsack: **10** ; Total: **89**,0.00000368,8.81906713,0.275885383578,0.952518636908,0.01190041,0.0000220786827458,0.000530400000,0.012430810000,1,17,2.47309833024,2.57177991023,knapsack: **357** ; srd: **103** ; bnb: **79**
bustabit-tiny-hot-wallet_peak-and-tail,19.66699278,38.8165000000,18,1316,1862,684,6,564,bnb: **109** ; knapsack: **11** ; Total: **120**,0.00000368,9.99686510,0.310346848493,1.15059949907,0.01483137,0.0000216832894737,0.000122400000,0.014953770000,1,37,2.72222222222,3.23216408296,knapsack: **451** ; srd: **124** ; bnb: **109**
bustabit-tiny-hot-wallet_peak-and-tail,26.29664231,37.7824000000,54,1682,2302,818,6,674,bnb: **131** ; knapsack: **13** ; Total: **144**,0.00000368,9.99686510,0.321434222181,1.18125067200,0.01771872,0.0000216610268949,0.000367200000,0.018085920000,1,37,2.81418092910,3.35163883281,knapsack: **545** ; srd: **142** ; bnb: **131**
bustabit-tiny-hot-wallet_peak-and-tail,18.38051349,37.8293333333,24,2008,2804,992,7,820,bnb: **158** ; knapsack: **14** ; Total: **172**,0.00000317,9.99686510,0.333424113915,1.20073177873,0.02229398,0.0000224737701613,0.000163200000,0.022457180000,1,37,2.82661290323,3.27978510460,knapsack: **654** ; srd: **180** ; bnb: **158**
bustabit-tiny-hot-wallet_peak-and-tail,26.40381954,38.6702857143,42,2415,3269,1085,7,896,bnb: **174** ; knapsack: **15** ; Total: **189**,0.00000317,9.99686510,0.325915009040,1.16997834522,0.02457100,0.0000226460829493,0.000285600000,0.024856600000,1,41,3.01290322581,3.71466369166,knapsack: **715** ; srd: **196** ; bnb: **174**
bustabit-tiny-hot-wallet_peak-and-tail,23.47155157,39.5067500000,46,2818,3743,1182,7,971,bnb: **195** ; knapsack: **16** ; Total: **211**,0.00000317,9.99686510,0.304127933944,1.12723686720,0.02743430,0.0000232100676819,0.000312800000,0.027747100000,1,41,3.16666666667,3.89056117694,knapsack: **788** ; srd: **199** ; bnb: **195**
bustabit-tiny-hot-wallet_peak-and-tail,15.35496165,40.5360000000,24,3213,4243,1287,7,1054,bnb: **216** ; knapsack: **17** ; Total: **233**,0.00000317,9.99686510,0.284929365304,1.08498364745,0.03120229,0.0000242442035742,0.000163200000,0.031365490000,1,43,3.29681429681,4.14723360911,knapsack: **853** ; srd: **218** ; bnb: **216**
bustabit-tiny-hot-wallet_peak-and-tail,15.77894671,40.3144000000,25,3571,4718,1429,7,1172,bnb: **238** ; knapsack: **19** ; Total: **257**,0.00000317,9.99686510,0.267776608720,1.03395747963,0.03408980,0.0000238557032890,0.000170000000,0.034259800000,1,43,3.30160951714,4.10583092050,knapsack: **956** ; srd: **235** ; bnb: **238**
