id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['0.00500000']
7,['0.00329400']
8,['0.00329600']
9,"['0.00014860', '0.00008690', '0.00071414', '0.00228123', '0.00331400']"
10,['0.00018047']
11,['0.00329400']
12,['0.00329400']
13,"['0.00050000', '0.00066263']"
14,"['0.00003341', '0.00010000']"
15,['3.00000000']
16,['0.00103200']
17,['0.00316462']
18,['0.02500000']
19,"['0.00100000', '0.00012900']"
20,['0.00100000']
21,['0.01010000']
22,['0.00458475']
23,['0.01000000']
24,['0.00980000']
25,['4.00000000']
26,['3.99663788']
27,['5.00000000']
28,"['0.00246805', '0.00056976']"
29,['0.00390000']
30,['0.00553048']
31,['0.00794500']
32,['0.00459143']
33,"['2.99596061', '0.00018558']"
34,"['0.00000100', '0.00003564', '0.00007615', '0.00109000', '0.00000200', '0.00125989', '0.00090000']"
35,['0.00093644']
36,['0.00897380']
37,"['0.00300000', '0.00062074']"
38,"['0.00028211', '0.00100000', '0.00218214']"
39,['0.00594309']
40,['0.00665069']
41,['0.00340134']
42,['0.00260944']
43,['0.00940000']
44,['0.00612490']
45,['3.99460194']
46,['0.00057597']
47,['0.00098320']
48,['0.00300000']
49,['1.00000000']
50,['0.01000000']
51,['0.01831520']
52,['0.00652430']
53,['0.99664330']
54,['0.01151744']
55,['0.01300000']
56,['2.00000000']
57,['4.99659093']
58,"['0.00307138', '0.00034660']"
59,['0.00815113']
60,['0.01570000']
61,['2.99274477']
62,['0.03535793']
63,['0.01000000']
64,['4.99319271']
65,['4.98973180']
66,['0.00658103']
67,['0.00507379']
68,['1.99694454']
69,['3.99341182']
70,['0.99324563']
71,['0.03196640']
72,['0.99017969']
73,"['0.00013099', '0.00316639']"
74,['4.98628110']
75,['0.98811395']
76,['2.98934592']
77,['3.99003651']
78,['0.98475011']
79,['0.00962773']
80,['0.00617181']
81,['0.01230245']
82,['0.01569000']
83,['4.98289628']
84,['0.98130226']
85,['0.00910000']
86,['3.98660087']
87,['4.97937108']
88,['0.00591947']
89,['2.98587509']
90,['0.97777509']
91,['0.01714000']
92,['0.03000000']
93,['2.98237673']
94,['0.00286392']
95,['4.97747856']
96,['0.00310131']
97,['0.02885044']
98,['3.96595724']
99,['0.00480000']
100,['2.97220847']
101,['3.95086212']
102,['0.02869239']
103,['0.97426985']
104,['0.00107722']
105,['1.99356794']
106,['1.99047903']
107,['0.02775703']
108,['0.00480000']
109,['0.00800000']
110,['0.00116387']
111,['2.97012011']
112,['0.00480000']
113,['0.01219721']
114,"['0.00167914', '0.00374069']"
115,['0.00200000']
116,['0.00500000']
117,['0.00124518']
118,['0.02557444']
119,['0.97108461']
120,['0.01780000']
121,"['0.00444318', '0.00059508']"
122,"['0.00169500', '0.00171142']"
123,"['0.00200000', '0.00454585', '0.00200000']"
124,"['0.00095384', '0.00020000', '0.00011000', '0.00006000', '0.00010000', '0.00500000', '0.00010000', '0.00010863', '0.00087643', '0.00008000', '0.00003831', '0.00040000', '0.00006080']"
125,"['0.00061448', '0.00076900', '0.00025639', '0.00370000', '0.00090000', '0.00100000', '0.00100000', '0.00080000', '0.00100000']"
126,"['0.00271189', '0.00100000', '0.00024340', '0.01109159']"
127,['0.00300000']
128,['0.00163049']
129,"['0.00300000', '0.00025846']"
130,"['0.00196323', '0.00100000', '0.00106525', '0.00100000', '0.00110000']"
131,"['0.00097143', '0.00228044', '0.00100000', '0.00090000', '0.00097929']"
132,['0.02658679']
133,"['0.00091371', '0.00301581', '0.00100000', '0.00390000', '0.00120000', '0.00100000']"
134,['0.00290000']
135,"['0.00270000', '0.00049540', '0.00100000', '0.00013409', '0.00226500', '0.00341677']"
136,"['0.00790000', '0.00213902']"
137,['0.00904603']
138,['0.00464370']
139,['4.97522238']
140,['0.01450000']
141,['0.00500000']
142,"['0.00100000', '0.00001540', '0.00100000']"
143,['0.00069882']
144,"['0.00070000', '0.00024249', '0.00120000']"
145,"['0.00300000', '0.00147899', '0.00200000', '0.00001106', '0.00280000']"
146,['0.00360000']
147,['0.00180000']
148,"['0.00011922', '0.00265982', '0.00297347', '0.00002497']"
149,"['0.00290000', '0.00702136']"
150,"['0.00490000', '0.00500000']"
151,"['4.97359660', '0.01680000', '0.01000000']"
152,['0.00300000']
153,"['0.00860000', '0.00880000', '0.03500000']"
154,['0.01000000']
155,['0.01490000']
156,"['0.00090000', '0.00263338', '0.00234348', '0.00292332', '0.01166196', '0.01000000', '0.00090000', '0.02022402', '0.06000000', '0.00269713', '0.00055048', '0.00500000', '0.00011695', '0.00096409', '0.00017432']"
157,['0.00500000']
158,['0.00142434']
159,['2.96956182']
160,"['0.00300000', '0.00851285', '0.00963986', '0.01990000', '0.05900000']"
161,['0.96805266']
162,"['0.00040000', '0.00500000']"
163,"['0.00084400', '0.00021000', '0.00300000']"
164,['0.00592000']
165,['0.00600000']
166,['0.03300000']
167,"['0.00091463', '0.00038864', '0.00098633', '0.00017000', '0.00057374']"
168,"['0.01000000', '0.00004888']"
169,"['0.00003362', '0.00100000']"
170,"['0.00969612', '0.00038000']"
171,['0.00600000']
172,['0.00462724']
173,"['0.00090000', '0.00040000', '0.00335486']"
174,"['0.00500000', '0.00003306']"
175,"['0.00014685', '0.01000000', '0.00010000']"
176,"['0.00250000', '0.00800000']"
177,"['0.00700000', '0.00800000']"
178,"['0.00880000', '0.00449536']"
179,"['0.00029196', '0.00003033']"
180,['0.00266177']
181,['0.09990000']
182,"['0.00235386', '0.00900000']"
183,['0.02959206']
184,['0.05000000']
185,['0.00055017']
186,['0.00500000']
187,"['0.00436558', '0.00980000', '0.00004409']"
188,"['0.00318835', '0.00980000', '0.00033486', '0.00090000']"
189,"['0.01000000', '0.01000000']"
190,['0.00889530']
191,['0.00318000']
192,"['0.00170000', '0.01000000', '0.00106212']"
193,['0.08957221']
194,['0.01000000']
195,['1.98886313']
196,['0.05000000']
197,['0.07024500']
198,['0.01000000']
199,"['0.00900000', '0.00099000', '0.00900000']"
200,"['0.00011067', '0.00100000', '0.00063755', '0.00028000']"
201,"['0.00687780', '0.00090000']"
202,['0.00796738']
203,"['0.00400000', '0.00200000', '0.00180000', '0.01991671']"
204,['0.07855412']
205,"['0.00015023', '0.00006080', '0.00900000', '0.00002020', '0.00390000']"
206,['0.05000000']
207,['0.01500000']
208,['0.00774743']
209,['0.01927397']
210,['0.00044827']
211,['0.03228954']
212,['1.98772414']
213,"['0.01000000', '0.02471042']"
214,['0.00180000']
215,"['0.00873090', '0.02400000', '0.00342623', '0.03888099']"
216,"['0.00153126', '0.00014000', '0.00005460', '0.00229870', '0.00092167', '0.00390000', '0.00015625', '0.00050000', '0.00039116', '0.00010000', '0.00005460']"
217,"['0.03444160', '4.94133018']"
218,['0.05000000']
219,['0.00097600']
220,['0.00077357']
221,['3.94619043']
222,"['0.01000000', '0.01030000', '0.00193800', '0.00019558', '0.00056228', '0.00990000', '0.00100000', '0.00010000']"
