id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,['0.00329000']
6,['5.00000000']
7,['0.00329400']
8,['0.00940000']
9,"['0.00003341', '0.00071414', '0.00066263', '0.00014860', '0.00500000']"
10,['0.00018047']
11,"['0.00329400', '4.99958475']"
12,['0.00980000']
13,['0.00329400']
14,['0.01000000']
15,['0.02500000']
16,['0.00103200']
17,['3.00000000']
18,['0.02096061']
19,['0.01010000']
20,['0.00100000']
21,"['0.00050000', '0.00007615', '0.00056976']"
22,['4.00000000']
23,['0.01570000']
24,['0.00897908']
25,['0.00967062']
26,['0.01000000']
27,"['0.00331400', '0.00010863']"
28,['0.01427581']
29,['0.00794500']
30,['0.00390000']
31,['1.00000000']
32,['0.01124889']
33,"['0.00329600', '0.00010000']"
34,"['0.00008690', '0.00003564', '0.00109000', '0.00214360']"
35,['0.00055166']
36,['2.99696438']
37,"['0.00090000', '0.00000200', '0.00000100', '0.00300000']"
38,['0.00470956']
39,"['0.00100000', '0.00100000', '0.00137936']"
40,['0.00498144']
41,['0.00630850']
42,['0.00796406']
43,['0.01235069']
44,['3.99788330']
45,['0.00173209']
46,['0.00054197']
47,['0.00294547']
48,['0.00838523']
49,['0.01569000']
50,['0.00593059']
51,['3.99274160']
52,['0.00987856']
53,['0.00804505']
54,"['0.00003935', '2.99393367']"
55,['0.00642564']
56,['0.00305337']
57,['0.03535793']
58,['4.99976633']
59,['0.03195971']
60,"['3.98594384', '0.00300000']"
61,['2.99058709']
62,['0.01000000']
63,['0.00464738']
64,['2.00000000']
65,['0.00791735']
66,['3.98551277']
67,['0.99664643']
68,['0.00660847']
69,['1.99653909']
70,['4.99636981']
71,['0.99325178']
72,['3.98209813']
73,['0.02888237']
74,['3.98003239']
75,"['3.97664757', '0.00245489']"
76,['0.01233330']
77,['0.00907559']
78,['0.00563995']
79,['3.97570829']
80,['0.01300000']
81,['2.98718824']
82,['1.99316378']
83,['3.97225237']
84,['1.98967099']
85,['0.02560954']
86,['0.98997777']
87,['4.99330387']
88,['1.98614382']
89,['0.01714000']
90,['0.96933414']
91,['0.96582890']
92,['0.95065213']
93,['0.94950257']
94,['0.00446665']
95,['0.03000000']
96,['0.02242901']
97,['2.97774971']
98,['0.02030699']
99,['0.00910000']
100,['0.00699713']
101,['1.98332566']
102,['0.00300000']
103,['4.99141135']
104,['0.00107722']
105,['0.01490000']
106,['1.97865397']
107,"['0.00200000', '0.00020940']"
108,['0.00480000']
109,['1.97703807']
110,['0.00116387']
111,['0.00055807']
112,"['0.00120000', '0.00300000']"
113,['0.01109159']
114,['0.00886247']
115,['0.00219781']
116,['0.01450000']
117,['0.02774382']
118,['0.02756389']
119,['0.00480000']
120,"['0.00341677', '0.00200000', '0.00390000']"
121,"['0.00023596', '0.00480000']"
122,"['0.00169500', '0.00171142']"
123,"['0.00300000', '0.00100000', '0.00454585']"
124,"['0.00087643', '0.00025639', '0.00008000', '0.00011000', '0.00002273', '0.00010000', '0.00500000', '0.00040000', '0.00076900', '0.00006000', '0.00006080', '0.00034660']"
125,"['0.00100000', '0.00010000', '0.00374069', '0.00100000', '0.00020000', '0.00100000', '0.00100000', '0.00100000', '0.00100000']"
126,"['0.01181109', '0.00122841', '0.00200000']"
127,['0.00370000']
128,['0.00163049']
129,"['0.00025846', '0.00300000']"
130,"['0.00090000', '0.00090000', '0.00115165', '0.00228044', '0.00089440']"
131,"['0.00444318', '0.00167143']"
132,['0.00794041']
133,"['0.00100000', '0.00100000', '0.00176805', '0.00100000', '0.00110000', '0.00091371', '0.00080000', '0.00345531']"
134,"['0.00157764', '0.00120000']"
135,"['0.00213902', '0.00194618', '0.00592000']"
136,"['0.00954008', '0.00049540']"
137,['0.00219210']
138,['0.00226500']
139,['0.00500000']
140,['1.97205388']
141,['0.00800000']
142,"['0.00001186', '0.00100000', '0.00100000']"
143,['0.00054462']
144,"['0.00200000', '0.00016743']"
145,"['0.00300000', '0.00300000', '0.00005423', '0.00323187']"
146,['0.00880000']
147,['0.00180000']
148,"['0.00500000', '0.00008829', '0.00069882']"
149,"['0.00270000', '0.00360000', '0.00001406', '0.00011922', '0.00337422']"
150,"['0.00490877', '2.97665630']"
151,['4.98822611']
152,['0.00490000']
153,"['0.03500000', '0.00600000', '0.06000000']"
154,['0.01000000']
155,['0.00860000']
156,"['0.02190616', '0.00280000', '0.00290000', '0.00597347', '0.00040000', '0.00070000', '0.05094348', '0.00521187', '0.00464370', '0.01780000', '0.00600000', '0.00090000', '0.00090000']"
157,['0.00500000']
158,['0.00142434']
159,['4.92919218']
160,"['0.00286409', '0.02959206', '0.00969612', '0.00790000', '0.05000000']"
161,"['0.00536196', '2.97183939']"
162,"['0.00263338', '0.00290000']"
163,['0.00500000']
164,"['0.00021000', '0.00500000']"
165,"['0.00020208', '0.00500000']"
166,['4.82916850']
167,"['0.00052202', '0.00038000', '0.00017000', '0.00018191', '0.00099738', '0.00084400']"
168,"['0.00005740', '0.01000000']"
169,['0.05900000']
170,"['0.00004214', '0.01000000']"
171,"['0.00040000', '0.00100000']"
172,['0.00575048']
173,"['0.00010000', '0.00447810']"
174,"['0.00002593', '0.00500000']"
175,"['0.00963986', '0.00057374']"
176,"['0.00250000', '0.00800000']"
177,"['0.00090000', '0.00980000']"
178,"['0.00001152', '0.01680000', '0.00980000']"
179,"['0.00002320', '0.00029196']"
180,['0.00700000']
181,['0.01074518']
182,['0.01364164']
183,['0.05000000']
184,['0.09990000']
185,['0.01000000']
186,['0.01990000']
187,"['0.00283914', '0.01000000']"
188,"['0.00800000', '0.00669209']"
189,"['0.00090000', '0.00019536', '0.00001307', '0.00900000', '0.00058451', '0.00041739']"
190,['0.00500000']
191,['0.00298250']
192,"['0.00086462', '0.00170000', '0.01000000']"
193,['1.95903287']
194,['0.03300000']
195,['0.07024500']
196,['0.05797940']
197,['0.01000000']
198,['0.01000000']
199,"['0.00099000', '0.00900000', '0.00900000']"
200,"['0.00014000', '0.00028000', '0.00007206', '0.00010000', '0.00044827', '0.00100000']"
201,"['0.00180000', '0.00090000', '0.00182307', '0.00318000']"
202,['0.00044005']
203,['0.05000000']
204,['0.00200000']
205,"['0.00006728', '0.00006080', '0.00900000', '0.00400000']"
206,['0.04242100']
207,['0.09980000']
208,['0.01000000']
209,['1.94801478']
210,['0.00050000']
211,['0.02900000']
212,['4.82845804']
213,"['0.00897807', '0.02230904']"
214,"['0.00022010', '0.00005460']"
215,"['0.01944692', '0.00020798', '0.01570000', '0.03968191']"
216,"['0.00390000', '0.00039116', '0.00005460', '0.00098309', '0.00180000', '0.00290000']"
217,"['0.02347265', '0.01060890', '0.02000000', '0.01597676', '0.03000000']"
218,"['0.01926558', '0.00873090', '0.00019558', '0.00193800']"
219,['0.00097600']
220,['0.00077357']
221,"['0.04000000', '0.03096738', '0.01030000', '0.02310000', '0.02000000']"
