Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18612320,43.3900000000,71,267,389,233,2,193,bnb: **39** ; knapsack: **1** ; Total: **40**,0.00000988,4.99573048,0.857792230570,1.50761698441,0.01273647,0.0000546629613734,0.000482800000,0.013219270000,1,12,1.66952789700,1.57506656683,srdltd: **52** ; knapsack: **54** ; bnb: **39** ; srd: **88**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90579832,93.1490000000,206,594,707,406,2,319,bnb: **84** ; knapsack: **3** ; Total: **87**,0.00000988,8.78497143,0.725505014765,1.49538465070,0.02952585,0.0000727237684729,0.00140080000,0.03092665000,1,13,1.74137931034,1.80523575122,srdltd: **99** ; knapsack: **66** ; bnb: **84** ; srd: **157**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25586599,144.780000000,342,961,1023,539,3,404,bnb: **131** ; knapsack: **4** ; Total: **135**,0.00000988,8.78497143,0.621458829282,1.41093337900,0.03873901,0.0000718720037106,0.00232560000,0.04106461000,1,13,1.89795918367,2.07990373450,srdltd: **133** ; knapsack: **92** ; bnb: **131** ; srd: **183**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63321653,206.427000000,371,1316,1435,684,3,490,bnb: **190** ; knapsack: **4** ; Total: **194**,0.00000988,9.34308522,0.593729532918,1.45508674548,0.04860762,0.0000710637719298,0.00252280000,0.05113042000,1,35,2.09795321637,2.63450388853,srdltd: **165** ; knapsack: **115** ; bnb: **190** ; srd: **214**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25329898,248.420800000,433,1682,1815,818,3,566,bnb: **245** ; knapsack: **7** ; Total: **252**,0.00000988,9.34308522,0.548836705883,1.39897023535,0.06106205,0.0000746479828851,0.00294440000,0.06400645000,1,51,2.21882640587,3.51632494139,srdltd: **194** ; knapsack: **129** ; bnb: **245** ; srd: **250**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32389441,273.250333333,358,2008,2316,992,5,666,bnb: **318** ; knapsack: **8** ; Total: **326**,0.00000988,9.34308522,0.551414201652,1.41807461951,0.07891306,0.0000795494556452,0.00243440000,0.08134746000,1,51,2.33467741935,3.52458385042,srdltd: **222** ; knapsack: **154** ; bnb: **318** ; srd: **298**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33928943,295.388857143,414,2415,2720,1085,5,719,bnb: **356** ; knapsack: **10** ; Total: **366**,0.00000988,9.34308522,0.538445698053,1.37871848793,0.08910111,0.0000821208387097,0.00281520000,0.09191631000,1,142,2.50691244240,5.50320253597,srdltd: **244** ; knapsack: **165** ; bnb: **356** ; srd: **320**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39954232,302.810000000,250,2818,3346,1182,5,778,bnb: **392** ; knapsack: **12** ; Total: **404**,0.00000988,9.34308522,0.509420026979,1.33098881956,0.09944355,0.0000841315989848,0.00170000000,0.10114355000,1,220,2.83079526227,8.98725030932,srdltd: **278** ; knapsack: **176** ; bnb: **392** ; srd: **336**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26824431,298.521555556,267,3213,3794,1287,5,848,bnb: **427** ; knapsack: **12** ; Total: **439**,0.00000988,9.34308522,0.477953234788,1.28054152912,0.11791963,0.0000916236441336,0.00181560000,0.11973523000,1,220,2.94794094794,8.75027269264,srdltd: **303** ; knapsack: **193** ; bnb: **427** ; srd: **364**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.68205658,296.440200000,296,3571,4211,1429,5,936,bnb: **480** ; knapsack: **13** ; Total: **493**,0.00000988,9.34308522,0.464945658301,1.25839921246,0.13097993,0.0000916584534640,0.00201280000,0.13299273000,1,220,2.94681595521,8.41000962625,srdltd: **345** ; knapsack: **211** ; bnb: **480** ; srd: **393**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90821577,301.733272727,335,3938,4625,1562,5,1022,bnb: **526** ; knapsack: **14** ; Total: **540**,0.00000988,9.34308522,0.494412015284,1.30093940597,0.14475194,0.0000926708962868,0.00227800000,0.14702994000,1,220,2.96094750320,8.17774271100,srdltd: **391** ; knapsack: **227** ; bnb: **526** ; srd: **418**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.31944032,300.924333333,279,4278,5129,1722,5,1130,bnb: **575** ; knapsack: **17** ; Total: **592**,0.00000988,9.34308522,0.482790978407,1.26419919088,0.16422332,0.0000953677816492,0.00189720000,0.16612052000,1,220,2.97851335656,7.95221803279,srdltd: **442** ; knapsack: **242** ; bnb: **575** ; srd: **463**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.78768479,292.918153846,251,4650,5617,1850,5,1218,bnb: **613** ; knapsack: **19** ; Total: **632**,0.00000988,9.34308522,0.461559363604,1.22202901068,0.17731979,0.0000958485351351,0.00170680000,0.17902659000,1,220,3.03621621622,8.15037728072,srdltd: **481** ; knapsack: **255** ; bnb: **613** ; srd: **501**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.14088584,283.953142857,131,4990,6191,2010,5,1332,bnb: **659** ; knapsack: **19** ; Total: **678**,0.00000988,9.34308522,0.437543655255,1.17519605503,0.18879185,0.0000939262935323,0.000890800000,0.189682650000,1,220,3.08009950249,8.04300610640,srdltd: **518** ; knapsack: **278** ; bnb: **659** ; srd: **555**
