id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,"['0.00329000', '5.00000000']"
6,['0.00071414']
7,['0.00329400']
8,['0.00500000']
9,"['0.00329400', '0.00329400']"
10,"['1.00000000', '0.00006980']"
11,['0.00329600']
12,['0.00014860']
13,"['0.00029889', '0.00066263', '0.00003341', '0.00018047']"
14,['0.00018758']
15,"['0.00006614', '0.00398523']"
16,['0.00103200']
17,['0.00331400']
18,['0.99992268']
19,['3.00000000']
20,['0.99323788']
21,['0.01000000']
22,['0.00794500']
23,['0.00887380']
24,['0.00940000']
25,['4.00000000']
26,['2.00000000']
27,['5.00008258']
28,['0.02500000']
29,['0.00390000']
30,['0.00552449']
31,['3.99663788']
32,['0.00582830']
33,"['0.00090000', '0.00249676']"
34,"['0.00010863', '0.00056976', '0.00050000', '0.00217615']"
35,['0.00093644']
36,['4.99667351']
37,"['0.00000200', '0.00000100', '0.00109000', '0.00027838', '0.00100000', '0.00100000']"
38,"['0.00062074', '0.00300000']"
39,"['0.00028902', '0.99231403']"
40,['0.00513048']
41,['0.00980000']
42,['0.01569000']
43,['0.00643697']
44,['0.01300000']
45,['0.00188113']
46,['0.00069101']
47,['0.00100000']
48,['0.00035844']
49,['0.01010000']
50,['1.99796406']
51,['0.01365653']
52,['0.01570000']
53,['2.99887908']
54,['0.00785830']
55,['0.01000000']
56,['2.99548141']
57,['0.00685877']
58,['0.00674330']
59,['4.99364280']
60,['0.01000000']
61,['0.03535793']
62,['3.99328431']
63,['0.00662773']
64,['0.00346055']
65,['3.98989278']
66,['0.01224708']
67,['0.98926624']
68,['0.00660245']
69,['0.00449199']
70,['1.99448836']
71,['0.00883244']
72,['0.98587159']
73,['0.98380585']
74,"['0.00320876', '0.00020000']"
75,['1.99142242']
76,['0.03195908']
77,['1.98805858']
78,['0.98053302']
79,['0.97708517']
80,['0.97362925']
81,['1.98462294']
82,['0.02848825']
83,['2.99242595']
84,['4.99056546']
85,['0.00316187']
86,['0.02499546']
87,['3.98644208']
88,['0.00910000']
89,['0.97016933']
90,['0.01714000']
91,['0.02197308']
92,['0.00111668']
93,['2.98890075']
94,['0.01363476']
95,['0.00628184']
96,['3.98454956']
97,['0.03000000']
98,['1.97518441']
99,['0.00334678']
100,['3.98242754']
101,['0.02890659']
102,['0.00370000']
103,['3.98033918']
104,['0.00107722']
105,['0.01136592']
106,['1.96008929']
107,['0.00390000']
108,['0.00200000']
109,"['0.00500000', '0.00171142']"
110,['0.00116387']
111,['3.97715394']
112,['0.01109159']
113,"['0.00300000', '0.00100000']"
114,['0.01490000']
115,['0.00690607']
116,['0.00435183']
117,['0.00444318']
118,['0.00827701']
119,['2.97873249']
120,['0.01000000']
121,"['0.00426325', '0.00076900']"
122,"['0.00011000', '0.00322585', '0.00008000']"
123,"['0.00454585', '0.00200000', '0.00200000']"
124,"['0.00010000', '0.00040000', '0.00010000', '0.00006080', '0.00100000', '0.00006000', '0.00480000', '0.00059701', '0.00001922', '0.00010000', '0.00082450', '0.00002021']"
125,"['0.00090000', '0.00480000', '0.00087643', '0.00090000', '0.00025639', '0.00071285', '0.00034660', '0.00124391']"
126,"['0.00679631', '0.00464370', '0.00360000']"
127,"['0.00094069', '0.00110000']"
128,['0.00159440']
129,['2.97570054']
130,"['0.00100000', '0.00091371', '0.00100000', '0.00100000', '0.00100000', '0.00022237', '0.00100000']"
131,"['0.00080000', '0.00163049', '0.00100000', '0.00100000', '0.00169673']"
132,"['0.00228044', '0.00290000', '0.00120000']"
133,"['0.00169500', '0.00341677', '0.00120000', '0.00300000', '0.00171741']"
134,['0.00300000']
135,"['0.00100000', '0.00023409', '0.00880000']"
136,"['0.00500000', '0.00500000', '0.00002857']"
137,['0.00213902']
138,['0.00226500']
139,['0.00585991']
140,"['0.00800000', '1.95847339']"
141,['0.00270000']
142,"['0.00011435', '0.00069882', '0.00067347', '0.00054462']"
143,['0.00049540']
144,"['0.00180000', '0.00070000']"
145,"['0.00002585', '0.00261928', '0.00100000', '0.00038680', '0.00423413', '0.00100000', '0.00003907']"
146,['0.00402566']
147,['0.00200000']
148,"['0.00031922', '0.00300000', '0.00500000']"
149,"['0.00097614', '0.00290000', '0.00600000']"
150,"['0.00480000', '0.00600000']"
151,"['1.95343955', '0.00555843']"
152,['0.00280000']
153,['0.06000000']
154,['0.01000000']
155,['0.01780000']
156,"['0.00076409', '0.00300000', '0.01500000', '0.00090000', '0.00107432', '0.00300000', '0.02423490', '0.00490000', '0.00090000', '0.00007061', '0.00254617', '0.00500000', '0.01680000', '0.03500000', '0.00790000']"
157,['0.00500000']
158,['0.00142434']
159,"['0.01456196', '0.00969612', '0.00592000', '0.01000000', '0.01990000', '0.04000000']"
160,"['0.00084400', '0.05000000', '0.00263338', '0.00040000', '0.02959206', '0.00800000', '0.00860000']"
161,"['3.97659565', '0.00997112', '0.05900000']"
162,"['0.00500000', '0.00057374']"
163,"['0.00300000', '0.00021000', '0.00038000', '0.00056238']"
164,['0.00700000']
165,['0.00880000']
166,['0.00199463']
167,['0.00378633']
168,"['0.00077517', '0.00128417', '0.00800000']"
169,['0.00949284']
170,"['0.00040000', '0.00100000', '0.00014600', '0.00847224', '0.00003909']"
171,['0.00900000']
172,['0.00762724']
173,['0.00635486']
174,"['0.00010000', '0.00500000']"
175,"['0.01000000', '0.00009727', '0.00017000']"
176,"['0.00090000', '0.00963986']"
177,"['0.00900000', '0.00185076']"
178,"['0.00033182', '0.01000000', '0.00034612']"
179,['0.00250000']
180,['0.00219858']
181,['4.98703829']
182,"['0.00980000', '0.00189067']"
183,['0.09990000']
184,['0.01450000']
185,['0.00088698']
186,['0.00067167']
187,"['0.00980000', '0.00338099']"
188,"['0.00500000', '0.01000000']"
189,"['0.00089242', '0.01000000', '0.00090000']"
190,['0.00216492']
191,['0.00318000']
192,"['0.00068619', '0.01000000', '0.00170000']"
193,['0.05000000']
194,['0.01090000']
195,['0.03898191']
196,['0.05000000']
197,['0.02310000']
198,['0.01000000']
199,"['0.00026162', '0.01000000', '0.00873090']"
200,"['0.00044827', '0.00014742', '0.00010000', '0.00028000', '0.00099000', '0.00003725', '0.00004318']"
201,['0.00886738']
202,['0.00050000']
203,['0.06000000']
204,['0.03444160']
205,"['0.00028005', '0.00200000', '0.00390000', '0.00106212', '0.00090000', '0.00400000', '0.00100000']"
206,['0.03342469']
207,['0.01447634']
208,['0.00900000']
209,['0.00124386']
210,['0.00039801']
211,['0.03784292']
212,['2.97245287']
213,['0.06000000']
214,['0.02875001']
215,"['0.00006080', '0.00097600', '0.05000000', '0.02400000']"
216,"['0.00290000', '0.00005460', '0.00390000', '0.00039116', '0.00019558', '0.00005460', '0.00010599', '0.00014000', '0.00229870']"
217,"['2.87236466', '0.02207807']"
218,"['0.01000000', '0.02471042']"
219,"['0.00006451', '0.00014892']"
220,['0.00180000']
221,['2.79441106']
