id,input_amounts
0,['0.00329000']
1,['0.00014860']
2,['0.00331400']
3,['0.00483000']
4,['0.00329400']
5,"['0.00500000', '0.00071414']"
6,['0.00250672']
7,"['0.00014860', '0.00331400']"
8,['2.00000000']
9,"['0.00329000', '0.00329400']"
10,['0.00018047']
11,"['0.00209147', '0.00003564', '0.00010000', '0.00003341', '0.00082584', '0.00006580']"
12,['0.00329400']
13,['0.00316462']
14,['0.00050000']
15,['0.01569000']
16,['0.00103200']
17,['0.01000000']
18,['0.00940000']
19,['0.00201422']
20,['1.99898523']
21,['0.00696438']
22,['1.99806138']
23,['0.01570000']
24,"['0.00037856', '0.00390000']"
25,"['3.00000000', '0.00109000']"
26,['0.00329600']
27,['4.00000000']
28,['0.01165061']
29,['3.99659093']
30,['3.99362737']
31,['1.00000000']
32,['0.01000000']
33,"['0.00329400', '0.00010863']"
34,"['0.00056976', '0.00000100', '0.00089330', '0.00090000', '0.00100000', '0.00000200']"
35,['0.00100000']
36,['3.99027903']
37,"['0.00271520', '0.00068430']"
38,"['0.00100000', '0.00300000']"
39,['0.00583818']
40,['0.01235069']
41,['0.99664643']
42,['3.98724832']
43,['2.99771263']
44,['0.00666846']
45,['0.00126006']
46,['0.00066828']
47,['0.00152676']
48,['0.00033571']
49,['0.01000000']
50,['0.00980000']
51,['0.99328340']
52,['0.02500000']
53,['1.99594468']
54,['0.00794500']
55,['0.98648564']
56,['0.98311337']
57,['3.98521485']
58,['1.99254701']
59,['0.02154708']
60,['0.00664330']
61,['0.00632430']
62,['0.00457869']
63,['0.03535793']
64,['0.00910134']
65,['0.03193896']
66,['3.98181663']
67,['0.98005791']
68,['5.00000000']
69,['0.01846974']
70,['3.97840199']
71,['0.00862369']
72,['1.98915049']
73,['0.01509443']
74,['0.01010000']
75,['0.00671518']
76,['0.01300000']
77,['0.00952917']
78,['0.00609353']
79,['2.99443753']
80,['3.97533605']
81,['2.99098161']
82,['4.99662340']
83,['0.00534968']
84,['2.98154308']
85,['2.97801591']
86,['3.97187613']
87,['2.97483538']
88,['0.00910000']
89,['1.98708475']
90,['2.97294286']
91,['2.96943762']
92,['1.98358639']
93,['0.02848826']
94,['0.01832000']
95,['2.95426085']
96,['0.01182160']
97,['4.99313061']
98,['2.95200467']
99,['2.93690955']
100,['0.97666326']
101,['0.03000000']
102,['3.95123250']
103,['0.01780000']
104,['0.00107722']
105,['0.00370000']
106,['0.00324575']
107,['2.93480668']
108,['0.00200000']
109,['0.00564043']
110,['0.00116387']
111,['0.00480000']
112,['2.93262409']
113,['0.97457490']
114,['0.00969958']
115,['0.00390000']
116,['0.00790000']
117,['0.00120000']
118,['0.00628184']
119,['0.00480000']
120,"['0.00052747', '0.00464370', '0.00414518']"
121,"['0.00264568', '0.00076900', '0.00163049']"
122,"['0.00250453', '0.00090000']"
123,"['0.00424171', '0.00429242']"
124,"['0.00006000', '0.00500000', '0.00120000', '0.00025639', '0.00006994', '0.00087643', '0.00020000', '0.00002355', '0.00008000', '0.00010000', '0.00006087', '0.00010000', '0.00006080']"
125,"['0.00480000', '0.00034660', '0.00094069', '0.00011000', '0.00062411', '0.00102007', '0.00118716', '0.00040000', '0.00061109']"
126,"['0.00800000', '0.00228044', '0.00300000', '0.00176805']"
127,['0.97142372']
128,['0.00162985']
129,"['0.00025782', '0.00300000']"
130,"['0.00270000', '0.00091371', '0.00171142', '0.00080000']"
131,"['0.00100000', '0.00335134', '0.00341677']"
132,"['0.00454585', '0.00182448']"
133,"['0.00065624', '0.00292545', '0.00290000', '0.00200000', '0.00164881', '0.00090000']"
134,"['0.00110000', '0.00169500']"
135,"['0.00100000', '0.00002248', '0.00100000', '0.00100000', '0.00100000', '0.00213902', '0.00100000', '0.00285384']"
136,"['0.00360000', '0.00100000', '0.00100000', '0.00444318']"
137,['0.00226500']
138,"['0.00100000', '0.00024033', '0.00049540']"
139,['0.01000000']
140,['0.96939515']
141,['0.00500000']
142,"['0.00100000', '0.00069882', '0.00100000']"
143,['0.00069448']
144,"['0.00023815', '0.00200000']"
145,['4.99203720']
146,['0.01605116']
147,['0.01714000']
148,"['0.00297347', '0.00180000', '0.00100000']"
149,"['0.00300000', '0.00012495', '0.00070000', '0.00600000']"
150,"['0.00490000', '0.00500000']"
151,"['0.03500000', '0.00860000', '0.01545922']"
152,['0.00880000']
153,"['0.00676409', '3.94912690']"
154,['0.01000000']
155,['0.01000000']
156,"['0.00090000', '0.01300164', '0.00676196', '0.00300000', '0.00017432', '0.02532831', '0.00290000', '0.06000000', '0.00300000', '0.00300000', '0.00300000']"
157,"['0.00090000', '0.00280000']"
158,['0.00200000']
159,"['0.00880000', '0.05000000', '0.04000000', '0.00012023', '0.00114940']"
160,['0.95637414']
161,"['1.98243683', '0.00500000']"
162,"['0.00084400', '0.02471042', '0.00001831']"
163,['0.00500000']
164,"['0.00021000', '0.00500000']"
165,"['0.00020208', '0.00500000']"
166,['0.02959206']
167,"['0.00263338', '0.00040000']"
168,"['0.00001692', '0.01000000']"
169,['0.00837422']
170,"['0.00800000', '0.00010000', '0.00040000', '0.00099738', '0.00018191', '0.00038000']"
171,['0.00592000']
172,['0.00454724']
173,"['0.00090000', '0.00327486', '0.00100000']"
174,"['0.00017000', '0.00500000']"
175,"['0.00066685', '0.00963986']"
176,"['0.01000000', '0.00010463', '0.00016727']"
177,"['0.00800000', '0.00250000', '0.00006124']"
178,['0.01109159']
179,['0.00045916']
180,['0.00600000']
181,['0.02055766']
182,"['0.00735362', '0.00569209']"
183,['0.05000000']
184,['0.01461476']
185,['0.00224202']
186,['0.00202671']
187,"['0.01000000', '0.00139229']"
188,"['0.01022987', '0.00349575', '0.00005509', '0.00037622']"
189,"['0.03300000', '0.00980000', '0.00015774']"
190,['0.00500000']
191,['0.00298250']
192,"['0.00090000', '0.00170000', '0.00980000']"
193,['0.03185151']
194,['4.98277265']
195,['0.01680000']
196,['1.88737973']
197,['0.01450000']
198,"['0.00027543', '0.00100000']"
199,"['0.00900000', '0.00099000', '0.00900000']"
200,"['0.00010000', '0.00014000', '0.00180000']"
201,"['0.00318000', '0.00090000', '0.00028000', '0.00200000', '0.00086462', '0.00044827']"
202,['0.00050000']
203,['0.02900000']
204,['0.00130904']
205,"['0.00900000', '0.00004439', '0.00002895', '0.00006080', '0.00400000']"
206,['0.02000000']
207,['0.09990000']
208,['0.03968191']
209,['0.02083342']
210,['0.00028005']
211,['0.05000000']
212,['4.98074003']
213,['0.05000000']
214,['0.00029213']
215,"['0.03558269', '0.02000000', '0.01944692']"
216,"['0.00001579', '0.00005460', '0.00002339', '0.00019558', '0.00700000', '0.00039116', '0.00005460', '0.00229870']"
217,"['0.01875001', '0.01950000', '0.06000000', '0.00180000']"
218,"['0.01566101', '0.01990000']"
219,['0.00097600']
220,['0.00077357']
221,"['0.00390000', '0.01490000', '0.08582167', '0.01973848']"
222,"['0.00100000', '0.01000000', '0.01000000', '0.00010000', '0.00990000', '0.00193800', '0.00105165']"
223,['0.00056228']
