id,input_amounts
0,['0.00329000']
1,['3.00000000']
2,['4.00000000']
3,['0.00483000']
4,['1.00000000']
5,['0.00329000']
6,['2.99983370']
7,['0.00329400']
8,['0.00331400']
9,['0.00940000']
10,['2.99940855']
11,"['0.00007910', '0.00011747', '0.00064468', '0.00228680']"
12,['0.00014860']
13,['0.00331400']
14,['0.00014860']
15,['0.01010000']
16,['0.00103200']
17,['0.00605187']
18,['0.00980000']
19,['0.01000000']
20,['0.00100000']
21,['0.00329400']
22,['0.00329400']
23,"['0.00050000', '0.00287343']"
24,['3.99664529']
25,"['0.00010863', '0.00115491', '0.00211136']"
26,['2.99925338']
27,"['0.00010000', '0.00329600']"
28,"['0.00090000', '0.00002797', '0.00109000', '0.00100000', '0.00002077']"
29,['0.00298030']
30,['0.00794500']
31,['0.00881687']
32,"['0.00000100', '0.00329400', '0.00002685', '0.00000200']"
33,"['0.00056976', '0.00215310', '0.00066424']"
34,['0.00390000']
35,['0.00056185']
36,['0.00307435']
37,"['0.00100000', '0.00300000']"
38,['0.00460349']
39,['0.00500000']
40,"['0.00025610', '0.00006886', '0.00127311', '0.00166975']"
41,['0.00547552']
42,"['0.00066498', '0.99667372']"
43,['0.01000000']
44,['0.00677587']
45,['0.00171720']
46,"['0.00020000', '0.00002759']"
47,['0.00214977']
48,['0.00066066']
49,"['0.00300000', '0.00034660']"
50,['0.01000000']
51,"['0.00011000', '0.00665292']"
52,['0.01300000']
53,"['0.02500000', '0.00127629']"
54,['0.00967003']
55,['0.00634044']
56,['0.00301182']
57,['0.01569000']
58,"['0.01570000', '0.00007603', '0.00001985']"
59,"['0.00076900', '0.99534792']"
60,"['0.00045342', '0.02293486']"
61,['0.01235906']
62,['0.00902743']
63,['0.00569401']
64,['0.01246129']
65,['0.00912568']
66,['0.00579566']
67,"['0.00236106', '0.00246695']"
68,['0.02005239']
69,['0.01672327']
70,['0.01339475']
71,['0.01039092']
72,['0.00717313']
73,['0.00516285']
74,"['0.00148675', '0.00195330']"
75,"['3.99237535', '0.00010654']"
76,['0.03535793']
77,"['0.00011407', '2.00000000', '0.00100000']"
78,['0.03195959']
79,['0.02861188']
80,['0.02527774']
81,['0.02194330']
82,['0.01261104']
83,['0.00927331']
84,['0.00593820']
85,['0.00910000']
86,['0.99311039']
87,['0.00260395']
88,['0.00609255']
89,['0.00343469']
90,['0.01714000']
91,"['0.00009719', '3.98917538']"
92,['0.01380907']
93,['0.01280584']
94,"['0.00116387', '0.00087830']"
95,['0.00280234']
96,['0.00300000']
97,['5.00000000']
98,"['0.01490000', '0.00079771']"
99,"['0.00003080', '0.00100000', '0.00098946']"
100,['0.00480000']
101,"['2.99723066', '0.00100000']"
102,"['0.00080000', '0.00100000', '0.00067966']"
103,"['0.00300000', '0.00006080']"
104,"['0.00100000', '0.00005366']"
105,"['0.00279265', '0.00047144']"
106,"['0.00100000', '0.00100000']"
107,"['0.00171142', '0.00045899']"
108,"['0.00004263', '0.00100000']"
109,"['0.00003717', '0.00370000', '0.00120000']"
110,"['0.00107722', '0.00005551']"
111,['0.00120000']
112,"['0.00025458', '0.00390000']"
113,"['0.00270000', '0.00069501']"
114,"['0.00040000', '0.00200000', '0.00200000', '0.00010000', '0.00001075', '0.00087643']"
115,['0.03500000']
116,"['0.00341677', '0.00028336', '0.00002450']"
117,['0.00100000']
118,"['0.00085624', '0.00480000']"
119,"['0.00006000', '0.00200000', '0.00008000', '0.00090000']"
120,"['0.00228044', '0.00002630', '0.00010000', '0.00360000', '0.00000591', '0.00025639', '0.00300000']"
121,"['0.00008108', '0.00500000']"
122,"['0.00007392', '0.00169500', '0.00163049']"
123,"['0.00464370', '0.00290000', '0.00100000']"
124,"['0.00001958', '0.00800000']"
125,"['0.00110000', '0.00300000', '0.00592000']"
126,"['0.00500000', '0.00480000', '0.00090000', '0.00444318']"
127,['0.00454585']
128,['0.00254114']
129,['0.00490000']
130,"['0.00119164', '0.00500000']"
131,['0.00790000']
132,['0.00800000']
133,"['0.01000000', '0.00091371', '0.00012707']"
134,"['0.00165454', '0.00167219']"
135,"['0.00056921', '0.00226500', '0.00213902', '0.00003265', '0.00000969', '0.00500000']"
136,"['0.00007840', '0.01000000']"
137,"['0.00179242', '0.00049540']"
138,['0.00300000']
139,"['0.00006905', '0.00129455', '0.00028012']"
140,"['0.00100000', '0.00100000', '0.00003000', '0.00500000', '0.00600000']"
141,['0.00880000']
142,"['0.00001783', '0.00200000']"
143,['0.00069882']
144,"['0.00070000', '0.00180000']"
145,"['0.00038256', '0.00600000', '0.00300000']"
146,"['0.00024428', '0.00280000']"
147,['0.00679291']
148,"['0.00500000', '0.00290000']"
149,"['0.00880000', '0.00213903']"
150,"['0.00900000', '0.00113084']"
151,"['0.00980000', '0.03398570', '0.00969612', '0.00040598', '0.00512340']"
152,['0.00860000']
153,"['0.00657720', '0.00090000', '0.00040000', '0.01450000', '0.01780000', '0.00900000', '0.00090000']"
154,['0.01000000']
155,['0.01000000']
156,"['0.06000000', '0.00500000', '0.01500000', '0.03000000', '0.01109159']"
157,['0.00679344']
158,['0.00263338']
159,"['0.01680000', '0.00322134', '0.00007729', '0.04000000', '0.00002022', '0.02000000', '0.01990000']"
160,"['0.05900000', '0.00178414', '0.00000942', '0.02959206', '0.00963986']"
161,"['0.00012010', '2.99364463']"
162,['0.00700000']
163,['0.01000000']
164,['0.00599385']
165,['0.01000000']
166,['0.00084400']
167,"['0.00098627', '0.00199320', '0.00003687']"
168,"['0.00000616', '0.01000000']"
169,"['0.00014607', '0.00100000']"
170,"['0.00499505', '0.00800000']"
