Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19430816,23.8500000000,21,267,451,233,2,205,bnb: **24** ; knapsack: **4** ; Total: **28**,0.00000399,4.99898208,0.248578756488,0.855953185231,0.00455151,0.0000195343776824,0.000142800000,0.004694310000,1,14,1.93562231760,1.75680246221,knapsack: **155** ; srd: **37** ; srdltd: **17** ; bnb: **24**
bustabit-tiny-hot-wallet_peak-and-tail,23.92721242,29.9280000000,35,594,908,406,2,349,bnb: **51** ; knapsack: **6** ; Total: **57**,0.00000399,4.99898208,0.257345513782,0.845474469727,0.00811175,0.0000199796798030,0.000238000000,0.008349750000,1,15,2.23645320197,2.22405507338,knapsack: **268** ; srd: **56** ; srdltd: **31** ; bnb: **51**
bustabit-tiny-hot-wallet_peak-and-tail,27.28304333,35.3480000000,75,961,1338,539,4,452,bnb: **79** ; knapsack: **8** ; Total: **87**,0.00000399,8.81973524,0.267467731062,0.958731651877,0.01156167,0.0000214502226345,0.000510000000,0.012071670000,1,16,2.48237476809,2.59774800967,knapsack: **342** ; srd: **83** ; srdltd: **35** ; bnb: **79**
bustabit-tiny-hot-wallet_peak-and-tail,19.66738549,37.4210000000,14,1316,1868,684,6,566,bnb: **108** ; knapsack: **10** ; Total: **118**,0.00000379,9.89202079,0.327600277032,1.25696662941,0.01443866,0.0000211091520468,0.0000952000000,0.0145338600000,1,37,2.73099415205,3.15312086539,knapsack: **430** ; srd: **103** ; srdltd: **43** ; bnb: **108**
bustabit-tiny-hot-wallet_peak-and-tail,26.29711718,35.4608000000,48,1682,2314,818,6,680,bnb: **126** ; knapsack: **12** ; Total: **138**,0.00000379,9.89202079,0.335676533779,1.28822504962,0.01724385,0.0000210805012225,0.000326400000,0.017570250000,1,37,2.82885085575,3.32234729953,knapsack: **518** ; srd: **118** ; srdltd: **56** ; bnb: **126**
bustabit-tiny-hot-wallet_peak-and-tail,18.38112384,35.2880000000,28,2008,2815,992,7,835,bnb: **144** ; knapsack: **13** ; Total: **157**,0.00000317,9.89202079,0.373627802958,1.36988806548,0.02168363,0.0000218584979839,0.000190400000,0.021874030000,1,37,2.83770161290,3.26663559842,knapsack: **620** ; srd: **150** ; srdltd: **78** ; bnb: **144**
bustabit-tiny-hot-wallet_peak-and-tail,26.40442536,36.3751428571,40,2415,3284,1085,7,909,bnb: **162** ; knapsack: **14** ; Total: **176**,0.00000317,9.89202079,0.361410761738,1.33542636120,0.02396518,0.0000220877235023,0.000272000000,0.024237180000,1,41,3.02672811060,3.66898651821,knapsack: **675** ; srd: **165** ; srdltd: **83** ; bnb: **162**
bustabit-tiny-hot-wallet_peak-and-tail,23.47229923,37.6930000000,42,2818,3763,1182,7,987,bnb: **181** ; knapsack: **14** ; Total: **195**,0.00000317,9.89202079,0.338007972624,1.28528911383,0.02668664,0.0000225775296108,0.000285600000,0.026972240000,1,41,3.18358714044,3.88544272779,knapsack: **744** ; srd: **170** ; srdltd: **87** ; bnb: **181**
bustabit-tiny-hot-wallet_peak-and-tail,15.35580583,38.6304444444,22,3213,4266,1287,7,1075,bnb: **197** ; knapsack: **15** ; Total: **212**,0.00000317,9.89202079,0.323924404130,1.23535228318,0.03035811,0.0000235882750583,0.000149600000,0.030507710000,1,41,3.31468531469,4.11116452528,knapsack: **806** ; srd: **189** ; srdltd: **95** ; bnb: **197**
bustabit-tiny-hot-wallet_peak-and-tail,15.77981161,38.7116000000,27,3571,4737,1429,7,1193,bnb: **217** ; knapsack: **19** ; Total: **236**,0.00000317,9.89202079,0.312919697536,1.19106598174,0.03322490,0.0000232504548635,0.000183600000,0.033408500000,1,41,3.31490552834,4.07289088175,knapsack: **902** ; srd: **209** ; srdltd: **101** ; bnb: **217**
bustabit-tiny-hot-wallet_peak-and-tail,22.01690636,37.7820000000,42,3938,5207,1562,7,1311,bnb: **230** ; knapsack: **21** ; Total: **251**,0.00000317,9.89202079,0.318802022159,1.19569785975,0.03606135,0.0000230866517286,0.000285600000,0.036346950000,1,41,3.33354673496,4.09975094563,knapsack: **990** ; srd: **225** ; srdltd: **117** ; bnb: **230**
bustabit-tiny-hot-wallet_peak-and-tail,20.44429479,37.1445000000,30,4278,5701,1722,7,1453,bnb: **248** ; knapsack: **21** ; Total: **269**,0.00000317,9.89202079,0.320881105272,1.17735172159,0.03936885,0.0000228622822300,0.000204000000,0.039572850000,1,41,3.31068524971,4.01643799853,knapsack: **1093** ; srd: **244** ; srdltd: **137** ; bnb: **248**
bustabit-tiny-hot-wallet_peak-and-tail,20.92281329,37.2858461538,35,4650,6175,1850,7,1560,bnb: **269** ; knapsack: **21** ; Total: **290**,0.00000317,9.89202079,0.312074390212,1.14279748976,0.04219129,0.0000228061027027,0.000238000000,0.042429290000,1,41,3.33783783784,4.03566116438,knapsack: **1175** ; srd: **258** ; srdltd: **148** ; bnb: **269**
bustabit-tiny-hot-wallet_peak-and-tail,27.28385706,37.1845714286,69,4990,6628,2010,7,1707,bnb: **281** ; knapsack: **22** ; Total: **303**,0.00000317,9.89202079,0.298466406614,1.09723428146,0.04582063,0.0000227963333333,0.000469200000,0.046289830000,1,41,3.29751243781,3.98029539102,knapsack: **1289** ; srd: **281** ; srdltd: **159** ; bnb: **281**
bustabit-tiny-hot-wallet_peak-and-tail,16.99881286,36.7732000000,25,5335,7156,2165,7,1846,bnb: **297** ; knapsack: **22** ; Total: **319**,0.00000317,9.89202079,0.292701144317,1.06960306194,0.04861992,0.0000224572378753,0.000170000000,0.048789920000,1,41,3.30531177829,3.96082881892,knapsack: **1395** ; srd: **302** ; srdltd: **171** ; bnb: **297**
bustabit-tiny-hot-wallet_peak-and-tail,12.91916561,35.7358750000,21,5654,7650,2346,7,2017,bnb: **306** ; knapsack: **23** ; Total: **329**,0.00000317,9.89202079,0.319717004393,1.12242518920,0.05200215,0.0000221663043478,0.000142800000,0.052144950000,1,41,3.26086956522,3.89337350917,knapsack: **1506** ; srd: **342** ; srdltd: **192** ; bnb: **306**
