id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.99983370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,2.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srdltd,1,0,2,0.01236372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srdltd,1,0,2,0.00287085,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00022153,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00228680,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srdltd,1,0,2,0.99330713,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,4.99984483,23,23,1066
11,0.00310000,0.00003014,0.00007917,0.0000962939297125,bnb,4,0,1,,30,26,-39
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,27,27,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,knapsack,1,0,2,0.00213310,27,27,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,27,26,312
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,0.02095187,32,32,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,32,31,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.00929215,33,33,5026
18,0.00665800,0.00009979,0.00047972,0.000479759615385,srd,2,0,2,4.99640104,33,32,7334
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00881687,32,32,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,32,31,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,4.99521840,31,31,5803
22,0.00209300,0.00004010,0.00032686,0.000364545454545,bnb,1,0,1,,31,30,1957
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00604113,30,30,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.00502221,30,30,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00674522,30,30,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00401841,30,30,1596
27,0.00337500,0.00002763,0.00010801,0.000156101694915,bnb,2,0,1,,30,28,949
28,0.00300000,0.00005066,0.00009927,0.000113080357143,bnb,6,0,1,,28,22,569
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,knapsack,1,0,2,0.00034055,22,22,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srdltd,1,0,2,0.00340371,23,23,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,knapsack,1,0,2,0.00006236,23,23,1149
32,0.00330000,0.00002189,0.00006361,0.0000636337209302,knapsack,4,2,2,0.00003747,23,20,-110
33,0.00336300,0.00001111,0.00007874,0.0000787943262411,knapsack,1,0,2,0.00052589,20,20,781
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,srdltd,2,0,2,0.01325988,23,22,-186
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00003480,22,22,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00101292,22,22,316
37,0.00332900,0.00000602,0.00002890,0.0000289423076923,knapsack,2,0,2,0.00016498,23,22,-196
38,0.00332700,0.00000338,0.00002392,0.0000241428571429,knapsack,1,0,2,0.00166962,22,22,238
39,0.00332700,0.00000792,0.00002302,0.0000230232558140,knapsack,4,0,2,0.00002557,22,19,-1340
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00178978,19,19,382
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00461925,19,19,405
42,0.00198400,0.00000900,0.00003259,0.0000326086956522,knapsack,3,0,2,0.00002235,20,18,-592
43,0.00322000,0.00000413,0.00002925,0.0000292907801418,knapsack,1,0,2,0.00139512,18,18,290
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00375820,20,20,258
45,0.00105000,0.00002007,0.00004637,0.0000819183673469,knapsack,3,0,1,,21,18,-268
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00118987,18,18,369
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00031639,18,18,316
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00010915,19,19,228
49,0.00322600,0.00001079,0.00003136,0.0000313662790698,knapsack,4,0,2,0.00001983,19,16,-1086
50,0.00334300,0.00000408,0.00002891,0.0000291428571429,knapsack,1,0,2,0.00041112,16,16,262
51,0.00668000,0.00000467,0.00003311,0.0000331205673759,knapsack,1,0,2,0.00311533,16,16,304
52,0.00332500,0.00000733,0.00003523,0.0000352403846154,knapsack,2,0,2,0.00012960,16,15,-90
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00666386,15,15,782
54,0.00332500,0.00000459,0.00003255,0.0000325531914894,knapsack,1,0,2,0.00333427,15,15,323
55,0.00332500,0.00000533,0.00002561,0.000025625000,srd,2,0,2,0.00668950,15,14,-373
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00033014,14,14,168
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00335856,14,14,154
58,0.00332500,0.00000490,0.00003473,0.0000347517730496,knapsack,1,0,2,0.00002866,14,14,222
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srd,2,0,2,1.99740459,14,13,-179
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00966697,13,13,399
61,0.00332700,0.00000683,0.00003282,0.0000328365384615,srd,2,0,2,2.99334012,13,12,-155
62,0.00332800,0.00000542,0.00003837,0.0000384397163121,knapsack,1,0,2,0.00633355,12,12,355
63,0.00332900,0.00000582,0.00002798,0.0000279807692308,srdltd,2,0,2,0.03215271,12,11,-236
64,0.00333000,0.00000561,0.00003974,0.0000397872340426,knapsack,1,0,2,0.00299794,11,11,370
65,0.00332500,0.00000741,0.00003559,0.000035625000,knapsack,2,0,2,0.00043453,11,10,-563
66,0.00332500,0.00000371,0.00002628,0.0000263120567376,knapsack,1,0,2,0.00993117,10,10,-204
67,0.00333500,0.00000424,0.00003005,0.0000300709219858,knapsack,1,0,2,0.00659193,10,10,-181
68,0.00332500,0.00000412,0.00002921,0.0000292198581560,knapsack,1,0,2,0.00326281,10,10,-189
69,0.00332500,0.00000519,0.00002495,0.0000249519230769,knapsack,2,0,2,0.00026276,10,9,-741
70,0.00300000,0.00000383,0.00002712,0.0000271631205674,knapsack,1,0,2,0.01794804,9,9,-209
71,0.00321200,0.00000579,0.00004100,0.0000410638297872,knapsack,1,0,2,0.01473025,9,9,-72
72,0.00200000,0.00001028,0.00007284,0.0000729078014184,knapsack,1,0,2,0.01271997,10,10,243
73,0.00320000,0.00000955,0.00006768,0.0000677304964539,knapsack,1,0,2,0.00951042,10,10,206
74,0.00332500,0.00000577,0.00004091,0.0000409219858156,knapsack,1,0,2,0.00617965,10,10,-59
75,0.00330000,0.00000442,0.00003128,0.0000313475177305,knapsack,1,0,2,0.00287523,10,10,-155
76,0.00339300,0.00001045,0.00003786,0.0000378623188406,knapsack,3,0,2,0.00016907,10,8,-933
77,0.00332700,0.00000964,0.00004632,0.0000463461538462,srd,2,0,2,3.99683243,8,7,-371
78,0.00334100,0.00000671,0.00004752,0.0000475886524823,knapsack,1,0,2,0.02880500,7,7,7
79,0.00332700,0.00000714,0.00005059,0.0000506382978723,knapsack,1,0,2,0.02547086,7,7,37
80,0.00332900,0.00000544,0.00003857,0.0000385815602837,knapsack,1,0,2,0.02213642,8,8,-59
81,0.00932800,0.00000426,0.00003020,0.0000302127659574,knapsack,1,0,2,0.01280416,8,8,-142
