id,input_amounts
0,['0.00329000']
1,['1.00000000']
2,['3.00000000']
3,['0.00483000']
4,['0.01569000']
5,['0.00329000']
6,['0.00329600']
7,['0.00287085']
8,['0.00331400']
9,['0.99983370']
10,['5.00000000']
11,"['0.00066424', '0.00010000', '0.00228680', '0.00007910']"
12,['0.00014860']
13,['0.00329400']
14,['0.00011747']
15,['0.02500000']
16,['0.00103200']
17,['0.01236372']
18,"['4.99984483', '0.00331400']"
19,['0.01000000']
20,['0.00100000']
21,['4.99640104']
22,['0.00213310']
23,['0.00940000']
24,['0.00929215']
25,['0.01010000']
26,['0.00604113']
27,"['0.00329400', '0.00010863']"
28,"['0.00100000', '0.00002077', '0.00109000', '0.00014860', '0.00056976', '0.00022153']"
29,['0.00329400']
30,['0.00674522']
31,['0.00340371']
32,"['0.00000100', '0.00006236', '0.00000200', '0.00329400']"
33,['0.00390000']
34,"['0.00090000', '0.01570000']"
35,['0.00034055']
36,['0.00401841']
37,"['0.00050000', '0.00300000']"
38,['0.00500000']
39,"['0.00100000', '0.00052589', '0.00166962', '0.00016498']"
40,['0.00502221']
41,['0.00794500']
42,"['0.00002557', '0.00020000', '0.00178978']"
43,['0.00461925']
44,['0.00881687']
45,"['0.00002235', '0.00003480', '0.00101292']"
46,['0.00139512']
47,['0.00118987']
48,['0.00031639']
49,"['0.00011000', '0.00010915', '0.00003747', '0.00300000']"
50,['0.00375820']
51,['0.00980000']
52,"['0.00034660', '0.00311533']"
53,['0.01000000']
54,['0.00666386']
55,"['0.01000000', '0.00001983']"
56,['0.00333427']
57,['0.00668950']
58,['0.00335856']
59,"['2.00000000', '0.00041112']"
60,['0.01300000']
61,"['0.00002866', '2.99664529']"
62,['0.00966697']
63,"['0.03535793', '0.00012960']"
64,['0.00633355']
65,"['0.00076900', '0.00299794']"
66,['0.01325988']
67,['0.00993117']
68,['0.00659193']
69,"['0.00033014', '0.00326281']"
70,['0.02095187']
71,['0.01794804']
72,['0.01473025']
73,['0.01271997']
74,['0.00951042']
75,['0.00617965']
76,"['0.00026276', '0.00043453', '0.00287523']"
77,"['0.00016907', '4.00000000']"
78,['0.03215271']
79,['0.02880500']
80,['0.02547086']
81,['0.02213642']
82,['0.01280416']
83,['0.00946643']
84,['0.00613132']
85,"['0.00100000', '0.00279707']"
86,['0.99330713']
87,['0.00910000']
88,['0.00737435']
89,['0.00471649']
90,"['4.99521840', '0.00078608']"
91,"['0.00137899', '3.99683243']"
92,['0.01714000']
93,['0.01613677']
94,['0.00613327']
95,['0.00412556']
96,['0.00212093']
97,['0.00116387']
98,"['0.01490000', '0.00014595']"
99,['0.00300000']
100,"['0.00002790', '0.00098860', '0.00100000']"
101,['0.00480000']
102,"['0.00100000', '0.00080000', '0.00021816']"
103,"['0.00000994', '0.00300000']"
104,"['0.00100000', '0.00006080']"
105,"['0.00100000', '0.00100000', '0.00107722']"
106,"['0.00004977', '0.00370000']"
107,"['0.00006461', '0.00011039', '0.00200000']"
108,"['0.00005523', '0.00100000']"
109,"['0.00100000', '0.00120000', '0.00004977', '0.00270000']"
110,['0.00120000']
111,['0.00171142']
112,"['0.00087643', '0.00120643', '0.00009442', '0.00200000']"
113,['0.00390000']
114,"['0.00200000', '0.00040000', '0.00079210', '0.00220876']"
115,"['0.00100000', '0.00002297']"
116,['0.00444318']
117,['0.00072761']
118,"['0.00058385', '0.00500000']"
119,"['0.00300000', '0.00000869']"
120,"['0.00008000', '0.00091371', '0.00228044', '0.00480000', '0.00002572', '0.00025639', '0.00090000', '0.00001573']"
121,"['0.00341677', '0.00163049']"
122,"['0.00100000', '0.00090000', '0.00169500']"
123,"['0.00004010', '0.00010000', '0.00006000', '0.00010000', '0.00360000', '0.00464370']"
124,['0.01450000']
125,"['0.00110000', '0.00592000', '0.00300000']"
126,"['0.01000000', '0.00020528', '0.00490000']"
127,['0.00290000']
128,['0.00454585']
129,"['0.00009137', '0.00319635']"
130,['0.00648517']
131,"['0.00005573', '0.00037619', '0.00480000', '0.00089529']"
132,"['0.00500000', '0.01000000']"
133,['0.01109159']
134,['0.00500000']
