Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19434111,24.6080000000,25,267,451,233,2,209,bnb: **21** ; knapsack: **3** ; Total: **24**,0.00000533,4.99984483,0.322084865933,1.05753409787,0.00451856,0.0000193929613734,0.000170000000,0.004688560000,1,14,1.93562231760,1.87547044071,knapsack: **152** ; srd: **41** ; srdltd: **19** ; bnb: **21**
bustabit-tiny-hot-wallet_peak-and-tail,23.92721005,28.7520000000,34,594,917,406,2,357,bnb: **45** ; knapsack: **4** ; Total: **49**,0.00000387,8.81245391,0.279397666359,1.00896255289,0.00811412,0.0000199855172414,0.000231200000,0.008345320000,1,15,2.25862068966,2.30503733270,knapsack: **268** ; srd: **64** ; srdltd: **29** ; bnb: **45**
bustabit-tiny-hot-wallet_peak-and-tail,27.28298080,33.4180000000,75,961,1346,539,3,460,bnb: **70** ; knapsack: **9** ; Total: **79**,0.00000387,8.81245391,0.243484984,0.904577190743,0.01162420,0.0000215662337662,0.000510000000,0.012134200000,1,18,2.49721706865,2.69266725106,knapsack: **345** ; srd: **87** ; srdltd: **37** ; bnb: **70**
bustabit-tiny-hot-wallet_peak-and-tail,19.66742074,40.1530000000,25,1316,1864,684,5,573,bnb: **101** ; knapsack: **10** ; Total: **111**,0.00000387,9.91997474,0.226514633264,0.913037077262,0.01440341,0.0000210576169591,0.000170000000,0.014573410000,1,31,2.72514619883,3.12087560577,knapsack: **434** ; srd: **107** ; srdltd: **42** ; bnb: **101**
bustabit-tiny-hot-wallet_peak-and-tail,26.29721190,39.8720000000,53,1682,2312,818,5,683,bnb: **122** ; knapsack: **13** ; Total: **135**,0.00000331,9.91997474,0.213362411581,0.892497112606,0.01714913,0.0000209647066015,0.000360400000,0.017509530000,1,31,2.82640586797,3.26123885443,knapsack: **525** ; srd: **116** ; srdltd: **55** ; bnb: **122**
bustabit-tiny-hot-wallet_peak-and-tail,18.38133706,40.1496666667,29,2008,2808,992,6,829,bnb: **149** ; knapsack: **14** ; Total: **163**,0.00000317,9.91997474,0.238440849976,0.931871020520,0.02147041,0.0000216435584677,0.000197200000,0.021667610000,1,31,2.83064516129,3.21002912289,knapsack: **625** ; srd: **152** ; srdltd: **66** ; bnb: **149**
bustabit-tiny-hot-wallet_peak-and-tail,26.40465774,41.7171428571,41,2415,3274,1085,6,900,bnb: **168** ; knapsack: **17** ; Total: **185**,0.00000317,9.91997474,0.230011890333,0.899054653116,0.02373280,0.0000218735483871,0.000278800000,0.024011600000,1,35,3.01751152074,3.61789668987,knapsack: **683** ; srd: **163** ; srdltd: **71** ; bnb: **168**
bustabit-tiny-hot-wallet_peak-and-tail,23.47250422,42.4415000000,51,2818,3745,1182,6,978,bnb: **185** ; knapsack: **19** ; Total: **204**,0.00000317,9.91997474,0.216672774499,0.865894475761,0.02648165,0.0000224041032149,0.000346800000,0.026828450000,1,35,3.16835871404,3.85550802054,knapsack: **754** ; srd: **169** ; srdltd: **74** ; bnb: **185**
bustabit-tiny-hot-wallet_peak-and-tail,15.35603674,43.4244444444,22,3213,4252,1287,6,1061,bnb: **205** ; knapsack: **21** ; Total: **226**,0.00000317,9.91997474,0.210130405504,0.834880511787,0.03012720,0.0000234088578089,0.000149600000,0.030276800000,1,35,3.30380730381,4.07570384768,knapsack: **814** ; srd: **185** ; srdltd: **83** ; bnb: **205**
bustabit-tiny-hot-wallet_peak-and-tail,15.78005012,43.0034000000,23,3571,4728,1429,6,1180,bnb: **228** ; knapsack: **21** ; Total: **249**,0.00000317,9.91997474,0.196982009610,0.795054675388,0.03298639,0.0000230835479356,0.000156400000,0.033142790000,1,35,3.30860741777,4.03528763642,knapsack: **911** ; srd: **198** ; srdltd: **92** ; bnb: **228**
bustabit-tiny-hot-wallet_peak-and-tail,22.01720396,41.7187272727,44,3938,5193,1562,6,1299,bnb: **242** ; knapsack: **21** ; Total: **263**,0.00000317,9.91997474,0.245729915897,0.944642224921,0.03576375,0.0000228961267606,0.000299200000,0.036062950000,1,35,3.32458386684,4.07853995144,knapsack: **995** ; srd: **214** ; srdltd: **111** ; bnb: **242**
