id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312770,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,0.00164529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,3.99667372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000120714285714,srdltd,1,0,2,0.99678910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,knapsack,1,0,2,0.00023909,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00047838,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.99576190,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,1.99347343,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,knapsack,1,0,2,0.00008392,23,23,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,knapsack,1,0,2,0.00017883,30,30,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,31,31,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00678410,31,31,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,31,30,312
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,4.99595187,36,36,3380
16,0.00100000,0.00003200,0.00028435,0.000293577981651,bnb,1,0,1,,36,35,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.00692843,37,37,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srdltd,1,0,2,4.98922622,37,37,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00213087,37,37,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,37,36,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srdltd,1,0,2,0.01451736,36,36,5803
22,0.00209300,0.00003787,0.00032686,0.000344272727273,bnb,1,0,1,,36,35,1734
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00644113,35,35,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srd,1,0,2,0.01142006,35,35,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srdltd,1,0,2,0.01116258,35,35,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srdltd,1,0,2,0.00187728,35,35,1596
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,35,33,286
28,0.00300000,0.00005191,0.00009927,0.000100600775194,bnb,7,0,1,,33,26,14
29,0.00294600,0.00002531,0.00005283,0.0000528392484342,knapsack,6,2,2,0.00003595,26,21,-1076
30,0.00332500,0.00002495,0.00011709,0.000140960451977,bnb,2,0,1,,22,20,643
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00309978,20,20,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,knapsack,2,0,2,0.00068654,20,19,384
33,0.00336300,0.00001638,0.00007874,0.00007875000,knapsack,2,0,2,0.00060116,19,18,637
34,0.00333400,0.00000612,0.00002942,0.0000294230769231,knapsack,2,0,2,0.00055504,21,20,-186
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00024929,20,20,404
36,0.00300100,0.00000449,0.00003180,0.0000318439716312,knapsack,1,0,2,0.00028851,20,20,316
37,0.00332900,0.00000798,0.00002890,0.0000289130434783,knapsack,3,0,2,0.00020082,21,19,-679
38,0.00332700,0.00000338,0.00002392,0.0000239716312057,knapsack,1,0,2,0.00345372,19,19,238
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00012347,19,19,229
40,0.00322700,0.00000543,0.00003845,0.0000385106382979,knapsack,1,0,2,0.00369600,19,19,382
41,0.00332000,0.00000848,0.00004075,0.0000407692307692,srd,2,0,2,0.00947939,19,18,3
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00170740,19,19,324
43,0.00322000,0.00001169,0.00002925,0.0000307631578947,bnb,5,0,1,,19,14,-2354
44,0.00505500,0.00000367,0.00002602,0.0000260283687943,knapsack,1,0,2,0.00434133,16,16,258
45,0.00105000,0.00000654,0.00004637,0.0000463829787234,knapsack,1,0,2,0.00194346,17,17,460
46,0.00020000,0.00000525,0.00003719,0.0000372340425532,knapsack,1,0,2,0.00173821,17,17,369
47,0.00086900,0.00000448,0.00003177,0.0000317730496454,knapsack,1,0,2,0.00086473,17,17,316
48,0.00020400,0.00000324,0.00002292,0.0000229787234043,knapsack,1,0,2,0.00065749,18,18,85
49,0.00322600,0.00000443,0.00003136,0.0000314184397163,knapsack,1,0,2,0.00111090,18,18,169
50,0.00334300,0.00000408,0.00002891,0.0000289361702128,knapsack,1,0,2,0.00613231,18,18,144
51,0.00668000,0.00000689,0.00003311,0.000033125000,knapsack,2,0,2,0.00010291,18,17,-268
52,0.00332500,0.00000497,0.00003523,0.0000352482269504,knapsack,1,0,2,0.00667003,17,17,350
53,0.00332500,0.00001114,0.00007896,0.0000790070921986,knapsack,1,0,2,0.00333389,17,17,782
54,0.00332500,0.00000678,0.00003255,0.0000325961538462,srdltd,2,0,2,0.03536004,17,16,-135
55,0.00332500,0.00000533,0.00002561,0.000025625000,srd,2,0,2,4.98700679,16,15,-392
56,0.00300000,0.00000413,0.00002929,0.0000292907801418,knapsack,1,0,2,0.00699587,15,15,149
57,0.00332700,0.00000394,0.00002793,0.0000279432624113,knapsack,1,0,2,0.00366493,15,15,135
58,0.00332500,0.00000723,0.00003473,0.0000347596153846,srdltd,2,0,2,0.00110170,15,14,-240
59,0.00300000,0.00000653,0.00003138,0.0000313942307692,srd,2,0,2,0.00744007,14,13,-296
60,0.00332700,0.00000603,0.00004272,0.0000427659574468,knapsack,1,0,2,0.00410704,13,13,282
