id,input_amounts
0,['0.00329000']
1,['0.00329400']
2,['0.00500000']
3,['0.00483000']
4,['4.00000000']
5,['1.00000000']
6,['0.00066424']
7,['0.00312770']
8,['0.99678910']
9,['2.00000000']
10,['0.00023909']
11,['0.00329000']
12,['0.00014860']
13,['0.00794500']
14,['0.00011747']
15,['5.00000000']
16,['0.00103200']
17,['0.01000000']
18,['4.99595187']
19,['0.00331400']
20,['0.00100000']
21,['0.01570000']
22,['0.00213087']
23,['0.00980000']
24,['0.01569000']
25,['0.01451736']
26,['0.00390000']
27,"['0.00329600', '0.00010000']"
28,"['0.00109000', '0.00017883', '0.00002077', '0.00008392', '0.00010863', '0.00056976', '0.00100000']"
29,"['0.00050000', '0.00014860', '0.00187728', '0.00047838', '0.00000100', '0.00000200']"
30,"['0.00003595', '0.00331400']"
31,['0.00644113']
32,"['0.00309978', '0.00090000']"
33,"['0.00068654', '0.00329400']"
34,"['0.00329400', '0.00060116']"
35,['0.00055504']
36,['0.00329400']
37,"['0.00028851', '0.00024929', '0.00300000']"
38,['0.00678410']
39,['0.00345372']
40,['0.00692843']
41,"['0.01116258', '0.00164529']"
42,['0.00369600']
43,"['0.00020082', '0.00020000', '0.00170740', '0.00100000', '0.00012347']"
44,['0.00940000']
45,['0.00300000']
46,['0.00194346']
47,['0.00173821']
48,['0.00086473']
49,['0.00434133']
50,['0.00947939']
51,"['0.00065749', '0.00613231']"
52,['0.01000000']
53,['0.00667003']
54,"['0.00333389', '0.03535793']"
55,"['4.98922622', '0.00111090']"
56,['0.01000000']
57,['0.00699587']
58,"['0.00366493', '0.00076900']"
59,"['0.01010000', '0.00034660']"
60,['0.00744007']
61,['0.00410704']
62,['0.01142006']
63,['0.00808664']
64,['0.00475369']
65,"['0.00077541', '0.00141808', '0.00110170', '0.00010291']"
66,['0.01300000']
67,['0.00967129']
68,['0.00633205']
69,['0.02500000']
70,"['0.00300293', '0.00006085']"
71,['0.02167148']
72,['0.01845369']
73,['0.01644341']
74,"['0.00005813', '4.98700679']"
75,['0.01323386']
76,['0.00992944']
77,['0.00653110']
78,"['0.00319756', '0.00100000']"
79,['0.03536004']
80,['0.03202590']
81,['0.02869146']
82,['0.01935920']
83,['0.01602147']
84,['0.00910000']
85,"['3.99667372', '0.00084667']"
86,['0.99576190']
87,['0.00576575']
88,['0.00404010']
89,['0.01268636']
90,"['0.00011000', '0.97527917']"
91,"['0.00934886', '4.98373141']"
92,['0.00138224']
93,['0.01714000']
94,['0.00713650']
95,"['1.99347343', '0.00037901']"
96,['0.00300000']
97,['0.00116387']
98,"['0.00014595', '0.01490000']"
99,"['0.00006080', '0.00098946', '0.00100000']"
100,['0.00480000']
101,['0.00512879']
102,"['0.00002790', '0.00100000', '0.00100000']"
103,"['0.00300000', '0.00001968']"
104,"['0.00100000', '0.00001254']"
105,"['0.00054695', '0.00279265']"
106,"['0.00080000', '0.00100000']"
107,"['0.00100000', '0.00120000']"
108,"['0.00002795', '0.00100000']"
109,"['0.00025899', '0.00200000', '0.00270000']"
110,"['0.00002773', '0.00107722', '0.00002249']"
111,"['0.00008510', '0.00010000', '0.00033009']"
112,['0.00444318']
113,"['0.00030316', '0.00087643', '0.00200000']"
114,"['0.00001653', '0.00100000', '0.00040000', '0.00390000', '0.00006414', '0.00000543']"
115,['0.00120000']
116,"['0.00370000', '0.00018570']"
117,['0.00016702']
118,"['0.00341677', '0.00228044']"
119,"['0.00008000', '0.00002326', '0.00200000', '0.00091371']"
120,"['0.00163049', '0.00592000', '0.00171142']"
121,"['0.00100000', '0.00360000', '0.00006000', '0.00010000', '0.00025639']"
122,"['0.00090000', '0.00169500', '0.00090000']"
123,"['0.00454585', '0.00464370']"
124,"['0.00012205', '0.00790000']"
125,"['0.00290000', '0.00110000', '0.00300000', '0.00010528', '0.00300000']"
126,"['0.00007304', '0.01000000', '0.00500000']"
127,['0.00480000']
128,['0.00279529']
129,['0.00480000']
130,"['0.00144579', '0.00490000']"
131,"['0.00500000', '0.00157219']"
132,"['0.00067137', '0.00023255', '0.00500000', '0.00046101']"
133,['0.01109159']
134,"['0.03500000', '0.00226500', '0.00001162']"
135,"['0.00005913', '0.01000000']"
136,"['0.00800000', '0.00213902']"
137,['0.00300000']
