id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,knapsack,1,0,2,0.00011747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,4.99983370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srdltd,1,0,2,1.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,knapsack,1,0,2,0.00066424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,2.99667372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,knapsack,1,0,2,0.00007910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,4.99940855,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,knapsack,1,0,2,0.00064468,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00837280,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srdltd,1,0,2,3.99347343,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,2.99651855,23,23,1066
11,0.00310000,0.00002186,0.00007917,0.0000792028985507,srd,3,0,2,0.01336142,30,28,503
12,0.00010100,0.00002683,0.00019026,0.000190283687943,knapsack,1,0,2,0.00002077,29,29,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00215310,29,29,2030
14,0.00010200,0.00001547,0.00013210,0.000140636363636,bnb,1,0,1,,29,28,312
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srd,1,0,2,4.99536042,34,34,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,34,33,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.00082843,35,35,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srd,1,0,2,0.00164715,35,35,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.01451687,35,35,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,35,34,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,1.99546265,34,34,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,1.99332356,34,34,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srdltd,1,0,2,0.00644113,34,34,2309
24,0.00424600,0.00002394,0.00016975,0.000169787234043,srdltd,1,0,2,4.99109048,34,34,1682
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00308635,34,34,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,4.98906776,34,34,1596
27,0.00337500,0.00002100,0.00010801,0.000118644067797,bnb,2,0,1,,34,32,286
28,0.00300000,0.00004153,0.00009927,0.000109002624672,bnb,5,0,1,,32,27,336
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,srdltd,2,0,2,3.99381044,27,26,204
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,0.99665849,27,27,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srdltd,1,0,2,0.01117552,27,27,1149
32,0.00330000,0.00001477,0.00006361,0.0000834463276836,bnb,2,0,1,,27,25,-151
33,0.00336300,0.00002709,0.00007874,0.00007875000,knapsack,4,2,2,0.00001554,25,22,349
34,0.00333400,0.00001013,0.00002942,0.0000294476744186,knapsack,4,0,2,0.00024587,25,22,-1144
35,0.00030000,0.00000575,0.00004071,0.0000407801418440,knapsack,1,0,2,0.00134140,22,22,404
36,0.00300100,0.00000662,0.00003180,0.0000318269230769,srd,2,0,2,0.01366780,22,21,-147
37,0.00332900,0.00000798,0.00002890,0.0000289130434783,knapsack,3,0,2,0.00001078,22,20,-679
38,0.00332700,0.00000498,0.00002392,0.0000239423076923,knapsack,2,0,2,0.00016252,20,19,-279
39,0.00332700,0.00000325,0.00002302,0.0000230496453901,knapsack,1,0,2,0.00166975,19,19,229
40,0.00322700,0.00000800,0.00003845,0.0000384615384615,knapsack,2,0,2,0.00143475,19,18,-36
41,0.00332000,0.00000575,0.00004075,0.0000407801418440,knapsack,1,0,2,0.00461925,18,18,405
42,0.00198400,0.00000460,0.00003259,0.0000326241134752,knapsack,1,0,2,0.00263065,19,19,324
43,0.00322000,0.00000609,0.00002925,0.0000292788461538,knapsack,2,0,2,0.00083931,19,18,-191
