id,input_amounts
0,['0.00329000']
1,['5.00000000']
2,['2.00000000']
3,['0.00483000']
4,['3.00000000']
5,['0.00329000']
6,['4.99983370']
7,['0.00329400']
8,['0.00940000']
9,['4.00000000']
10,['2.99667372']
11,"['0.00064468', '0.00014860', '0.01569000']"
12,['0.00014860']
13,['0.00331400']
14,['0.00011747']
15,['4.99940855']
16,['0.00103200']
17,['0.00390000']
18,['0.00837280']
19,['0.01570000']
20,['0.00100000']
21,['1.99664529']
22,['1.99546265']
23,['0.00980000']
24,['4.99536042']
25,['0.00644113']
26,['4.99109048']
27,"['0.00010000', '0.00329600']"
28,"['0.00090000', '0.00056976', '0.00007910', '0.00082843', '0.00066424']"
29,"['0.00329400', '3.99347343']"
30,['1.00000000']
31,['0.01451687']
32,"['0.00329400', '0.00002077']"
33,"['0.00010863', '0.00000100', '0.00000200', '0.00329400']"
34,"['0.00100000', '0.00100000', '0.00050000', '0.00109000']"
35,['0.00164715']
36,"['0.00331400', '0.01336142']"
37,"['0.00024587', '0.00308635', '0.00001554']"
38,"['0.00215310', '0.00134140']"
39,['0.00500000']
40,"['0.00300000', '0.00166975']"
41,['0.00794500']
42,['0.00461925']
43,"['0.00263065', '0.00143475']"
44,['0.01000000']
45,"['0.00016252', '0.00020000', '0.00083931']"
46,"['0.00013903', '0.01000000']"
47,['0.00300000']
48,['0.00212652']
49,"['0.01300000', '0.00011000']"
50,['0.00494133']
51,['0.00987747']
52,"['0.00191928', '0.00159425']"
53,"['0.00018120', '0.00319280']"
54,['0.00993129']
55,['0.00660170']
56,['0.00327308']
57,"['0.01000000', '0.00034660']"
58,['0.00701379']
59,['0.00368389']
60,['0.01010000']
61,"['0.00003257', '1.99332356']"
62,['0.00676697']
63,"['1.99002230', '0.00076900']"
64,['0.00343355']
65,['0.01117552']
66,['0.00784550']
67,['0.00451679']
68,"['1.98745648', '0.00067946']"
69,['0.01366780']
70,['0.01033928']
71,['0.00733545']
72,['0.00411766']
73,"['0.00117755', '0.00210738']"
74,['0.02500000']
75,"['0.03535793', '0.00007085']"
76,['0.02166923']
77,"['2.99651855', '0.00026895']"
78,['0.01827089']
79,['0.01492318']
80,['0.01158904']
81,"['0.00825460', '0.00009794', '0.00100000']"
82,['0.03212227']
83,"['3.99381044', '0.00001620']"
84,['0.00910000']
85,['0.00576575']
86,['0.02878454']
87,['0.00275830']
88,['0.00830181']
89,['0.00564395']
90,"['0.00103265', '0.00230645']"
91,['0.01714000']
92,"['2.99345086', '0.00001078']"
93,['0.03000000']
94,['0.00213637']
95,"['0.00116387', '2.99245687']"
96,['0.00300000']
97,['1.98480486']
98,"['0.00000535', '0.01490000', '0.00012866']"
99,"['0.00098946', '0.00006080', '0.00100000']"
100,['0.00480000']
101,['0.01780000']
102,"['0.00100000', '0.00100000', '0.00001006']"
103,"['0.00002795', '0.00300000']"
104,"['0.00002081', '0.00100000']"
105,"['0.00279265', '0.00080000']"
106,"['0.00100000', '0.00058314']"
107,"['0.00004213', '0.00107722', '0.00100000']"
108,"['0.00100000', '0.00000978']"
109,"['0.00200000', '3.99048673']"
110,['0.00120000']
111,['0.00120000']
112,"['0.00009442', '0.00010000', '0.00200000', '0.00200000']"
113,"['0.00171142', '0.00087643', '0.00069501']"
114,"['0.00500000', '0.00040000']"
115,['0.00790000']
116,"['0.00100000', '0.00270000', '0.00002879']"
117,['0.00016741']
118,"['0.00228044', '0.00341677']"
119,"['0.00000432', '0.00300000', '0.00000694']"
120,"['0.00012205', '0.00090000', '0.00360000', '0.00002365', '0.00444318', '0.00008000', '0.00004286', '0.00006000']"
121,"['0.00025639', '0.00090000', '0.00390000']"
122,"['0.00169500', '0.00163049', '0.00010000']"
123,"['0.00480000', '0.00370000', '0.00003577']"
124,['4.98906776']
125,"['0.00110000', '0.00001165', '0.00091371', '0.00800000']"
126,"['0.00290000', '0.00004689', '0.01109159', '0.00100000']"
127,['0.00300000']
128,['0.00454585']
129,"['0.00099529', '0.00319635']"
130,"['0.00095965', '0.00592000']"
131,['0.00688570']
132,"['0.00077812', '0.00076641', '0.00480000', '0.00002237']"
133,"['0.00800000', '0.00464370']"
134,"['0.00226500', '0.00163757']"
135,"['0.00500000', '0.00001359', '0.00500000']"
136,"['0.00900000', '0.00114505']"
137,['0.00213902']
138,"['0.00013380', '0.00049540', '0.00013570', '0.00100000']"
139,['0.00300000']
140,"['0.00005162', '0.00500000', '0.00490000', '0.00069882', '0.00139299', '0.00100000']"
141,['0.00500000']
142,"['0.00002830', '0.99665849', '0.00000521']"
143,['0.00070000']
144,"['0.00024546', '0.00200000']"
145,"['0.00880000', '0.00180000']"
146,"['0.00012802', '0.00299291']"
147,['0.00280000']
148,"['0.00300000', '0.00290000']"
149,"['0.00113049', '0.00880000']"
