Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19436404,24.5480000000,21,267,461,233,2,215,bnb: **18** ; Total: **18**,0.00000432,4.99983370,0.500525814837,1.23829618452,0.00449563,0.0000192945493562,0.000142800000,0.004638430000,1,13,1.97854077253,1.84868628083,knapsack: **149** ; srd: **44** ; srdltd: **22** ; bnb: **18**
bustabit-tiny-hot-wallet_peak-and-tail,23.92726967,29.9440000000,31,594,919,406,3,356,bnb: **48** ; knapsack: **2** ; Total: **50**,0.00000400,8.71768187,0.399631830506,1.16024641481,0.00805450,0.0000198386699507,0.000210800000,0.008265300000,1,15,2.26354679803,2.23153630998,knapsack: **260** ; srd: **66** ; srdltd: **32** ; bnb: **48**
bustabit-tiny-hot-wallet_peak-and-tail,27.28308167,34.9093333333,76,961,1345,539,5,460,bnb: **74** ; knapsack: **5** ; Total: **79**,0.00000397,8.71768187,0.372712297217,1.14163222577,0.01152333,0.0000213790909091,0.000516800000,0.012040130000,1,19,2.49536178108,2.61776118357,knapsack: **337** ; srd: **89** ; srdltd: **39** ; bnb: **74**
bustabit-tiny-hot-wallet_peak-and-tail,19.66745621,39.4045000000,21,1316,1864,684,7,569,bnb: **108** ; knapsack: **7** ; Total: **115**,0.00000397,9.99748469,0.343128478541,1.12843075322,0.01436794,0.0000210057602339,0.000142800000,0.014510740000,1,40,2.72514619883,3.20786174761,knapsack: **423** ; srd: **108** ; srdltd: **45** ; bnb: **108**
bustabit-tiny-hot-wallet_peak-and-tail,26.29731460,38.7084000000,54,1682,2306,818,7,678,bnb: **131** ; knapsack: **9** ; Total: **140**,0.00000394,9.99748469,0.353208560029,1.19152977170,0.01704643,0.0000208391564792,0.000367200000,0.017413630000,1,40,2.81907090465,3.30520573300,knapsack: **509** ; srd: **123** ; srdltd: **55** ; bnb: **131**
bustabit-tiny-hot-wallet_peak-and-tail,18.38148991,39.1170000000,30,2008,2808,992,7,830,bnb: **153** ; knapsack: **9** ; Total: **162**,0.00000372,9.99748469,0.338179710880,1.12717851926,0.02131756,0.0000214894758065,0.000204000000,0.021521560000,1,40,2.83064516129,3.27229577882,knapsack: **613** ; srd: **158** ; srdltd: **68** ; bnb: **153**
bustabit-tiny-hot-wallet_peak-and-tail,26.40486094,40.6665714286,45,2415,3272,1085,7,902,bnb: **173** ; knapsack: **10** ; Total: **183**,0.00000372,9.99748469,0.317193539324,1.08622435650,0.02352960,0.0000216862672811,0.000306000000,0.023835600000,1,44,3.01566820276,3.68560749680,knapsack: **670** ; srd: **169** ; srdltd: **73** ; bnb: **173**
bustabit-tiny-hot-wallet_peak-and-tail,23.47273934,41.5432500000,47,2818,3753,1182,7,982,bnb: **189** ; knapsack: **11** ; Total: **200**,0.00000372,9.99748469,0.295292720896,1.04468304350,0.02624653,0.0000222051861252,0.000319600000,0.026566130000,1,44,3.17512690355,3.90018874584,knapsack: **740** ; srd: **176** ; srdltd: **77** ; bnb: **189**
bustabit-tiny-hot-wallet_peak-and-tail,15.35618038,42.1753333333,23,3213,4258,1287,7,1068,bnb: **207** ; knapsack: **12** ; Total: **219**,0.00000372,9.99748469,0.281419554869,1.00557377760,0.02998356,0.0000232972494172,0.000156400000,0.030139960000,1,44,3.30846930847,4.13652487154,knapsack: **801** ; srd: **194** ; srdltd: **85** ; bnb: **207**
