bustabit-tiny-hot-wallet_peak-and-tail,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#NegEffVal spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
BnB + SRD + SRDLTD,15.03308714,53.02,71,10076,14137,5005,0,4132,bnb: **873** ; Total: **873**,0.00050830,12.66292999,0.71872752,1.37879621,0.10192973,0.00002037,0.00048280,0.10241253,1,51,2.82,3.99,srd: **3646** ; srdltd: **486** ; bnb: **873**
BnB + SRD + SRDLTD,15.03262257,51.15,56,10076,14151,5005,0,4131,bnb: **874** ; Total: **874**,0.00052875,12.86928474,0.67298807,1.23728809,0.10239430,0.00002046,0.00038080,0.10277510,1,49,2.83,4.03,srd: **3668** ; srdltd: **463** ; bnb: **874**
BnB + SRD + SRDLTD,15.03263490,54.55,66,10076,14142,5005,0,4132,bnb: **873** ; Total: **873**,0.00051746,9.96898946,0.64803642,1.21292881,0.10238197,0.00002046,0.00044880,0.10283077,1,40,2.83,3.99,srdltd: **472** ; srd: **3660** ; bnb: **873**
BnB + SRD + SRDLTD,15.03246041,51.32,50,10076,14148,5005,0,4122,bnb: **883** ; Total: **883**,0.00055643,13.16725157,0.69085261,1.40008971,0.10255646,0.00002049,0.00034000,0.10289646,1,42,2.83,3.94,srdltd: **498** ; srd: **3624** ; bnb: **883**
BnB + SRD + SRDLTD,15.03239211,53.15,58,10076,14144,5005,0,4126,bnb: **879** ; Total: **879**,0.00052676,12.94470233,0.67889185,1.28390988,0.10262476,0.00002050,0.00039440,0.10301916,1,37,2.83,3.96,srd: **3643** ; srdltd: **483** ; bnb: **879**
BnB + KS + SRD + SRDLTD,15.03203251,35.15,21,10076,14480,5005,9,4425,bnb: **536** ; knapsack: **44** ; Total: **580**,0.00000328,9.99748469,0.30107097,0.98436273,0.10298436,0.00002058,0.00014280,0.10312716,1,44,2.89,3.38,knapsack: **3353** ; srd: **735** ; srdltd: **381** ; bnb: **536**
BnB + KS + SRD + SRDLTD,15.03169708,35.70,19,10076,14476,5005,7,4419,bnb: **528** ; knapsack: **58** ; Total: **586**,0.00000317,15.97265130,0.35060236,1.29039450,0.10331979,0.00002064,0.00012920,0.10344899,1,35,2.89,3.36,knapsack: **3391** ; srd: **721** ; srdltd: **365** ; bnb: **528**
BnB + KS + SRD + SRDLTD,15.03168588,35.06,19,10076,14495,5005,11,4438,bnb: **526** ; knapsack: **41** ; Total: **567**,0.00000317,11.07114964,0.31813090,1.04870399,0.10333099,0.00002065,0.00012920,0.10346019,1,51,2.90,3.39,knapsack: **3371** ; srd: **732** ; bnb: **526** ; srdltd: **376**
BnB + SRDLTD,15.03187678,57.20,56,10076,14037,5005,0,4017,bnb: **988** ; Total: **988**,0.00050537,10.29966640,0.61714046,1.17220321,0.10314009,0.00002061,0.00038080,0.10352089,1,28,2.80,3.88,srdltd: **4017** ; bnb: **988**
BnB + KS + SRD + SRDLTD,15.03155085,33.70,19,10076,14505,5005,8,4448,bnb: **518** ; knapsack: **39** ; Total: **557**,0.00000317,9.93422718,0.30162489,1.02161068,0.10346602,0.00002067,0.00012920,0.10359522,1,41,2.90,3.38,knapsack: **3388** ; srd: **689** ; srdltd: **410** ; bnb: **518**
