id,input_amounts
0,['0.01570000']
1,['5.00000000']
2,['0.00331400']
3,['0.00940000']
4,['0.00329400']
5,['2.00000000']
6,['0.00329600']
7,['0.00528414']
8,['4.99988481']
9,['0.01259047']
10,['0.00014860']
11,['1.00000000']
12,['0.00288075']
13,['0.00331400']
14,['0.00390000']
15,['0.01000000']
16,['0.00103200']
17,['0.00980000']
18,"['0.00596061', '0.00014860', '0.00010863', '0.00050000']"
19,['0.00483000']
20,['0.00265277']
21,['0.02500000']
22,['0.99689158']
23,['0.00607813']
24,"['0.00370908', '0.00056976']"
25,['4.99887004']
26,['3.00000000']
27,['0.99477488']
28,['1.99679690']
29,['0.99136581']
30,['2.99796406']
31,['0.98840225']
32,['0.01010000']
33,['4.99550792']
34,"['0.00100000', '0.00109000', '0.00172892', '0.01569000']"
35,['4.99211887']
36,['0.98504868']
37,['0.00500000']
38,"['0.00010000', '0.00794500']"
39,"['0.00090000', '0.00329400']"
40,['0.01000000']
41,['0.00676846']
42,['0.00275137']
43,['0.01000000']
44,['4.00000000']
45,['0.00216360']
46,['0.00100000']
47,['0.00097348']
48,['0.00272882']
49,['3.99485830']
50,['0.00471328']
51,['0.98201797']
52,['0.00675065']
53,"['0.00340543', '4.99180317']"
54,['0.00676438']
55,"['0.00238864', '0.00100000']"
56,"['0.00329400', '0.01300000']"
57,['0.00339807']
58,"['0.00329000', '0.03535793']"
59,"['0.00300000', '0.00011000']"
60,['2.99461572']
61,"['0.00329000', '0.03521742']"
62,['1.99376998']
63,['0.97522021']
64,['0.02387380']
65,['3.99150160']
66,['3.98805090']
67,['3.98463626']
68,"['3.98124161', '0.00300000']"
69,['0.03507443']
70,['0.02041289']
71,['0.00377856']
72,['0.00329773']
73,['2.99121817']
74,['0.00672490']
75,"['0.01615623', '0.00329400']"
76,['0.03169912']
77,['0.97180124']
78,['0.01605606']
79,['0.01260821']
80,['0.00915229']
81,['0.01321219']
82,['1.99037845']
83,['0.00569237']
84,['4.99177641']
85,['0.02822829']
86,['2.98794534']
87,['0.96836560']
88,['0.00910000']
89,['4.98824924']
90,['3.98084049']
91,['0.96647308']
92,['2.96730171']
93,['0.03000000']
94,['0.00628184']
95,['0.00401300']
96,['0.95129631']
97,['0.00300000']
98,['3.97733525']
99,['3.96224013']
100,['3.96013726']
101,['3.95804890']
102,['0.00370000']
103,['0.00480000']
104,['0.00107722']
105,['0.01490000']
106,['0.00161476']
107,['0.00216717']
108,['1.98688566']
109,"['0.00166447', '0.00334008']"
110,['0.00116387']
111,['0.02504776']
112,"['0.00300000', '0.00120000']"
113,['0.00444318']
114,"['0.01983174', '0.00390000']"
115,['0.01109159']
116,['0.00790000']
117,['0.00100000']
118,['0.01000000']
119,['0.00500000']
120,['0.02448947']
121,"['0.00010000', '0.00080000', '0.00414518']"
122,"['0.00169500', '0.00171142']"
123,"['0.00190659', '0.00071790', '0.00592000']"
124,"['0.00008000', '0.00050455', '0.00006080', '0.00034660', '0.00480000', '0.00006000', '0.00100000', '0.00020000', '0.00066743', '0.00010000', '0.00025639']"
125,"['0.00085719', '0.00076900', '0.00091371', '0.00040000', '0.00480000', '0.00129200', '0.00100000']"
126,"['0.00800000', '0.00200000', '0.00341677', '0.00163049']"
127,['0.01714000']
128,['2.96615215']
129,['0.00490000']
130,"['0.00090000', '0.00100000', '0.00123199', '0.00100000', '0.00100000', '0.00100000']"
131,"['0.00120000', '0.00100000', '0.00100000', '0.00123758', '0.00087643', '0.00082007']"
132,"['0.00228044', '0.00110000', '0.00300000']"
133,"['0.00270000', '0.00100000', '0.00175682', '0.00196805', '0.00360000']"
134,"['0.00226500', '0.00200000']"
135,"['0.00300000', '0.00500000', '1.98582635', '0.00000200', '0.00165233']"
136,"['0.00090000', '0.00290000', '0.00159440', '0.00464370']"
137,['0.00880000']
138,['0.00600000']
139,['0.01181109']
140,"['0.00049540', '0.00800000', '0.00454585']"
141,['0.00500000']
142,['0.01000000']
143,['1.98547244']
144,['3.95337721']
145,"['0.00100000', '0.00180000', '0.00069882', '0.00280000', '0.00200000', '0.00100000']"
146,['0.00900000']
147,['2.96478012']
148,"['0.00149248', '0.00427962']"
149,"['0.00300000', '0.01018531']"
150,"['0.00595048', '0.01830264', '0.00290000']"
151,['3.95126826']
152,['0.00338090']
153,"['0.01450000', '0.00134499', '0.01742526', '0.01680000']"
154,['0.01000000']
155,['0.00500000']
156,"['0.00040000', '0.00300000', '0.00263338', '0.01780000', '0.06000000', '0.00377366', '0.01734695', '0.00297347', '0.00213902', '0.00900000', '0.00200000']"
157,['0.01000000']
158,['0.05000000']
159,['3.89223433']
160,"['0.00980000', '0.00600000', '0.01520232', '0.04914940', '0.01990000']"
161,"['0.01500000', '4.98475088', '0.03300000']"
162,"['0.00084400', '0.07024500']"
163,['0.00963986']
164,['0.00860000']
165,"['0.00021000', '0.01000000']"
166,['4.93267511']
167,['0.00563724']
168,"['0.00359463', '0.00518983', '0.00070000', '0.00038000', '0.00017000']"
169,['0.00800000']
170,"['0.00010000', '0.00090000', '0.00642434', '0.00262608']"
171,['0.00434227']
172,['0.06607764']
173,['0.06000000']
174,['0.05000000']
175,"['0.03500000', '0.00500000', '0.00296951']"
176,"['0.00799778', '0.05900000']"
177,"['3.79221065', '0.00500000']"
178,"['0.01000000', '0.01000000']"
179,['0.00500000']
180,['0.01511143']
181,['0.04000000']
182,['0.94917429']
183,['0.05549590']
184,"['0.00176196', '0.00936641']"
185,['0.00697940']
186,['0.01000000']
187,['0.02959206']
188,['0.05000000']
189,['0.04517781']
190,['0.02000000']
191,['2.96309934']
192,"['0.01000000', '0.00500000']"
193,['3.78670601']
194,['0.01000000']
195,['0.00677533']
196,['0.06000000']
197,['0.00318000']
198,['0.03407462']
199,"['0.01798250', '0.00100000']"
200,"['0.00028000', '0.00040000', '0.00090000', '0.00044827']"
201,"['0.00090000', '0.00010000', '0.00090000', '0.00090000', '0.00170000', '0.00099000', '0.00215807']"
202,['0.00900000']
203,"['0.01004543', '0.00969612', '0.00796738']"
204,['0.03000000']
205,"['0.00014000', '0.00500000', '0.00050000', '0.00006080', '0.00563634', '0.00180000']"
206,['0.02900000']
207,['0.02471042']
208,['0.00880000']
209,['0.00700000']
210,['0.09990000']
211,['3.77568792']
