id,input_amounts
0,['0.00794500']
1,['0.00483547']
2,['0.00331400']
3,"['0.00329600', '0.00940000']"
4,['0.00329400']
5,"['0.00331400', '0.00329000']"
6,['0.00329400']
7,['2.00000000']
8,['0.00339658']
9,"['5.00000000', '0.00329400']"
10,"['0.01570000', '0.00014860']"
11,['3.00000000']
12,['0.01000000']
13,['0.02500000']
14,['4.99677580']
15,['2.99689158']
16,['0.00103200']
17,['0.00980000']
18,['4.00000000']
19,['0.01569000']
20,['1.99736863']
21,['0.00287875']
22,['0.01456908']
23,['4.99665436']
24,['2.99285219']
25,['1.99644478']
26,['0.00329400']
27,['0.00676438']
28,['4.99330505']
29,"['0.00010000', '0.00050000', '0.00238181']"
30,['4.99027813']
31,['0.00335531']
32,['0.00472028']
33,"['0.00010863', '0.00329000']"
34,"['0.00100000', '0.00109000', '0.00125806']"
35,['0.00390000']
36,['0.01010000']
37,['4.98692979']
38,['0.01300000']
39,"['1.99308266', '0.00014860']"
40,['4.98359426']
41,['0.01000000']
42,['0.01000000']
43,['2.98858267']
44,['0.00987062']
45,['0.00966980']
46,['0.00175255']
47,['0.00100000']
48,['0.00483000']
49,['0.00448982']
50,['0.00857307']
51,['1.98989445']
52,['0.01245238']
53,['0.00500000']
54,"['0.03535793', '0.00113312']"
55,['0.00847968']
56,['0.00358430']
57,['0.00706929']
58,['4.98034491']
59,['1.98309669']
60,['1.98001935']
61,['0.00510741']
62,['0.01570148']
63,['0.00899946']
64,['0.00509737']
65,['2.98530757']
66,['3.99331520']
67,"['0.00472892', '0.00163646']"
68,['0.00796653']
69,['0.03310512']
70,['4.97694839']
71,"['0.01230995', '0.00056976']"
72,['0.00367107']
73,['0.02972981']
74,['0.00558049']
75,['1.00000000']
76,['0.02645698']
77,['0.00957623']
78,['2.98185687']
79,['0.02298615']
80,['2.97840902']
81,['0.99663616']
82,['3.98990056']
83,['1.97662180']
84,['0.00663697']
85,['4.97388245']
86,['1.97309660']
87,['0.00310980']
88,['3.98640777']
89,['3.98358961']
90,['3.98009125']
91,['0.01714000']
92,['0.00294239']
93,['0.98719763']
94,['0.00910000']
95,['0.00683116']
96,['1.95245297']
97,['0.00614059']
98,['0.01780000']
99,['3.97658601']
100,['0.00458993']
101,['2.97494910']
102,['0.01953023']
103,['3.97448314']
104,['0.00107722']
105,['0.00480000']
106,['0.00160233']
107,['0.03500000']
108,['0.00457498']
109,['0.03000000']
110,['0.00116387']
111,['0.02501581']
112,['0.01000000']
113,['0.01450000']
114,"['0.00100000', '4.97070192']"
115,['0.00444318']
116,['0.00480000']
117,['0.00339702']
118,['0.00790000']
119,"['0.00080000', '0.00224227']"
120,['2.97027741']
121,"['0.00200000', '0.00104518', '0.00200000']"
122,"['0.00169500', '0.00171109']"
123,"['0.00228044', '0.00504718', '0.00121728']"
124,"['0.00006000', '0.00025639', '0.00110000', '0.00052884', '0.00008000', '0.00020000', '0.00034660', '0.00011000', '0.00010000', '0.00040000', '0.00010000', '0.00480000']"
125,"['0.00090000', '0.00006080', '0.00087643', '0.00163049', '0.00090000', '0.00390000', '0.00100000', '0.00076900']"
126,"['0.00351567', '0.00592000', '0.00341677', '0.00219567']"
127,['3.97129790']
128,['0.00270000']
129,"['0.00200000', '0.00290000']"
130,"['0.00179283', '0.00091371', '0.00100000', '0.00141998', '0.00100000']"
131,"['0.00163870', '0.00120000', '0.00100000', '0.00138874', '0.00090000']"
132,"['0.00120000', '0.00321709', '0.00196323']"
133,"['0.00171142', '0.00100000', '0.00100000', '0.00100000', '0.00100000', '0.00132797', '0.00300000', '0.00100000']"
134,['0.00800000']
135,"['0.00270488', '0.00250157', '0.00100000', '0.00049540', '0.00170856', '0.00160533']"
136,['4.96627282']
137,['0.00360000']
138,['0.00800000']
139,['3.96926933']
140,['0.01490000']
141,['0.01000000']
142,['2.96099026']
143,['0.00627962']
144,['0.00900000']
145,"['0.00464370', '0.00180000', '0.00070000', '0.00213902']"
146,['0.00500000']
147,['0.00523409']
148,"['0.00187899', '0.00100000', '0.00290000']"
149,"['0.00454585', '0.00200000', '0.00100000', '0.00226500']"
150,"['0.00500000', '0.00880000']"
151,"['0.00500000', '2.95898804', '0.00581448']"
152,['0.01109159']
153,"['0.00880000', '0.01680000', '0.02445752']"
154,['0.01000000']
155,['0.02384960']
156,"['0.01000000', '0.00370000', '0.00157533', '0.00195048', '0.00300000', '0.00090000', '0.00090000', '0.00040000', '0.06000000', '0.03281741', '0.00582329']"
157,['0.00689105']
158,['0.00600000']
159,"['0.01742463', '3.96764355']"
160,"['0.00980000', '0.02061156', '0.00963986', '0.05000000', '0.01000000']"
161,['2.91073610']
162,"['0.00797347', '0.00300000']"
163,['0.00490000']
164,['0.00860000']
165,"['0.05900000', '0.00359463']"
166,['0.00263338']
167,['0.02959206']
168,"['0.00500000', '0.00017000', '0.00069882', '0.00084400', '0.00331539']"
169,['0.00300000']
170,"['0.00300000', '0.00040000', '0.00197940', '0.00300000', '0.00038000', '0.00100000', '0.00010000', '0.00021000']"
171,['0.00700000']
172,['0.00800000']
173,"['0.05757446', '0.00089738']"
174,['0.05000000']
175,"['0.00500000', '0.00905568']"
176,"['0.00500000', '0.03000000']"
177,"['0.02479196', '0.00355331']"
178,"['0.01000000', '0.00500000']"
179,['0.07024500']
180,['0.02471042']
181,['3.88503325']
182,['0.03300000']
183,['0.06994358']
184,['0.09980000']
185,['0.04000000']
186,['0.03978469']
187,"['0.00280000', '0.00385360', '0.00436641']"
188,"['0.00514940', '0.00300000', '0.00596211']"
189,"['0.00407432', '0.01000000']"
190,['0.01000000']
191,['0.01000000']
192,"['0.05000000', '0.00672762', '0.00562724']"
193,['0.03915027']
194,['0.00500000']
195,['0.00798250']
196,['0.06000000']
197,['0.00300000']
198,['0.00980000']
199,"['0.00900000', '0.00099000', '0.00900000']"
200,['0.01000000']
201,"['0.00090000', '0.00192292', '0.00044827', '0.00100000', '0.00090000', '0.00028000', '0.00170000', '0.00050000']"
202,['0.05962549']
203,"['0.00250000', '0.01090000', '0.01134882', '0.00296738']"
204,['0.01000000']
205,"['0.00010000', '0.00296962', '0.00197807', '0.00006080', '0.00200000', '0.00090000', '0.00014000', '0.00500000']"
206,['0.05000000']
207,['0.08868099']
208,['1.95033095']
209,['0.02658090']
210,['0.05940554']
211,['0.02900000']
212,['3.87470546']
213,['0.04499815']
214,['0.00229870']
215,"['0.00019558', '0.05396580', '0.00097600', '0.01990000']"
216,"['0.00202996', '0.00180000', '0.00005460', '0.00390000', '0.00005460', '0.00180000', '0.00039116']"
217,"['0.06000000', '0.01784063', '0.02219750']"
218,"['0.01950000', '0.02000000']"
219,['0.01000000']
220,['0.01374816']
221,['1.94623173']
222,"['0.00969500', '0.00400000', '0.00853090', '0.00010000', '0.00969612', '0.00100000', '0.00096700']"
223,['0.00684351']
224,['3.77461725']
225,"['3.74370286', '0.01000000']"
226,"['0.04444160', '0.01950000', '2.81069739']"
227,['0.02700000']
228,['0.01940000']
229,['0.01000000']
230,['0.01000000']
231,['0.02400000']
232,['4.95625680']
233,['0.97702937']
234,['0.86677873']
235,['0.03000000']
236,['0.00161670']
237,['0.02792912']
238,['0.00968022']
239,['0.00900000']
240,"['0.00127802', '0.01570000']"
241,"['0.00050000', '0.00050366', '0.00001000', '0.00050000', '0.00006184', '0.00013629', '0.00020000', '0.00010000', '0.00114700', '0.00020000', '0.00070000', '0.00010000']"
242,['0.09743739']
243,['0.00980000']
244,['1.82189952']
245,"['0.00100000', '0.00655405', '0.00010000', '0.00290000']"
246,"['0.01940000', '0.00625770', '0.07460266']"
247,['1.00000000']
248,"['0.00072800', '0.99943760']"
249,"['0.07000000', '0.01000000', '0.01030000', '0.01329913']"
250,['0.00898309']
251,"['0.20000000', '0.00990000']"
252,['3.60366622']
253,"['0.00011752', '0.10000000']"
254,['1.00000000']
255,['2.74957763']
256,['0.00788212']
257,['0.10000000']
258,['0.00901625']
259,['0.00798763']
260,['0.00979757']
261,['0.02310000']
262,['0.05911352']
263,['0.10000000']
264,['0.02000000']
265,['0.02762980']
266,['0.00300000']
267,['0.00170883']
268,['0.00510000']
269,['0.01900000']
270,['0.04892642']
271,['0.02440251']
272,['0.20000000']
273,['0.01000000']
274,['0.00486221']
275,['0.01000000']
276,['0.10000000']
277,['0.01027505']
278,['0.00290000']
279,"['0.00040000', '0.00062479']"
280,['0.01353687']
281,"['0.00600000', '0.00005460']"
282,['0.01000000']
283,['0.02249024']
284,['0.05023029']
285,['0.19885510']
286,['0.04886305']
287,['0.89990244']
288,"['4.95581030', '0.01944692']"
289,['0.03000000']
290,['0.00211332']
291,['0.02160178']
292,['0.00142739']
293,['0.00070000']
294,['3.55063184']
295,['0.00318000']
296,['0.00083132']
297,['0.00090000']
298,['0.09962701']
299,['0.05877204']
300,['0.00110000']
301,['1.72187132']
302,['0.01932648']
303,['0.04000000']
304,['0.01000000']
305,['0.00910385']
306,['0.00110000']
307,['0.01942388']
308,['0.00040000']
309,['0.84793038']
310,"['0.00011000', '0.02000000']"
311,['0.00215259']
312,"['0.00006448', '0.00005480', '0.00001500', '0.00001000', '0.00001000', '0.00005460']"
313,"['0.00000200', '0.00014800', '0.00005666']"
314,"['0.00010000', '0.00006000', '0.00008830', '0.00010000', '0.00010000', '0.00006504']"
315,"['0.00010000', '0.00020000', '0.00010000', '0.00040856', '0.00020000']"
