id,input_amounts
0,"['2.00000000', '0.00329600']"
1,['0.00794500']
2,['0.00331400']
3,['0.01569000']
4,['0.00329400']
5,"['1.00000000', '0.00329400']"
6,['0.00483000']
7,['3.00000000']
8,['2.99736863']
9,"['0.00014860', '0.00014860', '2.99635386', '0.00329400']"
10,['0.00331400']
11,['0.01010000']
12,['0.00940000']
13,['2.00018195']
14,['0.00782981']
15,['0.01570000']
16,['0.00103200']
17,['1.99903155']
18,['0.00927062']
19,['0.00390000']
20,['0.00258582']
21,['0.00329400']
22,['1.00008658']
23,['0.02500000']
24,['0.01000000']
25,['0.01157414']
26,['0.00573048']
27,['0.00821202']
28,['5.00000000']
29,['0.00441475']
30,"['0.00216780', '0.00010863', '0.00109000']"
31,['0.01000000']
32,['0.00664643']
33,['0.00699158']
34,"['0.00145119', '0.00090000', '0.00100000']"
35,['4.99697308']
36,['4.99665738']
37,['0.99796988']
38,['4.99362667']
39,['0.01166061']
40,['0.01300000']
41,['0.00975065']
42,['0.00500000']
43,['0.99463435']
44,['0.00832696']
45,['0.00277908']
46,['0.01000000']
47,['0.00100000']
48,['0.99135925']
49,['2.99341496']
50,['0.99101907']
51,['0.03535793']
52,['0.98754337']
53,['0.00770837']
54,"['0.00318526', '0.00020000']"
55,['0.02856017']
56,['0.00638762']
57,['2.99005826']
58,['0.00966743']
59,['0.00627091']
60,"['0.00331489', '0.00011000']"
61,['0.02518790']
62,['0.00480295']
63,['0.98409045']
64,['4.99029647']
65,['0.02178905']
66,['0.00980000']
67,['4.98683556']
68,"['0.00638536', '0.00296653']"
69,['0.00431070']
70,['0.00595077']
71,"['0.00010000', '0.00319357']"
72,['0.02165069']
73,"['0.00360253', '0.00369454']"
74,['4.00000000']
75,['0.98067148']
76,['0.01833835']
77,['0.97730764']
78,['0.97387200']
79,['0.01958495']
80,['0.00398963']
81,['0.01612903']
82,['3.99661518']
83,['0.00669050']
84,['0.00910000']
85,['0.00316530']
86,['4.98344091']
87,['2.98666004']
88,['3.99312239']
89,['2.98476752']
90,['2.98126916']
91,['2.97776392']
92,['0.00329000']
93,['1.99599593']
94,['0.97042415']
95,['0.00333216']
96,['1.98582767']
97,['0.00107598']
98,['0.96815531']
99,['0.00300000']
100,['0.00329000']
101,['0.95306019']
102,['0.00480000']
103,['0.00316917']
104,['0.00107722']
105,['0.94838850']
106,['0.00480000']
107,['3.99030423']
108,['0.00269440']
109,['0.01490000']
110,['0.00116387']
111,['0.94529959']
112,"['0.00300000', '0.00120000']"
113,['0.01450000']
114,['4.96279728']
115,['0.01486752']
116,['0.00500000']
117,['0.00200000']
118,['0.03000000']
119,"['0.00090000', '0.00214044']"
120,"['0.00341677', '0.00390000', '0.00200000']"
121,"['0.00163049', '0.00288483', '0.00052971']"
122,"['0.00169500', '0.00171142']"
123,"['0.00290000', '0.00444318', '0.00120164']"
124,"['0.00008000', '0.00010000', '0.00080000', '0.00480000', '0.00006000', '0.00040000', '0.00010000', '0.00141142', '0.00025639', '0.00006080']"
125,"['0.00464370', '0.00050000', '0.00100000', '0.00087643', '0.00076900', '0.00090000', '0.00100000', '0.00034660']"
126,"['0.01109159', '0.00120000', '0.00182007', '0.00093539']"
127,['0.00800000']
128,['0.00500000']
129,['0.01134882']
