id,input_amounts
0,['3.00000000']
1,['0.00794500']
2,['0.00331400']
3,['5.00000000']
4,"['0.00329400', '0.00014860', '0.00329000']"
5,['4.00000000']
6,['0.00329600']
7,['0.00331400']
8,['0.00500000']
9,['2.99689047']
10,['0.00014860']
11,"['0.01569000', '0.00329000']"
12,['2.00000000']
13,['0.00782981']
14,['0.00343599']
15,['4.99588414']
16,['0.00103200']
17,['0.01000000']
18,['0.00667941']
19,['2.99037813']
20,['1.99987062']
21,['1.00000000']
22,['0.00390000']
23,['0.00696438']
24,['0.00980000']
25,['0.01000000']
26,['0.00329400']
27,"['0.00331455', '0.00010863']"
28,['0.99887380']
29,['0.00398523']
30,"['0.00068263', '0.00178330', '0.00090000']"
31,['0.00663788']
32,['0.01010000']
33,['0.02500000']
34,"['0.00100000', '0.00109000', '0.00125806']"
35,['0.02161095']
36,['1.99894677']
37,"['0.00483000', '0.00100000']"
38,['0.00553048']
39,"['0.00329400', '0.01570000']"
40,['0.01300000']
41,['2.98925721']
42,['1.99591606']
43,['0.01586758']
44,['0.00940000']
45,['0.00975065']
46,['0.02129525']
47,['0.00100000']
48,['0.01565719']
49,['0.01259248']
50,['3.99679690']
51,['0.00923578']
52,['0.01000000']
53,['0.99584688']
54,['2.98589418']
55,['3.99332120']
56,['0.03535793']
57,['0.00654708']
58,['0.00676846']
59,['0.00856053']
60,['0.00548319']
61,['1.99388259']
62,"['0.00076900', '4.99184475']"
63,['0.99244921']
64,['2.98252787']
65,['2.97906696']
66,['0.02096268']
67,['0.98903024']
68,['0.00337194']
69,['3.98994893']
70,['1.99048374']
71,['0.01754804']
72,['0.00425830']
73,"['0.00314886', '0.00328431']"
74,"['0.00011000', '0.00329400']"
75,['0.01531701']
76,['0.01427403']
77,['0.98563559']
78,['0.01195317']
79,['0.98219995']
80,['3.98657362']
81,['4.98919204']
82,['0.97874403']
83,['2.97561626']
84,['0.00850532']
85,['0.00910000']
86,['3.98311370']
87,['0.00249137']
88,['0.00591947']
89,['0.01714000']
90,['0.03230247']
91,['3.96247007']
92,['0.00208564']
93,['4.97975351']
94,['2.97209106']
95,['0.00220028']
96,['0.03000000']
97,['0.01364164']
98,['0.97525124']
99,['0.01254823']
100,['0.00497815']
101,['2.96982222']
102,['0.01080320']
103,['0.01780000']
104,['0.00107722']
105,['0.00500000']
106,['2.96515053']
107,['3.94729330']
108,['0.96015612']
109,"['0.00310131', '0.00191109']"
110,['0.00116387']
111,['0.01109159']
112,['2.96353463']
113,['0.01044536']
114,['0.00869760']
115,['0.00200000']
116,['0.01450000']
117,['0.00370000']
118,['0.95909681']
119,['0.01074518']
120,['4.96958525']
121,"['0.00454585', '0.00040000', '0.00010000']"
122,"['0.00171142', '0.00169500']"
123,"['0.00288075', '0.00464370', '0.00102167']"
124,"['0.00025639', '0.00006000', '0.00059885', '0.00087643', '0.00010000', '0.00056976', '0.00020000', '0.00034660', '0.00006080', '0.00500000']"
125,"['0.00361507', '0.00050000', '0.00100000', '0.00100000', '0.00093608', '0.00008000', '0.00090000', '0.00091371', '0.00100000', '0.00010000']"
126,"['0.00341677', '0.00163049', '0.00200000', '0.00800000']"
127,['0.00312573']
128,['0.00300000']
129,['0.00490000']
130,"['0.00120000', '0.00162797', '0.00110000', '0.00120000', '0.00100000']"
131,"['0.00080000', '0.00095384', '0.00109716', '0.00100000', '0.00228044']"
132,"['0.00219256', '0.00090000', '0.00329044']"
133,"['0.00100000', '0.00243802', '0.00100000', '0.00100000', '0.00100000', '0.00100000', '0.00360000']"
134,['0.95343908']
135,"['0.00270000', '0.00290000', '0.00226500', '0.00165233', '0.00049540']"
136,"['0.00288979', '0.00213902', '0.00500000']"
137,['0.00300000']
138,['0.95067317']
139,['0.01053330']
140,['0.01490000']
141,['0.03500000']
142,"['0.00097533', '0.00480000']"
143,['1.98741780']
144,['0.00444318']
145,"['0.00280000', '0.00069882', '0.00200000', '0.00100000', '0.00100000', '0.00180000']"
146,['0.00900000']
147,['0.00300000']
148,"['0.00200000', '0.00377206']"
149,"['1.98696147', '0.00300000']"
150,"['0.00131922', '0.00070000', '0.00771323']"
151,"['0.01461476', '1.98015706', '0.00600000']"
152,['0.00592000']
153,"['0.00233423', '4.96029810']"
154,['0.01000000']
155,['0.00800000']
156,"['0.00300000', '0.00090000', '0.00300000', '0.00290000', '0.06000000', '0.00352007', '0.03297347', '0.00040000', '0.00187899', '0.00090000', '0.00300000', '0.00860000']"
157,['0.02879723']
158,['0.00500000']
159,"['0.00980000', '0.00476196', '0.00729418', '0.00300000', '0.05000000', '0.02522157']"
160,"['0.04000000', '0.00963986', '0.00263338', '0.01990000', '0.02787798']"
161,['0.94895279']
162,"['0.01000000', '0.00500000']"
163,['0.03300000']
164,"['0.00480000', '0.00021000']"
165,['0.84891408']
166,['1.94170540']
167,['0.02959206']
168,"['0.00390000', '0.00595048', '0.00017000']"
169,['0.01000000']
170,"['0.01000000', '0.00084400']"
171,"['0.00038000', '0.00100000']"
172,['0.09980000']
173,['0.06000000']
174,"['0.00414940', '0.01000000']"
175,"['0.00900000', '0.00000100', '0.00040000', '0.00000200', '0.00080094']"
176,"['0.00500000', '0.00890752']"
177,['0.09852762']
178,['0.02899738']
179,['0.01500000']
180,['0.02000000']
181,['0.01969209']
182,"['0.01000000', '0.00600000']"
183,['2.95934911']
184,['0.84390041']
185,['2.94903102']
186,['0.00500000']
187,['0.05000000']
188,"['0.01000000', '0.00914667']"
189,['0.01680000']
190,['0.00569681']
191,['0.00436558']
192,"['0.00090000', '0.00010000', '0.00090000', '0.00519631', '0.00503909']"
193,['0.08802448']
194,['0.83278140']
195,['0.00800000']
196,['0.05000000']
197,['0.01836495']
198,['0.83074878']
199,"['0.00044827', '0.00686101', '0.00998864', '0.00170000']"
200,['0.01000000']
201,"['0.00388409', '0.05000000']"
202,['0.01000000']
203,"['0.00100000', '0.00936430', '0.01734302']"
204,['0.00180000']
205,"['0.00078309', '0.00050000', '0.00006080', '0.00014000', '0.00010000', '0.00099000', '0.00090000', '0.00250000', '0.00400000', '0.00318000']"
206,['0.03444160']
207,"['0.00200000', '0.02310000']"
208,['0.01000000']
209,['0.01469858']
210,['0.00028000']
211,['0.05000000']
212,['4.91258973']
213,"['0.07700639', '0.00229870']"
214,['0.02658090']
215,"['0.00900000', '0.04625652', '0.00978005', '0.01000000']"
216,"['0.00005460', '0.00019558', '0.00180000', '0.00097600', '0.00700000']"
217,"['0.05900000', '0.01950000', '0.00005460', '0.00790000', '0.01360364']"
218,['0.04802090']
219,['2.94881571']
220,['2.94861328']
221,"['0.09990000', '0.00367931', '0.00290000', '0.00798763', '0.00990000']"
222,"['0.00500000', '0.00096700', '0.00010000', '0.00039116', '0.00100000', '0.00969612', '0.01090000', '0.00224770', '0.00369948']"
223,['0.00897940']
224,['2.94840199']
225,"['0.07000000', '0.00980000', '0.07024500']"
226,"['0.01000000', '1.94099494', '0.01000000']"
227,['0.01944692']
228,['1.83593358']
229,['0.03160890']
230,['0.03000000']
231,['0.02968022']
232,['0.03898910']
233,['2.91748760']
234,['0.09743739']
235,['0.01950000']
236,['4.81250152']
237,['0.00969500']
238,['0.02904001']
239,['0.02000000']
240,"['0.01570000', '0.00127802']"
241,"['0.00010000', '0.00001000', '0.00006184', '0.00013629', '0.00010000', '0.00050000', '0.00010000', '0.00100000', '0.00050000', '0.00050000', '0.00114700']"
242,"['3.94511071', '0.01000000']"
243,"['0.00161670', '0.00193800']"
244,"['0.00070000', '0.02837604', '0.01549325', '0.05549590']"
245,['0.07189451']
246,['1.00000000']
247,['2.80723696']
248,"['3.92429612', '0.82947968', '0.06000000']"
249,['1.00000000']
250,['0.00931343']
251,"['0.00222825', '2.80667456', '0.00100000']"
252,"['0.00050000', '0.10000000']"
253,"['1.82983271', '0.06136961']"
254,['3.81359521']
255,['0.89644531']
256,['0.04744929']
257,['0.20000000']
258,['0.00980000']
259,['0.01000000']
260,['2.60983490']
261,['0.00170883']
262,['0.00500000']
263,['0.01940000']
264,['3.71349765']
265,['0.69634962']
266,['0.01000000']
267,['0.00590078']
268,['0.00090000']
269,['0.01000000']
270,['0.01978673']
271,['0.03000000']
272,['0.01098444']
273,['0.01772438']
274,['0.00116538']
275,['0.00500000']
276,['0.02764419']
277,['0.01940000']
278,['0.01000000']
279,"['0.00072800', '0.00001500', '0.00010000', '0.00020000']"
280,['0.01000000']
281,"['0.00564596', '0.00040856']"
282,['0.02400000']
283,['3.71282413']
284,['0.10000000']
285,['0.10000000']
286,['0.00393405']
287,['3.71193567']
288,"['0.01942388', '0.68196857']"
289,['0.00500000']
290,['0.00989938']
291,['0.09971784']
292,['0.00237000']
293,['0.00070000']
294,['0.01119474']
295,['0.00092297']
296,['0.00083132']
297,['0.00090000']
298,['0.00500000']
299,['0.03000000']
300,['0.00109907']
301,['0.04713126']
302,['1.79108278']
303,['0.03000000']
304,['0.00465852']
305,['0.00980000']
306,['0.00110000']
307,['0.03000000']
308,['0.00040000']
309,['0.02900000']
310,"['0.02000000', '0.00011000']"
311,['0.00718800']
312,"['0.00006000', '0.00001000', '0.00001000', '0.00006448', '0.00006504']"
313,"['0.00005460', '0.00010000', '0.00005460']"
314,"['0.00010000', '0.00005666', '0.00005480', '0.00010000', '0.00010000', '0.00010000']"
315,"['0.00008830', '0.00052000', '0.00014800', '0.00013227', '0.00011752']"
316,"['0.00025000', '0.00011808', '0.00040900', '0.00020000', '0.00040000', '0.00700000', '0.00124100', '0.00020000', '0.00020000']"
317,"['0.00080000', '0.00080000', '0.04000000', '0.00090000', '0.00060000', '0.00637176', '0.00108100', '0.00049400']"
318,"['0.00070000', '0.00060110', '0.05500000', '0.00100000', '0.00060081', '0.00198637', '0.00053743', '0.00063000']"
319,"['0.00100000', '0.00100000', '0.00150000', '0.00100000', '0.00063540', '0.00100000', '0.00390625']"
320,"['0.00198467', '0.00060426', '0.00090000', '0.00062652']"
321,['0.01930000']
322,"['0.00110000', '0.00190000', '0.00100000', '0.00011522']"
323,['0.01000000']
324,"['0.00196900', '0.00100000', '0.00100000', '0.00414937', '0.00090000', '0.00110000', '0.00090000', '0.00100000']"
325,"['0.00100000', '0.09863276']"
326,"['0.00382401', '0.00130000', '0.00263814', '0.02727120']"
327,"['0.00200000', '0.03000000', '0.00020000', '0.00200000', '0.01149000', '0.14892642', '0.00200000', '0.00342500']"
328,['0.01001500']
329,"['0.01822880', '0.00480000', '0.02700000']"
330,['0.00841560']
331,"['0.00294160', '0.07954345', '0.20000000', '0.01757988']"
332,['0.00880000']
333,['0.10000000']
334,"['0.01587254', '0.00966452', '0.00450000']"
335,"['1.78098108', '0.01917288']"
336,['0.00200000']
337,['0.20000000']
338,"['0.00002000', '0.00392156', '0.00360000']"
339,['0.01000000']
340,['0.05000000']
341,['0.05000000']
342,['0.00202400']
343,"['0.00935000', '0.00640000', '0.01930000']"
344,"['0.06000000', '4.81138848', '0.00983954', '0.00939568', '2.60944765']"
345,['0.01657247']
346,['0.01000000']
347,['0.00777121']
348,['0.01495000']
349,['0.00500000']
350,['0.02471042']
351,['1.00000000']
352,"['0.00171611', '0.00969047']"
353,"['0.92486730', '0.10000000']"
354,['0.01789788']
355,['0.10000000']
356,['0.03854260']
357,"['0.89976693', '0.00392695']"
358,['0.01697134']
359,['0.59416321']
360,['0.49393429']
361,['0.64062992']
362,['0.00066743']
363,['0.00900000']
364,['0.00224987']
365,['0.00780791']
366,['0.05000000']
367,['0.00990000']
368,['1.49990000']
369,['0.04108462']
370,['0.02000000']
371,['0.00502237']
372,['0.04774244']
373,['3.65996361']
374,['1.00000000']
375,['0.01615259']
376,['0.00970000']
377,['0.00158324']
378,['0.00427350']
379,['0.01455012']
380,['0.00212552']
381,['0.30000000']
382,['0.00890000']
383,['1.49771464']
384,"['0.02747658', '0.20000000']"
385,['1.00000000']
386,"['0.00906788', '0.00097630']"
387,"['0.00986679', '0.00040000']"
388,['0.00028000']
389,['0.28843878']
390,['0.00022810']
391,"['0.00029600', '0.00020000', '0.00011100', '0.00006372', '0.04501000', '0.00363953', '0.00011821', '0.00030000', '0.00001437', '0.00010486', '0.00019000']"
392,['0.50000000']
393,['0.22830530']
394,['0.01000000']
395,"['0.00030000', '0.00031395']"
396,"['0.00040000', '0.00140000', '0.00010000', '0.00058000', '0.00040000', '0.00040000', '0.00010000', '0.10570824', '0.04000000', '0.00040000', '0.00040000', '0.00017188']"
397,"['0.00410000', '0.00465591', '0.75359690']"
398,['0.00481674']
399,['0.05000000']
400,['0.01764382']
401,"['0.00150000', '0.00043403', '0.00020930']"
402,['0.00368459']
403,['0.00359631']
404,"['0.00008236', '0.00086473', '0.00138864']"
405,"['0.00100000', '0.00094703', '0.00110000']"
406,"['0.01849000', '0.00654000']"
407,"['0.00040000', '0.00005747', '0.00104916', '0.00190000', '0.00005939', '0.01791459', '0.00040000', '0.00050000', '0.00010000', '0.22717682', '0.00049998']"
408,['0.03496593']
409,"['0.00050000', '0.00106575', '0.00051449', '0.00090000', '0.00090000', '0.00118400', '0.00500000', '0.08997320']"
410,['0.00307053']
411,['0.50000000']
412,"['0.00170750', '0.09833936']"
413,"['0.00990000', '0.00006169']"
414,"['0.00836500', '0.10000000']"
415,"['0.01338423', '0.00250000', '0.00100000', '0.00104404', '0.00150066', '0.00051449', '0.00010000']"
416,"['0.00005500', '0.27798207', '0.02200000']"
417,"['0.00090000', '0.01742912', '0.00090000', '0.00100000', '0.00060000', '0.00100000', '0.27526571', '0.00100000', '0.00100000', '0.00090000', '0.00006169']"
418,['0.01000000']
419,['0.00210500']
420,['0.00290000']
421,['0.00972357']
422,"['0.00563955', '0.01030000']"
423,['0.00376342']
424,"['0.00025000', '0.00109998', '0.00103700', '0.00653000', '0.00087269', '0.06881642', '0.00100000', '0.00020746', '0.00025000']"
425,['0.05000000']
426,"['0.00210588', '0.00020000', '0.00100000', '0.00030000', '0.00205800', '0.00090000']"
427,['0.24600857']
428,"['0.00017000', '0.05000000', '0.00207729', '0.00100000', '0.00100000', '0.00015000', '0.00254001', '0.00510000']"
429,['0.02000000']
430,['0.05990000']
431,['0.01042014']
432,['0.00824903']
433,['0.01740000']
434,"['0.17560208', '0.00100000', '0.01630678', '0.00100000', '0.00205800', '0.00100000', '0.00205800', '0.00100000']"
435,['0.00500000']
436,"['0.00040000', '0.01050420', '0.00100000', '0.00173685', '0.00190000', '0.00150000']"
437,['0.00295005']
438,"['0.00212787', '0.00020800', '0.00848688', '0.00090000', '0.00200000', '0.00194755']"
439,"['0.00421683', '0.00380844']"
440,['0.01714100']
441,['0.01660915']
442,['0.00590430']
443,['0.00411174']
444,['0.02073312']
445,"['0.00887133', '0.00010000', '0.01194000']"
446,"['0.01385903', '0.00187023', '0.00025000', '0.00390000']"
447,['0.24398791']
448,['8.82000000']
449,['0.01230000']
450,['0.00071040']
451,['0.63395385']
452,"['0.01239744', '0.00374752', '0.05889590']"
453,"['0.00700000', '0.00250000', '0.00104079', '0.01200000']"
454,"['0.00325315', '0.00389441', '0.00088052']"
455,"['0.00309884', '0.00350000', '0.00100000', '0.00025000', '0.00076951', '0.01187000', '0.00185463', '0.00020872']"
456,['0.50000000']
457,['0.01000000']
458,"['0.00447424', '0.00200000', '0.00355967']"
459,['0.00827097']
460,"['0.00208120', '0.00892356', '0.01152508']"
461,"['0.00724642', '0.00490000', '0.01039651']"
462,['0.03108035']
463,['3.39663562']
464,['0.01470000']
465,['0.09000000']
466,['0.39368893']
467,['0.04947686']
468,['0.04837680']
469,['0.10000000']
470,['0.00400000']
471,['0.08066294']
472,['0.03788295']
473,['0.10000000']
474,['0.49927891']
475,['0.24325561']
476,['0.10414930']
477,['0.09978241']
478,['0.03156101']
479,['0.00817444']
480,"['0.00030000', '0.00002042', '0.00197628', '0.00026656', '0.09711934', '0.00001882', '0.00010000', '0.00029100', '0.00010837', '0.00005460', '0.00012190', '0.00028257']"
481,"['0.00142296', '0.00142422']"
482,['0.01504962']
483,['0.00104060']
484,['8.81476560']
485,['0.05344091']
486,"['0.02000000', '0.00003383', '0.00500000']"
487,"['0.00070000', '0.00935470']"
488,['0.21153276']
489,"['0.08514851', '0.01076330', '0.00416319']"
490,['0.10000000']
491,['0.01899724']
492,['0.25000000']
493,['0.37496933']
494,['0.27257727']
495,['0.22239002']
496,['0.02702703']
497,['0.12481529']
498,['0.10436234']
499,['0.09463211']
500,['0.00116101']
501,['0.02631216']
502,['0.06950477']
503,['0.03522440']
504,['0.02051911']
505,['0.00554454']
506,['0.19980000']
507,['0.05000000']
508,['0.10000000']
509,['0.08320540']
510,['0.19947669']
511,['0.01000000']
512,['0.00390000']
513,['0.27513323']
514,['0.02760084']
515,['0.03000000']
516,['0.14223503']
517,['0.19150005']
518,['0.02484284']
519,['0.05000000']
520,['1.69788031']
521,['0.00178983']
522,['0.01026670']
523,['0.10900000']
524,"['0.00594092', '0.10416666']"
525,['0.00260000']
526,['0.00215000']
527,['1.49715635']
528,['0.08046051']
529,"['0.00001583', '0.00010000', '0.00000248', '0.00007226', '0.00007554', '0.00004516', '0.00020000', '0.00012845', '0.00899148', '0.00024091', '0.00015000']"
530,"['0.02791866', '0.00030495', '0.00011920', '0.00026000', '0.00028044', '0.12063635', '0.00020000', '0.00029760']"
531,"['0.00052161', '0.00010000', '0.00022000', '0.00049998', '0.00051349', '0.04815401']"
532,"['0.00069715', '0.00798782', '0.00040000', '0.20000000', '0.00055754', '0.00040000']"
533,"['0.00061268', '0.00049998', '0.00800000', '0.00037310', '0.00053000']"
534,"['0.00040058', '0.00050000', '0.00060000', '0.00059000', '0.00221800']"
535,"['0.00050000', '0.00170000', '0.00065949', '0.00050106', '0.04820061', '0.00056005']"
536,"['0.00208290', '0.00090000', '0.00759000']"
537,['0.01000000']
538,['0.10000000']
539,"['0.02069671', '0.00097909']"
540,"['0.07800000', '0.00290000', '0.00213201']"
541,"['0.00013732', '0.00080000']"
542,"['0.00208290', '0.08394809', '0.00400000']"
543,"['3.36654360', '8.72240639']"
544,['0.06600000']
545,['0.02203000']
546,['2.08887613']
547,['0.10000000']
548,['0.00210925']
549,['0.05000000']
550,['0.12490000']
551,['0.02003311']
552,['0.24730244']
553,"['0.00151412', '0.09855079']"
554,"['0.00040000', '0.09969046']"
555,"['0.08573571', '0.01449659']"
556,['0.00952949']
557,['0.10345969']
558,['0.04822409']
559,['0.05080926']
560,['0.10289971']
