Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18592091,45.7180000000,62,267,390,233,0,185,bnb: **48** ; Total: **48**,0.00059885,4.99588414,0.885394757459,1.45430549159,0.01293876,0.0000555311587983,0.000421600000,0.013360360000,1,12,1.67381974249,1.68053037147,srd: **126** ; bnb: **48** ; srdltd: **59**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90554292,89.2770000000,192,594,710,406,0,308,bnb: **98** ; Total: **98**,0.00053743,4.99588414,0.733498478117,1.32369290356,0.02978125,0.0000733528325123,0.00130560000,0.03108685000,1,12,1.74876847291,1.81786361128,srd: **209** ; bnb: **98** ; srdltd: **99**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25571316,141.576000000,349,961,1006,539,0,394,bnb: **145** ; Total: **145**,0.00053743,8.81476560,0.649181976523,1.34227029826,0.03889184,0.0000721555473098,0.00237320000,0.04126504000,1,12,1.86641929499,2.01129810181,srd: **266** ; bnb: **145** ; srdltd: **128**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63328899,209.604500000,403,1316,1387,684,0,474,bnb: **210** ; Total: **210**,0.00053743,9.54934988,0.677729162489,1.52722148258,0.04853516,0.0000709578362573,0.00274040000,0.05127556000,1,35,2.02777777778,2.44963086896,srd: **312** ; bnb: **210** ; srdltd: **162**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25380191,263.304400000,523,1682,1710,818,0,551,bnb: **267** ; Total: **267**,0.00053743,9.54934988,0.637487759564,1.47857507470,0.06055912,0.0000740331540342,0.00355640000,0.06411552000,1,41,2.09046454768,2.78554267767,srd: **356** ; bnb: **267** ; srdltd: **195**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32300192,297.331000000,389,2008,2269,992,0,650,bnb: **342** ; Total: **342**,0.00051965,9.54934988,0.600877034,1.45799410851,0.07980555,0.0000804491431452,0.00264520000,0.08245075000,1,41,2.28729838710,3.18724754006,srd: **416** ; bnb: **342** ; srdltd: **234**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33820208,317.829714286,385,2415,2732,1085,0,702,bnb: **383** ; Total: **383**,0.00051965,9.54934988,0.583502920840,1.41525065013,0.09018846,0.0000831230046083,0.00261800000,0.09280646000,1,185,2.51797235023,6.48678045012,srd: **441** ; bnb: **383** ; srdltd: **261**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39864878,319.920750000,232,2818,3350,1182,0,764,bnb: **418** ; Total: **418**,0.00051965,9.54934988,0.554049342866,1.36272116589,0.10033709,0.0000848875549915,0.00157760000,0.10191469000,1,222,2.83417935702,9.46724372620,srd: **468** ; bnb: **418** ; srdltd: **296**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26779376,313.556222222,272,3213,3777,1287,0,836,bnb: **451** ; Total: **451**,0.00051965,9.54934988,0.521176378301,1.30911942166,0.11837018,0.0000919737218337,0.00184960000,0.12021978000,1,222,2.93473193473,9.18881417670,srd: **512** ; bnb: **451** ; srdltd: **324**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.68162800,310.471800000,302,3571,4196,1429,0,927,bnb: **502** ; Total: **502**,0.00051965,9.54934988,0.501518881046,1.28322357101,0.13140851,0.0000919583694892,0.00205360000,0.13346211000,1,222,2.93631910427,8.83355286334,srd: **556** ; bnb: **502** ; srdltd: **371**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90765790,315.851090909,349,3938,4604,1562,0,1015,bnb: **547** ; Total: **547**,0.00051965,9.54934988,0.519168673773,1.31092377273,0.14530981,0.0000930280473752,0.00237320000,0.14768301000,1,222,2.94750320102,8.57180154451,srd: **598** ; bnb: **547** ; srdltd: **417**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.31922123,314.126666667,280,4278,5119,1722,0,1121,bnb: **601** ; Total: **601**,0.00051965,9.54934988,0.501438351891,1.27872083459,0.16444241,0.0000954950116144,0.00190400000,0.16634641000,1,222,2.97270615563,8.34015778939,srd: **640** ; bnb: **601** ; srdltd: **481**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.78741124,305.476461538,259,4650,5601,1850,0,1210,bnb: **640** ; Total: **640**,0.00051965,9.54934988,0.480560782909,1.23532344527,0.17759334,0.0000959964,0.00176120000,0.17935454000,1,222,3.02756756757,8.53971709203,srd: **691** ; bnb: **640** ; srdltd: **519**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.14077630,297.017857143,158,4990,6149,2010,0,1317,bnb: **693** ; Total: **693**,0.00051965,9.54934988,0.454455891883,1.18992843504,0.18890139,0.0000939807910448,0.00107440000,0.18997579000,1,222,3.05920398010,8.37391344857,srd: **757** ; bnb: **693** ; srdltd: **560**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.84095440,290.472133333,254,5335,6525,2165,0,1444,bnb: **721** ; Total: **721**,0.00051965,9.54934988,0.435453739993,1.14948680118,0.20647838,0.0000953710762125,0.00172720000,0.20820558000,1,222,3.01385681293,8.12954221949,srd: **827** ; bnb: **721** ; srdltd: **617**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.74630036,278.927000000,154,5654,7086,2346,0,1586,bnb: **760** ; Total: **760**,0.00050700,9.54934988,0.443025545208,1.14216981587,0.22486740,0.0000958514066496,0.00104720000,0.22591460000,1,222,3.02046035806,8.00839159836,srd: **909** ; bnb: **760** ; srdltd: **677**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.44622580,271.376705882,144,5963,7549,2537,0,1730,bnb: **807** ; Total: **807**,0.00050700,9.54934988,0.421272392347,1.10652335722,0.23578531,0.0000929386322428,0.000979200000,0.236764510000,1,222,2.97556168703,7.74709889795,srd: **1009** ; bnb: **807** ; srdltd: **721**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.41962057,268.670111111,217,6278,7938,2722,0,1877,bnb: **845** ; Total: **845**,0.00050700,9.54934988,0.399594150655,1.06753422385,0.25253533,0.0000927756539309,0.00147560000,0.25401093000,1,222,2.91623806025,7.52174117650,srd: **1103** ; bnb: **845** ; srdltd: **774**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.37806870,265.289263158,212,6573,8399,2927,0,2038,bnb: **889** ; Total: **889**,0.00050700,9.54934988,0.379112850893,1.03021605387,0.26685695,0.0000911708062863,0.00144160000,0.26829855000,1,222,2.86949094636,7.30457738917,srd: **1218** ; bnb: **889** ; srdltd: **820**
bustabit-tiny-hot-wallet_2019-2020-per-day,13.22119948,263.393100000,224,6892,8831,3108,0,2163,bnb: **945** ; Total: **945**,0.00050700,9.54934988,0.364327309334,1.00287057280,0.27868274,0.0000896662612613,0.00152320000,0.28020594000,1,222,2.84137709138,7.12025535632,srd: **1304** ; bnb: **945** ; srdltd: **859**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.83926790,258.717142857,143,7193,9373,3307,0,2323,bnb: **984** ; Total: **984**,0.00050700,9.54934988,0.402360544989,1.11683559117,0.30459997,0.0000921076413668,0.000972400000,0.305572370000,1,222,2.83429089809,7.11293376909,srd: **1394** ; bnb: **984** ; srdltd: **929**
bustabit-tiny-hot-wallet_2019-2020-per-day,11.96629993,252.797727273,154,7533,9812,3467,0,2433,bnb: **1034** ; Total: **1034**,0.00050700,9.54934988,0.399662469700,1.09705265011,0.31772493,0.0000916426103259,0.00104720000,0.31877213000,1,222,2.83011248918,6.99717477106,srd: **1449** ; bnb: **1034** ; srdltd: **984**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.02415042,250.833043478,274,7877,10153,3623,0,2550,bnb: **1073** ; Total: **1073**,0.00050700,9.54934988,0.396182042569,1.08819031585,0.32861151,0.0000907014932376,0.00186320000,0.33047471000,1,222,2.80237372343,6.86222583808,srd: **1520** ; bnb: **1073** ; srdltd: **1030**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.16558337,253.436250000,213,8204,10675,3796,0,2684,bnb: **1112** ; Total: **1112**,0.00050700,9.54934988,0.386215048469,1.06709452222,0.34787022,0.0000916412592202,0.00144840000,0.34931862000,1,222,2.81217070601,6.81119511129,srd: **1588** ; bnb: **1112** ; srdltd: **1096**
bustabit-tiny-hot-wallet_2019-2020-per-day,24.25057515,254.515200000,332,8541,11012,3959,0,2803,bnb: **1156** ; Total: **1156**,0.00050700,9.54934988,0.378009200086,1.04724654930,0.36235068,0.0000915258095479,0.00225760000,0.36460828000,1,222,2.78151048245,6.69198925612,srd: **1672** ; bnb: **1156** ; srdltd: **1131**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.53854561,258.105692308,382,8875,11394,4125,0,2901,bnb: **1224** ; Total: **1224**,0.00050700,9.54934988,0.372091075488,1.03227176100,0.37553938,0.0000910398496970,0.00259760000,0.37813698000,1,222,2.76218181818,6.57394152459,srd: **1720** ; bnb: **1224** ; srdltd: **1181**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.59640219,263.594222222,362,9156,11852,4344,0,3058,bnb: **1286** ; Total: **1286**,0.00050700,9.54934988,0.358823950370,1.00829847210,0.39293794,0.0000904553268877,0.00246160000,0.39539954000,1,222,2.72836095764,6.46678874325,srd: **1821** ; bnb: **1286** ; srdltd: **1237**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.26334775,269.254928571,424,9452,12237,4548,0,3209,bnb: **1339** ; Total: **1339**,0.00050700,9.54934988,0.346030277002,0.987051199258,0.41185782,0.0000905580079156,0.00288320000,0.41474102000,1,222,2.69063324538,6.33986692955,srd: **1917** ; bnb: **1339** ; srdltd: **1292**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.44297213,273.378896552,431,9756,12668,4744,0,3343,bnb: **1401** ; Total: **1401**,0.00050700,9.54934988,0.336214469150,0.970116823393,0.42551717,0.0000896958621417,0.00293080000,0.42844797000,1,222,2.67032040472,6.24272515450,srd: **1999** ; bnb: **1401** ; srdltd: **1344**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.75407079,277.460066667,316,10038,13197,4962,0,3475,bnb: **1487** ; Total: **1487**,0.00050700,9.54934988,0.326767817822,0.953203518147,0.44064082,0.0000888030673116,0.00214880000,0.44278962000,1,222,2.65961305925,6.14299282976,srd: **2087** ; bnb: **1487** ; srdltd: **1388**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.69051982,277.690206220,327,10076,13259,5005,0,3510,bnb: **1495** ; Total: **1495**,0.00050700,9.54934988,0.324059050325,0.948851180435,0.44449705,0.0000888105994006,0.00222360000,0.44672065000,1,222,2.64915084915,6.11823794158,srd: **2112** ; bnb: **1495** ; srdltd: **1398**
