id,input_amounts
0,['0.00940000']
1,['0.00329000']
2,['0.00331400']
3,['0.00500000']
4,['0.00329400']
5,['0.01570000']
6,['0.00329400']
7,['0.00483000']
8,['0.00329600']
9,"['0.00088414', '1.00000000']"
10,['0.00014860']
11,['0.01010000']
12,['0.00228123']
13,['0.00219863']
14,['3.00000000']
15,['0.02500000']
16,['0.00103200']
17,['0.01000000']
18,['4.00000000']
19,['0.00794500']
20,['2.99987856']
21,['0.00317481']
22,['2.99895471']
23,['2.99683801']
24,['5.00000000']
25,['0.01569000']
26,"['0.00104823', '0.00100000']"
27,"['0.00331400', '0.00010863']"
28,['3.99331520']
29,['3.99028828']
30,['0.01232788']
31,['4.99573048']
32,['0.00699158']
33,['0.00897954']
34,['4.99237691']
35,['0.00559049']
36,['0.00980000']
37,"['0.00215185', '0.00010000', '0.00109000']"
38,['0.00676929']
39,['0.01249690']
40,['0.00390000']
41,['0.02096061']
42,['0.99436594']
43,['0.99233247']
44,['3.98732472']
45,['0.01300000']
46,['0.00300000']
47,['0.00100000']
48,['2.00000000']
49,['0.01759758']
50,['0.00682408']
51,['0.98905737']
52,['0.00343909']
53,['2.99348870']
54,"['0.00287875', '0.00050000']"
55,['0.00916325']
56,['0.00579098']
57,['0.00527479']
58,"['0.00266743', '0.00076900']"
59,['4.98903524']
60,['0.01424088']
61,['0.01084333']
62,['3.98218302']
63,['2.99009103']
64,['0.98225961']
65,['0.03535793']
66,['1.99965982']
67,"['0.00366004', '0.00034660']"
68,['0.00696438']
69,['0.01000000']
70,['0.01000000']
71,['0.01180988']
72,['0.00329400']
73,"['0.00056976', '0.00273552']"
74,['0.00744448']
75,['0.00405966']
76,['2.98667206']
77,['0.00693406']
78,['0.00662469']
79,['0.03190723']
80,['4.98595790']
81,['1.99624518']
82,['0.00349842']
83,['4.98249798']
84,['3.97879149']
85,['0.00317684']
86,['0.97879870']
87,['0.00187657']
88,['0.00853587']
89,['0.00571771']
90,['3.97526432']
91,['0.02845131']
92,['0.00300000']
93,['3.97175908']
94,['0.00221935']
95,['0.00329000']
96,['0.01714000']
97,['2.98320123']
98,['0.95815507']
99,['0.00480000']
100,['0.00629047']
101,['0.01501798']
102,['0.00444318']
103,['0.01327454']
104,['0.00107722']
105,['0.01490000']
106,['0.00480000']
107,['0.00370000']
108,['0.00500000']
109,['0.00910000']
110,['0.00116387']
111,['0.94305995']
112,['0.03500000']
113,['4.97897278']
114,['3.96159082']
115,['0.00204861']
116,"['0.00058365', '0.00318410']"
117,['0.00269713']
118,['0.00790000']
119,"['0.00224227', '0.00080000']"
120,['0.01000000']
121,"['0.00233758', '0.00270000']"
122,"['0.00011000', '0.00329400']"
123,"['0.00454585', '0.00065065', '0.00334838']"
124,"['0.00480000', '0.00040000', '0.00025639', '0.00020000', '0.00008000', '0.00087643', '0.00010000', '0.00010000', '0.00100000', '0.00014860', '0.00006000', '0.00006080']"
125,"['0.00100000', '0.00420211', '0.00069582', '0.00110000', '0.00103382', '0.00100000', '0.00100000']"
126,"['0.00394069', '0.01109159']"
127,['0.00290000']
128,['0.01000000']
129,['0.00592000']
130,"['0.00090000', '0.00090000', '0.00090000', '0.00151741', '0.00100000', '0.00091371']"
131,"['0.00100000', '0.00071285', '0.00169500', '0.00087143', '0.00185044']"
132,"['0.00267233', '0.00171142', '0.00200000']"
133,"['0.00163049', '0.00120000', '0.00200000', '0.00300000', '0.00100245', '0.00100000', '0.00120000']"
134,['1.98680665']
135,"['0.00100000', '0.00251720', '0.00100000', '0.00100000', '0.00100000', '0.00226500', '0.00122826']"
136,['0.01181109']
137,['0.00862797']
138,['0.94250166']
139,['0.00500000']
140,['4.97582160']
141,['4.96280059']
