Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18601222,47.3980000000,67,267,381,233,0,181,bnb: **52** ; Total: **52**,0.00053609,4.99573048,0.933454887901,1.64786295634,0.01284745,0.0000551392703863,0.000455600000,0.013303050000,1,13,1.63519313305,1.80037282574,srd: **139** ; bnb: **52** ; srdltd: **42**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90604361,98.1270000000,222,594,680,406,0,308,bnb: **98** ; Total: **98**,0.00053609,8.74486730,0.802182013571,1.62869579077,0.02928056,0.0000721196059113,0.00150960000,0.03079016000,1,13,1.67487684729,1.86923351549,srd: **216** ; bnb: **98** ; srdltd: **92**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25620837,153.262666667,363,961,990,539,0,392,bnb: **147** ; Total: **147**,0.00053609,8.74486730,0.749902964464,1.64953367315,0.03839663,0.0000712367903525,0.00246840000,0.04086503000,1,13,1.83673469388,2.08536797189,srd: **270** ; bnb: **147** ; srdltd: **122**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63364343,219.921500000,405,1316,1385,684,0,474,bnb: **210** ; Total: **210**,0.00053609,9.79693091,0.714489826287,1.66746479171,0.04818072,0.0000704396491228,0.00275400000,0.05093472000,1,34,2.02485380117,2.58460853831,srd: **317** ; bnb: **210** ; srdltd: **157**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25346776,260.956400000,431,1682,1801,818,0,550,bnb: **268** ; Total: **268**,0.00053609,9.79693091,0.640851923945,1.57142853088,0.06089327,0.0000744416503667,0.00293080000,0.06382407000,1,110,2.20171149144,4.65238618234,srd: **361** ; bnb: **268** ; srdltd: **189**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32395533,283.230000000,356,2008,2303,992,0,651,bnb: **341** ; Total: **341**,0.00053609,9.79693091,0.595455996851,1.52637939919,0.07885214,0.0000794880443548,0.00242080000,0.08127294000,1,110,2.32157258065,4.46292252272,srd: **425** ; bnb: **341** ; srdltd: **226**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33950943,302.102571429,386,2415,2734,1085,0,705,bnb: **380** ; Total: **380**,0.00053609,9.79693091,0.578743846071,1.48020413209,0.08888111,0.0000819180737327,0.00262480000,0.09150591000,1,150,2.51981566820,6.31483522172,srd: **453** ; bnb: **380** ; srdltd: **252**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39992579,304.839000000,225,2818,3364,1182,0,771,bnb: **411** ; Total: **411**,0.00053609,9.79693091,0.544323862101,1.42154965855,0.09906008,0.0000838071742809,0.00153000000,0.10059008000,1,220,2.84602368866,9.38958186032,srd: **482** ; bnb: **411** ; srdltd: **289**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26937801,298.939777778,251,3213,3804,1287,0,842,bnb: **445** ; Total: **445**,0.00053609,9.79693091,0.509345159798,1.36633977075,0.11678593,0.0000907427583528,0.00170680000,0.11849273000,1,220,2.95571095571,9.12853078432,srd: **527** ; bnb: **445** ; srdltd: **315**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.68332926,295.324800000,288,3571,4217,1429,0,934,bnb: **495** ; Total: **495**,0.00053609,9.79693091,0.491479298308,1.33535995553,0.12970725,0.0000907678446466,0.00195840000,0.13166565000,1,220,2.95101469559,8.77482756295,srd: **577** ; bnb: **495** ; srdltd: **357**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90955331,300.644000000,337,3938,4619,1562,0,1018,bnb: **544** ; Total: **544**,0.00053609,9.79693091,0.506656145029,1.34578172286,0.14341440,0.0000918145966709,0.00229160000,0.14570600000,1,220,2.95710627401,8.51595804339,srd: **616** ; bnb: **544** ; srdltd: **402**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.32170504,298.036666667,267,4278,5141,1722,0,1130,bnb: **592** ; Total: **592**,0.00053609,9.79693091,0.488113676124,1.30392544873,0.16195860,0.0000940526132404,0.00181560000,0.16377420000,1,220,2.98548199768,8.31758625852,srd: **668** ; bnb: **592** ; srdltd: **462**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.79006424,290.708153846,262,4650,5607,1850,0,1219,bnb: **631** ; Total: **631**,0.00053609,9.79693091,0.466566860082,1.25972220573,0.17494034,0.0000945623459459,0.00178160000,0.17672194000,1,220,3.03081081081,8.39052376269,srd: **725** ; bnb: **631** ; srdltd: **494**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.14343857,284.537285714,170,4990,6146,2010,0,1326,bnb: **684** ; Total: **684**,0.00053609,9.79693091,0.442194866961,1.21306889593,0.18623912,0.0000926562786070,0.00115600000,0.18739512000,1,220,3.05771144279,8.22418901497,srd: **795** ; bnb: **684** ; srdltd: **531**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.84346552,279.552533333,260,5335,6524,2165,0,1449,bnb: **716** ; Total: **716**,0.00053609,9.79693091,0.425637006128,1.17858391316,0.20396726,0.0000942112055427,0.00176800000,0.20573526000,1,220,3.01339491917,7.97757403014,srd: **866** ; bnb: **716** ; srdltd: **583**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.74870876,268.051250000,146,5654,7104,2346,0,1596,bnb: **750** ; Total: **750**,0.00053609,9.79693091,0.456263388916,1.21427450483,0.22245900,0.0000948248081841,0.000992800000,0.223451800000,1,220,3.02813299233,7.90309494374,srd: **955** ; bnb: **750** ; srdltd: **641**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.44871653,260.761647059,155,5963,7553,2537,0,1745,bnb: **792** ; Total: **792**,0.00050453,9.79693091,0.435762269049,1.17692878579,0.23329458,0.0000919568703193,0.00105400000,0.23434858000,1,220,2.97713835238,7.64287347755,srd: **1063** ; bnb: **792** ; srdltd: **682**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.42207414,259.058333333,227,6278,7947,2722,0,1896,bnb: **826** ; Total: **826**,0.00050453,9.79693091,0.413420580475,1.13362578577,0.25008176,0.0000918742689199,0.00154360000,0.25162536000,1,220,2.91954445261,7.42631029611,srd: **1166** ; bnb: **826** ; srdltd: **730**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.38054574,255.947052632,201,6573,8425,2927,0,2053,bnb: **874** ; Total: **874**,0.00050453,9.79693091,0.391139982012,1.09340952633,0.26437991,0.0000903245336522,0.00136680000,0.26574671000,1,220,2.87837376153,7.23383249433,srd: **1275** ; bnb: **874** ; srdltd: **778**
bustabit-tiny-hot-wallet_2019-2020-per-day,13.22356496,253.541200000,203,6892,8866,3108,0,2177,bnb: **931** ; Total: **931**,0.00050453,9.79693091,0.377557347634,1.06613833994,0.27631726,0.0000889051673102,0.00138040000,0.27769766000,1,220,2.85263835264,7.05754790389,srd: **1361** ; bnb: **931** ; srdltd: **816**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.84120796,248.612380952,135,7193,9401,3307,0,2343,bnb: **964** ; Total: **964**,0.00050453,9.85315696,0.429793741780,1.22230038862,0.30265991,0.0000915209888116,0.000918000000,0.303577910000,1,220,2.84275778651,7.01511275978,srd: **1446** ; bnb: **964** ; srdltd: **897**
bustabit-tiny-hot-wallet_2019-2020-per-day,11.96814690,242.753636364,139,7533,9849,3467,0,2455,bnb: **1012** ; Total: **1012**,0.00050453,9.85315696,0.429335260008,1.20474779554,0.31587796,0.0000911098817421,0.000945200000,0.316823160000,1,220,2.84078453995,6.91198715117,srd: **1508** ; bnb: **1012** ; srdltd: **947**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.02618659,241.192173913,280,7877,10171,3623,0,2574,bnb: **1049** ; Total: **1049**,0.00050453,9.85315696,0.424554645940,1.19504542120,0.32657534,0.0000901394810930,0.00190400000,0.32847934000,1,220,2.80734198178,6.77869638321,srd: **1581** ; bnb: **1049** ; srdltd: **993**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.16731078,244.625,226,8204,10686,3796,0,2708,bnb: **1088** ; Total: **1088**,0.00050453,9.85315696,0.416921393545,1.17589250487,0.34614281,0.0000911861986301,0.00153680000,0.34767961000,1,220,2.81506849315,6.73042328907,srd: **1656** ; bnb: **1088** ; srdltd: **1052**
bustabit-tiny-hot-wallet_2019-2020-per-day,24.25229428,246.648640000,350,8541,11017,3959,0,2826,bnb: **1133** ; Total: **1133**,0.00050453,9.85315696,0.407279057396,1.15710286360,0.36063155,0.0000910915761556,0.00238000000,0.36301155000,1,220,2.78277342763,6.60735929505,srd: **1740** ; bnb: **1133** ; srdltd: **1086**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.54020972,251.040538462,390,8875,11405,4125,0,2920,bnb: **1205** ; Total: **1205**,0.00050453,9.85315696,0.400548073140,1.14118466662,0.37387527,0.0000906364290909,0.00265200000,0.37652727000,1,220,2.76484848485,6.48960040687,srd: **1790** ; bnb: **1205** ; srdltd: **1130**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.59791389,256.811851852,357,9156,11876,4344,0,3077,bnb: **1267** ; Total: **1267**,0.00050453,9.85315696,0.385479829646,1.11442893632,0.39142624,0.0000901073296501,0.00242760000,0.39385384000,1,220,2.73388581952,6.38835235585,srd: **1885** ; bnb: **1267** ; srdltd: **1192**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.26470326,262.620285714,423,9452,12260,4548,0,3231,bnb: **1317** ; Total: **1317**,0.00050453,9.85315696,0.372174436122,1.09116550473,0.41050231,0.0000902599626209,0.00287640000,0.41337871000,1,220,2.69569041337,6.26819472631,srd: **1982** ; bnb: **1317** ; srdltd: **1249**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.44425104,267.591241379,450,9756,12665,4744,0,3359,bnb: **1385** ; Total: **1385**,0.00050453,9.85315696,0.361968945490,1.07292890894,0.42423826,0.0000894262774030,0.00306000000,0.42729826000,1,220,2.66968802698,6.15153024023,srd: **2068** ; bnb: **1385** ; srdltd: **1291**
bustabit-tiny-hot-wallet_2019-2020-per-day,17.75554101,272.695333333,356,10038,13179,4962,0,3497,bnb: **1465** ; Total: **1465**,0.00050453,9.85315696,0.351472136920,1.05345224437,0.43917060,0.0000885067714631,0.00242080000,0.44159140000,1,220,2.65598548972,6.05154515779,srd: **2157** ; bnb: **1465** ; srdltd: **1340**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.69208729,273.168689079,370,10076,13239,5005,0,3533,bnb: **1472** ; Total: **1472**,0.00050453,9.85315696,0.348568100909,1.04848962714,0.44292958,0.0000884974185814,0.00251600000,0.44544558000,1,220,2.64515484515,6.02717989469,srd: **2182** ; bnb: **1472** ; srdltd: **1351**
