id,input_amounts
0,['2.00000000']
1,['0.01569000']
2,['0.00940000']
3,"['3.00000000', '0.00329400']"
4,['1.00000000']
5,['0.00604529']
6,['0.01552370']
7,['0.00329000']
8,['0.99667372']
9,['0.01509855']
10,['0.00483000']
11,['4.00000000']
12,['2.99909746']
13,['5.00000000']
14,['0.00329400']
15,['0.99564652']
16,['0.00103200']
17,['0.01570000']
18,['4.99883910']
19,['0.00331400']
20,['0.00100000']
21,['4.99211345']
22,['0.00213087']
23,['0.00980000']
24,"['0.00010000', '0.00090000', '0.00329000']"
25,['0.00794500']
26,['0.00390000']
27,"['0.00014860', '0.00064068', '0.00014860', '0.00187728', '0.00050000', '0.00010863']"
28,['0.01262843']
29,"['0.00329400', '0.00317337']"
30,['0.99159839']
31,['0.00961443']
32,"['0.00283439', '0.02500000']"
33,['0.01000000']
34,['4.99093081']
35,['0.00662589']
36,['4.98759266']
37,['0.01000000']
38,"['4.98458717', '0.00056976']"
39,['0.00857198']
40,"['2.99896963', '0.00329400']"
41,['3.99688883']
42,['0.00500000']
43,['3.99356308']
44,['0.00627308']
45,['0.00524173']
46,['0.01000000']
47,['2.99902863']
48,['0.01300000']
49,"['0.00100000', '0.00329600']"
50,"['0.00100000', '0.00109000', '0.00106347', '0.00020000']"
51,"['0.98825688', '0.00034660']"
52,['0.00418519']
53,['0.03535793']
54,"['0.00300000', '0.03202179']"
55,"['0.01279276', '0.00076900']"
56,['0.00979475']
57,['4.98182495']
58,"['0.00467483', '0.00011000']"
59,['0.00666692']
60,"['0.00121441', '0.00644113']"
61,['0.00679062']
62,['0.98191659']
63,"['0.00300000', '0.00366249']"
64,"['0.02452115', '0.00301140']"
65,['0.02419428']
66,['4.97849401']
67,['1.99682747']
68,['0.97858317']
69,"['0.00332767', '0.00000200']"
70,['0.01010000']
71,['0.00632014']
72,['0.03169001']
73,['0.02967973']
74,['0.02086426']
75,['0.02647018']
76,['0.01753349']
77,['2.99815515']
78,"['0.00085522', '0.00351038']"
79,"['0.97525405', '0.00145260']"
80,['4.97516530']
81,['3.99033895']
82,['1.99348823']
83,['0.00459022']
84,"['4.97183086', '0.00310235']"
85,['0.97336912']
86,"['0.00910000', '0.01413515']"
87,['4.97159457']
88,['0.97036167']
89,"['0.00331400', '0.01714000']"
90,['4.96986892']
91,['4.96653799']
92,['0.00345899']
93,['0.96770381']
94,"['0.01023143', '0.00125511']"
95,['0.02316576']
96,"['0.00101471', '0.00100000']"
97,['4.95153436']
98,"['0.00709617', '0.03000000']"
99,['0.02207812']
100,['0.01711294']
101,['0.02006672']
102,['0.01490000']
103,"['0.00274970', '0.02116113']"
104,['0.95770031']
105,['0.00500000']
106,"['0.00116387', '0.01780000']"
107,['0.01450000']
108,['0.00500000']
109,"['0.00200000', '0.00080000', '0.00006080', '0.00100000', '0.00107722']"
110,['0.00444318']
111,['0.00333760']
112,['0.00480000']
113,"['0.00270000', '0.00947517']"
114,"['0.00010000', '0.00065998', '0.00120000', '0.00341677']"
115,['0.01109159']
116,['0.00906352']
117,['0.00100000']
118,"['0.00100000', '0.00171142', '0.00087643', '0.00199355']"
119,"['0.00085624', '0.00120000', '0.00090000', '0.00006000']"
120,"['0.00200000', '0.00100000', '0.00228044', '0.00100000', '0.00100000', '0.00008000', '0.00091371', '0.00100000']"
121,['4.95051644']
122,['0.01289580']
123,"['0.00040000', '0.00090000', '0.00283261', '0.00245576', '0.00169500', '0.00025639']"
124,"['0.00370000', '0.00431965']"
125,"['0.00592000', '0.00300000', '0.00110000']"
126,"['0.00490000', '0.01000000', '0.00100000']"
127,['0.00951328']
128,['0.00790000']
