Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19438068,33.0120000000,30,267,433,233,0,196,bnb: **37** ; Total: **37**,0.00064068,4.99883910,0.949552193265,1.66916773325,0.00447899,0.0000192231330472,0.000204000000,0.004682990000,1,13,1.85836909871,2.03241636832,srdltd: **25** ; srd: **171** ; bnb: **37**
bustabit-tiny-hot-wallet_peak-and-tail,23.92731563,40.7310000000,41,594,885,406,0,332,bnb: **74** ; Total: **74**,0.00051746,8.81789433,0.872333960090,1.55331670069,0.00800854,0.0000197254679803,0.000278800000,0.008287340000,1,15,2.17980295567,2.65826193297,srdltd: **39** ; srd: **293** ; bnb: **74**
bustabit-tiny-hot-wallet_peak-and-tail,27.28317614,45.9813333333,94,961,1299,539,0,432,bnb: **107** ; Total: **107**,0.00051746,8.81789433,0.819413714792,1.51438028684,0.01142886,0.0000212038218924,0.000639200000,0.012068060000,1,16,2.41001855288,3.08503580375,srdltd: **49** ; srd: **383** ; bnb: **107**
bustabit-tiny-hot-wallet_peak-and-tail,19.66758507,51.9160000000,43,1316,1809,684,0,536,bnb: **148** ; Total: **148**,0.00051746,9.92636806,0.740926898582,1.50183606657,0.01423908,0.0000208173684211,0.000292400000,0.014531480000,1,40,2.64473684211,3.61602725080,srdltd: **64** ; srd: **472** ; bnb: **148**
bustabit-tiny-hot-wallet_peak-and-tail,26.29747038,55.0308000000,85,1682,2234,818,0,637,bnb: **181** ; Total: **181**,0.00051746,9.92636806,0.732635365165,1.54613261524,0.01689065,0.0000206487163814,0.000578000000,0.017468650000,1,40,2.73105134474,3.70629675188,srdltd: **72** ; srd: **565** ; bnb: **181**
bustabit-tiny-hot-wallet_peak-and-tail,18.38151928,55.2826666667,36,2008,2749,992,0,777,bnb: **215** ; Total: **215**,0.00051746,9.92636806,0.726304686885,1.52089018425,0.02128819,0.0000214598689516,0.000244800000,0.021532990000,1,40,2.77116935484,3.74153001663,srdltd: **87** ; srd: **690** ; bnb: **215**
bustabit-tiny-hot-wallet_peak-and-tail,26.40493211,56.0537142857,63,2415,3197,1085,0,845,bnb: **240** ; Total: **240**,0.00051746,9.92636806,0.709855956710,1.46664197064,0.02345843,0.0000216206728111,0.000428400000,0.023886830000,1,40,2.94654377880,4.09176334239,srdltd: **89** ; srd: **756** ; bnb: **240**
bustabit-tiny-hot-wallet_peak-and-tail,23.47284559,56.7225000000,63,2818,3666,1182,0,911,bnb: **271** ; Total: **271**,0.00051746,9.92636806,0.688642222481,1.41811259826,0.02614028,0.0000221152961083,0.000428400000,0.026568680000,1,40,3.10152284264,4.33345660097,srdltd: **93** ; srd: **818** ; bnb: **271**
bustabit-tiny-hot-wallet_peak-and-tail,15.35633711,57.5368888889,25,3213,4181,1287,0,993,bnb: **294** ; Total: **294**,0.00051746,9.92636806,0.662143782165,1.36510659109,0.02982683,0.0000231754700855,0.000170000000,0.029996830000,1,40,3.24864024864,4.60563208534,srdltd: **101** ; srd: **892** ; bnb: **294**
bustabit-tiny-hot-wallet_peak-and-tail,15.78039671,56.7134000000,35,3571,4644,1429,0,1108,bnb: **321** ; Total: **321**,0.00051746,9.92636806,0.647310875171,1.30558535545,0.03263980,0.0000228410076977,0.000238000000,0.032877800000,1,40,3.24982505248,4.60268862910,srdltd: **116** ; srd: **992** ; bnb: **321**
bustabit-tiny-hot-wallet_peak-and-tail,22.01726007,55.3489090909,58,3938,5102,1562,0,1222,bnb: **340** ; Total: **340**,0.00051746,9.96898946,0.720484327545,1.41700801488,0.03570764,0.0000228602048656,0.000394400000,0.036102040000,1,40,3.26632522407,4.64879343502,srdltd: **128** ; srd: **1094** ; bnb: **340**
bustabit-tiny-hot-wallet_peak-and-tail,20.44468651,54.4048333333,31,4278,5602,1722,0,1355,bnb: **367** ; Total: **367**,0.00051746,9.96898946,0.717357012568,1.38182319716,0.03897713,0.0000226348025552,0.000210800000,0.039187930000,1,40,3.25319396051,4.61181109002,srdltd: **151** ; srd: **1204** ; bnb: **367**
