id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,srdltd,1,0,2,0.00165747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.01553370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srd,1,0,2,1.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,2.99583424,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,0.99667372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.01232280,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00286885,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srd,1,0,2,0.00066468,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,0.00226680,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,2.98930767,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.00315883,23,23,1066
11,0.00310000,0.00001647,0.00007917,0.0000791826923077,srdltd,2,0,2,3.99854100,30,29,644
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,4.99987217,30,30,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srd,1,0,2,0.00212910,30,30,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,0.00303820,30,30,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,0.00575187,36,36,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,36,35,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srdltd,1,0,2,0.00192843,37,37,5026
18,0.00665800,0.00009387,0.00047972,0.000530338983051,bnb,2,0,1,,37,35,6012
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srdltd,1,0,2,0.00074530,35,35,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,35,34,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00211336,34,34,5803
22,0.00209300,0.00003610,0.00032686,0.000328181818182,bnb,1,0,1,,34,33,1557
23,0.00332600,0.00004285,0.00023312,0.000242090395480,bnb,2,0,1,,33,31,1945
24,0.00424600,0.00004400,0.00016975,0.000179591836735,bnb,3,0,1,,31,28,1647
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.00896802,28,28,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00592228,28,28,1596
27,0.00337500,0.00004293,0.00010801,0.000112677165354,bnb,5,0,1,,28,23,439
28,0.00300000,0.00002065,0.00009927,0.0000992788461538,srdltd,2,0,2,0.01333403,23,22,980
29,0.00294600,0.00000745,0.00005283,0.0000528368794326,srd,1,0,2,0.00704655,22,22,524
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srd,1,0,2,4.99653066,23,23,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00370520,23,23,1149
