id,input_amounts
0,['0.00483000']
1,['0.01570000']
2,['2.00000000']
3,['3.00000000']
4,['1.00000000']
5,['0.01553370']
6,['0.00329400']
7,['0.00331400']
8,['0.00329400']
9,['2.99583424']
10,['0.00331400']
11,"['0.00165747', '4.00000000']"
12,['5.00000000']
13,['0.00329000']
14,['0.00315883']
15,['0.00980000']
16,['0.00103200']
17,['0.00500000']
18,"['0.00100000', '0.00575187']"
19,['0.00192843']
20,['0.00100000']
21,['0.00329600']
22,['0.00212910']
23,"['0.00050000', '0.00286885']"
24,"['0.00010000', '0.00090000', '0.00329000']"
25,['0.01232280']
26,['0.00794500']
27,"['0.00226680', '0.00014860', '0.00074530', '0.00014860', '0.00010863']"
28,"['0.00066468', '0.01569000']"
29,['0.01000000']
30,['4.99987217']
31,['0.00704655']
32,['0.02500000']
33,['0.00940000']
34,"['0.00100000', '0.00390000']"
35,['0.01333403']
36,['0.00896802']
37,"['0.00303820', '0.00602589']"
38,['2.98930767']
39,"['0.01302828', '0.00211336']"
40,['0.01180985']
41,"['0.00329400', '0.00329400']"
42,['0.01000000']
43,['3.99854100']
44,['0.01000000']
45,['0.00325952']
46,['0.00572907']
47,['0.00300000']
48,"['0.00155988', '0.00020000']"
49,['0.00801140']
50,['0.00494133']
51,"['0.00034660', '0.00155111', '0.00109000', '0.00370520']"
52,"['0.99667372', '0.00212652']"
53,['2.98597729']
54,['0.00596253']
55,"['0.01010000', '0.00263294', '0.00000200']"
56,"['0.00300000', '0.00857742']"
57,['0.00478097']
58,['2.98264115']
59,['0.00592228']
60,['1.99664529']
61,['1.99331226']
62,['0.99546791']
63,['0.00940287']
64,['0.01300000']
65,"['0.00966439', '0.00159425', '0.00076900', '0.00145003']"
66,['0.00552382']
67,"['0.00219511', '0.00220298']"
68,['0.00857132']
69,['1.98998063']
70,['4.99653066']
71,"['0.00105683', '0.00606992']"
72,['2.97931125']
73,['2.97730097']
74,['0.99213449']
75,['3.99531687']
76,['0.00524220']
77,['0.00390622']
78,['0.03535793']
79,['0.03201022']
80,"['0.00057268', '4.99352683', '0.00184386']"
81,['4.99260372']
82,"['0.00100000', '0.02867608']"
83,['0.02169103']
84,['0.98880372']
85,['0.01014042']
86,"['0.00713297', '1.98665211']"
87,['1.97329963']
88,['0.02633467']
89,"['0.01714000', '0.00291785']"
90,['4.98327146']
91,['0.01671679']
92,['2.97409142']
93,['0.01835592']
94,"['2.97308819', '0.00056976']"
95,['1.97157398']
96,['0.02367681']
97,['3.99201245']
98,"['0.00171316', '0.00835242', '0.00011000', '0.00006080', '0.00480000']"
99,['4.97994053']
100,['0.01780000']
101,['4.97792913']
102,['0.01579265']
103,"['0.02166627', '0.00107722']"
104,['4.97334729']
105,['0.00390000']
106,"['4.97233981', '0.00080000']"
107,['0.01490000']
108,['0.01450000']
109,['3.99099453']
110,['1.96956935']
111,['0.00480000']
112,"['0.00010000', '0.00100000', '0.00100000', '0.00116387', '0.00089355']"
113,"['0.00100000', '0.01278990']"
114,"['0.00270000', '1.96846377']"
115,['0.00444318']
116,['0.01973635']
117,['0.01000000']
118,"['0.00200000', '2.97164658']"
119,"['0.00100000', '0.00008000', '0.00006000', '0.00087643', '0.00100000']"
120,"['0.00200000', '0.00010000', '0.00341677', '0.00090000', '0.00120000', '0.00100000', '0.00025639', '0.00040000']"
121,"['0.00091371', '0.00120000', '0.00090000', '0.00100000', '0.00100000']"
122,['0.00480000']
123,"['0.00290000', '0.00163049', '0.00300000', '0.00100000']"
124,['0.01378845']
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.00141748', '0.00200000', '0.00370000', '0.00300000', '0.00490000']"
127,['0.01067825']
128,['0.00429501']
129,"['0.00300000', '0.00171142']"
130,['2.96807142']
131,"['0.00800000', '0.00294551']"
132,"['0.00500000', '0.00454585']"
133,['0.98546947']
134,['0.00900000']
135,['3.98606877']
136,"['0.00867354', '0.00910000']"
137,['0.00300000']
138,['3.97606449']
139,['0.01349630']
140,"['0.00100000', '0.00213902', '0.00099478', '0.00069882', '0.00342888', '0.00228044', '0.00147943', '0.00100000']"
141,['0.00500000']
142,['0.00360000']
143,['0.00800000']
144,['0.01109159']
145,"['0.00577362', '0.00049540', '0.00299291']"
146,['1.96579256']
147,['0.00226500']
148,"['0.00300000', '0.00500000']"
149,"['0.00776419', '0.00059549', '0.00500000']"
150,"['0.00070000', '0.00223903', '0.00200000', '0.00159430', '0.00319780']"
151,"['0.00180000', '0.03000000', '0.00169500', '0.00280000', '0.00464370', '0.00500000', '0.00290000', '0.00263338', '0.00754546']"
152,['0.00600000']
153,"['0.00900000', '0.00624425', '0.00880000', '0.00397720', '0.00483433', '0.00500000', '0.00090000', '0.00090000', '0.00040000', '0.01000000']"
154,"['0.01000000', '0.00860000']"
155,['0.00980000']
156,"['0.03500000', '0.00354914', '0.01000000', '0.01000000', '0.00880000', '0.00500000', '0.01602078', '0.00600000', '0.00985624', '0.01680000']"
157,['0.00861557']
158,['0.01188929']
159,['3.97435904']
160,"['0.00897976', '0.02000000', '0.06000000', '0.01104005']"
161,"['0.97446531', '0.01990000']"
162,['0.01500000']
163,['0.03000000']
164,['2.96196244']
165,['0.07024500']
166,"['0.06000000', '0.00021000']"
167,['0.06524005']
168,['4.97159880']
169,['1.96275263']
170,"['0.00969612', '0.01000000']"
171,"['0.00100000', '0.00038000']"
172,['0.00800000']
173,['0.02471042']
174,"['0.05951020', '0.00500000']"
175,['0.89435786']
176,['2.95695486']
177,"['0.00250000', '0.00084400', '0.00017000', '0.00700000']"
178,['0.04000000']
179,['0.02932106']
180,['2.94674859']
181,['0.03300000']
182,['0.05000000']
183,['0.05000000']
184,['0.02959206']
185,['0.00659344']
186,['0.01000000']
187,['3.87435443']
188,['0.01845585']
189,['0.05900000']
190,['0.00963986']
191,['0.02599385']
192,['0.05000000']
193,['0.02386453']
194,['0.01000000']
195,['0.03787087']
196,"['0.00757510', '0.00790000', '0.00010000']"
197,['0.00965935']
198,['0.00980000']
199,"['0.03964019', '0.00672495']"
200,['4.96159497']
201,['0.01000000']
202,['0.09980000']
203,['0.06223485']
204,['0.06000000']
205,['0.05897606']
206,"['0.00028000', '0.00100000', '0.00090000', '0.00090000', '0.00006080', '0.00040000', '0.00044827', '0.00010000', '0.00090000', '0.01283796', '0.00014000', '0.00099000']"
207,"['0.00050000', '0.00925635', '0.00427556']"
208,['0.00864164']
209,['0.04783470']
210,['0.00180000']
211,"['0.00158889', '0.00180000', '0.00170000', '0.00200000', '0.00504347', '0.00390000', '0.00229076']"
212,"['0.00318000', '0.00229870', '0.00462529', '0.02266782', '0.00631476', '0.00797421', '0.00290000', '0.00005460', '0.05000000']"
213,['0.04682573']
214,['0.01000000']
215,"['0.00390000', '0.00900000', '0.00019558', '0.01000000', '0.00400000', '0.01000000', '0.01000000', '0.00039116', '0.01000000', '0.00849081', '0.00900000', '0.00005460']"
216,"['0.04584734', '0.01000000']"
217,"['0.02400000', '0.01000000', '0.01950000', '0.01000000', '0.01090000', '0.00500000', '0.00974498', '0.00990000', '0.00097600']"
218,['0.05000000']
219,['0.02310000']
220,['0.03915496']
