Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_peak-and-tail,15.19433840,32.9160000000,29,267,436,233,0,198,bnb: **35** ; Total: **35**,0.00057268,4.99987217,0.877158799697,1.56920726524,0.00452127,0.0000194045922747,0.000197200000,0.004718470000,1,12,1.87124463519,2.01517661913,srdltd: **29** ; srd: **169** ; bnb: **35**
bustabit-tiny-hot-wallet_peak-and-tail,23.92722847,39.2930000000,36,594,891,406,0,333,bnb: **73** ; Total: **73**,0.00057268,4.99987217,0.733086180541,1.37489709705,0.00809570,0.0000199401477833,0.000244800000,0.008340500000,1,16,2.19458128079,2.70145277734,srdltd: **44** ; srd: **289** ; bnb: **73**
bustabit-tiny-hot-wallet_peak-and-tail,27.28301304,44.8213333333,91,961,1302,539,0,432,bnb: **107** ; Total: **107**,0.00057268,8.81909563,0.685133067083,1.31700677610,0.01159196,0.0000215064192950,0.000618800000,0.012210760000,1,16,2.41558441558,3.08097323581,srdltd: **61** ; srd: **371** ; bnb: **107**
bustabit-tiny-hot-wallet_peak-and-tail,19.66740300,49.3120000000,26,1316,1827,684,0,537,bnb: **147** ; Total: **147**,0.00057268,9.91999547,0.734690302030,1.53253741137,0.01442115,0.0000210835526316,0.000176800000,0.014597950000,1,42,2.67105263158,3.74927749840,srdltd: **72** ; srd: **465** ; bnb: **147**
bustabit-tiny-hot-wallet_peak-and-tail,26.29724791,48.9028000000,68,1682,2256,818,0,642,bnb: **176** ; Total: **176**,0.00057268,9.91999547,0.799362700374,1.62913500254,0.01711312,0.0000209206845966,0.000462400000,0.017575520000,1,42,2.75794621027,3.82769546463,srdltd: **90** ; srd: **552** ; bnb: **176**
bustabit-tiny-hot-wallet_peak-and-tail,18.38144807,49.0020000000,37,2008,2752,992,0,781,bnb: **211** ; Total: **211**,0.00057268,9.91999547,0.777301088169,1.56865382987,0.02135940,0.0000215316532258,0.000251600000,0.021611000000,1,42,2.77419354839,3.81951800823,srdltd: **106** ; srd: **675** ; bnb: **211**
bustabit-tiny-hot-wallet_peak-and-tail,26.40486162,51.0005714286,68,2415,3194,1085,0,847,bnb: **238** ; Total: **238**,0.00057268,9.91999547,0.751918260767,1.51296982399,0.02352892,0.0000216856405530,0.000462400000,0.023991320000,1,42,2.94377880184,4.12014787948,srdltd: **113** ; srd: **734** ; bnb: **238**
bustabit-tiny-hot-wallet_peak-and-tail,23.47258275,53.3207500000,59,2818,3674,1182,0,915,bnb: **267** ; Total: **267**,0.00057268,9.91999547,0.726711474153,1.46231944407,0.02640312,0.0000223376649746,0.000401200000,0.026804320000,1,42,3.10829103215,4.35628918944,srdltd: **120** ; srd: **795** ; bnb: **267**
bustabit-tiny-hot-wallet_peak-and-tail,15.35605418,53.8711111111,28,3213,4182,1287,0,997,bnb: **290** ; Total: **290**,0.00057268,9.91999547,0.697156947091,1.40798618150,0.03010976,0.0000233953069153,0.000190400000,0.030300160000,1,42,3.24941724942,4.58689534583,srdltd: **127** ; srd: **870** ; bnb: **290**
bustabit-tiny-hot-wallet_peak-and-tail,15.78012555,53.5832000000,33,3571,4648,1429,0,1110,bnb: **319** ; Total: **319**,0.00057268,9.91999547,0.681128570495,1.34596187543,0.03291096,0.0000230307627712,0.000224400000,0.033135360000,1,42,3.25262421274,4.57292319114,srdltd: **141** ; srd: **969** ; bnb: **319**
