id,input_amounts
0,['3.00000000']
1,['2.00000000']
2,['0.00483000']
3,['0.01570000']
4,"['2.99682747', '0.00329400']"
5,['0.00794500']
6,['1.99983370']
7,['0.00500000']
8,['0.00329000']
9,['4.00000000']
10,['0.00329000']
11,"['5.00000000', '0.00014860']"
12,['0.02500000']
13,['0.01000000']
14,['0.02487217']
15,"['0.00390000', '0.00883910']"
16,['0.00103200']
17,['1.99940855']
18,['0.01010000']
19,['0.00226280']
20,['0.00100000']
21,['0.01153424']
22,['0.00329400']
23,['0.00940000']
24,['2.99677796']
25,['2.99250802']
26,['0.00329400']
27,"['0.00010000', '0.00329600']"
28,"['0.00115491', '0.00050000', '0.00127128', '0.00010863']"
29,['0.01000000']
30,"['0.00100000', '0.00235068']"
31,['1.99633698']
32,"['1.00000000', '0.00331400']"
33,['0.00337435']
34,['0.02475154']
35,['0.00329400']
36,"['0.00331400', '0.00313483']"
37,"['0.00056976', '1.00000076']"
38,"['0.00090000', '0.01300000']"
39,['0.99723550']
40,['0.02141339']
41,"['0.00109000', '0.01000000']"
42,['0.00704655']
43,['4.99703213']
44,"['0.00147529', '0.00344121', '0.00014860']"
45,['0.00300000']
46,['0.00866810']
47,"['0.00300000', '0.00100000']"
48,['2.98915324']
49,"['0.00312439', '0.00011000']"
50,['0.00846285']
51,['4.99380800']
52,"['0.00298825', '0.00034660']"
53,['3.99347343']
54,['0.03535793']
55,"['0.99390525', '0.00107967']"
56,['0.01569000']
57,['0.01056802']
58,['0.01035160']
59,['0.00473410']
60,['0.01268587']
61,['0.03202834']
62,['4.98712333']
63,['3.99013729']
64,['0.00505795']
65,['3.98680434']
66,['0.00935284']
67,"['0.00020000', '0.00602413']"
68,['0.00702170']
69,['3.98347432']
70,"['0.99165459', '0.00000200']"
71,['3.98014580']
72,"['0.00172234', '0.00776152']"
73,"['0.00369258', '0.00076900']"
74,['0.00980000']
75,['0.98865094']
76,['0.00604113']
77,['0.98534652']
78,"['3.97692801', '0.00264279']"
79,"['1.99299563', '0.00288287']"
80,['0.01818096']
81,['0.98201298']
82,['3.97621991']
83,['0.00511577']
84,"['4.98378991', '0.00172967']"
85,['2.98894600']
86,"['0.02869671', '0.00194346']"
87,['0.00910000']
88,['0.01484652']
89,['2.98593855']
90,['4.98218094']
91,['3.97288218']
92,['3.95787855']
93,['0.01218866']
94,"['0.97268072', '0.00218516']"
95,['0.03000000']
96,['0.02799537']
97,['0.97285451']
98,"['0.00006080', '0.97183659']"
99,['0.01015472']
100,['0.02598483']
101,"['0.00300000', '0.00480000']"
102,"['0.00100000', '1.99254097']"
103,['2.98260105']
104,['1.99153477']
105,['0.03500000']
106,"['0.00500000', '0.00124750']"
107,['0.00737435']
108,['0.01450000']
109,['3.95687532']
110,"['0.00100000', '0.00444318']"
111,['0.00321397']
112,"['0.00120000', '0.00087643', '0.00107722', '0.00100000']"
113,"['0.00200000', '0.00270000']"
114,"['0.00178066', '0.00100000', '0.00120000', '0.00100000', '0.00040000']"
115,['0.00270898']
116,['1.99052729']
117,['0.01490000']
118,"['0.00158835', '0.01000000']"
119,"['0.00091371', '0.00006000', '0.00008000', '0.00080000', '0.00116387']"
120,"['0.00200000', '0.00010000', '0.00163049', '0.00228044', '0.00300000', '0.00025639']"
121,"['0.00526425', '0.00100000']"
122,['0.00464370']
123,"['0.00100000', '0.00169468', '0.00100000', '0.00169500', '0.00100000', '0.00090000', '0.00125709']"
124,"['0.00341677', '0.00290000', '0.00171142']"
125,"['0.00300000', '0.00110000', '0.00592000']"
126,"['0.00800000', '0.00601319', '0.00100000']"
127,['0.00790000']
128,['0.00746870']
129,['0.01475624']
130,['0.01780000']
131,"['0.00500000', '0.00490000']"
132,"['0.00470649', '1.98681172']"
133,"['0.00900000', '0.02397748']"
134,"['0.00200000', '0.00480000']"
135,"['0.00378882', '0.00611920', '0.00010000']"
136,"['0.00390000', '0.01000000', '0.00500000']"
137,['0.01109159']
138,['0.00800000']
139,['0.01349630']
140,"['0.00069882', '0.00100000', '0.00090000', '0.00226500', '0.00100000', '0.00126118', '0.00589529']"
141,['0.00880000']
142,['0.01714000']
143,['0.00500000']
144,['0.00300000']
145,"['0.00814332', '0.00880000']"
146,['0.01169102']
147,['0.00500000']
148,"['0.00454585', '0.00370000']"
149,"['0.00180000', '0.00049540', '0.00433495', '0.00248488', '0.00070000']"
150,"['0.00200000', '0.00280000', '0.00404248', '0.00088817']"
