id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste
0,0.00310000,0.00007253,0.00051435,0.000514397163121,srd,1,0,2,2.99682747,22,22,5093
1,0.00010100,0.00006530,0.00046306,0.000463120567376,srd,1,0,2,0.00312370,22,22,4585
2,0.00329400,0.00006071,0.00043052,0.000430567375887,srdltd,1,0,2,1.99664529,22,22,4263
3,0.00410100,0.00006476,0.00045929,0.000459290780142,srd,1,0,2,0.00377924,22,22,4548
4,0.00329000,0.00003628,0.00025725,0.000257304964539,srd,1,0,2,3.99667372,22,22,2548
5,0.00319400,0.00001690,0.00011981,0.000119858156028,srd,1,0,2,0.00618910,22,22,1187
6,0.00040100,0.00002415,0.00017125,0.000171276595745,srd,1,0,2,0.00457485,22,22,1696
7,0.00262000,0.00002932,0.00020791,0.000207943262411,srd,1,0,2,0.00066468,22,22,2059
8,0.00100000,0.00002720,0.00019288,0.000192907801418,srd,1,0,2,1.99561809,22,22,1910
9,0.00650000,0.00002657,0.00018838,0.000188439716312,srd,1,0,2,1.98909152,23,23,1865
10,0.00014000,0.00001517,0.00010753,0.000107588652482,srd,1,0,2,0.01554483,23,23,1066
11,0.00310000,0.00001117,0.00007917,0.0000792198581560,srd,1,0,2,0.99688883,30,30,785
12,0.00010100,0.00002683,0.00019026,0.000190283687943,srd,1,0,2,1.98896369,31,31,1884
13,0.00113200,0.00002890,0.00020493,0.000204964539007,srdltd,1,0,2,0.01452910,31,31,2030
14,0.00010200,0.00001863,0.00013210,0.000132127659574,srd,1,0,2,2.99670684,31,31,1309
15,0.00400000,0.00004813,0.00034131,0.000341347517730,srdltd,1,0,2,1.98491556,37,37,3380
16,0.00100000,0.00003200,0.00028435,0.000290909090909,bnb,1,0,1,,37,36,1325
17,0.00300000,0.00007157,0.00050756,0.000507588652482,srd,1,0,2,0.99381726,38,38,5026
18,0.00665800,0.00006765,0.00047972,0.000479787234043,srdltd,1,0,2,0.00327435,38,38,4751
19,0.00110000,0.00008313,0.00058951,0.000589574468085,srd,1,0,2,0.00211287,38,38,5837
20,0.00090000,0.00010000,0.00066830,0.000909090909091,bnb,1,0,1,,38,37,6513
21,0.00110000,0.00008264,0.00058609,0.000586099290780,srd,1,0,2,0.00364736,37,37,5803
22,0.00209300,0.00004609,0.00032686,0.000326879432624,srd,1,0,2,0.00115491,37,37,3237
23,0.00332600,0.00003287,0.00023312,0.000233120567376,srd,1,0,2,0.00644113,37,37,2309
24,0.00424600,0.00003261,0.00016975,0.000184237288136,bnb,2,0,1,,37,35,1188
25,0.00333000,0.00002478,0.00017571,0.000175744680851,srd,1,0,2,0.01219005,35,35,1740
26,0.00200000,0.00002272,0.00016108,0.000161134751773,srd,1,0,2,0.00187728,35,35,1596
27,0.00337500,0.00003507,0.00010801,0.000112044728435,bnb,4,0,1,,35,31,333
28,0.00300000,0.00002065,0.00009927,0.0000992788461538,srdltd,2,0,2,1.98246467,31,30,980
29,0.00294600,0.00001099,0.00005283,0.0000528365384615,srd,2,0,2,0.00142301,30,29,204
30,0.00332500,0.00001651,0.00011709,0.000117092198582,srdltd,1,0,2,4.99665849,30,30,1160
31,0.00332500,0.00001635,0.00011591,0.000115957446809,srd,1,0,2,0.00309978,30,30,1149
32,0.00330000,0.00001324,0.00006361,0.0000636538461538,srd,2,0,2,2.99481661,30,29,384
33,0.00336300,0.00001998,0.00007874,0.000112881355932,bnb,2,0,1,,29,27,307
34,0.00333400,0.00000415,0.00002942,0.0000294326241135,srd,1,0,2,0.01119095,30,30,293
