id,input_amounts
0,['3.00000000']
1,['0.00329000']
2,['2.00000000']
3,['0.00794500']
4,['4.00000000']
5,['0.00940000']
6,['0.00500000']
7,['0.00331400']
8,['1.99664529']
9,['1.99561809']
10,['0.01570000']
11,['1.00000000']
12,['1.98909152']
13,['0.01569000']
14,['2.99682747']
15,['1.98896369']
16,['0.00103200']
17,['0.99688883']
18,['0.01000000']
19,['0.00329600']
20,['0.00100000']
21,['0.00483000']
22,['0.00329400']
23,['0.00980000']
24,"['0.00115491', '0.00312370']"
25,['0.01554483']
26,['0.00390000']
27,"['0.00014860', '0.00211287', '0.00100000', '0.00014860']"
28,"['0.00056976', '1.98491556']"
29,"['0.00329000', '0.00109000']"
30,['5.00000000']
31,['0.00644113']
32,"['2.99670684', '0.00142301']"
33,"['0.00010863', '0.00327435']"
34,['0.01452910']
35,['0.00329400']
36,['0.00618910']
37,['3.99667372']
38,['1.98246467']
39,"['0.00329400', '0.00329400']"
40,"['0.00090000', '1.97913429']"
41,"['1.97679929', '0.00100000']"
42,['0.00377924']
43,"['0.00179064', '0.01010000']"
44,"['0.00298825', '0.00318361', '0.00000200', '0.00187728']"
45,['0.00300000']
46,['2.99481661']
47,['0.00309978']
48,"['0.00011000', '0.00010000']"
49,"['0.00222630', '0.00066468', '0.00034660']"
50,['0.00457485']
51,"['0.00300000', '0.00866455']"
52,['0.01000000']
53,"['3.99334064', '0.00298718']"
54,['0.99381726']
55,['0.99048767']
56,['0.01119095']
57,['0.01300000']
58,['0.01000000']
59,['0.01219005']
60,"['0.00325621', '0.00818682']"
61,['3.99298639']
62,['4.99665849']
63,"['0.00020000', '0.00364736']"
64,['3.98965476']
65,['0.00918562']
66,['0.02500000']
67,"['2.99461136', '0.00194346']"
68,['3.98631915']
69,['0.00667010']
70,"['0.00050000', '0.00051254', '0.00076900', '0.00122777']"
71,['0.00667003']
72,['0.03535793']
73,['0.00966906']
74,['4.99332507']
75,"['0.00645951', '0.00345224']"
76,['0.00585560']
77,['0.02167129']
78,['0.98715905']
79,['0.00497766']
80,['0.00810714']
