id,input_amounts
0,['5.00000000']
1,['3.00000000']
2,['0.00331400']
3,['0.00500000']
4,['0.00329400']
5,['0.01570000']
6,['0.00329000']
7,['0.00329400']
8,['4.99689047']
9,"['0.00331400', '0.00329000', '0.00329400']"
10,"['0.01249690', '0.00014860']"
11,"['0.00287475', '0.00010000', '0.00014860']"
12,['1.00000000']
13,"['0.00066263', '0.00050000']"
14,['0.00483000']
15,['0.02500000']
16,['0.00103200']
17,['0.00980000']
18,['4.00000000']
19,['0.02096061']
20,['0.00390000']
21,['3.99331520']
22,['0.00297615']
23,['2.00000000']
24,"['0.00010863', '0.00088414', '0.00329600']"
25,['0.00470856']
26,"['0.99987062', '0.00100000']"
27,['4.99587570']
28,['4.99246663']
29,"['0.00134644', '0.01249838']"
30,['0.00940000']
31,['0.00676438']
32,"['0.00085945', '0.01087292']"
33,['3.99218900']
34,"['0.00341081', '0.00838584']"
35,['2.99988481']
36,['3.98879995']
37,"['0.00329400', '0.01983969']"
38,['0.01010000']
39,"['0.00109000', '0.01000000']"
40,['0.01000000']
41,['1.99665069']
42,['0.00337385']
43,['0.00794500']
44,['0.00676980']
45,['0.01000000']
46,['0.00300000']
47,['0.00100000']
48,['0.99881760']
49,['0.00466990']
50,['0.00775319']
51,['0.01979506']
52,['0.01300000']
53,"['0.00076900', '0.00266743']"
54,['0.00675065']
55,['0.00845134']
56,['4.98943971']
57,['0.00338434']
58,['0.03535793']
59,['0.00880988']
60,['0.00573254']
61,['2.99956911']
62,['4.98638425']
63,['0.01299730']
64,['1.99328766']
65,['0.99847742']
66,['0.03196141']
67,['0.00605166']
68,['0.00957833']
69,['0.99502672']
70,['0.00954708']
71,['0.00507907']
72,['0.02854677']
73,"['0.00233499', '0.00180506']"
74,"['0.00034660', '0.00620173']"
75,"['0.00134038', '0.00300000']"
76,"['0.00427749', '0.00265701']"
77,['0.00342669']
78,['0.99165141']
79,['4.98299272']
80,['2.99617026']
81,['0.02648103']
82,['0.00648114']
83,['0.01704250']
84,['0.98820356']
85,['0.00910000']
86,['1.98982675']
87,['0.01351730']
88,['0.01569000']
89,['1.96918312']
90,['2.99271034']
91,['3.98576924']
92,['1.96568476']
93,['1.96453520']
94,['0.01162478']
95,['0.00313509']
96,['0.98467639']
97,['0.00591947']
98,['1.95436694']
99,['0.03000000']
100,['0.98255437']
101,['0.00935594']
102,['0.00300000']
103,['0.01780000']
104,['0.00107722']
105,['0.98046601']
106,['0.00300000']
107,['0.97737710']
108,['0.01490000']
109,['0.01461476']
110,['0.00116387']
111,['0.00131320']
112,"['0.00444318', '0.00075491']"
113,"['0.00468425', '0.00100000']"
114,['0.01384069']
115,['0.00790000']
116,['0.00843353']
117,['0.00200000']
118,['0.01287184']
119,"['0.00298835', '0.00006000']"
120,"['0.00390000', '0.00341677', '0.00200000']"
121,"['0.00138410', '0.00360000', '0.00006080']"
122,"['0.00169500', '0.00171142']"
123,"['0.00454585', '0.00100000', '0.00300000']"
124,"['0.00087643', '0.00010000', '0.00010000', '0.00011000', '0.00056976', '0.00040000', '0.00020000', '0.00008000', '0.00083261', '0.00480000']"
125,"['0.00090000', '0.00467871', '0.00094621', '0.00089440', '0.00090000', '0.00080000', '0.00091371']"
126,"['0.00290000', '0.00963057', '0.00250875']"
127,['0.00800000']
128,"['0.00100000', '0.00228044']"
129,"['0.00025639', '0.00300000']"
130,"['0.00120000', '0.00100000', '0.00162810', '0.00110000', '0.00120000']"
131,"['0.01109159', '0.00480000', '0.00163049']"
132,"['0.00270000', '0.01000000']"
133,"['0.00087891', '0.00182007', '0.00100000', '0.00100000', '0.00632641']"
134,['0.01140278']
135,"['0.00597143', '0.00000200', '0.00100000', '0.00200000', '0.00464370']"
136,"['0.00049540', '0.00863687', '0.00090000']"
137,['0.00370000']
138,['0.00900000']
139,['0.00490000']
140,"['0.00685384', '0.00189509', '0.00069882', '0.00360889']"
141,['0.00480000']
142,['0.01000000']
143,['3.97059247']
144,['0.00280000']
145,"['0.00592000', '0.00070000', '0.00098713', '0.00167533']"
146,['0.00880000']
147,"['0.00069105', '0.00100000']"
148,"['0.00277347', '0.00200000', '0.00100000']"
149,"['0.00300000', '3.97013614']"
150,['0.02789713']
151,"['0.00799778', '0.03500000', '0.00727962', '0.00880000']"
152,['0.00300000']
153,"['0.00980000', '0.06000000', '0.00969612']"
154,['0.01000000']
155,['0.00900000']
