Scenario File,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,0E-8,0,0,0,0,0,0,0,Total: **0**,0,0,0,0,0,0,0E-66,0E-66,0,0,0,0,
bustabit-tiny-hot-wallet_2019-2020-per-day,15.18561488,41.7100000000,54,267,399,233,0,186,bnb: **47** ; Total: **47**,0.00066263,4.99689047,0.775267757903,1.48591649547,0.01324479,0.0000568445922747,0.000367200000,0.013611990000,1,16,1.71244635193,1.69142602759,srdltd: **186** ; bnb: **47**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.90519998,83.3050000000,188,594,714,406,0,308,bnb: **98** ; Total: **98**,0.00062701,8.63767145,0.698491899740,1.49619940427,0.03012419,0.0000741975123153,0.00127840000,0.03140259000,1,16,1.75862068966,1.80420963688,srdltd: **308** ; bnb: **98**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.25521341,132.450000000,321,961,1028,539,0,388,bnb: **151** ; Total: **151**,0.00062701,8.63767145,0.629931171701,1.47338464844,0.03939159,0.0000730827272727,0.00218280000,0.04157439000,1,16,1.90723562152,2.06103962879,srdltd: **388** ; bnb: **151**
bustabit-tiny-hot-wallet_2019-2020-per-day,19.63273569,195.904000000,382,1316,1401,684,0,467,bnb: **217** ; Total: **217**,0.00062701,9.82263806,0.615765355332,1.53986049159,0.04908846,0.0000717667543860,0.00259760000,0.05168606000,1,28,2.04824561404,2.33736217240,srdltd: **467** ; bnb: **217**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.25326223,251.410800000,522,1682,1699,818,0,539,bnb: **279** ; Total: **279**,0.00062701,9.82263806,0.577560685826,1.48484089164,0.06109880,0.0000746929095355,0.00354960000,0.06464840000,1,28,2.07701711491,2.35579130192,srdltd: **539** ; bnb: **279**
bustabit-tiny-hot-wallet_2019-2020-per-day,18.32281126,289.663666667,427,2008,2213,992,0,632,bnb: **360** ; Total: **360**,0.00062701,9.82263806,0.555642795965,1.46732173819,0.07999621,0.0000806413407258,0.00290360000,0.08289981000,1,28,2.23084677419,2.65700454404,srdltd: **632** ; bnb: **360**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.33823073,323.236857143,595,2415,2501,1085,0,681,bnb: **404** ; Total: **404**,0.00062701,9.82263806,0.540237579280,1.42447694420,0.09015981,0.0000830965990783,0.00404600000,0.09420581000,1,30,2.30506912442,2.83266758473,srdltd: **681** ; bnb: **404**
bustabit-tiny-hot-wallet_2019-2020-per-day,23.39780113,365.631750000,654,2818,2900,1182,0,736,bnb: **446** ; Total: **446**,0.00062701,9.82263806,0.513366659769,1.37528059685,0.10118474,0.0000856046869712,0.00444720000,0.10563194000,1,44,2.45346869712,3.39309214809,srdltd: **736** ; bnb: **446**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.26539411,395.992000000,617,3213,3393,1287,0,797,bnb: **490** ; Total: **490**,0.00062701,9.82263806,0.485361410138,1.32649044897,0.12076983,0.0000938382517483,0.00419560000,0.12496543000,1,44,2.63636363636,3.74973489802,srdltd: **797** ; bnb: **490**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.67738437,416.998800000,591,3571,3857,1429,0,877,bnb: **552** ; Total: **552**,0.00062505,9.82263806,0.485600288769,1.32168368070,0.13565214,0.0000949280195941,0.00401880000,0.13967094000,1,66,2.69909027292,4.07635533796,srdltd: **877** ; bnb: **552**
bustabit-tiny-hot-wallet_2019-2020-per-day,21.90301849,439.539636364,647,3938,4252,1562,0,961,bnb: **601** ; Total: **601**,0.00062505,9.82263806,0.497022025817,1.32758724171,0.14994922,0.0000959982202305,0.00439960000,0.15434882000,1,66,2.72215108835,4.11738502345,srdltd: **961** ; bnb: **601**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.31308857,451.985000000,564,4278,4774,1722,0,1060,bnb: **662** ; Total: **662**,0.00050883,9.82263806,0.499972375217,1.32135057162,0.17057507,0.0000990563704994,0.00383520000,0.17441027000,1,66,2.77235772358,4.38029263014,srdltd: **1060** ; bnb: **662**
bustabit-tiny-hot-wallet_2019-2020-per-day,20.78169332,460.958923077,629,4650,5148,1850,0,1127,bnb: **723** ; Total: **723**,0.00050883,9.82263806,0.477809687817,1.28513930086,0.18331126,0.0000990871675676,0.00427720000,0.18758846000,1,66,2.78270270270,4.32362086644,srdltd: **1127** ; bnb: **723**
bustabit-tiny-hot-wallet_2019-2020-per-day,27.13426084,466.413142857,496,4990,5705,2010,0,1211,bnb: **799** ; Total: **799**,0.00050883,9.82263806,0.456138077060,1.24570661611,0.19541685,0.0000972223134328,0.00337280000,0.19878965000,1,66,2.83830845771,4.34582984683,srdltd: **1211** ; bnb: **799**
bustabit-tiny-hot-wallet_2019-2020-per-day,16.83396695,469.424400000,539,5335,6117,2165,0,1321,bnb: **844** ; Total: **844**,0.00050883,9.82263806,0.441087943793,1.20768692797,0.21346583,0.0000985985357968,0.00366520000,0.21713103000,1,66,2.82540415704,4.33188767382,srdltd: **1321** ; bnb: **844**
bustabit-tiny-hot-wallet_2019-2020-per-day,12.73672470,451.167625000,171,5654,6925,2346,0,1442,bnb: **904** ; Total: **904**,0.00050883,9.82263806,0.452719533779,1.22145707866,0.23444306,0.0000999331031543,0.00116280000,0.23560586000,1,175,2.95183290708,5.73432998257,srdltd: **1442** ; bnb: **904**
bustabit-tiny-hot-wallet_2019-2020-per-day,26.43628833,433.853058824,144,5963,7396,2537,0,1577,bnb: **960** ; Total: **960**,0.00050883,9.82263806,0.438098062708,1.18960586866,0.24572278,0.0000968556484036,0.000979200000,0.246701980000,1,175,2.91525423729,5.57175658793,srdltd: **1577** ; bnb: **960**
bustabit-tiny-hot-wallet_2019-2020-per-day,15.40969012,422.147444444,230,6278,7766,2722,0,1718,bnb: **1004** ; Total: **1004**,0.00050883,9.82263806,0.415694164150,1.14537880224,0.26246578,0.0000964238721528,0.00156400000,0.26402978000,1,175,2.85304922851,5.41864489446,srdltd: **1718** ; bnb: **1004**
